Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
408	-1407.888	-1492.282	84.39403	0.7024584	0.5750601	0.559842	0.440158	1.420973
414	-1406.162	-1490.84	84.67799	0.7835569	0.4144286	0.536109	0.463891	1.345629
420	-1404.311	-1488.62	84.30889	0.7755673	0.6845183	0.536109	0.463891	1.308971
426	-1409.983	-1494.511	84.52772	0.6286881	0.622874	0.511332	0.488668	1.318948
432	-1417.477	-1501.718	84.24105	1.240976	0.8467137	0.418886	0.581114	0.6934504
438	-1415.878	-1500.198	84.31941	1.240976	0.7564348	0.447447	0.552553	0.7399744
444	-1415.973	-1500.58	84.60698	0.5732517	0.5160941	0.454221	0.545779	1.427143
450	-1416.077	-1500.829	84.75183	1.022427	0.5610094	0.488023	0.511977	0.8143619
456	-1415.564	-1499.871	84.30648	0.909357	0.7873097	0.488023	0.511977	1.084818
462	-1409.901	-1494.542	84.64162	1.015475	0.5342605	0.488023	0.511977	0.9927039
468	-1421.743	-1506.095	84.3526	1.093795	0.6483697	0.507744	0.492256	1.034905
474	-1419.321	-1503.217	83.8964	0.5001102	0.6458661	0.497203	0.502797	1.852753
480	-1407.667	-1491.706	84.03898	0.4368876	0.658534	0.44091	0.55909	1.786074
486	-1410.9	-1494.981	84.08039	0.5728134	0.5983975	0.558476	0.441524	1.721219
492	-1408.866	-1493.275	84.40853	0.4672515	0.5983975	0.542568	0.457432	1.561117
498	-1412.655	-1496.607	83.95228	0.4672515	0.6489443	0.542568	0.457432	1.834052
504	-1414.005	-1498.033	84.02867	0.6012988	0.626098	0.480469	0.519531	1.709606
510	-1415.289	-1499.411	84.12209	0.499614	0.626098	0.607059	0.392941	1.71544
516	-1418.738	-1502.982	84.24395	0.4049399	0.6470311	0.549482	0.450518	1.675473
522	-1409.058	-1493.544	84.48648	0.4340498	0.4702682	0.501355	0.498645	1.675473
528	-1408.472	-1493.052	84.58079	0.5229238	0.5431113	0.446471	0.553529	1.452889
534	-1414.76	-1499.147	84.3866	0.6731473	0.571808	0.442642	0.557358	1.452889
540	-1406.474	-1490.925	84.45118	0.6731473	0.7447387	0.439122	0.560878	1.2119
546	-1406.337	-1490.907	84.57036	0.7255721	0.4900248	0.439122	0.560878	1.370515
552	-1400.067	-1484.559	84.4924	0.6855305	0.5453339	0.484193	0.515807	1.393003
558	-1415.462	-1499.668	84.20591	0.8557195	0.6457836	0.415669	0.584331	1.36893
564	-1403.661	-1487.852	84.19051	0.4879418	0.605832	0.308505	0.691495	1.695754
570	-1411.92	-1495.716	83.79657	0.3516238	0.6430034	0.445283	0.554717	2.022793
576	-1416.087	-1500.439	84.35172	0.4222716	0.5284702	0.461404	0.538596	1.711059
582	-1416.925	-1501.387	84.46192	0.3882258	0.526917	0.549238	0.450762	1.658673
588	-1414.685	-1498.751	84.06689	0.3737398	0.5580682	0.439245	0.560755	1.909519
594	-1412.599	-1496.612	84.0128	0.4018601	0.5752224	0.385858	0.614142	1.909519
600	-1408.014	-1492.57	84.55562	0.6025877	0.6269104	0.43023	0.56977	1.312901
606	-1408.417	-1493.266	84.84902	0.7485217	0.4159817	0.43024	0.56976	1.232096
612	-1413.73	-1498.389	84.65923	0.6248276	0.4607546	0.495931	0.504069	1.418844
618	-1407.906	-1492.567	84.66057	0.6236088	0.3702836	0.495931	0.504069	1.547235
624	-1411.082	-1495.629	84.54698	0.5477314	0.5532748	0.502391	0.497609	1.447735
630	-1414.196	-1498.041	83.84538	0.7503687	0.6587699	0.350868	0.649132	1.70181
636	-1414.889	-1498.825	83.93559	0.7241571	0.6492229	0.551765	0.448235	1.665572
642	-1408.431	-1492.675	84.24353	0.524701	0.5702449	0.534818	0.465182	1.669228
648	-1412.233	-1495.978	83.74464	0.5360056	0.782863	0.549426	0.450574	1.811425
654	-1411.052	-1495.514	84.46143	0.4752648	0.4280916	0.549426	0.450574	1.717279
660	-1399.445	-1483.661	84.21603	0.3696895	0.4825686	0.487816	0.512184	1.893532
666	-1407.948	-1491.94	83.99224	0.3248705	0.6602031	0.466728	0.533272	1.893532
672	-1398.726	-1482.742	84.01631	0.5623814	0.5738498	0.439646	0.560354	1.798611
678	-1397.396	-1481.874	84.47843	0.6045091	0.5167276	0.4951	0.5049	1.50026
684	-1418.716	-1502.677	83.96051	0.6458263	0.5167276	0.401056	0.598944	1.840858
690	-1408.242	-1492.866	84.62448	0.6522351	0.5572423	0.551256	0.448744	1.299785
696	-1406.711	-1490.713	84.00264	0.7813192	0.7587572	0.524592	0.475408	1.469943
702	-1407.442	-1492.037	84.59462	0.8073052	0.5407878	0.524592	0.475408	1.217025
708	-1412.894	-1497.456	84.56171	0.7845582	0.5669819	0.483632	0.516368	1.23
714	-1420.427	-1504.887	84.46063	0.7845582	0.5880212	0.503541	0.496459	1.287774
720	-1415.826	-1500.366	84.53939	0.6352203	0.5880212	0.503541	0.496459	1.344682
726	-1416.997	-1501.395	84.3974	0.6798961	0.5880212	0.474243	0.525757	1.420911
732	-1409.517	-1493.606	84.08872	0.3347126	0.5199925	0.457045	0.542955	1.961392
738	-1410.297	-1494.447	84.15019	0.5980604	0.6998294	0.457045	0.542955	1.552265
744	-1407.621	-1492.166	84.54504	0.4211997	0.5462428	0.616768	0.383232	1.552265
750	-1402.709	-1487.176	84.46662	0.7057687	0.59557	0.461961	0.538039	1.337622
756	-1404.816	-1489.326	84.51069	0.492506	0.59557	0.482797	0.517203	1.469097
762	-1421.326	-1505.616	84.28962	0.5818676	0.6466423	0.617906	0.382094	1.513663
768	-1414.549	-1499.031	84.4814	0.7596455	0.5589529	0.581613	0.418387	1.326472
774	-1412.9	-1497.176	84.27575	0.532847	0.5689375	0.60411	0.39589	1.641727
780	-1411.514	-1495.779	84.26446	0.6782949	0.6455687	0.467315	0.532685	1.461096
786	-1409.133	-1493.262	84.12919	0.7153133	0.7196731	0.467315	0.532685	1.461096
792	-1413.058	-1497.701	84.64316	0.4048668	0.4417637	0.413847	0.586153	1.620018
798	-1403.627	-1487.774	84.14687	0.573305	0.6513716	0.402708	0.597292	1.620018
804	-1404.335	-1488.394	84.05937	0.5358443	0.6710021	0.352462	0.647538	1.690479
810	-1418.992	-1502.731	83.73867	0.4168775	0.6318221	0.491065	0.508935	2.028244
816	-1407.888	-1491.736	83.84812	0.4076999	0.6314746	0.365608	0.634392	1.961666
822	-1419.911	-1504.15	84.23916	0.3786494	0.6597118	0.452953	0.547047	1.685252
828	-1410.966	-1495.019	84.05289	0.6825199	0.5105004	0.483034	0.516966	1.758488
834	-1417.435	-1502.107	84.67208	1.279434	0.5244999	0.422075	0.577925	0.6086492
840	-1407.134	-1491.132	83.99851	0.6945506	0.8931518	0.514369	0.485631	1.420828
846	-1415.276	-1499.345	84.06945	0.6945506	0.8554208	0.47576	0.52424	1.39818
852	-1416.061	-1500.668	84.60738	1.279434	0.5208643	0.434578	0.565422	0.744952
858	-1414.16	-1498.74	84.57989	1.028136	0.5578472	0.531096	0.468904	1.005119
864	-1406.945	-1491.734	84.78953	0.8843468	0.4653234	0.469097	0.530903	1.086525
