Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1413.198	-1497.375	84.17716	0.3444314	0.4397352	0.402417	0.597583	1.987211
6	-1412.899	-1496.728	83.8293	0.4292133	0.5754896	0.537891	0.462109	2.014036
12	-1419.423	-1503.966	84.54271	0.630978	0.6051956	0.486584	0.513416	1.325384
18	-1406.511	-1490.431	83.91967	0.457757	0.7357236	0.477894	0.522106	1.784436
24	-1407.026	-1491.223	84.19704	0.2276721	0.5266821	0.450577	0.549423	1.953336
30	-1407.557	-1492.061	84.50416	0.488535	0.5266821	0.453064	0.546936	1.555461
36	-1417.981	-1501.983	84.00249	0.3739897	0.6268857	0.546923	0.453077	1.884491
42	-1409.109	-1493.454	84.34452	0.3352522	0.4872737	0.48665	0.51335	1.823765
48	-1417.127	-1501.331	84.20477	0.1935439	0.7294684	0.55039	0.44961	1.775393
54	-1413.872	-1497.708	83.83668	0.2174787	0.5258071	0.412259	0.587741	2.198409
60	-1418.298	-1502.902	84.60336	0.4430184	0.555853	0.412259	0.587741	1.481422
66	-1414.356	-1498.293	83.9366	0.4365484	0.6786304	0.446342	0.553658	1.838339
72	-1411.117	-1495.493	84.37562	0.2908733	0.5248935	0.48573	0.51427	1.790291
78	-1406.974	-1491.351	84.37689	0.4795718	0.4509866	0.48573	0.51427	1.744595
84	-1408.604	-1493.029	84.42506	0.5710665	0.5490366	0.472879	0.527121	1.526927
90	-1418.259	-1502.474	84.21553	0.536237	0.6331376	0.445462	0.554538	1.615434
96	-1419.786	-1503.881	84.09487	0.4560646	0.6798247	0.496994	0.503006	1.713489
102	-1422.313	-1506.742	84.42866	0.3675415	0.468174	0.537269	0.462731	1.765656
108	-1424.151	-1508.597	84.44663	0.3269734	0.3940298	0.484586	0.515414	1.874991
114	-1412.956	-1497.123	84.16671	0.6385752	0.7095303	0.477127	0.522873	1.500514
120	-1413.288	-1497.482	84.19345	0.6840175	0.7725845	0.533627	0.466373	1.384997
126	-1414.82	-1499.585	84.76521	0.6840175	0.4564058	0.533627	0.466373	1.294043
132	-1415.384	-1499.854	84.4698	0.8891385	0.6774573	0.541124	0.458876	1.080509
138	-1414.663	-1499.179	84.51583	0.8477856	0.7137444	0.520543	0.479457	1.031004
144	-1419.209	-1503.694	84.48505	0.9920073	0.6758061	0.420519	0.579481	0.9671231
150	-1416.4	-1500.551	84.15084	0.5447672	0.6087751	0.46694	0.53306	1.680555
156	-1417.7	-1502.173	84.47243	0.5767357	0.4341048	0.507014	0.492986	1.629213
162	-1416.84	-1501.491	84.65158	1.29243	0.4599818	0.534017	0.465983	0.8080677
168	-1410.039	-1494.59	84.55033	1.08628	0.5108105	0.460304	0.539696	1.049622
174	-1406.15	-1490.431	84.28055	0.9857005	0.6473162	0.533395	0.466605	1.199505
180	-1405.58	-1490.16	84.57968	0.9358803	0.6646273	0.501975	0.498025	0.9424609
186	-1414.517	-1499.102	84.58571	0.9069314	0.3805771	0.385076	0.614924	1.372873
192	-1406.912	-1491.144	84.23166	0.9069314	0.79538	0.385076	0.614924	1.146125
198	-1407.795	-1492.334	84.53917	0.9370118	0.5082275	0.391736	0.608264	1.198092
204	-1399.552	-1484.142	84.59015	0.9370118	0.547041	0.547438	0.452562	1.098134
210	-1411.183	-1495.807	84.62393	0.8240131	0.5582544	0.422511	0.577489	1.15385
216	-1412.227	-1496.763	84.53587	0.8240131	0.5680579	0.422511	0.577489	1.217116
222	-1412.089	-1496.679	84.59068	0.6828316	0.5504098	0.384364	0.615636	1.310906
228	-1409.597	-1494.249	84.65147	0.6828316	0.4852337	0.384364	0.615636	1.346533
234	-1412.68	-1497.099	84.41944	0.81437	0.5859613	0.526612	0.473388	1.299525
240	-1417.785	-1502.427	84.64186	0.9428978	0.6109411	0.447845	0.552155	0.9483405
246	-1414.129	-1498.65	84.52116	0.8546973	0.6050652	0.4312	0.5688	1.156044
252	-1413.269	-1498.081	84.81178	0.8546973	0.4551835	0.497773	0.502227	1.109615
258	-1415.691	-1499.906	84.21546	0.8731083	0.7617557	0.538566	0.461434	1.224422
264	-1418.959	-1503.01	84.05099	0.8674296	0.8468379	0.54812	0.45188	1.282706
270	-1421.569	-1506.022	84.45311	0.8674296	0.8340926	0.54812	0.45188	0.9259426
276	-1414.357	-1498.671	84.31419	1.211117	0.6807107	0.54812	0.45188	0.9084262
282	-1411.261	-1495.815	84.55404	0.9809345	0.5844056	0.562169	0.437831	1.037503
288	-1413.748	-1498.409	84.66083	0.8133006	0.5756179	0.435875	0.564125	1.106798
294	-1413.27	-1497.693	84.42306	0.8073049	0.7062143	0.435875	0.564125	1.162493
300	-1412.206	-1497.089	84.88339	0.7368169	0.4202511	0.501067	0.498933	1.206114
306	-1412.775	-1497.084	84.30869	0.9174165	0.6346973	0.433638	0.566362	1.248236
312	-1414.034	-1498.661	84.62649	1.212061	0.5409011	0.581251	0.418749	0.7692408
318	-1416.903	-1501.522	84.61918	1.129184	0.5746902	0.631016	0.368984	0.8210566
324	-1413.455	-1498.002	84.54776	0.9499278	0.622999	0.422704	0.577296	1.019421
330	-1401.123	-1485.567	84.44433	0.7419194	0.6683003	0.494433	0.505567	1.243058
336	-1407.172	-1491.972	84.80022	0.829644	0.4456768	0.494433	0.505567	1.157497
342	-1410.553	-1495.226	84.67376	0.7804523	0.5630375	0.493158	0.506842	1.141828
348	-1405.978	-1490.398	84.42046	0.7272669	0.6112093	0.493158	0.506842	1.339227
354	-1412.485	-1496.732	84.24781	0.761942	0.5935673	0.356814	0.643186	1.466347
360	-1404.621	-1489.161	84.53997	0.7795964	0.5935673	0.452291	0.547709	1.21911
366	-1399.938	-1484.325	84.38753	0.8360828	0.6616953	0.649285	0.350715	1.21911
372	-1409.007	-1493.544	84.53688	0.9336812	0.5030277	0.604543	0.395457	1.210194
378	-1407.725	-1492.299	84.57424	0.7941703	0.5840918	0.442987	0.557013	1.189291
384	-1418.514	-1502.758	84.24387	0.8067119	0.5841758	0.505394	0.494606	1.445789
390	-1407.093	-1491.54	84.44762	0.6252773	0.6814767	0.412465	0.587535	1.321541
396	-1404.772	-1489.248	84.47624	0.4135278	0.4876933	0.436758	0.563242	1.676238
402	-1412.244	-1495.548	83.30367	0.4940346	0.79536	0.512053	0.487947	2.125361
408	-1403.442	-1487.683	84.24089	0.5665192	0.6687993	0.551405	0.448595	1.538885
414	-1400.927	-1485.536	84.60954	0.4956189	0.4723039	0.571451	0.428549	1.538885
420	-1410.126	-1494.22	84.09336	0.2349141	0.6036586	0.53307	0.46693	1.939589
426	-1417.784	-1501.702	83.9176	0.2083302	0.5411148	0.553775	0.446225	2.136037
432	-1420.596	-1504.595	83.9985	0.5376859	0.4881524	0.589041	0.410959	1.920714
438	-1418.064	-1501.952	83.88832	0.3630698	0.6517824	0.386197	0.613803	1.945728
444	-1411.411	-1495.9	84.48869	0.488481	0.4990008	0.424606	0.575394	1.599747
450	-1403.842	-1488.383	84.54121	0.3905427	0.5355901	0.424606	0.575394	1.589787
456	-1400.096	-1484.655	84.5595	0.5942846	0.4330192	0.461456	0.538544	1.554389
462	-1407.274	-1492.007	84.73309	0.5762262	0.4477935	0.397694	0.602306	1.417031
468	-1400.335	-1484.834	84.49856	0.7048626	0.4984918	0.443269	0.556731	1.43147
474	-1412.309	-1496.825	84.51619	0.4365885	0.7263131	0.426662	0.573338	1.370862
480	-1409.814	-1493.575	83.76154	0.5684358	0.8010672	0.371992	0.628008	1.762143
486	-1409.529	-1493.933	84.40435	0.8091675	0.5751717	0.459303	0.540697	1.328861
492	-1409.518	-1493.691	84.17278	0.5191426	0.6268839	0.504804	0.495196	1.664792
498	-1405.458	-1489.709	84.25135	0.7788828	0.6181642	0.488489	0.511511	1.423527
504	-1408.018	-1492.308	84.29052	0.7908547	0.5302789	0.427613	0.572387	1.485121
510	-1409.762	-1494.602	84.83943	0.7593489	0.4422099	0.430485	0.569515	1.189989
516	-1405.816	-1490.103	84.28657	0.6988655	0.687453	0.42374	0.57626	1.384643
522	-1413.072	-1497.223	84.15062	0.7605218	0.639769	0.436073	0.563927	1.491069
528	-1409.462	-1493.52	84.05891	0.4733908	0.6084818	0.590895	0.409105	1.795493
534	-1407.909	-1492.263	84.35434	0.6251281	0.6084818	0.590895	0.409105	1.472884
540	-1408.896	-1493.455	84.55871	0.6549527	0.536804	0.576621	0.423379	1.37548
546	-1411.355	-1495.584	84.22898	0.7903144	0.5234502	0.492196	0.507804	1.539625
552	-1411.383	-1496.365	84.98265	0.6921141	0.424405	0.492196	0.507804	1.152045
558	-1431.293	-1515.909	84.61513	0.8018231	0.4923052	0.650468	0.349532	1.270017
564	-1424.244	-1508.778	84.53376	0.6924679	0.5233588	0.469989	0.530011	1.382362
570	-1419.973	-1504.292	84.31863	0.8189828	0.5807799	0.424398	0.575602	1.382362
576	-1409.97	-1494.538	84.56765	0.6831288	0.52096	0.519234	0.480766	1.366088
582	-1404.276	-1489.048	84.77212	0.7579135	0.4856665	0.400311	0.599689	1.183976
588	-1407.844	-1492.291	84.44652	0.5019921	0.4738607	0.36253	0.63747	1.651045
594	-1409.344	-1493.479	84.13504	0.5143443	0.6369222	0.427382	0.572618	1.685089
600	-1412.393	-1496.698	84.30475	0.3263629	0.4012865	0.425086	0.574914	1.96186
606	-1412.873	-1497.451	84.5781	0.3542596	0.3955439	0.520866	0.479134	1.763486
612	-1407.327	-1491.578	84.25017	0.6138398	0.3955439	0.520866	0.479134	1.810931
618	-1407.139	-1490.618	83.47967	0.3303051	0.5528204	0.572	0.428	2.327945
624	-1408.251	-1492.194	83.94289	0.4843626	0.5528204	0.548287	0.451713	1.924022
630	-1409.181	-1492.821	83.63994	0.4753099	0.647615	0.446311	0.553689	2.040423
636	-1411.618	-1495.369	83.75097	0.412322	0.7161876	0.522134	0.477866	1.947639
642	-1414.383	-1498.47	84.08673	0.5735633	0.7196603	0.611383	0.388617	1.597985
648	-1412.113	-1496.125	84.01245	0.5406841	0.6038749	0.611383	0.388617	1.785656
654	-1407.393	-1491.849	84.45647	0.6957358	0.567104	0.611383	0.388617	1.387007
660	-1409.714	-1493.619	83.90497	0.5567386	0.6681801	0.509188	0.490812	1.786843
666	-1406.648	-1490.865	84.21658	0.4634188	0.6670224	0.509188	0.490812	1.633669
672	-1412.645	-1497.174	84.52953	0.6027383	0.47816	0.625691	0.374309	1.511252
