Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
558	-630.8696	-794.7933	163.9237	4.707295	3.380319	2.670843
564	-624.1701	-789.1721	165.002	3.02971	3.650257	2.47093
570	-636.4759	-800.8657	164.3898	4.581458	3.861492	2.114888
576	-626.1475	-791.2891	165.1416	3.404327	3.185188	2.516481
582	-636.2013	-800.0604	163.8591	4.24524	4.635973	2.079108
588	-637.2508	-801.6689	164.4181	3.918562	4.735793	1.763773
594	-640.0289	-803.4536	163.4247	5.010417	5.117576	1.763773
600	-640.5116	-803.2129	162.7012	5.506003	5.590232	1.763773
606	-658.9709	-822.7291	163.7582	2.946296	6.029726	1.763773
612	-643.8344	-806.5204	162.686	4.902584	5.781953	1.854205
618	-643.6174	-807.4491	163.8318	4.902584	4.365058	2.036719
624	-645.0813	-808.4848	163.4035	4.986058	5.247887	1.695962
630	-649.3931	-813.0466	163.6535	4.168426	5.709491	1.50626
636	-632.4356	-794.6581	162.2224	6.112541	6.052487	1.569612
642	-636.2416	-799.4412	163.1997	5.864754	5.210475	1.555087
648	-628.5523	-791.1578	162.6055	4.359645	6.581884	1.555087
654	-634.1293	-796.8752	162.7459	5.125121	6.123911	1.483903
660	-642.6598	-805.8075	163.1477	5.005102	5.341852	1.802329
666	-642.9735	-805.8969	162.9234	5.198147	5.910566	1.482741
672	-657.1788	-819.7064	162.5276	6.18054	6.203142	1.185978
678	-646.2264	-808.8659	162.6395	4.531886	6.937957	1.169132
684	-643.7432	-806.344	162.6008	4.846121	6.521894	1.402025
690	-656.6981	-821.0182	164.3201	2.84411	5.658883	1.680428
696	-653.526	-818.2925	164.7665	2.84411	5.235991	1.663689
702	-659.3567	-822.6424	163.2857	4.297089	5.881601	1.595892
708	-650.8927	-813.7707	162.878	4.809329	6.134477	1.501097
714	-666.3788	-831.0634	164.6846	2.913983	5.361215	1.596411
720	-644.2517	-805.5668	161.315	6.234838	6.960939	1.527585
726	-632.1667	-794.347	162.1803	7.921357	5.407848	1.513871
732	-640.9037	-804.6622	163.7585	5.242717	4.748284	1.704795
738	-652.6891	-816.5554	163.8663	4.363803	4.748284	1.95462
744	-658.3277	-821.8959	163.5683	4.363803	5.199845	1.850487
750	-654.8208	-820.2343	165.4135	2.639916	3.79135	2.299035
756	-644.2541	-808.1182	163.8641	4.779694	4.563692	1.926018
762	-646.4391	-811.1562	164.7171	3.052315	4.760179	1.926018
768	-658.3963	-822.6321	164.2357	3.175035	4.362109	2.442387
774	-670.5732	-835.8262	165.253	2.665464	4.29568	2.063553
780	-655.181	-819.5316	164.3506	3.570205	3.969989	2.453442
786	-633.8639	-798.3399	164.476	4.414158	3.261398	2.502536
792	-635.2393	-799.9704	164.7311	3.908556	3.930087	2.100523
798	-638.1182	-802.1699	164.0517	3.908556	4.656184	2.069841
804	-635.4738	-800.7669	165.2931	3.319944	3.47135	2.27501
810	-649.763	-812.8505	163.0875	7.138779	3.699609	2.27501
816	-650.7364	-815.2861	164.5498	4.514259	3.973979	1.958944
822	-631.3433	-795.3314	163.9881	4.820206	4.716512	1.720242
828	-641.5801	-806.4878	164.9077	3.890396	3.125107	2.509066
834	-637.2144	-802.8809	165.6665	2.899578	2.885817	2.590283
840	-637.5053	-803.2396	165.7343	3.056967	3.191906	2.285483
846	-638.1509	-803.99	165.8392	2.204237	3.893108	2.17783
852	-641.1835	-806.2046	165.0211	4.047219	3.154896	2.359831
858	-637.4159	-802.1415	164.7256	3.709307	2.621429	2.996372
864	-650.1132	-815.2206	165.1074	3.350638	3.572041	2.316368
870	-641.9132	-805.6866	163.7734	5.115925	4.37506	1.994924
876	-633.2631	-797.497	164.2338	4.704279	4.387133	1.821965
882	-635.2009	-799.9019	164.701	3.045769	4.396682	2.179977
888	-641.818	-805.279	163.461	5.403526	4.864678	1.775245
894	-638.3173	-803.4753	165.158	2.498115	4.94314	1.775245
900	-622.097	-785.7363	163.6394	5.159997	4.717408	1.83868
906	-624.6001	-788.9401	164.3399	4.540089	4.699651	1.589294
912	-627.6362	-792.8507	165.2145	3.123942	4.012399	2.060196
918	-630.4692	-794.0685	163.5994	5.682536	4.168726	2.060196
924	-628.2418	-792.8227	164.5809	4.409855	4.138397	1.866075
930	-624.5621	-788.6988	164.1366	4.158549	4.725302	1.867028
936	-627.5291	-791.8673	164.3382	4.124136	4.725302	1.741508
942	-626.7505	-790.6788	163.9283	4.387111	4.481161	2.082204
948	-641.4382	-805.69	164.2518	3.999293	4.793262	1.805713
954	-630.6832	-795.1186	164.4354	4.449387	4.349572	1.805713
