Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-2053.221	-2221.971	168.7507	0.8129334	0.8278654	0.9601847	2.534619
6	-2065.231	-2233.743	168.5116	1.030245	0.9426044	1.000733	2.452695
12	-2063.68	-2232.685	169.0041	0.6606313	0.9426044	0.8671189	2.452695
18	-2054.54	-2223.266	168.726	0.9807333	0.9062955	0.9657351	2.393636
24	-2054.168	-2222.518	168.3498	0.8843332	0.9751978	0.9762055	2.638969
30	-2059.207	-2227.627	168.42	0.736232	1.157441	1.013213	2.549179
36	-2050.264	-2219.247	168.983	0.7622803	1.03566	1.011784	2.255438
42	-2054.688	-2223.388	168.6999	0.7910772	0.924332	1.060095	2.457521
48	-2053.728	-2222.371	168.6425	0.8719262	0.893401	0.9159533	2.553167
54	-2063.321	-2232.126	168.8055	0.6917866	1.154228	0.9159533	2.396413
60	-2056.76	-2225.684	168.9247	0.7801495	0.7707767	0.7929489	2.584619
66	-2048.86	-2217.562	168.7022	0.8986817	0.9008525	0.9148418	2.495473
72	-2052.394	-2220.583	168.1891	0.9085594	1.136258	0.9697191	2.628117
78	-2052.153	-2221.066	168.9127	0.7017254	1.039686	0.9757389	2.357116
84	-2052.335	-2221.254	168.9189	0.8281936	0.778392	0.9135114	2.479443
90	-2058.823	-2227.287	168.4636	1.098996	0.8863844	0.8383567	2.57613
96	-2064.43	-2232.874	168.4435	0.947879	0.980183	1.025506	2.507869
102	-2065.47	-2233.945	168.475	1.140666	0.9379586	1.104848	2.343441
108	-2074.059	-2242.848	168.789	0.9394217	0.8461305	1.076552	2.347431
114	-2068.056	-2236.767	168.7107	0.8866415	0.9531752	1.101053	2.347431
120	-2047.7	-2216.18	168.4799	0.8981611	0.9531752	0.9218757	2.597274
126	-2052.729	-2221.179	168.4496	1.031087	0.8868478	0.9745547	2.541973
132	-2053.151	-2221.688	168.5373	0.9354957	0.887778	1.025487	2.514544
138	-2059.75	-2227.769	168.0198	0.9481186	1.058474	0.8401096	2.834363
144	-2053.716	-2222.194	168.4773	0.943226	0.9574761	0.782215	2.65472
150	-2066.217	-2235.007	168.7894	1.163023	0.896765	1.029722	2.202128
156	-2056.63	-2224.795	168.1653	0.8612001	0.9128429	0.8635205	2.872549
162	-2054.362	-2222.688	168.3262	0.8347604	1.084626	0.8386967	2.700918
168	-2065.76	-2234.455	168.6951	0.7964884	0.8461207	0.8893716	2.611872
174	-2077.484	-2245.846	168.362	1.034531	0.828985	0.9495566	2.64499
180	-2055.464	-2223.837	168.3736	0.8602958	1.159652	0.9547297	2.538338
186	-2053.437	-2222.184	168.7469	1.036793	0.8305948	1.044533	2.342396
192	-2047.004	-2215.706	168.7021	1.008999	1.042198	0.9065016	2.342396
198	-2055.291	-2223.894	168.6034	0.873195	0.9271375	1.076597	2.455434
204	-2044.826	-2213.608	168.7823	0.8896972	0.9271375	1.050259	2.348792
210	-2055.567	-2223.864	168.297	0.9498003	1.147796	0.9048005	2.568991
216	-2051.94	-2220.083	168.1432	1.112961	1.007189	0.9281844	2.635612
222	-2058.21	-2226.724	168.5132	0.7893161	0.8127148	0.9839712	2.690126
228	-2061.067	-2229.446	168.3788	0.9518736	1.286078	1.008355	2.366182
234	-2058.483	-2227.269	168.7854	0.8356201	1.155627	0.906622	2.32721
240	-2060.214	-2228.859	168.6447	0.9109834	0.9051136	0.9219518	2.516616
246	-2059.336	-2227.785	168.4491	0.7904931	1.220931	0.9219518	2.516616
252	-2058.51	-2226.874	168.3646	0.8237706	1.137188	0.8110649	2.668802
258	-2056.128	-2224.559	168.4305	0.9229824	1.077733	0.8703533	2.567376
264	-2050.354	-2218.633	168.2791	0.874786	0.9885425	0.9444584	2.69964
270	-2060.879	-2229.035	168.1568	0.9198697	1.040245	0.8897034	2.748989
276	-2059.151	-2228.052	168.9009	0.7785214	0.9447592	1.061479	2.32434
282	-2056.396	-2225.211	168.8159	0.8949263	0.9388468	1.061479	2.3095
288	-2053.081	-2221.791	168.7108	1.064446	0.9013976	0.9771331	2.34615
294	-2053.368	-2221.873	168.5055	1.109144	1.016632	1.098495	2.29791
300	-2063.988	-2232.264	168.2754	0.9428993	0.900733	0.8298417	2.784133
306	-2066.696	-2234.677	167.9814	0.8372947	1.086825	0.7352979	2.970198
312	-2068.868	-2236.828	167.9601	0.9704341	1.32937	0.7319677	2.760532
318	-2057.413	-2225.415	168.0022	0.9704341	1.286024	0.7319677	2.760532
324	-2058.946	-2227.592	168.6453	0.6731909	0.96267	0.9224601	2.622176
330	-2062.246	-2230.482	168.2358	0.8836331	0.942011	0.9203649	2.763951
336	-2061.392	-2230.189	168.7977	1.069283	0.8770186	0.9203649	2.339288
342	-2049.528	-2218.333	168.8054	0.8726626	1.012048	1.01714	2.311935
348	-2044.82	-2213.448	168.6275	0.8726626	1.054597	0.9128413	2.463503
354	-2055.79	-2223.971	168.1804	0.8773224	0.9521799	0.960156	2.771084
360	-2060.46	-2229.247	168.7873	0.881361	1.004684	1.06007	2.295281
366	-2044.738	-2213.458	168.7208	1.023102	1.052526	1.022652	2.240507
372	-2044.521	-2213.012	168.4914	0.9255633	1.09707	0.9361753	2.474672
378	-2058.362	-2227.327	168.965	0.8041274	0.9026768	0.9171897	2.386167
384	-2069.697	-2238.319	168.6217	1.011578	0.9848844	0.9726006	2.386167
390	-2063.825	-2232.694	168.8691	0.8104302	1.200089	1.067668	2.157247
396	-2061.382	-2229.819	168.4379	0.8693036	1.200089	0.7547196	2.592276
