Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-660.5465	-832.6956	172.149	0.02735575	1.119276	1.035039
6	-667.0524	-838.8058	171.7534	0.5236843	1.075176	0.9787534
12	-663.9198	-835.7519	171.8321	0.3118151	0.787383	1.350095
18	-673.4875	-843.7191	170.2317	1.862538	0.9448303	1.262774
24	-684.5531	-856.2104	171.6573	0.3117236	1.114315	1.225751
30	-683.8948	-855.5455	171.6507	0.285943	1.135698	1.235035
36	-692.8234	-864.6574	171.834	0.103546	0.8733052	1.44389
42	-680.7407	-852.721	171.9803	0.0180432	0.7659095	1.479335
48	-681.4897	-853.2935	171.8038	0.1426902	0.8286309	1.471089
54	-676.5473	-848.1055	171.5581	0.8368091	0.8206573	1.110035
60	-676.5895	-848.4362	171.8468	0.2414349	0.9980488	1.223287
66	-683.0338	-854.6908	171.6571	0.4643404	0.9980488	1.194986
72	-689.7168	-861.5337	171.8169	0.2544499	1.020478	1.218547
78	-687.1736	-858.6581	171.4845	0.1284447	1.515269	1.187438
84	-683.3764	-854.7875	171.4111	0.2062506	1.810426	0.897906
90	-668.2732	-839.6965	171.4233	0.2112334	1.810426	0.878202
96	-686.4388	-858.1764	171.7376	0.4016124	1.308313	0.875272
102	-666.0315	-837.6907	171.6592	0.2958317	1.297817	1.075661
108	-692.2223	-863.2697	171.0475	1.447614	0.6340834	1.186603
114	-668.5721	-840.2056	171.6334	0.2050272	0.6095173	1.709852
120	-670.5721	-842.0857	171.5136	0.3129411	0.9262178	1.487976
126	-677.3163	-849.3582	172.0419	0.09875898	1.127083	1.061676
132	-686.9757	-858.9109	171.9353	0.1147871	0.9709571	1.277658
138	-677.1494	-849.222	172.0726	0.1167898	1.24432	0.8912387
144	-680.0579	-851.6168	171.5589	0.05935327	1.149359	1.476795
150	-674.752	-844.4603	169.7083	2.179957	1.035482	1.356031
156	-687.7882	-859.4557	171.6675	0.192078	0.8957254	1.486057
162	-672.6809	-844.3749	171.694	0.5297917	1.076109	1.030915
168	-680.4242	-851.7006	171.2764	1.01904	0.9573974	1.075726
174	-679.4385	-851.4355	171.997	0.1128603	0.7582827	1.399703
180	-684.5599	-856.2135	171.6535	0.1725007	1.46485	1.039635
186	-679.2148	-850.9637	171.7489	0.2670999	0.9907544	1.289347
192	-683.0956	-854.4667	171.3711	0.4769503	1.295152	1.174443
198	-681.4232	-852.9683	171.5451	0.7687649	0.806489	1.194198
204	-680.0023	-851.4556	171.4533	0.6349032	1.037202	1.189855
210	-682.4315	-854.6496	172.2182	0.08079221	0.6495021	1.336414
216	-677.9389	-849.937	171.9981	0.2393996	0.8477451	1.224107
222	-678.6818	-850.3735	171.6916	0.5005014	1.101434	1.037039
228	-682.0531	-853.5456	171.4925	0.5160382	1.226745	1.092046
234	-678.9082	-850.058	171.1498	0.6298503	1.50429	1.046273
240	-684.519	-855.6327	171.1138	1.063155	1.259633	0.8879526
246	-675.6126	-847.2654	171.6528	0.964641	0.7383214	0.9752084
252	-694.2891	-865.9402	171.651	0.5158549	1.017002	1.138614
258	-692.4422	-863.9002	171.458	0.4201672	0.9949307	1.395835
264	-684.3624	-852.7073	168.3449	2.493833	1.491265	1.792418
270	-677.1698	-845.3591	168.1893	2.493833	0.830812	2.332059
276	-675.2901	-843.5629	168.2728	2.493833	0.7472919	2.332059
282	-683.5455	-851.8887	168.3432	2.493833	1.119007	2.045411
288	-679.8067	-848.5098	168.7031	2.581907	1.333624	1.587364
294	-668.0029	-836.717	168.7141	2.581907	1.416294	1.518289
300	-670.0529	-838.6796	168.6267	2.581907	1.344966	1.634564
306	-673.3289	-841.9138	168.5849	2.581907	1.49612	1.554861
312	-678.4946	-847.0153	168.5206	2.301858	1.626697	1.709014
318	-683.5322	-852.573	169.0408	2.442996	1.347481	1.428217
324	-676.8099	-845.671	168.861	2.442996	1.274184	1.616758
330	-684.0855	-853.0028	168.9172	2.442996	1.217961	1.616758
336	-666.7106	-835.6278	168.9172	2.442996	1.217961	1.616758
342	-668.7589	-837.3828	168.6239	2.442996	1.808247	1.394269
348	-662.7418	-831.8277	169.0859	2.442996	1.479655	1.287856
354	-665.9569	-834.4938	168.5368	2.442996	1.149045	1.929941
360	-689.0826	-857.8983	168.8157	2.442996	1.243179	1.671576
366	-675.6265	-847.3173	171.6908	0.4122479	1.208835	1.019234
372	-687.5621	-858.9942	171.4321	0.266931	0.9191977	1.587659
378	-690.7585	-862.6402	171.8817	0.1236523	1.166535	1.149223
384	-680.7613	-852.4134	171.6521	0.4330579	0.9360372	1.277504
390	-671.2313	-842.8138	171.5826	0.3834478	1.055149	1.277504
396	-666.4683	-838.5687	172.1003	0.08923647	0.8854103	1.2328
