Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-581.3084	-744.1678	162.8594	0.2872826	1.151289	6.269876	2.966087
6	-567.4401	-732.0528	164.6127	0.3647097	1.051487	4.600583	2.928735
12	-570.427	-734.1309	163.7039	0.3945901	1.355617	4.171847	3.525802
18	-574.8171	-738.1803	163.3632	0.3431903	1.187541	4.79703	3.485426
24	-580.4875	-743.9376	163.4501	0.3431903	0.8525284	6.316184	2.726352
30	-572.1996	-735.4255	163.2259	0.335457	0.9876288	6.820017	2.474726
36	-570.6623	-732.4468	161.7845	0.3549954	1.427445	6.886364	3.039475
42	-575.4515	-738.8016	163.3501	0.3948742	1.692674	3.887009	3.713794
48	-573.4492	-734.3744	160.9252	0.3056045	1.692674	7.113411	3.298365
54	-587.0641	-749.0065	161.9425	0.1526685	3.687648	3.790036	3.860781
60	-587.9804	-750.6379	162.6575	0.1526685	3.736031	3.360893	3.6786
66	-582.278	-743.5083	161.2303	0.2384831	2.918785	6.084566	3.186557
72	-575.1522	-735.7849	160.6328	0.2735876	1.492648	4.846563	4.882123
78	-573.7128	-734.9645	161.2517	0.2673916	1.373357	4.846563	4.602895
84	-566.5094	-728.2883	161.7789	0.2673916	1.223909	4.873066	4.37296
90	-574.0859	-736.4236	162.3377	0.2617722	1.663854	5.682891	3.350096
96	-576.1755	-739.9374	163.7619	0.2990613	1.491533	3.730686	3.728508
102	-580.3304	-744.4819	164.1516	0.3175378	1.458874	3.353253	3.728508
108	-580.7198	-745.5104	164.7906	0.4116856	1.241761	4.400194	2.799715
114	-582.5851	-745.0636	162.4784	0.2957875	1.232077	5.94419	3.333778
120	-582.5156	-745.2719	162.7563	0.3125296	0.7649538	7.519865	2.482452
126	-580.4914	-744.4617	163.9703	0.321963	1.149717	5.915146	2.482452
132	-582.631	-746.7092	164.0782	0.3457483	0.8290203	5.211166	3.027419
138	-579.0693	-743.8628	164.7935	0.1923726	2.037433	3.620823	2.963521
144	-601.7853	-765.4716	163.6863	0.2585353	1.350863	6.453954	2.236188
150	-584.299	-745.9886	161.6896	0.2812337	2.109765	4.911984	3.937405
156	-584.0201	-746.0844	162.0643	0.4233396	1.685846	4.00024	4.370328
162	-572.9896	-736.5215	163.5318	0.3401814	2.07757	4.073772	3.336473
168	-568.6469	-732.0231	163.3763	0.2715436	1.332335	4.911911	3.369657
174	-565.5989	-727.9913	162.3924	0.2870358	1.056589	6.539599	3.140603
180	-564.6272	-725.879	161.2518	0.270631	1.012936	5.366998	4.507912
186	-565.5606	-729.8823	164.3217	0.3517547	1.085244	3.517737	3.72564
192	-569.9875	-732.703	162.7155	0.2566522	1.351798	6.170951	3.012595
198	-566.2005	-728.9116	162.711	0.2992542	0.7598177	5.3968	3.786877
204	-572.3988	-735.5638	163.165	0.2704615	1.283034	5.3968	3.237236
210	-586.7229	-750.1312	163.4082	0.2917295	1.011524	5.001898	3.471818
216	-600.0018	-760.3458	160.3441	0.3466275	2.64986	5.936641	3.840651
222	-591.8928	-755.8361	163.9433	0.2950599	1.124572	3.078724	4.203435
228	-592.28	-755.2598	162.9797	0.3314248	0.8015554	5.765026	3.374593
234	-589.2802	-752.816	163.5357	0.3241124	1.37916	5.765026	2.704647
240	-580.4088	-742.6728	162.264	0.2548338	0.7847959	6.430474	3.4584
246	-573.4494	-733.83	160.3806	0.2690834	1.742572	7.472701	3.402443
252	-569.8741	-731.5795	161.7055	0.2690834	1.406633	6.89519	3.144418
258	-571.2148	-733.5424	162.3276	0.2818399	1.151216	6.444749	3.182578
264	-576.5833	-740.7914	164.2081	0.2846146	1.032795	5.171252	2.888088
270	-578.6228	-741.9194	163.2966	0.243452	0.6873368	5.100926	3.690935
276	-569.6754	-733.3842	163.7088	0.3769133	1.16742	3.601181	3.968549
282	-561.7515	-726.0196	164.268	0.3490351	1.021288	3.907385	3.569527
288	-581.5045	-745.7037	164.1992	0.4111258	0.5923767	4.321943	3.569527
294	-571.0968	-735.5861	164.4893	0.3102462	1.294956	4.321943	3.058423
300	-561.667	-724.7275	163.0605	0.2807743	1.782587	4.607244	3.483354
306	-566.7584	-728.7215	161.9632	0.2807743	0.6947904	7.262354	3.180452
312	-565.5024	-725.5637	160.0613	0.2807743	1.069857	9.102784	2.99777
318	-583.99	-744.4503	160.4603	0.3107675	1.134334	9.314323	2.568045
324	-566.2719	-726.7578	160.4859	0.2650425	1.489216	8.351878	2.958283
330	-567.1578	-727.3097	160.152	0.2838411	1.660703	8.942041	2.695
336	-571.922	-733.2606	161.3385	0.2838411	1.062624	7.79737	3.017172
342	-575.9974	-738.8871	162.8898	0.2932515	0.6422552	8.053985	2.140577
348	-573.3872	-736.2101	162.8229	0.4641764	0.6087956	7.988482	2.133945
354	-566.8854	-729.7509	162.8655	0.3063421	1.144474	6.803774	2.629764
360	-582.4568	-744.4929	162.0361	0.2913491	1.713322	5.961967	3.319701
366	-570.4327	-732.0546	161.6219	0.2463218	1.456713	6.070957	3.662162
372	-573.1573	-730.2503	157.093	0.2227715	1.337847	10.7369	3.662162
378	-571.3145	-733.1123	161.7978	0.230198	0.759531	6.989918	3.432465
384	-582.948	-744.2078	161.2598	0.2548191	1.105824	5.201027	4.553455
390	-578.4112	-740.5129	162.1018	0.2513458	1.251911	5.596485	3.769953
396	-588.5563	-749.313	160.7567	0.2757113	2.222248	7.111742	3.148954
402	-570.6682	-734.3388	163.6706	0.3033303	0.812819	5.497864	3.134388
408	-571.6676	-734.7382	163.0706	0.3136521	0.8602724	7.086272	2.49828
414	-567.7308	-731.8806	164.1498	0.3138927	1.128095	5.104503	2.888549
420	-572.8042	-736.4754	163.6712	0.2804662	1.657113	4.781675	3.086728
426	-577.0666	-737.9954	160.9289	0.3027421	1.44776	7.235862	3.359031
432	-566.2735	-728.4198	162.1464	0.2645982	1.082316	4.178343	4.637478
438	-582.2961	-744.3774	162.0813	0.344537	1.089282	5.101952	4.103611
444	-588.5962	-752.5271	163.9309	0.3897698	0.6808514	4.170102	3.781073
450	-585.5195	-749.4581	163.9387	0.2824479	1.4945	4.170102	3.377944
456	-585.0044	-746.9508	161.9465	0.2824479	2.215581	5.384471	3.46484
462	-581.8364	-744.8412	163.0048	0.2559886	0.9794148	5.384471	3.523569
468	-572.1309	-734.7609	162.63	0.3091672	1.219232	4.162595	4.272453
474	-568.6835	-732.0665	163.383	0.3156814	1.066055	4.497064	3.734038
480	-583.8122	-747.762	163.9498	0.2942219	1.057072	4.410789	3.472719
486	-588.7274	-752.1357	163.4083	0.3329813	0.808744	5.511287	3.266639
492	-585.7489	-749.8094	164.0605	0.3075982	1.138284	4.101252	3.533734
498	-589.853	-751.7212	161.8682	0.4463995	1.18493	6.015309	3.587997
504	-586.7029	-748.5859	161.8831	0.2676116	1.217091	5.658571	3.870346
510	-572.4848	-736.0343	163.5495	0.2825198	1.217091	5.12389	3.202262
516	-572.6319	-735.4115	162.7796	0.2825198	0.8765449	6.336935	3.14038
522	-564.787	-726.7679	161.981	0.2951846	1.939124	6.565172	2.872304
528	-565.3344	-726.3363	161.0019	0.2696567	1.64774	7.432589	3.109227
534	-574.1464	-737.9839	163.8375	0.3642851	0.8457722	6.2102	2.543758
540	-578.5167	-742.0777	163.561	0.2856751	0.8457722	6.565309	2.543758
546	-574.8188	-738.717	163.8982	0.3753339	0.6967304	6.565309	2.365207
552	-568.8873	-731.4387	162.5514	0.2545211	0.6967304	8.327174	2.176536
558	-582.4885	-745.6382	163.1496	0.3586619	0.8969568	7.138936	2.364193
564	-583.8746	-747.9474	164.0728	0.3373746	1.019558	3.946225	3.667994
570	-587.8514	-750.3668	162.5154	0.3373746	1.055741	5.62412	3.577171
576	-580.3232	-742.3344	162.0112	0.3307698	1.979776	5.62412	3.372906
582	-584.0577	-745.742	161.6843	0.2653783	1.136357	4.238419	4.831727
588	-580.1659	-745.013	164.8472	0.2653783	0.7555712	4.527285	3.067126
594	-573.0575	-736.3449	163.2874	0.2747941	0.982241	5.834623	3.078937
600	-569.6024	-733.8874	164.285	0.546786	0.6764626	5.746632	2.540334
606	-562.3923	-726.036	163.6437	0.2730402	0.492039	7.399238	2.162723
