Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
0	-303.9733	-468.2474	164.2741	2.363163	1.623161	4.381335
6	-309.1448	-473.7316	164.5869	2.265905	1.382929	4.383999
12	-296.6243	-460.8392	164.2149	2.450133	1.917192	4.209996
18	-300.1516	-465.2095	165.0579	2.136135	2.054899	3.792794
24	-301.0558	-466.4279	165.3721	2.607975	2.752375	2.981102
30	-302.8733	-468.0111	165.1378	1.233951	2.10125	4.186402
36	-303.7441	-468.9394	165.1953	2.749604	2.10125	3.409716
42	-290.7639	-456.0027	165.2388	2.316978	2.081767	3.588049
48	-283.0149	-449.0996	166.0846	2.316978	2.48837	2.845975
54	-287.7049	-453.7996	166.0946	1.83223	2.49737	3.07786
60	-288.9535	-453.8162	164.8627	3.624128	1.846544	3.406038
66	-310.5643	-475.1941	164.6298	1.393864	1.846544	4.529733
72	-301.4517	-465.8241	164.3724	1.719109	2.241469	4.282154
78	-302.8939	-467.8605	164.9666	1.822438	2.314698	3.849348
84	-305.6421	-470.2927	164.6506	1.569811	2.185686	4.233176
90	-303.5769	-469.6263	166.0494	1.247409	2.141208	3.633154
96	-304.792	-470.3098	165.5178	1.474793	2.488531	3.613339
102	-310.0222	-475.6847	165.6625	1.627098	2.202523	3.613339
108	-294.1028	-459.2064	165.1036	1.558142	2.255182	3.941692
114	-295.2138	-459.8636	164.6499	1.588931	2.000459	4.328489
120	-281.6869	-447.5528	165.866	1.303697	1.717589	3.951225
126	-286.3011	-452.3832	166.0821	1.706026	1.589453	3.68396
132	-293.6014	-458.5831	164.9817	1.59322	1.976303	4.151847
138	-291.2259	-456.2343	165.0084	1.277408	1.888886	4.355864
144	-298.3721	-464.0834	165.7113	1.139655	1.671014	4.157884
150	-284.4107	-449.2618	164.8511	2.346373	1.981783	3.856293
156	-289.2771	-454.9495	165.6724	1.361662	1.742338	4.015762
162	-285.6754	-449.9251	164.2496	1.184613	1.134192	5.251641
168	-299.0665	-463.7712	164.7047	1.861381	1.849621	4.244673
174	-299.7479	-464.2053	164.4574	1.861381	1.616134	4.516062
180	-285.8552	-451.0558	165.2006	1.861381	1.85456	3.959501
186	-296.1285	-461.6279	165.4994	1.807348	1.603046	3.959501
192	-304.8245	-468.7169	163.8924	2.788321	1.267975	4.61502
198	-302.5651	-467.8681	165.303	2.381346	2.680701	3.168975
204	-281.6703	-447.0224	165.352	2.138626	2.133004	3.576262
210	-285.5621	-451.4629	165.9007	1.718758	2.407567	3.305717
216	-280.8705	-447.117	166.2464	1.150544	3.263836	2.910101
222	-293.9268	-459.7269	165.8001	1.592209	3.010479	3.07608
228	-305.8501	-470.9738	165.1237	1.588779	3.607411	3.125304
234	-296.6087	-462.0746	165.4659	1.998591	3.06043	3.031464
240	-304.7108	-469.4683	164.7575	3.6637	2.974832	2.7806
246	-316.3478	-482.245	165.8973	2.122928	2.585829	2.995027
252	-297.6826	-463.1196	165.437	2.113067	3.157573	2.932866
258	-304.4748	-469.1512	164.6764	2.340607	2.769137	3.504437
264	-321.2263	-485.533	164.3066	2.083402	2.705494	3.875792
270	-302.8024	-467.7487	164.9463	1.743141	2.705494	3.676174
276	-304.1505	-469.3562	165.2057	1.80811	1.924163	3.943429
282	-312.0862	-477.3185	165.2323	1.81266	1.980591	3.893554
288	-311.6503	-476.8227	165.1724	1.871627	2.632113	3.521749
294	-306.52	-471.7939	165.2739	1.168395	2.33093	4.014912
300	-309.4933	-474.1192	164.6259	3.442223	2.778679	3.063649
306	-290.9986	-456.4199	165.4214	1.75647	2.271935	3.645258
312	-307.7531	-472.5418	164.7887	2.478806	1.872186	3.89576
318	-310.6367	-477.4911	166.8544	1.875383	2.000042	2.897618
324	-296.286	-461.8696	165.5836	2.554709	2.530404	3.011469
330	-294.0773	-460.6291	166.5518	0.9846896	2.758631	3.128957
336	-284.3115	-450.7093	166.3978	1.280166	3.184322	2.789234
342	-278.8501	-445.1031	166.2531	1.884997	3.976775	2.027124
348	-277.6066	-443.6367	166.0301	1.768391	2.589573	3.094951
354	-285.9419	-451.7324	165.7905	1.739959	3.527556	2.687883
360	-280.3625	-446.7463	166.3838	1.980219	2.637168	2.741669
366	-283.0633	-449.8464	166.7831	1.324173	3.217679	2.504775
372	-293.1574	-457.8719	164.7145	3.819927	2.31968	3.142433
378	-290.4542	-456.3126	165.8584	1.913308	2.715662	3.04648
384	-289.8078	-456.1705	166.3627	2.952794	2.594244	2.312362
390	-288.3935	-454.7336	166.3401	1.205998	2.740254	3.134848
