Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
0	-381.615	-647.3567	265.7417	0.737188	0.0349221	0.00273057	0.00161331	0.0069774	0.00201929	0.00664144	0.000397378	0.00677802	0.0209332	0.0144465	0.00279104	0.00148666	0.00153141	0.00118233	0.0139753	0.00179923	0.000524162	0.0481661	0.0118736	0.00859969	0.0195689	0.00957022	9.72234e-05	0.00624046	9.632e-05	0.00996836	0.00184678	0.00206539	0.002853	0.000540684	0.0057472	0.00357464	0.00284011	0.00758297	0.000831111	0.6388074
6	-372.4005	-638.1631	265.7625	0.811768	0.0165795	0.00198649	0.00322712	0.00507606	0.00146904	0.00483165	0.000309507	0.00493101	0.0152289	0.0105099	0.00203048	0.00167907	0.0011141	0.000860145	0.0134755	0.00130894	0.000381328	0.0350408	0.00863803	0.00625628	0.0142364	0.00656712	7.07301e-05	0.00453993	0.000378186	0.00725199	0.00134353	0.00150257	0.00205694	0.000393348	0.00418109	0.000828494	0.00337108	0.00551662	0.00105996	0.5807266
12	-399.5635	-665.2637	265.7003	0.61617	0.0287845	0.00344884	0.00560275	0.00881279	0.00255046	0.00838846	0.00053735	0.00856096	0.0264397	0.0182467	0.00289938	0.00291511	0.00193425	0.00149334	0.02346	0.00227251	0.000662042	0.0947134	0.0149969	0.0108618	0.0247165	0.0114015	0.000122798	0.0220283	0.000832697	0.0125905	0.00233257	0.00252331	0.00357114	0.00246562	0.00725899	0.00368118	0.0058527	0.00957766	0.00729279	0.7178637
18	-390.9347	-656.6576	265.7229	0.648568	0.0267681	0.00320724	0.00521026	0.00819543	0.0023718	0.00780083	0.000608398	0.00796124	0.0245875	0.0169684	0.00505559	0.0027109	0.00179875	0.00138873	0.0151229	0.00211331	0.000615664	0.0880784	0.0139463	0.0101009	0.0229851	0.0115535	0.000114196	0.0204851	0.000774364	0.0117085	0.00216917	0.00234655	0.00332098	0.0022929	0.00344957	0.0034233	0.0054427	0.00890672	0.00784817	0.6779301
24	-397.6386	-663.2752	265.6366	0.656975	0.0161419	0.00324881	0.0052778	0.00830165	0.00240254	0.00790194	0.000616284	0.00806443	0.0249062	0.0171884	0.00512112	0.00274603	0.00182206	0.00140673	0.0153189	0.00214071	0.000623644	0.0892201	0.0141271	0.0102319	0.023283	0.0117032	0.000115676	0.0207507	0.00166553	0.0118603	0.00219728	0.00237696	0.00336402	0.00232262	0.00349428	0.000598403	0.00551325	0.00902216	0.00794989	0.8102072
30	-388.1229	-653.8528	265.7299	0.658833	0.0161875	0.003258	0.00529272	0.00832513	0.00240933	0.00792429	0.000618027	0.00808724	0.0249767	0.017237	0.00328449	0.00195258	0.00182721	0.0014107	0.0153623	0.00214676	0.000449389	0.0894724	0.014167	0.0102608	0.0233488	0.0117363	0.000116003	0.0208093	0.00167024	0.0118938	0.0022035	0.00238369	0.00337353	0.00232919	0.00350416	0.000600095	0.00552884	0.00904768	0.00797237	0.6642585
36	-400.546	-666.2162	265.6703	0.664757	0.0163331	0.0032873	0.00534032	0.0084	0.002431	0.00799555	0.000623584	0.00815996	0.0252012	0.017392	0.0010505	0.00197013	0.00184365	0.00142339	0.0155004	0.00192323	0.00045343	0.090277	0.0142944	0.00176531	0.0235588	0.0118418	0.000117046	0.0209965	0.00168526	0.0120008	0.00222331	0.00240512	0.00340387	0.00235013	0.00353567	0.00175461	0.00557856	0.00938701	0.00873884	0.7640151
42	-401.3731	-667.0803	265.7071	0.666557	0.0163773	0.0032962	0.00535477	0.00842273	0.00243758	0.00801719	0.000625272	0.00619318	0.0252695	0.0174391	0.00105335	0.00104111	0.00184864	0.00142724	0.0155424	0.00192843	0.000454657	0.0905213	0.0066512	0.00177009	0.0236226	0.0118739	0.000117363	0.0210533	0.00168982	0.0120333	0.00222933	0.00241163	0.00341308	0.0023565	0.00354524	0.00175936	0.0134918	0.00941242	0.0087625	0.7063101
48	-374.7334	-640.3943	265.6609	0.723523	0.0146888	0.00413401	0.00642377	0.00681814	0.0019732	0.00648985	0.000506153	0.00501334	0.0204554	0.0141168	0.000850471	0.00130503	0.00260734	0.00115534	0.0125814	0.00156105	0.000368041	0.0732763	0.0053841	0.00143287	0.0191223	0.00961183	9.50043e-05	0.0170425	0.0013679	0.00974083	0.00180463	0.0019522	0.00276287	0.00190757	0.00286985	0.00142419	0.0109215	0.00761928	0.00709318	0.7773177
54	-374.9837	-640.7428	265.7591	0.752305	0.0119998	0.00337721	0.00860772	0.00556996	0.0217987	0.00530177	0.000413493	0.00409556	0.0167107	0.0115325	0.000694778	0.00106612	0.00213002	0.000943837	0.00460845	0.00125005	0.000300665	0.0598618	0.0122712	0.00117056	0.0156216	0.00785222	7.76121e-05	0.0139226	0.00111748	0.00795761	0.00147426	0.00159481	0.00225708	0.00155835	0.00234447	0.00116347	0.00502902	0.00622444	0.00579465	0.5923865
60	-365.1802	-630.8585	265.6784	0.759555	0.0121154	0.00340975	0.00869067	0.00562364	0.0220088	0.00535286	0.000417478	0.00413502	0.0168718	0.0116436	0.000701472	0.0010764	0.00215055	0.000952932	0.00465285	0.00375521	0.000303562	0.0604387	0.0123894	0.00118184	0.00196714	0.00792789	0.000123432	0.0140567	0.00112825	0.00803429	0.00148847	0.00161018	0.00227883	0.00157337	0.00236707	0.00117468	0.00507748	0.00628442	0.00748115	0.7520703
66	-372.1968	-637.942	265.7453	0.761091	0.0121399	0.00341665	0.00870825	0.00563501	0.0220533	0.00536369	0.000418322	0.00414339	0.0169059	0.0116672	0.000702892	0.00107858	0.0021549	0.00095486	0.00141758	0.00376281	0.000304176	0.060561	0.0124145	0.00118423	0.000851919	0.00794393	0.000123681	0.0186672	0.00113053	0.00805054	0.00149148	0.00161344	0.00344398	0.00157655	0.00237185	0.00117705	0.00168605	0.00629714	0.00749629	0.6303921
72	-380.3724	-646.1177	265.7453	0.778879	0.0111111	0.00205769	0.00797022	0.00515745	0.0201843	0.00490912	0.000382869	0.00379224	0.0154731	0.0106784	0.000643322	0.000987167	0.00197227	0.000873935	0.00129744	0.00344391	0.000289462	0.0554284	0.0113623	0.000253236	0.000779719	0.00727068	0.000113199	0.0170852	0.00103472	0.00736826	0.00136507	0.0014767	0.0031521	0.00144294	0.00217084	0.0010773	0.00154316	0.0101127	0.00686098	0.6303921
78	-378.2142	-643.9862	265.772	0.792229	0.0113015	0.00209296	0.00810683	0.00524584	0.0205302	0.00499326	0.000389432	0.00385724	0.00717122	0.0108614	0.000654348	0.00103606	0.00200608	0.000888915	0.00131968	0.00350294	0.000294423	0.0563785	0.00271806	0.000257577	0.000793083	0.0073953	0.000349231	0.017378	0.00105245	0.00749455	0.00138847	0.00150201	0.00320613	0.00146767	0.00220805	0.00109576	0.00156961	0.010286	0.00697858	0.5347687
84	-372.8238	-638.5729	265.7491	0.830943	0.0102294	0.00133931	0.00733781	0.00474822	0.00260585	0.00451959	0.00035249	0.00349133	0.00649095	0.00983106	0.000592276	0.0068784	0.00181578	0.000804591	0.0011945	0.00237409	0.000266494	0.0510303	0.00246022	0.000443335	0.00071785	0.00331867	0.000316102	0.0157295	0.000952616	0.00233119	0.00125676	0.00135953	0.00290199	0.00132845	0.00199859	0.000991819	0.00142071	0.00931025	0.00631658	0.6209255
90	-358.1482	-623.9005	265.7523	0.824014	0.0101441	0.00132814	0.00727662	0.00470862	0.00258412	0.0044819	0.00034955	0.00346222	0.00643682	0.00974908	0.000587337	0.00682104	0.00476964	0.00160793	0.00118453	0.00235429	0.000264271	0.0506048	0.0024397	0.0013501	0.000234743	0.003291	0.000286307	0.0155983	0.000944671	0.00605922	0.00124628	0.00134819	0.00287952	0.0017224	0.00198192	0.000983548	0.00140887	0.00923261	0.0062639	0.6124298
96	-371.5034	-637.2595	265.7562	0.816555	0.0100523	0.00123761	0.00721075	0.004666	0.00182923	0.00444134	0.000197106	0.00343088	0.00637856	0.00966084	0.000717627	0.0067593	0.00472647	0.000682496	0.00117381	0.00233298	0.000261879	0.0501467	0.0137599	0.000846768	0.000167224	0.00326121	0.000283715	0.0154572	0.000936121	0.00600438	0.001235	0.00133599	0.00285346	0.00170681	0.00196398	0.000974645	0.00139611	0.00914904	0.00620721	0.6014229
102	-370.1926	-635.9291	265.7365	0.815347	0.0100374	0.00123578	0.00720009	0.0046591	0.00182652	0.00397835	0.000196814	0.00342581	0.00636912	0.00964655	0.00122136	0.0067493	0.00471948	0.000681487	0.00117208	0.00232953	0.000583588	0.0500725	0.0137395	0.000845516	0.000166977	0.00325639	0.00043619	0.0154343	0.0014665	0.0059955	0.00123317	0.00133401	0.00284924	0.00170429	0.0011804	0.00217802	0.00139405	0.00913551	0.00619802	0.6504585
108	-367.1389	-632.8358	265.6969	0.821571	0.010114	0.00124521	0.00725505	0.00469466	0.00184046	0.00400871	0.000451227	0.00345196	0.00298684	0.00972018	0.00123068	0.00099902	0.00273614	0.000686689	0.00118102	0.00234732	0.000588042	0.0504548	0.0138444	0.00166647	0.000504102	0.00328124	0.00043952	0.0155521	0.00147769	0.00604126	0.00119259	0.00134419	0.00287099	0.0017173	0.00350625	0.00214325	0.00140469	0.00920524	0.00624534	0.7233803
114	-361.8669	-627.5687	265.7018	0.816692	0.010054	0.00123781	0.00721196	0.00466678	0.00182953	0.00398491	0.000448547	0.00343145	0.0029691	0.00966245	0.00122337	0.000993087	0.00271989	0.00146008	0.00117401	0.00191173	0.00058455	0.0501551	0.0137622	0.00165657	0.000501109	0.00326175	0.000436909	0.0154597	0.00146892	0.0101611	0.000729255	0.00351148	0.00285393	0.0017071	0.00348543	0.00213052	0.00110503	0.00915057	0.00620824	0.7153533
120	-371.466	-637.2128	265.7468	0.814789	0.0100306	0.00168199	0.00719516	0.00465591	0.00182527	0.00397562	0.000447502	0.00342346	0.00296218	0.00963994	0.00122052	0.000990773	0.00271355	0.00145668	0.00117127	0.00136607	0.000583188	0.0500383	0.0137301	0.00165271	0.00234286	0.00325416	0.00101661	0.0154237	0.0014655	0.0101374	0.000727556	0.0035033	0.00284729	0.00170312	0.00347731	0.00212556	0.00110246	0.00912925	0.00619378	0.6266156
126	-370.3253	-636.0893	265.764	0.821849	0.0101175	0.00169656	0.00452931	0.00469625	0.00184109	0.00401007	0.000451379	0.00345312	0.00298785	0.00972347	0.0012311	0.000999358	0.00273707	0.0014693	0.00118142	0.00137791	0.000588241	0.0303415	0.0138491	0.00166703	0.00236316	0.00328235	0.00102542	0.0301278	0.00147819	0.0102253	0.00073386	0.00353366	0.00287196	0.00171788	0.00350743	0.00176763	0.00111201	0.00920835	0.00624745	0.5752616
132	-370.6527	-636.4255	265.7729	0.808491	0.00995301	0.00166899	0.0044557	0.00461992	0.00181116	0.00191859	0.000444043	0.00451346	0.00247628	0.00956542	0.00265866	0.00107362	0.00269258	0.00144542	0.00116222	0.00135551	0.000522221	0.0298483	0.013624	0.00163993	0.00232475	0.003229	0.00100875	0.0296381	0.00145417	0.0262042	0.000721932	0.00347622	0.00282528	0.00168995	0.00345043	0.0017389	0.00109394	0.00905868	0.0061459	0.5272088
138	-363.1993	-628.91	265.7107	0.812121	0.00999771	0.00167648	0.0044757	0.00464066	0.00181929	0.00388331	0.000446036	0.00453372	0.0024874	0.00960837	0.00152038	0.00107844	0.00270467	0.00145191	0.00116744	0.00124638	0.000524566	0.0299823	0.0136852	0.0016473	0.00233519	0.0032435	0.00101328	0.0297712	0.0014607	0.0263219	0.000725174	0.00349183	0.00283796	0.00221622	0.00346592	0.00174671	0.000225531	0.00909936	0.00134721	0.7000998
144	-368.815	-634.5257	265.7107	0.805822	0.00992016	0.00166348	0.00444099	0.00978524	0.00180518	0.00385319	0.000442577	0.00225853	0.00246811	0.00953385	0.00150859	0.00505502	0.00406074	0.00144065	0.00115838	0.00123671	0.000520497	0.0297498	0.013579	0.00108871	0.00231707	0.00321834	0.00100542	0.0295403	0.00144937	0.0261177	0.000719549	0.00346474	0.00281595	0.00219903	0.00343903	0.00173316	0.000223782	0.00902877	0.00133676	0.7000998
150	-373.3678	-639.0615	265.6938	0.806221	0.00992507	0.0016643	0.00444319	0.00979008	0.00180608	0.0038551	0.000442796	0.00225965	0.00246933	0.00953857	0.000263326	0.00505752	0.00406275	0.00144136	0.00115896	0.00123733	0.000520755	0.0297645	0.0135857	0.00108925	0.00306886	0.00321994	0.00100592	0.0295549	0.00145008	0.0261306	0.000719905	0.00346646	0.00281734	0.00220012	0.00344074	0.00173402	0.000223892	0.00903325	0.00133742	0.7283819
156	-368.6151	-634.3632	265.748	0.802551	0.00987989	0.00165673	0.00442296	0.00974551	0.00279137	0.00383755	0.000140938	0.00224936	0.00366413	0.00949514	0.000262127	0.0050345	0.00404426	0.0014348	0.00115368	0.00123169	0.00172676	0.029629	0.0135239	0.00108429	0.00172003	0.00320528	0.00364264	0.0294204	0.00144348	0.0260117	0.000997368	0.00345068	0.00266172	0.0021901	0.00342507	0.00172612	0.000222873	0.00899212	0.00133133	0.6235238
