Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-343.0418	-514.4904	171.4486	0.49214	2.055526
6	-336.8506	-508.384	171.5334	0.4073824	2.055526
12	-334.8081	-506.0953	171.2872	1.136834	1.726715
18	-343.258	-513.3553	170.0973	1.052083	2.561198
24	-342.9007	-513.585	170.6843	1.223709	2.07715
30	-341.6184	-512.2928	170.6744	1.070771	2.183554
36	-342.7782	-514.7237	171.9456	0.5734623	1.659316
42	-344.2765	-514.3195	170.0431	1.529837	2.294426
48	-339.2158	-510.358	171.1422	1.205548	1.780096
54	-327.9033	-498.741	170.8378	1.475215	1.804216
60	-336.1672	-505.9109	169.7437	1.475215	2.517916
66	-338.9876	-509.5368	170.5493	0.833465	2.41516
72	-334.096	-504.8756	170.7797	0.8026713	2.288397
78	-347.391	-516.9639	169.5729	1.924628	2.342496
84	-349.1444	-519.3676	170.2232	1.689591	2.074001
90	-340.4366	-510.3028	169.8662	1.604524	2.359477
96	-352.4803	-522.5955	170.1152	1.638836	2.177778
102	-336.5114	-508.0208	171.5094	0.9869313	1.675538
108	-339.7924	-510.966	171.1736	1.367498	1.643516
114	-341.3547	-512.1332	170.7784	0.7365988	2.331347
120	-337.698	-507.4502	169.7521	1.241423	2.657568
126	-330.8306	-499.898	169.0674	1.971341	2.629692
132	-345.795	-516.549	170.754	1.105381	2.109099
138	-334.6685	-504.2467	169.5782	1.246838	2.760925
144	-346.5078	-516.2743	169.7664	1.681314	2.37406
150	-352.2349	-523.3764	171.1415	1.156734	1.814382
156	-347.7583	-519.3927	171.6344	1.00597	1.571439
162	-351.8786	-521.4215	169.5429	1.296616	2.752041
168	-334.8979	-504.8272	169.9293	1.310728	2.50474
174	-337.1857	-507.8632	170.6775	1.310728	2.024088
180	-350.1304	-520.7411	170.6106	1.310728	2.06833
186	-349.8584	-520.1884	170.33	1.066341	2.406573
192	-348.8736	-520.2304	171.3567	0.8206732	1.897117
198	-333.4755	-504.4278	170.9523	1.338647	1.819433
204	-330.7231	-502.0521	171.329	0.8772985	1.877449
210	-330.8469	-501.2898	170.4429	0.9091822	2.434455
216	-332.2943	-501.9428	169.6484	1.955914	2.27431
222	-340.9737	-511.5883	170.6147	0.7590841	2.42082
228	-349.2758	-520.655	171.3792	1.16698	1.639864
