Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
654	-77.317	-248.7961	171.4791	1.387776	1.400685
660	-88.75677	-259.7684	171.0117	0.907801	2.069579
666	-88.50396	-259.3397	170.8357	1.083726	2.069579
672	-93.39513	-263.8098	170.4146	2.015482	1.722462
678	-95.45278	-265.8174	170.3647	1.565358	2.062621
684	-88.67142	-259.8976	171.2262	1.711701	1.344824
690	-106.9191	-276.9209	170.0019	2.606569	1.594805
696	-86.11878	-256.3144	170.1956	3.193057	0.9407904
702	-79.90242	-250.3983	170.4959	2.12208	1.587849
708	-89.92975	-260.619	170.6893	1.11178	2.147201
714	-99.8956	-270.7559	170.8603	1.362856	1.865965
720	-88.98856	-260.4479	171.4594	1.591289	1.253124
726	-98.88955	-269.4212	170.5316	2.281626	1.442068
732	-89.69673	-260.591	170.8942	1.433887	1.793725
738	-100.8139	-272.2206	171.4067	0.9778369	1.754477
744	-100.9152	-271.3295	170.4142	1.334462	2.181234
750	-89.66127	-260.5548	170.8936	1.967594	1.405128
756	-89.08505	-259.6303	170.5453	1.961891	1.667826
762	-85.47794	-256.2553	170.7774	2.294731	1.235189
768	-81.27955	-252.0059	170.7263	1.512052	1.855528
774	-81.29718	-252.519	171.2218	1.592109	1.441514
780	-85.89253	-257.0361	171.1436	1.624583	1.476342
786	-81.29007	-252.1358	170.8458	2.185699	1.269048
792	-79.07146	-250.3367	171.2653	1.906043	1.149756
798	-85.01477	-256.1017	171.0869	1.725263	1.442856
804	-93.15888	-264.6224	171.4635	1.348658	1.442856
810	-104.2367	-275.0557	170.819	1.197582	2.005238
816	-85.25365	-256.17	170.9164	1.684789	1.600101
822	-95.19156	-266.45	171.2585	1.612489	1.397496
828	-92.22032	-263.9994	171.779	0.8912941	1.549408
834	-94.26585	-265.1083	170.8424	2.024807	1.400414
840	-89.48565	-259.8411	170.3554	3.135148	0.82288
846	-90.19858	-259.4245	169.2259	4.264696	0.82288
852	-95.7314	-266.5222	170.7908	1.667499	1.702562
858	-87.40466	-257.4008	169.9962	3.302966	1.031664
864	-91.38991	-261.0391	169.6492	3.886672	0.7614221
870	-89.44158	-258.9278	169.4863	4.068141	0.7334397
876	-91.43654	-262.5012	171.0647	2.300494	0.9654774
882	-91.7233	-262.8332	171.1099	1.845961	1.330486
888	-81.86861	-251.939	170.0704	2.900204	1.318664
894	-90.91706	-262.3505	171.4334	1.372958	1.447282
900	-93.16984	-264.8568	171.6869	1.407499	1.216358
906	-93.8999	-264.5053	170.6054	1.619886	1.864496
912	-93.34105	-263.8401	170.499	1.987682	1.682406
918	-95.81915	-266.5457	170.7266	1.98213	1.520967
924	-88.53949	-259.3148	170.7754	1.98213	1.48441
930	-100.7559	-271.2843	170.5283	1.239138	2.16904
936	-98.98349	-269.8437	170.8602	1.788394	1.565414
942	-95.99279	-266.2213	170.2285	2.740541	1.319866
948	-99.02901	-270.056	171.027	1.628589	1.560293
954	-107.8089	-278.0896	170.2807	2.118424	1.744272
960	-91.07066	-262.231	171.1603	1.62493	1.4634
966	-96.05655	-267.5588	171.5022	1.473149	1.314788
972	-90.032	-261.1626	171.1306	1.803856	1.347554
978	-87.5441	-258.7856	171.2415	1.6156	1.408245
984	-90.76256	-262.1621	171.3995	1.61901	1.279708
990	-93.6861	-264.4385	170.7524	2.39035	1.174813
996	-87.87298	-259.1182	171.2452	1.540351	1.463133
1002	-91.05378	-261.755	170.7012	2.231505	1.348969
1008	-83.94159	-254.4094	170.4678	2.947539	0.911818
1014	-82.01922	-253.0903	171.0711	1.78736	1.407244
1020	-83.24301	-254.2158	170.9728	1.871066	1.418494
1026	-81.35572	-252.3562	171.0005	1.871066	1.397046
1032	-85.72062	-256.5253	170.8047	2.066837	1.397046
1038	-91.11843	-262.1121	170.9937	2.026539	1.278307
1044	-87.66868	-258.1805	170.5118	1.889747	1.742527
1050	-94.54528	-265.7441	171.1988	1.684401	1.387973
1056	-78.21317	-248.983	170.7699	2.098707	1.399372
1062	-75.80754	-246.5809	170.7734	2.214886	1.304383
1068	-74.81952	-245.5509	170.7314	1.619304	1.77803
1074	-81.6171	-252.8341	171.217	1.714319	1.350044
1080	-86.60452	-258.009	171.4045	1.731923	1.180367
1086	-94.93701	-266.0261	171.0891	1.874154	1.324551
1092	-86.03107	-256.9781	170.947	1.436078	1.755449
1098	-85.61786	-256.3972	170.7793	1.697522	1.689402
