Iteration	Posterior	Likelihood	Prior	tree_length
792	-1439.355	-1606.271	166.916	5.013759
798	-1441.176	-1608.123	166.9465	4.996814
804	-1434.407	-1601.716	167.3097	4.794532
810	-1444.526	-1612.227	167.7015	4.575242
816	-1446.692	-1613.905	167.213	4.848458
822	-1433.536	-1601.322	167.786	4.52777
828	-1440.382	-1607.404	167.0221	4.95474
834	-1445.36	-1612.451	167.0908	4.916525
840	-1429.9	-1597.233	167.3328	4.781623
846	-1441.793	-1609.519	167.7265	4.561206
852	-1436.04	-1602.57	166.5291	5.228104
858	-1428.438	-1595.711	167.2731	4.81495
864	-1422.918	-1589.453	166.5348	5.224959
870	-1422.758	-1590.146	167.3881	4.750726
876	-1427.539	-1595.625	168.0859	4.358772
882	-1429.675	-1596.211	166.5357	5.224487
888	-1431.414	-1598.603	167.1895	4.861571
894	-1439.232	-1605.774	166.5419	5.221024
900	-1439.357	-1606.525	167.168	4.87353
906	-1435.865	-1603.251	167.3867	4.751536
912	-1442.568	-1609.092	166.523	5.231465
918	-1437.548	-1605.197	167.6488	4.6048
924	-1430.214	-1598.044	167.8292	4.503468
930	-1431.273	-1599.056	167.7839	4.528943
936	-1434.641	-1601.6	166.9591	4.989777
942	-1441.042	-1607.75	166.7076	5.12933
948	-1449.21	-1615.249	166.0384	5.498702
954	-1465.219	-1632.206	166.987	4.974264
960	-1446.767	-1613.275	166.508	5.239754
966	-1447.823	-1614.965	167.1419	4.888093
972	-1444.16	-1611.292	167.1327	4.893213
978	-1442.679	-1609.811	167.1327	4.893213
984	-1444.615	-1611.206	166.5912	5.193798
990	-1437.288	-1604.647	167.3593	4.766837
996	-1436.228	-1603.56	167.3323	4.781935
1002	-1432.471	-1598.702	166.2309	5.39271
1008	-1432.104	-1598.385	166.281	5.365115
1014	-1435.168	-1602.486	167.3184	4.78968
1020	-1443.386	-1609.584	166.1978	5.410956
1026	-1439.657	-1606.932	167.2741	4.814372
1032	-1440.178	-1607.426	167.2481	4.828885
1038	-1439.003	-1605.778	166.7753	5.091793
1044	-1436.304	-1603.164	166.8603	5.044647
1050	-1431.728	-1598.619	166.8902	5.028064
1056	-1442.551	-1609.441	166.8902	5.028064
1062	-1433.395	-1600	166.6049	5.186196
1068	-1445.202	-1612.945	167.7421	4.552438
1074	-1437.651	-1604.153	166.5027	5.242721
1080	-1433.531	-1600.335	166.8033	5.076254
1086	-1432.375	-1599.27	166.8945	5.025652
1092	-1436.399	-1603.786	167.3872	4.75124
1098	-1442.752	-1610.601	167.8481	4.492824
1104	-1444.994	-1612.076	167.0817	4.921591
1110	-1434.164	-1600.836	166.672	5.149062
1116	-1445.156	-1612.987	167.8308	4.502573
1122	-1437.431	-1604.89	167.459	4.7111
1128	-1439.803	-1607.262	167.459	4.7111
1134	-1448.408	-1615.736	167.3279	4.784388
1140	-1434.269	-1600.676	166.4073	5.2954
1146	-1445.717	-1613.226	167.5083	4.683493
1152	-1456.811	-1625.019	168.2078	4.289856
1158	-1434.762	-1601.569	166.807	5.074237
1164	-1428.04	-1594.678	166.6379	5.167924
1170	-1432.967	-1600.488	167.5218	4.675972
1176	-1439.392	-1606.233	166.8416	5.055052
1182	-1446.655	-1613.81	167.1548	4.880911
1188	-1432.484	-1599.379	166.8942	5.025826
1194	-1440.621	-1606.864	166.2434	5.385849
1200	-1431.191	-1597.961	166.7694	5.095106
1206	-1429.62	-1596.357	166.737	5.113057
1212	-1427.558	-1595.009	167.4504	4.7159
1218	-1433.178	-1600.629	167.4504	4.7159
1224	-1429.39	-1596.71	167.3201	4.788699
1230	-1425.564	-1591.9	166.3361	5.334685
1236	-1439.813	-1606.743	166.9306	5.005642
1242	-1430.74	-1597.7	166.96	4.989285
1248	-1429.043	-1595.903	166.8596	5.045055
1254	-1429.232	-1595.753	166.5207	5.232734
1260	-1431.107	-1597.628	166.5207	5.232734
1266	-1429.993	-1596.609	166.616	5.18003
1272	-1430.826	-1598.087	167.2613	4.821521
1278	-1417.914	-1585.296	167.3818	4.754278
1284	-1431.813	-1598.871	167.0574	4.935148
1290	-1440.593	-1608.109	167.5159	4.679273
1296	-1444.708	-1611.325	166.6167	5.179654
1302	-1438.758	-1606.451	167.6935	4.579731
1308	-1442.23	-1608.919	166.6899	5.13915
1314	-1433.784	-1600.677	166.893	5.026514
1320	-1442.434	-1609.696	167.262	4.821159
1326	-1435.329	-1602.814	167.4851	4.696484
1332	-1436.821	-1604.045	167.2241	4.842296
