Iteration	Posterior	Likelihood	Prior	tree_length
0	-312.6324	-478.3057	165.6734	5.699115
6	-325.2694	-490.7153	165.4459	5.823641
12	-307.7263	-473.1611	165.4349	5.829692
18	-310.5361	-475.2986	164.7625	6.196386
24	-311.2403	-477.4911	166.2508	5.381731
30	-318.6894	-483.889	165.1995	5.958268
36	-305.7003	-470.8998	165.1995	5.958268
42	-292.1552	-458.0164	165.8612	5.596099
48	-299.8199	-466.8081	166.9882	4.973597
54	-303.136	-468.4492	165.3132	5.896184
60	-311.8777	-478.0162	166.1385	5.443628
66	-317.7781	-483.0684	165.2903	5.908705
72	-307.0253	-473.0142	165.9888	5.525952
78	-299.0893	-464.566	165.4767	5.8068
84	-310.9849	-477.6204	166.6354	5.169288
90	-315.9518	-481.7272	165.7754	5.643179
96	-325.8949	-490.2986	164.4036	6.391286
102	-301.2399	-469.4637	168.2238	4.280809
108	-305.1232	-471.6867	166.5635	5.209107
114	-315.0976	-479.8519	164.7543	6.200826
120	-313.4509	-478.4988	165.0479	6.040986
126	-311.4128	-477.9013	166.4885	5.250578
132	-315.4623	-480.4824	165.0201	6.056121
138	-307.1799	-472.2	165.0201	6.056121
144	-323.1833	-488.3614	165.178	5.970008
150	-316.6732	-481.8513	165.178	5.970008
156	-309.1227	-474.3383	165.2156	5.949479
162	-302.0989	-468.3664	166.2675	5.372553
168	-311.2521	-477.88	166.628	5.173428
174	-304.6733	-471.288	166.6147	5.180761
180	-308.6714	-475.152	166.4806	5.254944
186	-302.0038	-468.2892	166.2854	5.362698
192	-299.3629	-463.7286	164.3657	6.411856
198	-295.9713	-463.5929	167.6216	4.620051
204	-294.2106	-460.4644	166.2538	5.380088
210	-309.8265	-476.1813	166.3548	5.324392
216	-311.1471	-478.0593	166.9123	5.015813
222	-303.0941	-468.7284	165.6343	5.720512
228	-295.1188	-461.7108	166.592	5.193337
234	-322.5523	-486.7352	164.1829	6.510936
240	-325.3963	-491.9849	166.5885	5.195249
246	-311.0344	-476.3671	165.3327	5.885541
252	-306.2127	-471.5454	165.3327	5.885541
258	-300.2649	-467.9446	167.6797	4.587468
264	-301.7147	-465.282	163.5673	6.843655
270	-291.9049	-458.6215	166.7166	5.124333
276	-296.3684	-461.2014	164.833	6.158003
282	-291.3865	-457.2577	165.8712	5.590596
288	-282.6311	-449.1956	166.5645	5.208517
294	-283.3773	-451.6567	168.2795	4.249292
300	-293.5669	-460.6623	167.0954	4.913995
306	-300.7011	-467.2426	166.5416	5.221219
312	-297.8026	-462.8162	165.0136	6.05967
318	-314.949	-481.5025	166.5535	5.21464
324	-298.4689	-465.2417	166.7728	5.093168
330	-297.1299	-464.1562	167.0263	4.952423
336	-298.8301	-465.4154	166.5853	5.197028
342	-300.5686	-467.561	166.9924	4.971303
348	-299.5345	-466.4278	166.8933	5.026334
354	-303.7016	-470.1653	166.4637	5.264236
360	-301.9385	-467.3892	165.4507	5.821029
366	-293.7196	-461.3106	167.591	4.637188
372	-297.4058	-464.4316	167.0258	4.95271
378	-301.8787	-467.5414	165.6627	5.704962
384	-293.4236	-459.1176	165.694	5.687822
390	-301.9938	-467.6877	165.694	5.687822
396	-301.9813	-465.9009	163.9196	6.653407
402	-307.7554	-472.3778	164.6224	6.272527
408	-305.3232	-472.8611	167.5379	4.666949
414	-299.5496	-466.2406	166.691	5.138515
420	-295.9758	-462.2106	166.2348	5.390586
426	-289.8143	-457.1797	167.3654	4.763441
432	-296.8979	-464.7276	167.8297	4.503188
438	-292.3308	-460.1605	167.8297	4.503188
444	-292.2314	-458.9573	166.7259	5.119178
450	-291.6439	-458.3316	166.6877	5.140343
456	-294.1039	-461.205	167.1011	4.91082
462	-292.5318	-458.6562	166.1244	5.451368
468	-292.7172	-459.2101	166.4929	5.248102
474	-297.2632	-464.2421	166.9789	4.978786
480	-303.7219	-470.821	167.0991	4.911924
486	-298.144	-463.0719	164.9279	6.10633
492	-306.0517	-471.7984	165.7467	5.658911
498	-305.2738	-471.0694	165.7956	5.632067
504	-303.4572	-467.8892	164.432	6.375902
510	-301.7431	-468.0195	166.2764	5.367629
516	-305.4607	-471.7371	166.2764	5.367629
522	-299.2061	-466.7106	167.5046	4.685615
528	-296.716	-462.5695	165.8535	5.60028
534	-291.4226	-458.9711	167.5485	4.660981
540	-299.0588	-466.5615	167.5027	4.686639
546	-307.1207	-473.1047	165.9839	5.528659
552	-321.8052	-487.9367	166.1315	5.447459
558	-333.7361	-499.277	165.5409	5.771668
564	-307.9002	-473.5748	165.6746	5.698453
570	-311.7774	-476.5195	164.7421	6.207478
576	-311.4944	-475.5412	164.0468	6.584636
582	-308.9655	-474.6112	165.6457	5.71426
588	-310.2327	-477.138	166.9053	5.019683
594	-320.1337	-484.6386	164.505	6.336312
600	-314.9531	-482.8004	167.8473	4.493291
606	-320.882	-485.9495	165.0675	6.030262
612	-325.652	-491.0181	165.3661	5.8673
618	-328.0806	-493.4467	165.3661	5.8673
624	-328.1284	-493.4945	165.3661	5.8673
630	-322.1979	-486.3292	164.1313	6.53887
636	-318.0321	-481.8428	163.8107	6.712275
642	-319.3846	-485.2666	165.8821	5.584617
648	-311.2188	-475.7078	164.489	6.344971
