Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-1274.053	-1429.701	155.6481	1.462369	10.27525
6	-1268.848	-1424.097	155.2485	1.862004	10.27525
12	-1265.326	-1420.712	155.3859	1.724616	10.27525
18	-1259.711	-1415.603	155.8917	1.739575	10.00135
24	-1274.844	-1431.73	156.886	1.489349	9.609328
30	-1269.164	-1425.17	156.0067	1.489349	10.07251
36	-1270.762	-1428.328	157.5655	1.489349	9.250571
42	-1283.585	-1440.929	157.3441	1.680833	9.266352
48	-1283.741	-1440.847	157.1057	1.877714	9.288287
54	-1268.954	-1427.099	158.1444	1.642554	8.863092
60	-1266.642	-1421.712	155.0694	1.868604	10.36589
66	-1278.863	-1434.303	155.4396	1.708596	10.25543
72	-1272.412	-1427.854	155.4419	1.834322	10.18815
78	-1278.57	-1433.905	155.3353	1.689309	10.32041
84	-1271.35	-1425.512	154.162	1.780227	10.88836
90	-1275.906	-1430.844	154.9383	1.782818	10.47979
96	-1264.415	-1419.833	155.4184	1.673726	10.28492
102	-1268.103	-1421.135	153.0329	1.945822	11.39279
108	-1265.278	-1422.311	157.0331	1.56836	9.490016
114	-1273.487	-1429.298	155.8115	1.87439	9.972643
120	-1260.802	-1416.72	155.9181	1.767746	9.972643
126	-1258.795	-1412.958	154.1634	1.916472	10.81622
132	-1271.939	-1425.023	153.0847	1.910304	11.38428
138	-1255.572	-1413.073	157.5008	1.733581	9.155649
144	-1269.85	-1425.634	155.7842	1.887645	9.980004
150	-1265.584	-1420.092	154.508	1.857602	10.66638
156	-1255.806	-1411.483	155.6769	1.835688	10.06382
162	-1281.386	-1440.378	158.9914	1.615632	8.427881
168	-1264.631	-1421.476	156.8446	1.687992	9.526396
174	-1263.445	-1416.715	153.27	1.687992	11.4036
180	-1263.796	-1416.728	152.9323	1.97322	11.43103
186	-1261.885	-1420.797	158.9118	1.628121	8.463565
192	-1262.871	-1417.927	155.0563	1.628121	10.49907
198	-1265.538	-1419.869	154.3306	1.87065	10.75258
204	-1267.611	-1421.374	153.7627	1.850648	11.06064
210	-1273.412	-1427.034	153.6228	1.786797	11.16732
216	-1275.614	-1429.321	153.7071	1.946925	11.03938
222	-1279.413	-1436.126	156.7128	1.934746	9.465713
228	-1281.836	-1438.563	156.7263	1.713899	9.575131
234	-1276.493	-1432.705	156.2126	1.842041	9.778416
240	-1262.985	-1418.167	155.1824	1.896075	10.29208
246	-1258.241	-1411.369	153.1281	1.784565	11.42731
252	-1273.951	-1427.519	153.5675	1.766572	11.20685
258	-1283.344	-1437.751	154.4066	1.766572	10.76732
264	-1290.297	-1444.93	154.6331	1.568306	10.75252
270	-1280.374	-1435.376	155.0016	1.799853	10.43763
276	-1267.996	-1424.475	156.4794	1.565896	9.783342
282	-1264.62	-1420.46	155.84	1.652028	10.07463
288	-1272.761	-1428.339	155.5777	1.916412	10.07355
294	-1284.528	-1436.377	151.8493	2.041671	11.96096
300	-1274.069	-1430.186	156.1169	1.836204	9.83191
306	-1264.024	-1421.727	157.7024	1.562469	9.139525
312	-1275.662	-1434.341	158.6795	1.687299	8.555513
318	-1276.918	-1433.314	156.3959	1.488023	9.868322
324	-1270.205	-1427.069	156.864	1.625379	9.549154
330	-1266.911	-1420.321	153.4093	1.911075	11.21406
