Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1217.474	-1380.08	162.606	0.7974983	0.9063131	5.226731	5.149594	0.1558711	0.2636474	0.4490984	0.6447449
6	-1223.615	-1388.168	164.5531	1.111162	0.9063131	3.841391	3.984898	0.1780031	0.1409928	0.5675496	1.001827
12	-1221.967	-1385.998	164.0316	1.274325	1.066634	3.841391	4.06772	0.158835	0.06166489	0.677534	1.103055
18	-1202.696	-1367.689	164.9934	0.974787	0.8471277	3.154404	4.092448	0.2684801	0.1314897	0.6581253	1.153518
24	-1219.775	-1385.445	165.6702	0.7030641	0.8273619	3.297974	3.545308	0.1949764	0.3297053	0.573392	1.127869
30	-1213.871	-1377.262	163.3914	1.175576	1.030983	4.033341	4.47523	0.2062503	0.1145641	0.573392	1.25695
36	-1203.383	-1369.284	165.9006	0.8516307	0.9422173	2.661012	3.654654	0.1032522	0.21116	0.5467861	1.360504
42	-1203.803	-1369.744	165.9409	0.9090205	1.073986	2.279906	3.521361	0.1593333	0.2051772	0.5015241	1.573636
48	-1203.309	-1369.228	165.9184	0.6768656	1.208118	3.744917	2.750439	0.2377691	0.1273398	0.4185023	1.180395
54	-1208.612	-1372.353	163.7403	0.7940406	0.8859021	3.786619	4.743652	0.64048	0.1574833	0.2141567	1.285876
60	-1204.041	-1367.963	163.9216	0.7997091	0.9851802	3.417805	4.743652	0.6741857	0.1741155	0.1471412	1.365908
66	-1202.406	-1365.235	162.8296	0.7997091	1.140002	3.814368	5.006432	0.9120632	0.2271287	0.1683422	1.339085
72	-1209.158	-1370.579	161.4209	1.283462	1.135368	3.588523	5.763	0.9698138	0.3113029	0.2812766	1.454721
78	-1218.814	-1379.351	160.5371	1.226885	1.00142	3.524489	6.642564	1.070523	0.2731991	0.2812766	1.599399
84	-1215.706	-1377.233	161.5273	1.135807	1.107148	2.727264	6.642564	1.158814	0.1128904	0.2749657	1.503277
90	-1217.579	-1383.691	166.1121	1.032191	1.137015	2.229981	3.353037	0.6243476	0.1194851	0.1310638	1.463579
96	-1204.149	-1369.402	165.2528	1.267773	0.9803873	2.231252	4.360015	0.6243476	0.1604412	0.1310638	1.25215
102	-1216.47	-1380.17	163.7005	1.535038	0.8556492	2.463016	3.722281	0.8835069	0.1233644	0.2174203	2.319974
108	-1216.464	-1380.652	164.1888	1.535038	0.931748	2.706262	3.293239	0.6635101	0.1693429	0.1243863	2.248977
114	-1215.16	-1376.614	161.4542	1.157942	1.021801	3.212383	4.909997	0.8231279	0.2148829	0.2158399	2.61923
120	-1228.705	-1391.494	162.7897	0.9801891	0.981634	3.633642	3.534768	0.9655102	0.09115328	0.1775683	2.529531
126	-1223.743	-1386.642	162.8994	1.037086	0.8872649	2.738727	4.766568	0.601539	0.1421883	0.08919359	2.524505
132	-1221.018	-1385.778	164.7599	0.6953418	0.9457101	3.077785	3.386187	0.6967147	0.1813921	0.1867588	2.027416
138	-1214.882	-1380.25	165.3684	1.045076	0.9457101	3.077785	3.386187	0.6270206	0.1613189	0.2224497	1.390417
144	-1216.957	-1380.209	163.2518	1.332683	1.005821	4.326745	4.205929	0.5720583	0.1255953	0.1713266	1.267049
150	-1203.866	-1368.355	164.4886	1.280497	1.006051	3.594916	3.89228	0.5720583	0.1020917	0.08937568	1.23758
156	-1205.121	-1369.701	164.5802	1.016031	1.037837	4.420785	3.220971	0.3039607	0.0683533	0.4098706	1.208076
162	-1211.52	-1374.841	163.3209	1.349236	0.9460343	4.870926	3.606283	0.1567506	0.161528	0.7178323	1.15025
168	-1201.776	-1366.233	164.457	0.9468404	0.9460343	5.436071	2.904449	0.1021797	0.1078193	0.5899868	0.7604611
174	-1208.926	-1373.595	164.6697	1.049373	1.015257	4.253753	3.477691	0.09120201	0.08835024	0.6432902	0.9966029
180	-1218.838	-1380.768	161.93	1.012457	0.8182525	3.169116	1.260465	0.1475426	0.4172928	6.722046	0.7775857
186	-1221.191	-1381.626	160.4349	0.905214	1.027027	3.245398	1.393963	0.1673012	0.3026974	7.74743	1.059403
192	-1216.509	-1380.441	163.9322	1.393971	1.190191	6.176852	1.59484	0.06847887	0.07153867	0.3096082	1.470251
198	-1213.628	-1379.123	165.4945	1.506012	1.131308	3.571356	1.73398	0.1531457	0.06963356	0.275571	2.037097
204	-1219.14	-1384.21	165.0697	1.004295	0.835782	4.238861	2.177298	0.1162853	0.05152019	0.3621066	2.080514
210	-1220.332	-1386.05	165.7182	1.968488	1.273215	2.641847	1.768054	0.1100481	0.07914819	0.3621066	2.080514
216	-1220.311	-1385.976	165.6645	1.025246	1.202676	2.415894	1.964618	0.08045741	0.04194337	0.408185	2.746515
222	-1221.717	-1386.641	164.9234	2.205978	0.972518	2.610881	2.119644	0.1397239	0.06945947	0.2410333	2.512883
228	-1215.264	-1381.145	165.8804	1.098269	0.7761411	4.058032	2.244511	0.1311695	0.06552553	0.2684534	1.621936
234	-1214.564	-1378.037	163.4729	0.5540844	0.8858574	4.021736	4.524758	0.3035892	0.1501596	0.581731	1.621936
240	-1214.702	-1376.945	162.2437	1.599472	1.02178	2.513599	5.001747	0.1859045	0.397753	0.7348372	2.196342
246	-1219.458	-1381.773	162.3152	1.078278	0.9082035	1.831989	5.258397	0.1991756	0.2820165	0.9307484	2.745559
252	-1234.13	-1396.063	161.9338	1.12289	1.079893	2.247067	5.031149	0.1756922	0.2329865	0.8947855	2.798088
258	-1218.658	-1380.852	162.1942	1.12289	1.079893	3.703393	3.884801	0.1204559	0.2329865	0.7026908	2.59981
264	-1207.655	-1369.419	161.7649	1.028063	0.9090217	3.2892	4.122885	0.2814872	0.1212128	0.5967886	3.161188
270	-1210.679	-1374.146	163.4668	2.260375	1.29351	2.134748	3.036888	0.1270052	0.09999912	0.5248353	2.730364
276	-1220.035	-1384.442	164.4073	1.299656	1.017286	2.134748	3.966939	0.1521204	0.1816829	0.4388498	2.250453
282	-1209.119	-1372.808	163.6884	1.299656	1.057115	3.268946	3.517313	0.1317544	0.1673657	0.4110769	2.287001
288	-1209.501	-1373.324	163.8232	1.115932	0.951401	4.079083	3.729407	0.1222108	0.1673657	0.9266299	1.326218
294	-1224.373	-1386.845	162.4718	0.7786976	0.9841096	4.605462	4.844443	0.1722805	0.1049923	0.9508006	1.326218
300	-1219.783	-1383.031	163.2478	0.7697005	0.9346489	3.340433	5.465265	0.3358863	0.1418599	0.8897034	1.147123
306	-1217.816	-1382.635	164.8199	0.8765574	0.8504992	2.642325	4.788197	0.2697948	0.1990932	0.5369154	1.2699
312	-1209.249	-1374.243	164.994	1.354511	1.096012	2.653486	4.106	0.1840571	0.1180124	0.77648	1.007713
318	-1223.806	-1388.47	164.6639	2.196467	0.9631911	2.243327	4.465142	0.117628	0.05856486	0.6691988	1.007713
324	-1218.947	-1385.102	166.1559	1.646711	1.105384	2.215505	3.156716	0.1408663	0.1444889	0.5621809	1.168405
330	-1211.142	-1378.289	167.1469	1.282071	0.8401239	2.215505	3.156716	0.09086199	0.08664573	0.4153464	1.051544
336	-1223.186	-1390.047	166.8619	1.282071	1.067818	2.214994	2.738549	0.06478038	0.09969809	0.4099472	1.465054
342	-1212.74	-1379.028	166.2882	1.209654	1.06824	3.088044	2.465733	0.09605028	0.1273209	0.4000388	1.461163
348	-1201.191	-1367.298	166.1069	1.664096	0.9276566	2.69793	2.79014	0.1443183	0.1147876	0.3430245	1.444632
354	-1200.208	-1365.873	165.6648	1.655401	0.9092016	2.533319	3.440585	0.09117004	0.1253765	0.4663573	1.368408
360	-1204.115	-1370.183	166.068	1.044382	0.8219483	2.916166	3.171523	0.122753	0.1711782	0.5579428	1.358063
366	-1208.675	-1374.273	165.5984	1.428661	1.162018	3.071037	3.169779	0.2027184	0.07912351	0.4395328	1.134495
372	-1224.021	-1387.805	163.7842	1.827898	1.290723	3.533188	3.244688	0.2458961	0.1133047	0.6320675	1.547973
378	-1216.467	-1381.218	164.751	0.580902	1.083266	4.206615	3.20257	0.06243561	0.1602719	0.6320675	1.491089
384	-1214.253	-1379.462	165.209	1.012527	0.8425808	3.039031	0.1984679	0.4356266	0.1120684	3.310243	1.877355
390	-1233.102	-1397.794	164.6923	2.021314	0.9606031	3.212494	0.1466097	0.3606171	0.1075717	3.310243	1.46133
396	-1223.189	-1386.358	163.1693	2.021314	0.9606031	3.212494	0.1392475	0.798662	0.094821	4.599004	1.317819
402	-1213.858	-1377.272	163.4137	2.090981	1.056103	2.756346	0.2204062	0.5124847	0.1169121	4.901823	1.267309
408	-1205.326	-1368.327	163.0013	1.017044	1.280708	4.435643	0.3759525	0.7578924	0.1503087	4.37922	0.8823111
414	-1203.861	-1368.228	164.3678	1.017044	1.130721	4.04014	0.1410159	0.6201272	0.1569167	3.892145	0.9158167
