Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-903.7672	-1070.927	167.16	2.539082	0.6994665	1.079612	2.4017
6	-911.5095	-1080.109	168.5998	1.490077	1.04257	1.123454	1.898822
12	-898.5065	-1067.709	169.2028	1.865646	0.5788487	1.26082	1.413077
18	-891.3277	-1061.287	169.9593	0.8322637	0.7608845	1.243007	1.514342
24	-883.4394	-1051.604	168.1643	2.169312	0.8336001	1.302298	1.751067
30	-887.4923	-1052.814	165.3217	5.092474	0.7360777	1.379482	1.706186
36	-886.6022	-1053.08	166.4781	4.066089	0.7804835	1.153672	1.743829
42	-876.4069	-1043.928	167.5208	2.913674	0.7804835	1.24002	1.760173
48	-885.8852	-1054.569	168.6834	1.743957	0.9195252	0.9613837	1.86311
54	-897.4435	-1065.51	168.0666	2.362817	0.5561819	0.8439539	2.162376
60	-897.6276	-1065.902	168.2742	2.362817	0.6810383	0.792451	1.990922
66	-890.0164	-1056.845	166.8287	3.212699	0.8642987	0.7659361	2.282822
72	-888.317	-1056.321	168.0042	2.47132	0.8445231	1.082276	1.797927
78	-891.3207	-1057.474	166.1529	3.699809	0.8260524	1.09269	2.218241
84	-902.9558	-1070.91	167.9539	1.973975	0.8260524	0.7458243	2.391757
90	-914.4956	-1083.415	168.9196	1.68066	0.8637596	0.8955731	1.827615
96	-908.4634	-1076.957	168.4935	1.734657	1.012029	1.660973	1.436811
102	-906.5559	-1074.897	168.3411	1.323609	1.382477	1.592211	1.635548
108	-916.1759	-1084.717	168.5413	1.758742	0.7959885	1.529554	1.639694
114	-905.9084	-1074.255	168.347	2.14467	0.613186	1.341182	1.756025
120	-896.3178	-1063.296	166.9778	2.998726	0.9188356	0.9609058	2.163989
126	-900.3848	-1066.138	165.7528	4.135085	1.014442	1.106727	2.063988
132	-895.5451	-1061.853	166.3078	3.592086	0.8610715	1.057294	2.188333
138	-901.0687	-1067.184	166.1149	3.545502	0.8807366	0.9463909	2.400001
144	-889.8038	-1058.106	168.3018	1.742769	0.873093	0.9180026	2.177117
150	-894.7044	-1059.71	165.0052	5.167665	0.7909486	1.043312	2.063873
156	-903.2839	-1070.739	167.4553	2.358743	0.753378	0.935637	2.388113
162	-889.4744	-1055.295	165.8204	4.361567	0.7148211	0.9307949	2.17885
168	-893.015	-1055.043	162.0283	7.940955	0.6051818	1.013486	2.324633
174	-898.317	-1068.582	170.2654	0.5933895	0.9783378	1.029291	1.463312
180	-899.3204	-1068.699	169.3784	1.178812	0.9204735	1.177687	1.619467
186	-885.6557	-1054.583	168.9274	1.410582	0.8902379	0.973448	1.93534
192	-889.9901	-1056.535	166.5449	3.283709	1.407129	0.973448	1.93534
198	-891.0571	-1058.834	167.7767	2.452298	0.8365687	1.278697	1.837912
204	-901.4547	-1069.399	167.9446	1.978684	1.081356	0.9653315	2.089748
210	-902.1126	-1067.037	164.924	4.297731	0.9601831	0.7664608	2.735044
216	-898.8737	-1064.085	165.2114	3.975013	1.073002	0.8494828	2.636477
222	-903.5434	-1072.699	169.1552	0.9970938	0.5766042	1.202099	2.099311
228	-895.0224	-1061.813	166.7911	3.651833	0.7904921	1.258904	1.734316
234	-890.1972	-1057.785	167.5882	2.6374	0.9860396	0.987307	1.937348
240	-898.5565	-1065.791	167.2346	2.898072	0.7377572	1.215611	2.010061
246	-899.2738	-1065.493	166.219	4.195423	0.5387809	1.103168	2.010061
252	-895.7468	-1063.653	167.9059	2.595262	0.6042519	1.023675	1.971626
258	-899.7042	-1070.023	170.3189	0.6426936	0.7311113	0.9513504	1.624348
264	-900.9278	-1069.25	168.3224	2.021721	0.7273211	0.9274974	2.067341
270	-894.1565	-1061.053	166.8969	3.218425	0.6210984	0.9370508	2.271645
276	-899.2091	-1066.881	167.672	2.458618	0.8146893	1.014983	2.095128
282	-907.1519	-1073.442	166.2901	3.741464	0.7333757	1.222426	2.075247
288	-883.3114	-1051.496	168.1842	2.416477	0.7816439	1.033742	1.787349
294	-886.2983	-1052.514	166.2152	4.281304	0.8377342	1.230434	1.683944
300	-886.3892	-1054.767	168.3779	1.858752	0.8176847	0.8299512	2.144932
306	-892.8136	-1061.791	168.9778	1.443937	0.6640406	0.7532473	2.168491
312	-889.3114	-1058.6	169.2889	1.122459	0.8623809	0.9138982	1.944611
318	-892.2293	-1062.111	169.8815	0.9785171	0.8623809	0.8049929	1.710622
324	-889.2349	-1055.822	166.5872	3.805513	0.4856589	1.086789	2.057973
330	-897.7535	-1067.348	169.5948	0.8292225	0.6535491	0.8691984	2.097343
336	-897.2187	-1066.508	169.2889	1.349536	0.7264893	0.8691984	1.910206
342	-896.0085	-1061.355	165.3467	4.035488	0.8065359	1.196122	2.463793
348	-893.9896	-1060.834	166.8442	2.797259	0.8779389	0.9142372	2.433926
354	-888.108	-1055.833	167.7255	1.699719	0.8938934	0.9885984	2.512945
360	-892.2158	-1058.025	165.8096	3.704394	1.230939	1.149457	2.140218
366	-897.4801	-1065.661	168.1805	2.17142	1.152114	1.158831	1.614512
372	-899.015	-1065.937	166.9221	3.538575	0.8787557	1.098898	1.773208
378	-904.6227	-1073.084	168.4614	1.694033	0.9418884	1.341363	1.773208
384	-894.5771	-1062.819	168.2421	2.388961	0.8484631	1.121703	1.657996
390	-903.0171	-1068.289	165.2715	5.128458	0.6578884	1.845228	1.426868
396	-898.0457	-1066.275	168.2296	1.918295	0.9539125	0.9245942	2.052516
402	-898.4042	-1066.276	167.8719	2.189612	0.8957897	1.068825	2.052516
408	-894.5268	-1062.698	168.1712	2.229167	0.6665795	1.329939	1.795283
414	-889.4533	-1055.377	165.9238	4.535985	0.68216	1.367859	1.717458
420	-896.8451	-1062.402	165.5565	4.778011	0.585457	1.367859	1.861789
426	-910.8071	-1076.074	165.2667	5.095239	1.222412	1.510661	1.284584
432	-906.5342	-1073.394	166.8599	3.411205	0.7112276	1.032733	2.055991
438	-895.9306	-1064.319	168.3884	2.195948	0.7700336	1.032733	1.807073
444	-891.5143	-1059.006	167.492	2.45488	0.5306658	1.176292	2.271168
450	-885.5966	-1049.356	163.7591	6.026585	0.9617625	1.076905	2.184768
456	-885.4129	-1053.225	167.8124	2.451899	0.5582469	1.067468	2.123273
462	-905.9676	-1071.718	165.7508	4.239325	0.7758921	1.306493	2.020226
468	-907.4565	-1074.692	167.2352	3.082638	0.6746139	1.073401	2.020226
474	-909.4575	-1076.796	167.3388	2.913977	0.7565	0.8527449	2.158079
480	-906.1387	-1072.279	166.1404	3.557082	1.034427	0.6613572	2.459547
486	-902.801	-1067.519	164.7184	5.628046	0.535948	1.079855	2.071834
492	-893.5633	-1062.254	168.691	1.789261	0.7483673	0.9756211	1.931231
498	-898.9242	-1066.904	167.9799	2.079973	0.95206	0.9837261	2.072798
504	-882.6975	-1050.957	168.2592	2.086293	0.7630521	0.9266433	2.044675
510	-876.223	-1043.54	167.3171	2.679459	0.6125614	0.9234481	2.360665
516	-886.0769	-1054.751	168.6741	1.687321	1.061935	0.7636619	1.945448
522	-898.1005	-1066.295	168.1946	1.760225	1.027285	1.223651	1.932746
528	-903.4576	-1073.13	169.6729	0.9943163	0.4728038	1.143003	1.840309
534	-895.8374	-1065.2	169.3628	1.153499	0.6802282	1.453885	1.616864
540	-889.1274	-1058.19	169.0627	1.835938	0.6935754	1.056273	1.619122
546	-899.746	-1067.488	167.7424	2.081439	0.8565229	1.090009	2.21928
552	-892.1713	-1058.342	166.1702	3.840679	0.7442845	0.8473707	2.324682
558	-889.3324	-1054.706	165.3738	4.274184	0.7442845	1.01638	2.447376
564	-898.2	-1066.312	168.1116	2.178758	1.081489	0.8846253	1.898491
570	-893.9618	-1061.404	167.4419	2.902292	0.4913569	0.6663005	2.359144
576	-888.4648	-1054.956	166.4915	3.438153	0.9660056	1.034935	2.115546
582	-899.5485	-1066.326	166.7774	3.511153	0.8590944	1.023549	1.955676
588	-898.5281	-1065.947	167.4185	3.295695	0.5395723	1.070176	1.829296
594	-904.5765	-1071.841	167.2645	2.665939	1.113601	0.925624	2.090027
600	-908.0634	-1078.759	170.6957	0.1061263	1.148828	1.579274	0.8742641
606	-914.2683	-1084.973	170.7048	0.1968763	1.334947	1.231812	0.9467716
612	-886.6165	-1057.8	171.1839	0.1611997	0.9495218	1.092697	1.024743
618	-891.3425	-1062.399	171.0566	0.09449786	0.9495218	1.076123	1.215283
624	-891.2853	-1062.617	171.3312	0.09449786	0.6157176	1.242007	1.106661
630	-879.7663	-1051.153	171.387	0.1192937	0.6862743	1.047697	1.153263
636	-888.8402	-1060.323	171.4823	0.1866251	0.7812052	0.9286649	1.030708
642	-886.8042	-1057.895	171.0907	0.1126738	0.9221656	0.8194487	1.402878
648	-880.2164	-1051.364	171.148	0.09982402	0.9772526	0.901365	1.257495
654	-897.4485	-1068.493	171.0442	0.09982402	0.8172136	0.978937	1.4057
660	-890.7079	-1061.86	171.1521	0.1035511	0.8012792	0.9871135	1.323375
666	-881.7772	-1052.753	170.9755	0.1165789	1.025829	1.202053	1.08866
672	-884.0632	-1055.399	171.3361	0.1066485	0.8200339	1.035289	1.107616
678	-899.158	-1069.931	170.7729	0.08812197	0.7884339	0.9761109	1.639542
684	-890.4396	-1060.664	170.2249	0.06011282	0.7884339	0.8695296	2.106016
690	-897.418	-1067.637	170.2195	0.06011282	0.7422894	1.035387	2.029357
696	-886.8166	-1057.327	170.5099	0.06011282	0.528225	0.9032521	2.044333
702	-892.2663	-1062.004	169.7375	0.05739129	0.8012183	0.8127812	2.448653
708	-902.5891	-1072.076	169.4873	0.05478414	0.5958151	1.059745	2.568864
714	-903.0013	-1072.53	169.5289	0.05038049	0.9199925	1.09712	2.331119
720	-900.1988	-1069.6	169.4011	0.05038049	0.7547878	1.080136	2.524204
726	-906.6813	-1075.835	169.1539	0.05160935	0.8205252	1.113455	2.616805
732	-905.384	-1074.519	169.1354	0.05268146	0.9741794	1.140384	2.516257
738	-898.14	-1067.611	169.4705	0.05147228	0.7031512	1.070787	2.516257
744	-899.4647	-1068.777	169.312	0.05147228	0.7111367	1.04204	2.627927
750	-884.9953	-1054.476	169.481	0.05147228	0.7111367	0.982906	2.55984
756	-883.3102	-1052.37	169.0595	0.05147228	0.9178162	1.203753	2.55984
762	-888.7779	-1057.533	168.7549	0.04624179	0.8450248	1.202655	2.795348
768	-882.9762	-1051.319	168.343	0.04565875	0.97633	1.202655	2.965973
774	-897.9309	-1067.184	169.2532	0.04565875	0.5645191	1.330031	2.567289
780	-894.6115	-1062.996	168.3848	0.04565875	0.8143438	1.261952	3.001673
786	-886.0552	-1055.076	169.021	0.04565875	0.6280598	1.097092	2.821374
792	-895.9082	-1064.999	169.091	0.04565875	0.5432162	1.196279	2.75918
798	-878.6888	-1047.714	169.0252	0.05349028	0.8851129	0.9448017	2.75918
804	-887.673	-1056.65	168.9769	0.05349028	1.018057	0.7907164	2.801709
810	-890.2455	-1059.308	169.0628	0.0549091	1.018057	0.8981695	2.682624
816	-890.3676	-1059.938	169.5709	0.0549091	0.5372309	0.9284665	2.625883
822	-883.4164	-1052.717	169.3004	0.05227228	0.8440976	0.9284665	2.625883
