Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-689.3712	-855.1871	165.8159	0.1973268	5.512543
6	-691.9973	-856.7052	164.708	0.4243473	5.994943
12	-697.8602	-863.898	166.0378	0.05116964	5.470871
18	-690.0935	-855.849	165.7554	0.07495961	5.612979
24	-686.4215	-852.9078	166.4863	0.01833201	5.241661
30	-684.2898	-850.1629	165.8731	0.05537906	5.559101
36	-684.2146	-848.8081	164.5935	0.160315	6.201112
42	-699.0596	-864.2154	165.1558	0.303075	5.816569
48	-694.0047	-860.3671	166.3624	0.1817481	5.219774
54	-693.7822	-860.9878	167.2056	0.1574208	4.764749
60	-702.2445	-866.8886	164.6441	0.09872737	6.207073
66	-702.9646	-868.0451	165.0805	0.2077993	5.909784
72	-700.6916	-866.0311	165.3396	0.110359	5.821452
78	-695.635	-862.0384	166.4033	0.1126114	5.235384
84	-697.6973	-861.7675	164.0702	0.200043	6.463622
90	-685.8202	-851.5919	165.7717	0.08485898	5.598644
96	-679.4415	-845.2674	165.826	0.2298456	5.489128
102	-680.2907	-846.1832	165.8926	0.06064138	5.545536
108	-690.5085	-855.1003	164.5918	0.2508169	6.15279
114	-695.0228	-861.3478	166.3249	0.2829765	5.184516
120	-693.4171	-859.9627	166.5456	0.2976706	5.05411
126	-691.5427	-856.5841	165.0414	0.3684937	5.843363
132	-688.7722	-854.7759	166.0037	0.1780816	5.419777
138	-692.415	-858.4327	166.0177	0.05173612	5.481612
144	-683.6576	-847.7549	164.0973	0.1516261	6.475172
150	-681.0082	-845.9492	164.9411	0.01516844	6.090922
156	-687.8095	-854.4204	166.611	0.2882416	5.023052
162	-692.0666	-855.7757	163.7091	0.0518758	6.739133
168	-708.2469	-873.1574	164.9105	0.2364903	5.986927
174	-707.3546	-873.7435	166.389	0.3004286	5.139418
180	-705.6635	-872.0791	166.4156	0.08115611	5.246002
186	-704.7309	-870.0024	165.2715	0.0224922	5.90668
192	-696.1663	-860.1306	163.9643	0.07743461	6.587336
198	-683.7164	-849.898	166.1816	0.312372	5.247552
204	-684.9868	-851.082	166.0951	0.2844306	5.310717
210	-688.5693	-854.7361	166.1668	0.1109123	5.366932
216	-687.0144	-852.2606	165.2462	0.09671663	5.879983
222	-692.1667	-859.3327	167.166	0.1415073	4.795756
228	-672.9142	-839.5395	166.6254	0.09352433	5.123074
234	-684.8049	-849.5542	164.7493	0.02766801	6.188506
240	-685.9112	-850.0176	164.1064	0.07152595	6.513621
246	-690.6419	-855.4682	164.8264	0.1541632	6.077683
252	-692.0337	-857.7261	165.6924	0.3854044	5.477039
258	-696.9748	-861.8032	164.8283	0.2215378	6.039901
264	-702.6573	-868.5424	165.8851	0.2063807	5.469469
270	-694.7134	-860.6478	165.9344	0.1571658	5.469469
276	-685.598	-851.6258	166.0278	0.0896151	5.455215
282	-689.5074	-855.9419	166.4345	0.04791708	5.253894
288	-693.2506	-858.8641	165.6135	0.0882865	5.683524
294	-694.8654	-861.0497	166.1843	0.1599445	5.330197
300	-690.709	-856.6096	165.9006	0.1012886	5.518756
306	-696.0532	-861.9115	165.8583	0.2825803	5.442317
312	-707.2559	-873.4168	166.1609	0.2685058	5.283189
318	-700.5172	-866.7676	166.2504	0.04360211	5.357906
324	-709.4747	-876.1585	166.6838	0.1892732	5.03755
330	-700.8907	-866.5741	165.6834	0.04346445	5.669799
336	-698.64	-865.0728	166.4328	0.323884	5.102125
342	-698.2356	-864.3866	166.151	0.2109564	5.320459
348	-699.0174	-864.6445	165.6271	0.1760699	5.627936
354	-695.6407	-861.987	166.3464	0.1834725	5.227709
360	-692.7694	-859.1431	166.3738	0.1578172	5.226737
366	-696.5983	-862.5029	165.9046	0.22508	5.44845
372	-697.7323	-863.4291	165.6968	0.293017	5.525403
378	-693.5067	-859.3591	165.8524	0.3070627	5.432064
384	-691.2086	-855.8102	164.6015	0.224762	6.161666
390	-697.1913	-863.1973	166.0059	0.02008002	5.505515
396	-687.4292	-853.8018	166.3726	0.02027377	5.30338
402	-693.6497	-860.1146	166.4649	0.08322483	5.217599
408	-691.5996	-857.293	165.6934	0.05700791	5.656872
414	-700.1575	-865.5597	165.4022	0.08949459	5.798588
420	-713.3285	-878.3631	165.0347	0.07132187	6.009301
426	-693.1425	-859.2021	166.0597	0.07624271	5.445048
432	-702.933	-867.5227	164.5897	0.2725401	6.142104
438	-698.3943	-864.1396	165.7453	0.3357699	5.47523
444	-697.4532	-863.6393	166.1861	0.1552697	5.33179
450	-704.2462	-868.8495	164.6033	0.25566	6.143912
456	-700.9328	-867.2035	166.2708	0.02517268	5.356867
462	-680.5759	-847.4426	166.8667	0.1132222	4.978235
468	-680.0046	-845.7923	165.7878	0.03353196	5.617983
474	-680.7463	-846.4808	165.7345	0.08680628	5.617983
480	-679.5938	-845.4416	165.8478	0.2745704	5.452472
486	-691.0788	-857.4023	166.3235	0.2828102	5.185427
492	-688.9082	-855.5551	166.6469	0.229175	5.035891
498	-699.1973	-863.8241	164.6269	0.1386636	6.194734
504	-706.0955	-871.2952	165.1997	0.138886	5.882333
510	-699.1118	-863.8098	164.6979	0.1640765	6.142237
516	-692.6746	-858.5836	165.909	0.1640765	5.479594
522	-696.4787	-861.8817	165.4031	0.093175	5.796116
528	-687.2637	-852.8283	165.5646	0.093175	5.707655
534	-697.095	-862.9846	165.8896	0.09245376	5.529691
540	-706.0277	-872.3825	166.3548	0.2550252	5.183482
546	-701.2772	-867.5417	166.2645	0.1255774	5.304942
552	-692.0288	-858.2462	166.2174	0.1726323	5.304942
558	-684.3093	-850.9351	166.6258	0.2421395	5.040441
564	-695.0938	-861.1274	166.0336	0.3665306	5.299377
570	-690.2601	-856.4843	166.2242	0.02006767	5.385376
576	-685.5647	-851.5845	166.0198	0.2244562	5.385376
582	-693.3886	-860.0851	166.6966	0.09784422	5.081218
588	-689.6228	-855.0424	165.4196	0.03628437	5.818217
594	-692.3609	-859.1403	166.7795	0.2178607	4.968543
600	-697.6372	-862.4945	164.8574	0.3086448	5.97655
606	-697.1235	-862.6238	165.5003	0.3363423	5.609556
612	-693.7995	-858.8981	165.0986	0.2027436	5.902672
618	-715.6529	-880.697	165.0441	0.02064194	6.031798
624	-707.2224	-873.1704	165.948	0.18223	5.448161
630	-706.7055	-873.1987	166.4932	0.1381204	5.171574
636	-699.5119	-865.9962	166.4843	0.3872885	5.038368
642	-688.9182	-855.3134	166.3952	0.3728115	5.095866
648	-701.3581	-866.7784	165.4203	0.4404413	5.596302
654	-693.5099	-858.4791	164.9691	0.6503692	5.72862
660	-688.0034	-853.4971	165.4937	0.1258432	5.72862
666	-696.152	-861.532	165.38	0.1977151	5.751502
672	-685.4025	-850.843	165.4406	0.1371706	5.751502
678	-707.7022	-873.6272	165.9249	0.2258855	5.436832
684	-704.11	-869.3951	165.2851	0.1445608	5.832519
690	-712.4134	-878.0883	165.6748	0.1445608	5.619031
696	-707.7901	-872.502	164.7119	0.1790715	6.126469
702	-724.1316	-888.6628	164.5312	0.05810126	6.290515
708	-705.7998	-871.6693	165.8695	0.1674999	5.499481
