Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
294	-1765.441	-1930.965	165.5236	1.23204	1.077629	0.8199287	0.5192103	3.715283	0.437618	0.6720838	1.988359
300	-1767.427	-1929.275	161.8483	1.027091	0.958853	0.8106008	0.7522296	6.488967	0.5486384	1.303823	2.157924
306	-1763.966	-1925.804	161.8383	1.114491	0.9385389	0.6754366	0.7160367	6.488967	0.9890542	0.9777851	2.157924
312	-1770.861	-1930.869	160.0083	1.332094	0.6878223	0.6754366	1.603477	7.306226	0.5823504	1.641511	2.09088
318	-1771.276	-1930.327	159.0517	2.305343	1.031044	0.8527286	1.156011	7.306226	1.040177	0.7130364	2.416198
324	-1753.596	-1916.894	163.2984	1.628669	0.8041122	0.8151912	0.4900256	3.965722	0.6304746	0.5920424	3.10731
330	-1747.469	-1913.147	165.6785	1.628669	1.046662	0.5757977	0.303462	3.361427	0.6646623	0.6245045	2.077241
336	-1759.082	-1924.963	165.8807	1.509008	1.115355	0.733844	0.7526339	2.632874	0.2562796	0.3832688	2.469095
342	-1770.835	-1937.134	166.2988	1.509008	1.953665	0.733844	0.3747546	1.708421	0.2264465	0.4425055	2.516648
348	-1769.215	-1936.606	167.3909	1.526347	1.136401	0.9295679	0.1828306	1.708421	0.2687891	0.2681963	2.377009
354	-1775.515	-1944.571	169.0553	1.186897	1.093512	1.0299	0.1462821	1.064059	0.2234274	0.2074393	1.981622
360	-1771.942	-1940.369	168.4274	1.71064	0.8017675	1.0299	0.2342454	1.047203	0.2570276	0.1616853	2.220506
366	-1767.596	-1937.497	169.9004	1.608227	0.8602168	0.7823372	0.135568	0.7269893	0.1380983	0.1870739	1.767822
372	-1773.846	-1943.018	169.1728	1.608227	1.290029	0.589662	0.135568	0.6494584	0.07474253	0.1291799	2.230437
378	-1782.113	-1950.814	168.7005	0.8037864	1.251063	0.7795559	0.2510378	1.203745	0.1077133	0.3302748	2.357796
384	-1767.028	-1934.848	167.82	1.500513	0.6556014	0.6699252	0.7061634	0.2839635	3.091847	0.3871817	1.159531
390	-1756.836	-1925.787	168.9507	1.590595	0.9650969	0.9137075	0.5032664	0.1466742	1.873368	0.5084757	0.8372119
396	-1763.226	-1931.699	168.4733	1.34723	0.9650969	0.8233438	0.5032664	0.3337657	2.335609	0.6561912	0.8372119
402	-1768.79	-1936.781	167.9912	1.833862	1.157117	0.6531514	0.4600405	0.2685578	2.351313	0.6561912	0.9568693
408	-1758.999	-1926.952	167.952	1.554757	1.180073	0.7624643	0.6723112	0.540715	2.604595	0.153805	0.8723436
414	-1756.152	-1923.587	167.4344	1.247379	1.4403	0.8231094	0.5800395	0.5777584	3.071132	0.3269565	0.760593
420	-1760.331	-1926.737	166.4058	1.182351	1.161007	0.8127282	0.6358827	0.6868712	3.764538	0.5307767	1.10172
426	-1768.029	-1934.778	166.7488	1.399343	1.205109	0.7789784	0.332153	0.8854194	3.29508	0.4577958	1.176536
432	-1757.247	-1924.644	167.3972	1.172872	0.9809657	0.7096544	0.6096422	0.5736153	3.136032	0.4926235	1.196234
438	-1763.842	-1930.018	166.1762	1.39552	1.261299	0.9153614	0.8608801	0.359141	3.744343	0.3840752	1.182418
444	-1776.544	-1943.705	167.1606	0.7928059	1.261299	0.6595413	0.8608801	0.8022311	3.250674	0.5737468	0.9202377
450	-1764.868	-1935.366	170.4983	1.550478	0.9915623	0.8029616	0.1966541	0.1873771	0.05201766	1.056594	0.9642917
456	-1778.07	-1948.839	170.7686	1.349801	1.405911	0.8178961	0.1966541	0.1550106	0.07125146	0.7227179	0.7813158
462	-1765.798	-1936.735	170.9367	1.349801	1.143875	0.9455074	0.1842509	0.1550106	0.04602927	0.7227179	0.7773082
468	-1766.413	-1936.966	170.5532	1.558937	1.500025	0.8255442	0.1130276	0.1118993	0.0450733	0.6904327	0.9115988
474	-1761.457	-1932.815	171.3586	1.427662	0.8219045	0.6084471	0.09273091	0.1222707	0.05244539	0.6396756	1.15725
480	-1762.834	-1931.429	168.5955	1.242009	1.155535	0.7217594	0.3055281	0.4306628	2.280772	0.769512	0.7478156
486	-1760.666	-1928.955	168.2889	1.4566	0.8913704	0.7217594	0.3608761	0.4856239	2.555078	0.6755718	0.8456063
492	-1760.435	-1928.854	168.4193	1.4566	1.09133	0.6711041	0.4639788	0.4799088	2.285036	0.2552892	1.160812
498	-1765.195	-1932.74	167.5448	1.223442	1.482464	0.9049491	0.6619165	0.5196685	2.344242	0.3599428	1.23289
504	-1749.222	-1917.956	168.7338	1.413914	1.070631	0.7720784	0.5561159	0.3011909	2.484345	0.1031712	0.8439709
510	-1751.976	-1920.899	168.9234	1.426325	0.9073015	0.7930045	0.5465838	0.2742366	2.500952	0.1293953	0.7563452
516	-1767.544	-1934.872	167.3274	1.571518	1.797046	0.7892082	0.5124872	0.4363077	2.192977	0.2570946	1.395384
522	-1750.89	-1918.496	167.6058	1.712867	1.698906	1.10707	0.3281948	0.4363077	1.944063	0.3983347	1.106672
528	-1768.381	-1936.385	168.0038	1.595219	1.780927	0.6187633	0.3292612	0.4363077	1.797093	0.2829611	1.426052
534	-1772.513	-1939.182	166.6684	1.595219	1.240661	0.8910339	0.4155256	0.4012609	2.841205	0.5956868	1.546577
540	-1767.261	-1936.832	169.5712	1.022413	0.8945728	1.01824	0.3238736	0.2823157	0.4689655	1.807832	0.8888122
546	-1755.703	-1926.243	170.54	1.334945	0.8331405	0.6016354	0.03033458	0.3147777	0.1467759	1.717728	0.7211076
552	-1753.418	-1923.383	169.9647	1.427209	1.191072	0.8696038	0.05514245	0.1199222	0.3856474	1.365373	0.911509
558	-1751.23	-1921.195	169.9656	1.546445	0.9431294	0.7657835	0.1694425	0.089281	0.4585837	1.548739	0.7870629
564	-1759.687	-1929.63	169.9425	1.45986	0.7565634	0.7677949	0.2597377	0.2272884	0.4401415	1.548739	0.8815019
570	-1769.316	-1938.097	168.781	2.58068	1.13779	0.7677949	0.1956153	0.2465293	0.3609477	1.548739	0.8342127
576	-1771.062	-1941.07	170.0073	1.207182	1.164442	0.8863415	0.07595596	0.3116913	0.2905983	1.305719	1.037
582	-1758.898	-1927.714	168.8158	1.190001	0.6654851	1.017979	0.6284942	0.3164245	2.336287	0.3189498	0.9863953
588	-1762.843	-1931.659	168.8159	1.61068	1.21618	1.038114	0.2905731	0.3922379	1.430956	0.3997413	1.107129
594	-1762.117	-1931.801	169.6837	1.229198	0.9257562	0.7315212	0.2370422	0.2581007	0.2351127	1.275089	1.586275
600	-1753.648	-1923.923	170.2755	1.44258	0.8668793	0.7315212	0.3213399	0.1223134	0.224227	1.127874	1.168647
606	-1759.685	-1928.965	169.2794	1.351925	1.080119	1.054123	0.3072006	0.2230703	0.2539579	1.485608	1.231525
612	-1762.433	-1931.988	169.5558	1.377603	0.9538421	0.8305365	0.2168169	0.2486551	0.3674444	1.485608	1.231525
618	-1760.454	-1928.137	167.6826	1.729639	0.9538421	0.9337296	0.4141344	0.2118465	0.542291	2.994483	0.8398698
624	-1757.455	-1924.811	167.3565	2.55828	0.9864123	0.8473897	0.1852932	0.4948004	0.5425286	2.429291	1.060696
