Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
654	-1828.412	-1999.235	170.8231	1.135868	2.097155
660	-1826.923	-1998.058	171.1351	1.209685	1.838985
666	-1824.904	-1996.043	171.1396	1.032216	1.955648
672	-1819.035	-1989.886	170.8508	1.324994	1.955648
678	-1831.874	-2002.501	170.6274	1.560836	1.955648
684	-1829.78	-2000.431	170.6514	1.420201	2.027753
690	-1827.471	-1998.212	170.7407	1.372621	1.998576
696	-1835.387	-2005.934	170.5479	1.135843	2.275596
702	-1829.165	-1999.856	170.692	1.302759	2.075583
708	-1824.505	-1995.182	170.6776	1.302759	2.085044
714	-1837.014	-2007.926	170.9122	1.393092	1.869762
720	-1826.094	-1996.622	170.5284	1.583316	2.008014
726	-1826.096	-1997.011	170.9149	1.252122	1.960189
732	-1820.365	-1991.165	170.7992	1.252122	2.037324
738	-1818.507	-1989.497	170.9899	1.059438	2.037324
744	-1821.855	-1992.79	170.9354	1.3816	1.861418
750	-1820.649	-1991.478	170.8291	1.226377	2.034227
756	-1827.275	-1998.13	170.8549	1.309272	1.963105
762	-1816.825	-1987.691	170.866	1.348897	1.929862
768	-1824.91	-1996.032	171.1217	1.22217	1.839791
774	-1832.087	-2003.149	171.0624	1.271243	1.847479
780	-1828.7	-1999.377	170.6763	1.205716	2.147986
786	-1835.249	-2005.908	170.6591	1.223279	2.147986
792	-1834.448	-2005.381	170.933	1.495021	1.78902
798	-1837.104	-2008.118	171.0146	1.29348	1.865382
804	-1827.11	-1998	170.8896	1.311969	1.938017
810	-1840.344	-2011.118	170.7736	1.43291	1.938017
816	-1840.031	-2011.422	171.3908	1.057088	1.766837
822	-1831.051	-2001.945	170.8937	1.37354	1.895075
828	-1828.302	-1999.418	171.1159	1.247092	1.826921
834	-1822.876	-1994.028	171.152	1.169426	1.854646
840	-1839.453	-2010.177	170.7234	1.325692	2.040151
846	-1836.162	-2006.857	170.6945	1.616721	1.875483
852	-1823.133	-1994.182	171.05	1.33402	1.814126
858	-1824.832	-1996.05	171.2187	1.194309	1.79176
864	-1828.328	-1999.334	171.0063	1.104642	1.99647
870	-1821.765	-1992.559	170.7941	1.4772	1.895849
876	-1822.417	-1993.439	171.022	1.20897	1.916546
882	-1831.855	-2002.83	170.9754	1.45892	1.783118
888	-1832.311	-2003.565	171.2537	1.341188	1.666286
894	-1839.406	-2010.599	171.1935	1.164205	1.82968
900	-1831.825	-2002.936	171.1113	1.255947	1.824165
906	-1835.548	-2006.493	170.9451	1.428327	1.824165
912	-1837.429	-2008.472	171.0425	1.381437	1.787749
918	-1839.295	-2010.296	171.0005	1.185398	1.946733
924	-1844.302	-2015.248	170.9452	1.181764	1.986221
930	-1834.599	-2005.745	171.1453	1.095393	1.909219
936	-1825.849	-1997.164	171.3147	1.095393	1.793171
942	-1824.188	-1995.057	170.8689	1.159218	2.051721
948	-1828.244	-1999.425	171.1817	1.188206	1.821484
954	-1829.702	-2000.623	170.9208	1.205237	1.987023
960	-1822.383	-1993.494	171.1106	1.167677	1.884073
966	-1830.378	-2001.569	171.1916	1.086105	1.884073
972	-1830.177	-2000.966	170.789	1.296939	2.015099
978	-1826.908	-1998.087	171.1792	1.085732	1.89279
