Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
540	-197.6962	-368.1011	170.4049	2.31498	0.9202861	0.888783
546	-208.9265	-378.0052	169.0787	2.880006	1.796973	0.9156233
552	-196.4497	-364.5114	168.0617	3.363374	2.68479	0.3979278
558	-202.2353	-372.5071	170.2718	1.854612	1.636647	0.5349547
564	-193.5958	-364.7406	171.1448	0.9390672	1.598071	0.6491752
570	-187.8123	-358.4336	170.6212	1.876092	1.137917	0.8038855
576	-193.5044	-364.7186	171.2143	1.133668	1.208193	0.8427069
582	-188.6132	-358.548	169.9348	2.008367	1.807808	0.6467009
588	-190.3386	-360.6201	170.2815	2.342303	1.167596	0.6878785
594	-182.8359	-352.2628	169.4269	3.071238	1.314571	0.9154196
600	-182.255	-353.4201	171.1651	1.490233	0.7439679	1.024457
606	-173.491	-344.0128	170.5218	2.152582	1.088745	0.6715083
612	-173.028	-342.2658	169.2378	3.906727	1.180342	0.5736963
618	-185.0895	-354.8637	169.7743	2.975835	1.196379	0.6997363
624	-184.7996	-355.7575	170.9579	1.545139	0.9917085	0.9304143
630	-195.353	-366.6842	171.3312	0.8290183	1.236447	1.014519
636	-186.797	-357.792	170.995	1.542685	1.060053	0.8088395
642	-183.8217	-354.0725	170.2509	2.706106	0.8755673	0.7606537
648	-187.3636	-357.8144	170.4508	2.001528	1.243623	0.7433492
654	-174.6812	-345.2522	170.5709	1.694272	1.35487	0.7961631
660	-173.7172	-344.9052	171.188	1.61652	0.6523	0.9761046
666	-170.3111	-341.2315	170.9204	2.170291	0.3807596	1.03547
672	-176.2637	-348.0036	171.7399	1.44452	0.5168152	0.6255315
678	-177.2838	-346.6844	169.4006	2.300339	2.083946	0.6839458
684	-191.1029	-361.4759	170.3729	1.803351	1.068538	1.191161
690	-193.2434	-362.441	169.1976	3.369642	1.508943	0.693618
696	-196.3111	-367.0187	170.7076	2.069421	0.8903612	0.7993407
702	-188.3053	-359.6884	171.383	1.228512	0.9958453	0.7772414
708	-186.0184	-357.2402	171.2218	1.228512	1.245037	0.6212664
714	-197.0038	-368.3417	171.3379	1.142426	1.095403	0.8182225
720	-188.0721	-359.9475	171.8754	0.6061673	1.152766	0.7048166
726	-191.4382	-363.1855	171.7473	0.6061673	1.280923	0.7048166
732	-185.3051	-356.8632	171.5581	0.6686374	1.280923	0.888032
738	-183.3787	-354.2461	170.8674	2.172811	0.7221811	0.6798636
744	-184.4945	-355.6659	171.1714	1.504923	0.9770739	0.7250323
750	-186.0805	-355.8835	169.803	1.797498	2.157882	0.4985429
756	-186.3862	-356.9815	170.5953	1.016285	2.077594	0.6325966
762	-203.3381	-372.8994	169.5613	1.561453	2.61172	0.5255943
768	-195.8321	-365.7133	169.8813	1.885213	1.992099	0.4300809
774	-193.1662	-363.1045	169.9383	1.958039	1.865551	0.5999993
780	-183.8443	-352.8787	169.0344	2.50492	2.340735	0.4553686
786	-185.7992	-356.3274	170.5282	1.613214	1.559745	0.6521999
792	-188.4449	-358.077	169.6321	2.753667	1.38888	0.8535593
798	-184.3129	-355.1303	170.8174	1.345843	1.419951	0.8140983
804	-188.6455	-359.0153	170.3699	2.54624	0.5532143	1.112057
810	-201.6223	-372.1326	170.5103	1.888459	0.963364	1.096428
