Iteration	Posterior	Likelihood	Prior	tree_length
780	-13.69597	-187.1805	173.4845	0.8305573
786	-7.481294	-180.7902	173.3089	1.022165
792	-9.38336	-182.8125	173.4291	0.8964028
798	-4.498456	-177.9266	173.4281	0.8975077
804	-3.382907	-176.705	173.3221	1.009117
810	0.5262788	-172.998	173.5243	0.7779164
816	2.722077	-170.5177	173.2397	1.087888
822	-4.727715	-178.1929	173.4651	0.8543816
828	-10.09181	-182.8838	172.792	1.458256
834	-10.00342	-183.1757	173.1723	1.148871
840	-16.61051	-189.7828	173.1723	1.148871
846	-6.0442	-179.6047	173.5605	0.7237019
852	-4.610553	-177.6373	173.0267	1.272953
858	-8.96369	-182.6017	173.638	0.4928857
864	-17.07798	-190.1766	173.0986	1.212776
870	-10.69489	-183.8299	173.135	1.181564
876	-15.77412	-189.2289	173.4547	0.8668009
882	-12.27608	-185.8237	173.5476	0.7439304
888	-3.959288	-177.3278	173.3685	0.9620139
894	-15.99338	-189.5321	173.5388	0.3089192
900	-6.093251	-179.729	173.6357	0.4659845
906	1.33046	-172.1139	173.4444	0.8789339
912	-1.301767	-174.8814	173.5796	0.6911255
918	-7.341524	-180.7494	173.4079	0.9199776
924	-1.508253	-174.9827	173.4744	0.8430562
930	-6.109963	-179.4664	173.3565	0.9744793
936	-8.014541	-181.371	173.3565	0.9744793
942	-0.6662796	-174.3004	173.6341	0.5463985
948	-2.805885	-176.1539	173.348	0.9830919
954	4.791709	-168.6742	173.4659	0.8534151
960	3.395195	-169.7261	173.1213	1.193417
966	-8.76289	-182.1312	173.3683	0.9622661
972	-7.519325	-181.099	173.5797	0.6909668
978	-18.07981	-191.5797	173.4999	0.8108954
984	-5.934636	-179.3201	173.3855	0.9441904
990	-17.48454	-190.8484	173.3638	0.9668872
996	-19.41307	-192.8402	173.4271	0.8986449
1002	-25.90172	-199.0473	173.1455	1.17239
1008	-13.67038	-186.5581	172.8877	1.384446
1014	-18.76291	-192.3558	173.5929	0.6658615
1020	-14.94506	-188.5416	173.5965	0.6584059
1026	-15.1033	-188.4015	173.2982	1.032603
1032	-15.5463	-189.0125	173.4662	0.853069
1038	-12.10233	-185.7168	173.6144	0.6168626
1044	0.3776772	-173.2402	173.6179	0.6075828
1050	-1.88261	-175.4031	173.5205	0.7832071
1056	-9.19815	-182.7624	173.5643	0.7175449
1062	-14.90955	-188.4588	173.5493	0.7414126
1068	-21.27412	-194.3704	173.0963	1.214752
1074	-17.51412	-191.1515	173.6373	0.5200992
1080	-13.3025	-186.8819	173.5794	0.6915149
1086	-11.19222	-184.762	173.5698	0.7082842
1092	-12.52092	-185.543	173.0221	1.276726
1098	-22.62957	-195.6517	173.0221	1.276726
1104	-16.27454	-189.6313	173.3568	0.9741577
1110	-23.23801	-196.8499	173.6119	0.6234793
1116	-19.95962	-193.5622	173.6025	0.6455118
1122	-15.88206	-189.2024	173.3203	1.010894
1128	-20.9847	-194.2119	173.2272	1.099476
1134	-6.839303	-180.2523	173.413	0.9143591
1140	-7.208869	-180.8078	173.5989	0.6533708
1146	-11.37496	-184.9182	173.5433	0.7505217
1152	-15.89716	-189.4507	173.5535	0.7347794
1158	-12.04237	-185.6672	173.6248	0.5860578
1164	-20.36303	-193.9655	173.6025	0.645691
1170	-20.86137	-193.6448	172.7834	1.46481
1176	-16.73408	-189.8855	173.1514	1.167247
1182	-13.09017	-185.894	172.8039	1.44922
1188	-10.88886	-184.1079	173.219	1.106905
1194	-2.809595	-176.0913	173.2817	1.04844
1200	-22.1532	-195.3597	173.2065	1.118331
1206	-29.66218	-202.7355	173.0733	1.234224
1212	-11.97257	-185.4889	173.5163	0.788965
1218	-13.77842	-187.1978	173.4194	0.9072793
1224	-13.92655	-187.4443	173.5178	0.7869771
1230	-13.90813	-187.2309	173.3228	1.008435
1236	-19.83412	-193.4002	173.5661	0.7144844
1242	-22.34757	-195.6891	173.3415	0.9897263
1248	-18.90174	-192.2227	173.321	1.01024
1254	-15.26355	-188.8383	173.5748	0.6996706
1260	-8.823252	-182.4613	173.6381	0.4954749
1266	-10.92174	-184.5328	173.6111	0.6254236
1272	-4.557609	-178.0837	173.5261	0.2991016
1278	-6.039068	-179.4151	173.376	0.9542014
1284	-5.688971	-179.3121	173.6231	0.4182413
1290	-6.45134	-179.8285	173.3772	0.9529313
1296	-7.969772	-181.5542	173.5844	0.6822343
1302	-5.126202	-178.6856	173.5594	0.7254086
1308	-0.5023055	-174.1384	173.6361	0.5329364
1314	-0.03324124	-173.6711	173.6378	0.5123119
1320	2.151312	-171.1112	173.2625	1.066644
1326	4.052572	-169.5788	173.6314	0.5603775
1332	-1.767571	-175.1034	173.3359	0.995395
1338	-6.708803	-180.1474	173.4386	0.8855922
1344	0.6235725	-173.0012	173.6248	0.5863215
1350	-0.6852798	-174.3139	173.6287	0.4342979
1356	-11.696	-185.1571	173.4611	0.8592021
1362	-28.14867	-201.682	173.5333	0.7650977
1368	-15.72657	-188.8237	173.0972	1.214033
1374	-29.98989	-203.1684	173.1785	1.143416
1380	-15.28351	-188.8757	173.5922	0.6671605
1386	-10.35748	-183.7922	173.4347	0.8900035
1392	-8.351113	-181.8227	173.4716	0.8465993
1398	-8.000136	-181.5761	173.576	0.6976227
1404	-1.94771	-175.5346	173.5868	0.677678
1410	3.789281	-169.7094	173.4987	0.8124778
1416	-4.395327	-177.9101	173.5148	0.79109
1422	-8.222874	-181.7999	173.577	0.6957955
1428	-15.63012	-189.2595	173.6294	0.569026
1434	-8.120011	-181.7445	173.6245	0.5871027
1440	3.10809	-170.427	173.5351	0.7625408
1446	-0.243895	-173.8072	173.5633	0.7190823
1452	-0.08658506	-173.6776	173.591	0.6695213
1458	1.839459	-171.5909	173.4304	0.8949448
1464	-4.335152	-177.8104	173.4753	0.8420192
1470	-16.86369	-190.4142	173.5505	0.7395271
1476	-9.424693	-182.8319	173.4072	0.9207488
1482	-8.848818	-182.412	173.5632	0.7193127
1488	-8.376793	-181.8673	173.4905	0.8229549
1494	-14.31753	-187.5924	173.2749	1.054912
1500	-16.62194	-189.9407	173.3188	1.012442
1506	-27.56833	-201.1717	173.6034	0.6436481
1512	-29.09158	-201.1775	172.086	1.958836
1518	-26.72826	-200.0573	173.3291	1.002203
1524	-23.01908	-196.2362	173.2171	1.108653
1530	-22.1292	-195.3611	173.2319	1.095139
1536	-10.19101	-183.8176	173.6265	0.5800216
1542	-16.20399	-189.5555	173.3516	0.9795136
1548	-19.74645	-193.1829	173.4364	0.8880923
1554	-13.11555	-186.6794	173.5638	0.7182431
1560	-29.80409	-203.1896	173.3855	0.9441764
1566	-27.71346	-200.5808	172.8674	1.400289
1572	-19.07807	-192.4375	173.3594	0.9714819
1578	-19.09327	-192.0994	173.0061	1.289822
1584	-21.15936	-194.5831	173.4237	0.9024744
1590	-20.10272	-193.6217	173.5189	0.7853632
1596	-26.08129	-199.7187	173.6374	0.5189888
1602	-10.42148	-184.0181	173.5967	0.6581509
1608	-13.78868	-187.066	173.2773	1.052599
1614	-16.18102	-189.7278	173.5468	0.7452105
1620	-15.07168	-188.5454	173.4737	0.8439204
1626	-5.339774	-178.8845	173.5447	0.7483225
1632	-2.082055	-175.5927	173.5106	0.7966483
1638	1.079669	-172.3769	173.4565	0.8646891
1644	-3.182436	-176.7084	173.526	0.7756172
1650	-0.6222916	-173.9935	173.3712	0.9592008
1656	-5.029399	-178.4332	173.4038	0.9244759
1662	-4.92188	-178.5092	173.5874	0.6766864
1668	-16.75968	-190.2906	173.5309	0.7686282
1674	-6.488743	-180.0196	173.5309	0.7686282
1680	-1.885579	-175.5011	173.6155	0.6139877
1686	-9.135756	-182.5922	173.4564	0.8647718
1692	-12.70174	-186.2376	173.5359	0.7614403
1698	-9.576946	-182.9184	173.3415	0.989727
1704	-6.492894	-180.0309	173.538	0.7582469
1710	-27.02445	-200.3915	173.367	0.9635857
1716	-23.44211	-196.7188	173.2767	1.053259
1722	-24.4555	-197.491	173.0355	1.265689
1728	-26.33249	-199.2712	172.9387	1.344208
1734	-12.73826	-185.9612	173.2229	1.103374
1740	-0.1652194	-173.65	173.4848	0.8301566
