"scenario","gridTag","repID","modelID","pass","rhat_max","ess_min","tree_ess","asdsf","rhat_pass","ess_pass","asdsf_pass"
"mk","tl2.50_gl0.25_c25","sim009","model12",TRUE,0.999361230455953,721.745284854358,333.289182745916,0.00562953995157385,TRUE,TRUE,TRUE
"mk","tl2.50_gl0.25_c25","sim010","model12",TRUE,0.999411594094398,676.183795307905,279.237429400676,0.00604778691735213,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim001","model12",TRUE,0.999545351655671,757.02003812677,272.072966654988,0.00540320541308111,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim002","model12",TRUE,0.999653199233903,883.22844340106,234.533933016459,0.00502388657728464,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim003","model12",TRUE,0.999523698362975,676.54872512892,187.799859931731,0.00547391666960332,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim004","model12",TRUE,0.999612928514121,741.27543731158,187.699443537182,0.00514261787545044,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim005","model12",TRUE,0.999267668760587,762.538735575341,146.635567502631,0.00694444444444444,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim006","model12",TRUE,0.999780292218031,1552.13826378261,232.635587580195,0.00369025430852998,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim007","model12",TRUE,0.999381024603322,638.306105699919,179.748003552092,0.00582251962387862,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim008","model12",TRUE,0.999647079797818,909.465033236736,396.638608215066,0.00486597174820968,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim009","model12",TRUE,0.999508237035589,845.959864642552,300.769729224377,0.00562509412066934,TRUE,TRUE,TRUE
"mk","tl5.00_gl0.25_c25","sim010","model12",TRUE,0.999780968856957,658.958307931903,429.213824663401,0.0035550666617423,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim001","model12",TRUE,0.999310107050559,755.240235738711,481.313412663282,0.00679132062466635,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim002","model12",TRUE,0.999542019766666,712.946834869385,556.423957154302,0.00540315503520737,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim003","model12",TRUE,0.999166325978311,706.291602161943,457.016671152655,0.0082919250130017,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim004","model12",TRUE,0.999374805412113,790.415313898689,285.448751966844,0.00620817702067296,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim005","model12",TRUE,0.999130056530478,752.22365841735,465.944550241001,0.00714435094970967,TRUE,TRUE,TRUE
"mk","tl1.00_gl0.50_c25","sim006","model12",TRUE,0.999503846620994,1002.95957720119,424.562008993232,0.00520562462589173,TRUE,TRUE,TRUE
