Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
420	-207.8237	-375.5725	167.7489	0.06435466	0.6367539	1.335034	1.380898	2.645475
426	-201.9878	-369.9829	167.9951	0.06434572	0.9486407	1.033216	1.524238	2.402101
432	-204.5456	-374.1135	169.5679	0.1007382	0.6832108	0.6280337	1.373113	1.872
438	-206.2437	-374.7162	168.4726	0.07943994	1.142888	1.219708	1.37117	1.934683
444	-208.0609	-376.0509	167.9901	0.1009821	1.264025	1.464915	1.476515	1.934683
450	-207.156	-375.5345	168.3786	0.1009821	1.198074	0.9813508	1.240182	2.189477
456	-224.6421	-393.4649	168.8228	0.1016572	0.9327343	1.110068	1.904088	1.520689
462	-225.6723	-393.6402	167.9679	0.08054353	1.376003	1.181616	2.365364	1.450212
468	-231.359	-399.9098	168.5508	0.260836	0.6404373	1.042375	2.227949	1.620175
474	-231.7903	-399.4246	167.6343	0.07115449	1.026174	1.509639	1.96581	1.994968
480	-220.0035	-388.1807	168.1772	0.07115449	0.8108757	1.659559	1.498571	1.994968
486	-214.3374	-380.7381	166.4007	0.05992693	1.388737	0.9268503	1.401442	3.250441
492	-219.0002	-385.9357	166.9356	0.05992693	1.178616	1.418498	1.74531	2.550095
498	-227.419	-394.7319	167.3128	0.05992693	0.6865574	1.418498	1.74531	2.615782
504	-221.5242	-389.8848	168.3606	0.05992693	0.7637856	0.8357812	1.648617	2.334179
510	-225.8399	-393.1871	167.3472	0.05992693	1.798966	0.628528	1.973838	2.263057
516	-215.5898	-381.8652	166.2754	0.05992693	2.412837	0.7425067	1.724071	2.707333
522	-224.7447	-390.6669	165.9222	0.05992693	1.287769	0.8366277	1.7932	3.411403
528	-228.4357	-395.7277	167.292	0.05937561	0.8316015	0.918128	1.649106	2.904113
534	-216.5142	-382.4105	165.8963	0.05504932	1.22559	1.43136	1.649106	3.205381
540	-204.49	-370.8973	166.4073	0.05504932	0.8957412	1.060612	1.641036	3.316153
546	-209.9418	-376.6199	166.6781	0.0576093	0.6297172	1.368551	1.316793	3.316153
552	-216.0918	-382.8933	166.8015	0.0576093	1.018487	0.8066088	1.316793	3.349854
558	-212.6718	-378.1053	165.4335	0.0576093	1.018487	1.189626	1.227336	3.973716
564	-213.9792	-378.5267	164.5476	0.04400929	1.181783	1.368881	2.08319	3.805399
570	-201.9952	-368.8125	166.8173	0.05111529	0.6975247	0.8635501	1.475407	3.402713
576	-202.904	-368.3887	165.4847	0.05111529	0.7298094	1.76057	1.449449	3.674672
582	-206.5586	-372.7811	166.2225	0.05501757	0.667191	1.396188	1.101405	3.674672
588	-209.4378	-375.3898	165.9519	0.05501757	1.084271	1.01032	1.344073	3.674672
594	-213.366	-378.7572	165.3912	0.05452086	1.084271	1.089231	1.317345	3.967604
600	-218.4552	-385.7703	167.3151	0.05452086	0.8369648	0.7345761	1.473831	3.102603
606	-229.5345	-396.4063	166.8718	0.05452086	0.665967	1.349004	1.473831	3.102603
612	-224.9991	-391.1418	166.1427	0.05452086	0.665967	1.440607	1.94832	3.201901
618	-236.7359	-403.2071	166.4712	0.05452086	0.8690582	1.299072	2.294389	2.761896
624	-234.8128	-402.0889	167.2761	0.06787244	1.285238	1.299072	1.751078	2.333735
630	-245.6363	-412.5502	166.9139	0.08610294	2.075422	1.033715	1.608678	2.355534
636	-227.1503	-396.0815	168.9312	0.08610294	0.6234875	1.210693	1.410993	1.939448
642	-223.2338	-392.3815	169.1477	0.08610294	0.8133209	0.5782738	1.397239	2.091659
648	-224.6526	-393.8197	169.1671	0.5579078	0.6555478	0.6269386	1.665696	1.64607
654	-223.2939	-391.9854	168.6915	0.1149282	0.9593964	1.007202	1.665696	1.829271
660	-222.1478	-390.5708	168.423	0.2338417	0.9601413	1.324386	1.501402	1.829271
666	-209.3254	-377.84	168.5146	0.07989822	0.6372896	1.136226	1.149216	2.424161
672	-212.584	-380.9418	168.3577	0.06558131	0.6372896	0.7728422	1.149216	2.753661
678	-214.222	-382.961	168.739	0.09480083	0.9716198	0.7728422	1.149216	2.297558
684	-214.7629	-384.4728	169.7099	0.09480083	0.8893202	0.6121993	1.228935	1.750102
690	-209.8628	-379.7778	169.915	0.09286385	0.4849598	0.7654852	2.034537	1.135935
696	-215.3724	-384.9079	169.5355	0.118988	0.426708	0.9480937	2.337832	1.041159
702	-217.5164	-386.2541	168.7377	0.118988	0.7443553	1.143721	2.331562	1.36077
708	-229.5611	-397.0958	167.5347	0.7470719	0.8830059	1.029457	2.331562	1.7688
