Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
72	66.277	-199.1637	265.4407	0.499991	0.0135856	0.0182666	0.00560414	0.0164641	0.000321794	0.0251894	0.0172076	0.00055899	0.00825022	0.00170079	0.00415893	0.0119979	0.00357465	0.000498836	0.00782443	0.0129538	0.00716609	0.0116297	0.012663	0.00100631	0.0179144	0.000585074	0.0601481	0.0139171	0.0124931	0.0235366	0.0265013	0.0414366	0.0036897	0.0298028	0.0197085	0.00812202	0.0107298	0.0463855	0.00441588	0.1943695
78	57.63642	-207.9764	265.6128	0.499458	0.0124489	0.0167383	0.00513526	0.0150866	0.000294871	0.0230819	0.0157679	0.000512221	0.00755995	0.00155849	0.00381096	0.0109941	0.00470432	0.0004571	0.00716978	0.01187	0.0151435	0.0106567	0.0116035	0.00189588	0.0164156	0.000536123	0.0551157	0.0127526	0.0114479	0.0215673	0.024284	0.0379697	0.00338099	0.0273093	0.0180596	0.00744247	0.0412198	0.0425046	0.00404641	0.2669051
84	56.27918	-209.4823	265.7615	0.413817	0.00611311	0.0138765	0.00453877	0.00641066	4.53248e-05	0.0379306	0.00454676	0.00333974	1.45442e-05	0.0152887	0.00405517	0.00727352	0.01665	0.000757998	0.00703692	0.00174216	0.0210205	0.00194895	0.01405	0.0100725	0.00212967	0.0011625	0.0271447	0.025399	0.0206588	0.0219988	0.0364321	0.0218773	0.0113985	0.0516501	0.0197587	0.00503977	0.0845549	0.064157	0.0161089	0.4240726
90	58.20289	-207.4271	265.6299	0.447963	0.00546806	0.0124123	0.00405984	0.0057342	4.05421e-05	0.0339282	0.00406699	0.00298733	1.30095e-05	0.0136754	0.00362727	0.00650602	0.0148931	0.000678014	0.00629439	0.00155832	0.0188024	0.0017433	0.0125674	0.00186824	0.00190494	0.00103983	0.0242804	0.0227189	0.0184789	0.0196775	0.0325878	0.0195688	0.0101958	0.0462	0.0176737	0.00450797	0.0756327	0.0573871	0.0492578	0.2771425
96	60.49478	-205.2728	265.7676	0.458084	0.00200832	0.0126927	0.00421437	0.00586376	7.19786e-05	0.0145104	0.00415887	0.00330742	1.33034e-05	0.0139844	0.00370922	0.00900492	0.0152295	0.000693333	0.0064366	0.00159353	0.0192272	0.00178268	0.0128514	0.00191045	0.000424763	0.00106332	0.024829	0.0232322	0.0188964	0.020122	0.0333241	0.020011	0.0104261	0.0472438	0.018073	0.00460982	0.0773415	0.0586837	0.0503707	0.4441168
102	57.21078	-208.5486	265.7593	0.463084	0.00203024	0.0128312	0.00426037	0.00592775	7.27642e-05	0.0146688	0.00420426	0.00334351	1.34486e-05	0.014137	0.0037497	0.00910319	0.0153957	0.000700899	0.00650684	0.00161092	0.0194371	0.00180214	0.0129916	0.00110512	0.000429398	0.00107493	0.0251	0.0234857	0.0191026	0.0203416	0.0336877	0.0101418	0.0105399	0.0477594	0.0182703	0.00466013	0.0781856	0.0593241	0.0509205	0.4183832
108	71.33313	-194.4088	265.742	0.517139	0.00293048	0.014329	0.00475768	0.00661969	8.12579e-05	0.0163811	0.00469502	0.0037338	1.50184e-05	0.0157872	0.0041874	0.0101658	0.0171929	0.000782715	0.00726638	0.00179896	0.0217059	0.0020125	0.0109533	0.00123412	0.000479522	0.0012004	0.0181763	0.0262272	0.0213325	0.0206538	0.00941401	0.0113256	0.0117702	0.0533343	0.020403	0.00520411	0.0135966	0.066249	0.0568643	0.3833605
114	69.88142	-195.7327	265.6142	0.514426	0.0029151	0.00762752	0.00473272	0.00658497	8.08316e-05	0.0162951	0.00467039	0.00371421	1.49396e-05	0.0157044	0.00203035	0.0113178	0.0171027	0.00437962	0.00722826	0.00155925	0.0215921	0.00200194	0.0108958	0.00122764	0.00131659	0.00225605	0.018081	0.0260896	0.0212206	0.0205455	0.0159133	0.0112662	0.0117085	0.0530545	0.0202959	0.00517681	0.0135253	0.0668824	0.0565661	0.2676946
120	65.55234	-200.1169	265.6693	0.507656	0.00287674	0.00752714	0.00467044	0.00649831	7.97679e-05	0.0160807	0.00460893	0.00374427	1.4743e-05	0.0355316	0.00200364	0.0111688	0.0168776	0.00432199	0.00266202	0.00153873	0.0406122	0.0019756	0.0107524	0.00121149	0.0028719	0.00222636	0.00335279	0.016878	0.0209413	0.0202751	0.0157039	0.011118	0.0115544	0.0523563	0.0200288	0.00510868	0.0133473	0.0660022	0.0558216	0.3044265
126	63.43229	-202.0793	265.5116	0.506695	0.00511505	0.00751289	0.00466159	0.006486	7.96168e-05	0.0160503	0.0046002	0.00373718	1.47151e-05	0.0354643	0.00199984	0.0111477	0.0168457	0.0043138	0.0023105	0.00636095	0.0169536	0.00197186	0.0107321	0.00193507	0.00286646	0.0202492	0.00334644	0.016846	0.0209016	0.0202367	0.0156741	0.0110969	0.0115325	0.0522572	0.0199909	0.00509901	0.013322	0.0658772	0.0557159	0.2193314
