Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-710.2038	-878.4402	168.2364	0.8854217	1.416248	0.8818815	0.4999002	0.568488	0.431512	0.380358	0.619642	1.590322
6	-702.4208	-868.842	166.4212	1.475004	2.068529	1.126129	0.8849065	0.608336	0.391664	0.485684	0.514316	1.590322
12	-720.5923	-887.2994	166.7071	1.71942	1.242194	1.599361	0.9393845	0.488969	0.511031	0.294886	0.705114	1.425507
18	-711.9285	-879.7894	167.8609	0.2813596	2.031844	0.9633517	0.9393845	0.605128	0.394872	0.346462	0.653538	1.546585
24	-718.4493	-886.069	167.6197	0.5426716	2.252172	1.16019	0.9415199	0.532664	0.467336	0.347695	0.652305	1.215696
30	-723.2808	-891.2495	167.9686	0.3070461	1.564674	1.25248	0.7813539	0.532664	0.467336	0.376776	0.623224	1.627764
36	-725.1056	-891.8993	166.7937	1.577909	2.57014	0.7275985	0.6515111	0.545163	0.454837	0.41554	0.58446	1.400064
42	-710.4448	-876.8876	166.4428	1.867379	2.472723	0.7898763	0.9019369	0.678278	0.321722	0.286341	0.713659	1.381554
48	-699.7299	-867.6951	167.9652	0.625514	1.720372	0.6833121	0.7326368	0.491463	0.508537	0.272673	0.727327	1.792482
54	-708.2917	-875.1959	166.9042	0.543681	2.217287	1.073699	1.156767	0.495602	0.504398	0.451785	0.548215	1.652959
60	-724.7098	-892.7999	168.0901	0.6575993	1.166691	0.9849436	1.0112	0.603862	0.396138	0.451785	0.548215	1.583295
66	-720.7741	-887.8768	167.1026	1.106157	2.195574	0.9849436	0.9112211	0.603862	0.396138	0.510412	0.489588	1.359481
72	-713.6647	-880.6204	166.9557	0.6116143	1.854797	1.435608	0.7370524	0.520753	0.479247	0.494639	0.505361	1.826962
78	-714.6973	-882.2587	167.5614	1.005426	1.235038	1.42035	0.9964488	0.49619	0.50381	0.540939	0.459061	1.33772
84	-715.1746	-881.3643	166.1896	1.178994	1.839763	2.165112	1.115699	0.540946	0.459054	0.558348	0.441652	1.22735
90	-708.5818	-874.5297	165.9479	1.643219	2.259121	1.583957	0.9759493	0.508935	0.491065	0.53032	0.46968	1.27941
96	-706.0749	-873.8766	167.8017	0.3578824	2.025107	0.9418766	0.9862158	0.584095	0.415905	0.442157	0.557843	1.480794
102	-709.1878	-875.7583	166.5706	1.431733	2.123567	1.469403	0.9178926	0.543727	0.456273	0.501155	0.498845	1.1659
108	-710.3719	-877.096	166.7241	1.999903	1.764491	0.4533446	1.222656	0.463068	0.536932	0.388898	0.611102	1.366463
114	-703.4225	-868.9598	165.5372	2.38987	2.147985	0.6125104	0.9183668	0.635715	0.364285	0.399501	0.600499	1.871955
120	-706.612	-870.8199	164.2079	2.38987	3.242531	1.032745	1.190037	0.640626	0.359374	0.399501	0.600499	1.766008
126	-712.6718	-877.6782	165.0064	2.38987	2.031337	0.9723166	1.118248	0.565593	0.434407	0.413082	0.586918	1.906444
132	-710.2366	-875.2417	165.0051	2.38987	1.128696	1.153829	0.8105514	0.511978	0.488022	0.377696	0.622304	2.531463
138	-718.4904	-883.0326	164.5422	2.38987	2.306569	0.6272392	0.8105514	0.67095	0.32905	0.343285	0.656715	2.531463
144	-709.7842	-876.5333	166.749	1.640947	1.994491	0.8553285	1.14572	0.65285	0.34715	0.344214	0.655786	1.326131
150	-705.3589	-873.2812	167.9223	0.5831443	1.580322	0.7751985	0.8168823	0.489385	0.510615	0.420224	0.579776	1.75037
156	-710.0345	-877.8373	167.8028	0.5058903	1.477336	1.230598	0.5740192	0.505343	0.494657	0.36402	0.63598	1.826479
162	-725.5862	-893.4564	167.8702	0.5564542	1.427415	1.539779	0.5686765	0.553442	0.446558	0.427085	0.572915	1.554207
168	-742.0484	-908.5509	166.5025	0.990448	1.522809	2.059151	0.6584965	0.537102	0.462898	0.527353	0.472647	1.757369
174	-723.6544	-890.9472	167.2929	0.4993134	2.155255	1.242411	0.8988771	0.545364	0.454636	0.452706	0.547294	1.507438
180	-726.2433	-894.4361	168.1928	1.284693	1.085964	0.8300956	0.5379938	0.443966	0.556034	0.395215	0.604785	1.568267
186	-724.9366	-890.7481	165.8115	2.367088	1.409851	0.5953775	0.8699898	0.571599	0.428401	0.395215	0.604785	2.164041
192	-719.4326	-886.6289	167.1962	0.7273712	1.67567	1.697818	0.9355653	0.507591	0.492409	0.615541	0.384459	1.381417
198	-709.4046	-876.4329	167.0283	0.810307	2.470547	0.8235239	1.351104	0.510756	0.489244	0.382262	0.617738	1.261867
204	-715.7106	-882.7953	167.0847	1.762807	1.247049	1.068922	0.8622413	0.425805	0.574195	0.450569	0.549431	1.490997
210	-715.286	-883.9331	168.6472	0.5097517	1.159593	0.8612495	0.8825737	0.512115	0.487885	0.581316	0.418684	1.461573
216	-728.1086	-896.8403	168.7318	0.3704582	1.159593	0.8397091	0.7092499	0.387934	0.612066	0.294315	0.705685	1.719979
222	-717.3212	-884.3917	167.0705	0.4567561	2.392676	1.129174	0.9130217	0.665757	0.334243	0.439792	0.560208	1.674599
228	-712.5916	-880.0901	167.4985	0.4567561	2.363384	1.045177	0.7926959	0.706082	0.293918	0.278419	0.721581	1.628671
234	-709.134	-875.5175	166.3835	2.181602	1.846995	0.7117178	0.9127829	0.620586	0.379414	0.286458	0.713542	1.59525
240	-711.7772	-879.914	168.1368	1.01237	1.221258	0.942978	0.8202385	0.462086	0.537914	0.437251	0.562749	1.40409
246	-723.9118	-890.9389	167.0271	1.564209	1.601149	0.942978	0.7388383	0.514914	0.485086	0.476875	0.523125	1.60515
252	-724.6251	-891.1384	166.5133	1.367677	1.970593	0.942978	0.5859089	0.695136	0.304864	0.456841	0.543159	2.034226
258	-722.4025	-889.6294	167.2269	0.6872504	2.012874	0.9781837	0.9394295	0.407977	0.592023	0.33744	0.66256	1.712716
264	-722.5577	-889.2366	166.6789	0.6791949	2.640393	1.403959	0.6324194	0.488052	0.511948	0.426686	0.573314	1.630242
270	-719.6451	-886.381	166.7359	0.9434667	1.813528	1.343262	1.02931	0.512271	0.487729	0.477337	0.522663	1.630242
276	-720.8515	-888.7815	167.9299	0.5492166	1.192788	1.292382	0.9202913	0.330918	0.669082	0.472998	0.527002	1.630242
282	-724.1988	-890.2076	166.0088	2.16426	1.528496	1.179635	1.043171	0.527005	0.472995	0.472998	0.527002	1.56624
288	-728.0763	-894.6385	166.5622	1.5186	1.774573	1.699239	0.9869871	0.527005	0.472995	0.472998	0.527002	1.110895
294	-719.9028	-887.4987	167.5959	1.063968	1.146189	1.299311	0.9260388	0.527005	0.472995	0.472998	0.527002	1.478052
300	-723.1605	-890.2647	167.1042	0.8311855	2.113102	1.309206	1.177803	0.65038	0.34962	0.42619	0.57381	1.186319
306	-708.9002	-874.9242	166.024	1.569632	3.251271	0.8252142	1.119747	0.645716	0.354284	0.42619	0.57381	1.21202
312	-717.0356	-883.5383	166.5027	1.987245	1.714527	0.6085546	1.046794	0.626913	0.373087	0.521001	0.478999	1.633656
318	-696.2648	-864.5443	168.2795	0.596169	1.537636	0.8860715	0.7619596	0.604008	0.395992	0.374692	0.625308	1.502594
324	-695.9066	-864.0459	168.1393	0.4464278	1.666453	1.019726	1.004882	0.528148	0.471852	0.414767	0.585233	1.314165
330	-697.5082	-865.4437	167.9354	0.4464278	1.705483	0.8771389	0.8722245	0.520204	0.479796	0.414767	0.585233	1.649036
336	-702.2788	-869.9692	167.6904	0.4086205	1.516396	1.219892	0.7383917	0.45283	0.54717	0.548769	0.451231	1.819561
342	-713.5581	-879.4075	165.8494	1.153922	1.70762	2.697492	0.4980171	0.404739	0.595261	0.49388	0.50612	1.752883
348	-716.1786	-882.8556	166.677	1.153922	1.351519	2.33829	0.4928053	0.519174	0.480826	0.435695	0.564305	1.591827
