Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-51.01503	-221.7504	170.7353	0.8772304	0.7651216	1.268012	0.7119571
6	-40.43707	-211.2151	170.778	0.7134597	0.8433658	1.001548	1.072669
12	-40.96638	-208.9565	167.9901	3.157609	0.8682427	0.7922128	1.506889
18	-35.3259	-206.8471	171.5213	0.4382276	1.004202	0.4019953	1.045653
24	-34.05316	-205.2287	171.1755	0.4169438	0.8623811	1.257948	0.5561625
30	-34.21503	-204.9695	170.7545	0.6802048	1.071282	1.190284	0.4003197
36	-42.88528	-212.7003	169.815	0.9292134	0.5542108	2.390483	0.4838556
42	-34.25906	-205.3449	171.0858	0.9292134	0.5807676	1.042193	0.689662
48	-29.74876	-200.6576	170.9088	1.135213	0.4877905	0.9957867	0.8126253
54	-41.71045	-213.3823	171.6719	0.565451	0.3132814	0.8944215	0.7186729
60	-48.49964	-219.582	171.0823	0.2250925	0.6297742	1.767257	0.49607
66	-42.25557	-212.9631	170.7075	1.344719	0.5991463	0.8628953	0.8688472
72	-37.62372	-208.6433	171.0196	0.344842	1.683517	0.3774554	1.013833
78	-31.85628	-204.3899	172.5336	0.07109763	0.4930411	0.4415047	0.8001579
84	-41.24202	-212.3459	171.1039	1.079156	0.3954359	0.98261	0.6770178
90	-30.64974	-201.3098	170.6601	0.8503086	0.7102382	1.487003	0.5538584
96	-43.01374	-213.6248	170.611	1.187171	0.5390789	1.078406	0.9619863
102	-29.34979	-199.2634	169.9136	2.166258	0.238922	1.004291	0.6590457
108	-34.90441	-203.8685	168.9641	2.261901	0.1648647	1.665971	0.5522048
114	-33.5337	-204.8343	171.3006	0.389241	0.62792	1.337565	0.3595511
120	-31.42093	-203.4419	172.021	0.2628182	0.3363347	0.8824847	0.3595511
126	-31.00074	-200.2061	169.2053	1.032766	0.1945746	2.749702	0.3898332
132	-32.53065	-202.0666	169.536	2.683901	0.4193516	0.8674311	0.7910213
138	-34.60586	-204.7079	170.1021	2.136097	0.4114002	0.6000762	1.065761
144	-33.16821	-204.0502	170.8819	0.4054154	0.7611242	1.397013	0.9629783
150	-41.12022	-210.7113	169.591	1.187198	0.2346873	2.339209	0.5192209
156	-42.80673	-213.9507	171.1439	0.6362425	0.4527178	1.416771	0.5192209
162	-40.90394	-210.6323	169.7284	0.496524	2.110176	1.46621	0.465487
168	-32.08802	-202.6951	170.607	1.456314	0.555547	0.4179908	1.306823
174	-40.19916	-208.8406	168.6415	1.266193	1.688808	0.6404917	1.930268
180	-39.02484	-210.2722	171.2473	1.098074	0.4215015	0.6404917	0.9131851
186	-31.26476	-199.8344	168.5697	2.164984	1.745731	0.6369661	1.292413
192	-30.1062	-202.055	171.9488	0.6099124	0.5813372	0.4673259	0.7408575
198	-29.4467	-198.803	169.3563	2.799149	0.848344	0.4101483	0.9976561
204	-34.31556	-203.446	169.1304	2.799149	0.6122549	0.7096118	1.135055
210	-38.69399	-209.296	170.6021	1.223388	0.5305143	0.8764645	1.135055
216	-34.68276	-205.0102	170.3274	0.8989428	1.190084	0.8533951	1.135055
222	-25.02976	-197.3047	172.2749	0.1338536	0.343124	0.7951507	0.5844876
228	-28.65222	-199.2122	170.56	0.6445923	1.580825	0.8663393	0.7361708
234	-35.47336	-205.6161	170.1427	1.609124	0.8732919	1.084753	0.569838
240	-33.7099	-202.896	169.1861	2.921356	0.4447989	1.084753	0.5700524
246	-41.28175	-211.7337	170.452	0.7534475	1.407952	1.050497	0.6984026
252	-37.36115	-207.9352	170.574	0.5175866	0.7596092	1.858653	0.5573125
