Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-1325.493	-1497.904	172.4114	1.01996	0.8938569
6	-1346.317	-1518.638	172.3215	0.9767907	1.032492
12	-1347.497	-1519.79	172.2935	1.138516	0.8931568
18	-1351.217	-1523.599	172.3817	1.105076	0.8277305
24	-1348.118	-1520.34	172.2214	1.222202	0.8798657
30	-1342.57	-1515.074	172.5044	0.8939366	0.9304406
36	-1343.58	-1516.121	172.5418	0.8357201	0.9526223
42	-1345.462	-1517.856	172.3945	0.8972818	1.03874
48	-1352.656	-1525.277	172.6215	0.6294217	1.077545
54	-1348.974	-1521.214	172.2401	0.6294217	1.398629
60	-1352.562	-1524.945	172.3831	0.9826747	0.9648485
66	-1356.828	-1529.249	172.4206	0.9826747	0.9250305
72	-1352.954	-1525.262	172.3075	1.201602	0.7986876
78	-1364.92	-1537.187	172.2664	1.210869	0.8395643
84	-1357.677	-1530.068	172.3918	0.9946664	0.9430851
90	-1348.099	-1520.303	172.2034	1.218393	0.9046728
96	-1336.358	-1508.729	172.3714	0.936893	1.022774
102	-1340.584	-1512.869	172.2857	1.156372	0.8816449
108	-1337.876	-1510.291	172.4151	0.9341003	0.9819579
114	-1347.792	-1520.119	172.3267	1.055847	0.9472513
120	-1338.06	-1510.401	172.3413	1.041241	0.9472513
126	-1338.606	-1511.007	172.4012	1.063985	0.854367
132	-1346.788	-1519.077	172.2896	1.14629	0.8887137
138	-1343.321	-1515.642	172.3204	0.9775301	1.032872
144	-1346.121	-1518.528	172.4077	1.15473	0.7205835
150	-1348.497	-1520.988	172.4912	1.049178	0.7548396
156	-1349.364	-1521.848	172.4842	0.9274553	0.9158506
162	-1353.63	-1526.225	172.5944	0.8943802	0.825108
168	-1349.936	-1522.366	172.4304	0.9802241	0.9170474
174	-1341.704	-1514.051	172.3467	0.9802241	1.004357
180	-1336.361	-1508.435	172.0743	1.359021	0.8916269
186	-1338.301	-1510.716	172.4149	1.062949	0.8388349
192	-1337.764	-1510.066	172.3018	1.062949	0.9659476
198	-1336.02	-1508.4	172.3801	1.062949	0.8804398
204	-1345.635	-1518.201	172.5664	0.9595781	0.7756008
210	-1336.054	-1508.375	172.3213	1.103444	0.9013676
216	-1338.811	-1511.143	172.3321	1.103444	0.889121
222	-1338.495	-1511.093	172.5976	0.6789447	1.053369
228	-1341.834	-1514.464	172.6299	0.7645579	0.9346375
234	-1338.85	-1511.219	172.3697	0.9898042	0.9714061
240	-1348.42	-1520.719	172.2995	1.119973	0.9072435
246	-1341.177	-1513.387	172.2102	1.03988	1.078324
252	-1344.865	-1517.038	172.1732	0.8857456	1.246195
258	-1340.045	-1512.619	172.5739	0.6214782	1.128333
264	-1343.583	-1516.137	172.5541	0.7174982	1.058078
270	-1343.411	-1515.952	172.5413	0.7046185	1.082146
276	-1342.805	-1515.445	172.6392	0.7546382	0.9352006
282	-1339.964	-1512.555	172.5913	0.9245425	0.789649
