Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-179.3581	-348.6161	169.258	2.014004	0.6951652	1.885715	0.5695903
6	-185.7162	-356.1095	170.3932	1.450782	0.7821266	1.000432	0.8637104
12	-181.367	-351.7116	170.3446	1.206595	0.7265024	1.424079	0.7500935
18	-190.2694	-361.2916	171.0223	1.062813	0.7032354	1.000397	0.4520199
24	-191.7415	-361.0894	169.3479	1.909611	0.6510845	1.846277	0.7385314
30	-193.6847	-362.9737	169.2891	2.391871	0.9464235	0.9302433	1.072765
36	-196.4624	-365.2777	168.8153	2.26592	1.518934	1.241058	0.7369789
42	-186.2326	-356.1307	169.8981	2.255252	0.5893009	0.981216	0.8458865
48	-188.9346	-358.7855	169.8509	1.484688	0.6524383	1.76107	0.6767872
54	-178.3882	-348.5139	170.1257	1.368013	1.285067	0.8493294	0.8633526
60	-189.4149	-359.7624	170.3475	1.720595	0.6034623	0.4651659	1.324818
66	-176.8521	-347.9823	171.1302	1.397576	0.439003	0.6638497	0.7578533
72	-179.8962	-349.966	170.0697	2.061122	0.583717	1.098618	0.6562513
78	-178.2989	-349.8798	171.5809	0.8852134	0.583717	0.6266702	0.75899
84	-174.4016	-344.5694	170.1678	2.326967	0.3404309	0.5668046	1.053211
90	-171.0449	-340.5711	169.5262	2.876084	0.3444445	1.152191	0.4504019
96	-178.1809	-348.9878	170.8069	1.2578	0.8296047	0.6756075	0.9212715
102	-178.8191	-349.425	170.6058	1.173796	0.5736663	1.256009	0.8466902
108	-185.4177	-356.5542	171.1365	1.007092	0.2836499	0.6548857	1.150792
114	-196.414	-367.6528	171.2389	1.061213	0.4268656	0.4233688	1.235013
120	-189.8085	-359.4914	169.6829	1.462317	0.7820046	1.645896	0.9250363
126	-196.3829	-367.072	170.6891	1.084755	0.7820046	0.6858204	1.227032
132	-182.6966	-352.5978	169.9012	2.084537	0.7820046	0.7953729	1.008155
138	-195.0386	-364.5571	169.5185	3.041438	0.3927186	0.8740527	0.8562967
144	-202.0242	-372.8637	170.8395	0.8676972	0.7043332	1.250509	0.801516
150	-194.198	-364.743	170.5451	1.244529	0.5724724	1.388555	0.6232709
156	-182.1944	-353.2303	171.036	1.271684	0.4993145	0.8569596	0.7453309
162	-185.4764	-355.3474	169.8709	1.444278	1.394126	0.9783196	0.797853
168	-190.4995	-361.1637	170.6642	1.121553	1.084677	0.9075491	0.6140817
174	-196.3953	-366.0454	169.6501	1.899638	0.9554858	1.026096	1.014037
180	-178.5468	-349.2037	170.6568	1.063367	0.9554858	0.7625152	1.053851
186	-181.9702	-351.0084	169.0382	2.111304	0.9554858	1.417921	1.053819
192	-179.4801	-349.3595	169.8794	2.36165	0.6201913	0.8105757	0.9362931
198	-188.3792	-357.2424	168.8632	4.227327	0.5287959	0.8105757	0.7275808
204	-182.3486	-352.9685	170.6199	1.671279	0.3421125	0.6467636	1.075894
210	-180.9756	-351.0167	170.041	2.302339	0.3421125	0.3922321	1.330842
216	-179.5718	-350.3752	170.8034	1.696267	0.5524153	0.6327331	0.7774015
222	-188.7956	-358.5432	169.7477	2.858431	0.3456372	0.8353668	0.7774015
228	-190.0869	-360.723	170.6361	1.261794	0.851356	0.9391091	0.7774015
234	-190.4799	-361.0465	170.5667	0.6300218	0.74435	1.798948	0.6583527
240	-183.8898	-353.9063	170.0165	1.359425	0.9159771	1.309567	0.8905583
246	-198.5969	-367.0686	168.4717	3.428433	0.5889467	1.614023	0.7762493
252	-192.8311	-361.2144	168.3833	4.383422	0.2662068	1.286524	0.5672146
258	-205.6443	-375.0644	169.42	1.65898	1.393357	0.9281172	1.117752
264	-187.1027	-356.4315	169.3288	2.448277	1.000051	1.076502	0.7562096
270	-186.6834	-357.2118	170.5284	1.136684	0.800154	0.9948265	1.031429
276	-178.7134	-346.5385	167.8251	3.67855	1.321499	1.503703	0.4621159
282	-188.8788	-357.1569	168.2782	2.620829	1.610118	1.503703	0.5225394
288	-188.9053	-359.5121	170.6068	1.022897	0.853968	1.315909	0.496352
294	-188.3085	-357.75	169.4415	2.123493	1.053924	1.213909	0.6834666
300	-200.812	-368.2027	167.3907	4.18303	0.5554355	2.346465	0.6156273
306	-203.1098	-372.4798	169.37	1.653679	1.306897	1.228123	0.9615199
312	-189.4319	-359.3276	169.8957	1.552041	0.8292281	1.477149	0.6954151
318	-189.2551	-358.9233	169.6682	1.910627	0.575315	1.242994	1.118724
324	-176.721	-346.9534	170.2324	1.982137	0.575315	0.8419106	0.894953
330	-182.9618	-353.1271	170.1653	1.424226	1.350101	0.4885821	1.075386
336	-194.2951	-364.0523	169.7571	1.424226	1.350101	1.157336	0.7924578
342	-187.3253	-357.1071	169.7817	2.8166	0.7010737	0.3676321	1.06256
348	-175.5305	-347.0905	171.5601	0.6622589	0.6582034	0.8763345	0.6118
354	-190.4934	-360.7424	170.249	0.6755442	1.053509	1.791279	0.6118
360	-189.9683	-359.4639	169.4955	1.817131	0.9526725	1.571743	0.4532127
366	-184.7788	-354.0369	169.2581	0.6332204	1.242947	2.612115	0.3695542
372	-190.3222	-357.2501	166.9279	3.798929	0.5914715	3.007702	0.3935619
378	-197.4602	-368.0701	170.6099	1.580801	0.5914715	1.010306	0.549176
384	-188.4004	-359.8957	171.4953	0.9145349	0.5203733	0.8192338	0.5776416
390	-189.8093	-360.0347	170.2254	2.23618	0.4497106	0.6394344	0.9796368
396	-193.4188	-363.1135	169.6947	2.041509	0.5684115	1.496096	0.6682928
402	-182.0704	-352.2537	170.1833	1.508248	0.6094531	1.460535	0.641135
408	-191.5476	-360.3865	168.8389	2.864937	0.6094531	1.57751	0.8259949
414	-177.6757	-347.2434	169.5677	2.027598	0.7305369	1.519795	0.6089882
420	-183.6609	-353.0701	169.4092	3.106147	0.6829758	0.9005825	0.616051
426	-181.5655	-351.3633	169.7977	2.209589	0.7005809	1.13183	0.6867643
432	-183.9015	-353.9788	170.0773	1.483157	1.19621	0.8403695	0.9036857
438	-188.807	-359.9334	171.1264	0.7458882	0.6577203	0.7132849	1.214919
444	-189.8176	-359.5195	169.7019	1.906264	1.275298	0.8618303	0.7733049
450	-184.4231	-354.9708	170.5477	1.683678	0.3659357	0.9605949	0.8069234
456	-189.7497	-359.3659	169.6162	1.694733	0.8304227	0.9605949	1.364725
462	-181.8502	-352.0707	170.2205	1.694733	0.501704	1.023894	1.033639
468	-185.1542	-355.6748	170.5206	1.694733	0.4701903	0.7418012	1.033639
474	-200.4748	-370.7794	170.3046	1.299572	0.6611675	1.343824	0.867084
480	-186.1504	-356.8828	170.7324	0.9647343	0.6611675	1.343824	0.739233
486	-184.7035	-354.6353	169.9319	1.614524	1.290276	0.8288448	0.8365524
492	-182.5454	-352.8513	170.306	1.0011	0.874031	1.379266	0.9300973
498	-184.5927	-353.4472	168.8545	4.478988	0.3021127	0.7338871	0.7093246
504	-189.7651	-357.968	168.203	4.755199	0.3944168	1.31902	0.522735
510	-183.5187	-353.108	169.5894	3.27112	0.3015691	0.7819467	0.6117481
516	-184.5326	-355.2744	170.7418	0.7961817	0.8349476	1.415221	0.4347751
522	-179.5686	-349.9974	170.4287	2.146067	0.5523452	0.7274804	0.5579516
528	-171.0732	-340.9527	169.8795	1.700357	1.048395	1.180457	0.4062074
534	-167.8889	-338.7468	170.8579	1.219782	0.3786119	1.223448	0.4919664
540	-181.8981	-351.6483	169.7502	0.8816503	1.201142	1.880464	0.7394245
546	-190.377	-359.9004	169.5234	2.349622	0.4654486	1.52965	0.4861657
552	-185.2503	-356.0995	170.8492	1.488838	0.4830159	0.7933854	0.8175221
558	-176.8303	-347.2568	170.4264	1.488838	0.8874878	0.9726338	0.6469757
564	-184.6327	-355.4814	170.8486	0.3632492	0.4283596	1.919174	0.6090393
570	-179.976	-348.4313	168.4553	2.702789	0.9126063	1.936541	0.5619209
576	-180.2454	-349.6906	169.4452	1.850325	1.331379	1.174204	0.3593535
582	-175.4473	-346.0212	170.5739	1.850325	0.2626673	0.856862	0.566178
588	-179.7224	-349.6488	169.9264	1.795905	0.9185675	1.16354	0.6436783
594	-183.67	-350.5156	166.8456	3.470009	0.9377689	2.997802	0.4790575
600	-192.0676	-363.2321	171.1644	0.5301345	0.904352	1.162573	0.5323556
606	-189.1322	-360.4217	171.2895	0.9848064	0.5909425	0.8907216	0.400484
612	-185.7106	-356.5171	170.8065	1.517679	0.7080699	0.6513556	0.7916879
618	-187.7071	-358.1733	170.4663	1.263069	1.069175	0.6998104	0.9973988
624	-193.604	-364.2062	170.6022	1.093633	0.983008	0.9836426	0.8103904
630	-193.6996	-363.9321	170.2324	2.051993	0.3350662	1.079505	0.5605508
636	-198.4586	-368.1131	169.6545	2.051993	1.02638	1.101618	0.6563022
