Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-405.3025	-570.2789	164.9765	5.124032	0.8220749	1.433386	1.829661
6	-402.5229	-569.3223	166.7995	3.861033	0.6359715	1.474052	1.52497
12	-416.0125	-582.5876	166.5751	2.937199	1.168684	2.104049	1.52497
18	-399.0418	-565.4116	166.3698	2.687839	1.436435	1.294559	2.213481
24	-392.8339	-560.8952	168.0613	1.53431	0.8915617	1.094526	2.340341
30	-398.2991	-562.3447	164.0455	4.877831	1.16134	1.175777	2.54288
36	-394.3919	-559.509	165.1171	5.165997	0.6518522	1.172589	1.990786
42	-389.0104	-555.9736	166.9632	2.926205	0.7796017	0.9956328	2.286081
48	-387.9534	-555.5381	167.5847	2.722217	0.6524769	0.9230755	2.139366
54	-396.9996	-559.8297	162.8301	6.362201	1.048023	1.084642	2.502288
60	-393.7496	-560.002	166.2524	3.950879	0.8387305	0.7178402	2.225892
66	-397.5332	-563.1906	165.6575	4.636903	0.7694803	1.103179	1.956936
72	-390.9905	-555.3463	164.3557	4.895074	0.6786505	1.057462	2.706026
78	-386.9455	-553.6975	166.752	2.722445	1.086668	1.051701	2.320786
84	-391.6475	-559.7208	168.0733	2.424433	0.5997243	0.9935947	1.996492
90	-396.6176	-565.35	168.7324	1.292555	0.919505	1.026024	2.089274
96	-409.0018	-576.9897	167.9879	1.598693	1.283379	2.262761	1.254559
102	-396.0157	-565.957	169.9413	1.097164	0.6208961	1.626371	1.105331
108	-408.3269	-577.0752	168.7483	1.248155	1.111547	2.042295	1.237805
114	-406.2357	-575.7619	169.5261	0.07122152	1.200349	1.278571	2.020155
120	-406.6347	-576.9202	170.2856	0.07122152	0.8734445	0.8445676	2.020155
126	-408.4206	-579.5858	171.1652	0.113051	0.5842578	1.345316	1.168931
132	-403.4426	-568.4058	164.9632	4.890095	1.202345	0.9285301	2.081065
138	-411.3055	-576.1561	164.8506	4.118383	1.058142	1.64621	2.282072
144	-395.5023	-561.7117	166.2095	3.384408	1.222328	1.238752	2.034546
150	-403.9095	-566.956	163.0465	7.187322	1.086851	0.950579	1.888509
156	-403.3342	-565.1672	161.8329	7.8851	0.6401323	1.175576	2.362518
162	-399.9234	-563.0671	163.1437	6.339742	0.8470606	0.9135769	2.552261
168	-405.0873	-565.7462	160.6588	9.237344	0.6949357	1.393912	2.074954
