Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-909.0233	-1076.902	167.8784	0.02891856	2.016149	1.130299	1.148249	2.035864
6	-914.396	-1082.552	168.1561	0.03945394	1.600286	1.129966	1.148249	2.087606
12	-898.9549	-1067.504	168.5489	0.4182964	1.600286	0.8531223	1.148249	1.752131
18	-912.1726	-1080.727	168.5549	0.1607271	1.936317	0.650039	1.116352	1.874218
24	-903.4379	-1072.17	168.7318	0.01136563	1.110639	0.9800138	0.9139812	2.2864
30	-906.2516	-1074.249	167.9973	0.01996362	1.522432	1.175994	0.809585	2.436658
36	-910.6437	-1078.512	167.8679	0.2253878	1.039317	1.329951	0.7852215	2.6033
42	-904.5994	-1072.228	167.6287	0.3737627	1.579879	0.9623003	0.8575351	2.515928
48	-912.7298	-1080.662	167.9321	0.2206379	1.551562	0.8374867	0.8573093	2.515928
54	-904.8016	-1073.212	168.4099	0.0480651	1.200852	0.8540444	0.8573093	2.524946
60	-918.0988	-1086.108	168.0094	0.2644341	1.884447	1.065058	0.9613816	2.034516
66	-907.701	-1076.09	168.3886	0.2331509	1.245616	0.6264154	0.8624271	2.525064
72	-905.0402	-1073.102	168.0614	0.1153098	1.468208	0.7296353	0.8624271	2.61085
78	-909.8757	-1078.1	168.2242	0.0526706	1.275092	0.7911215	0.8888033	2.61085
84	-905.8881	-1073.908	168.0195	0.01830717	1.329384	0.9874598	0.8314495	2.641363
90	-901.8434	-1070.106	168.2624	0.02251971	1.288665	0.9039172	0.9354213	2.499705
96	-908.1506	-1076.151	168.0002	0.02758881	1.55288	0.7040376	1.089286	2.528106
102	-909.3268	-1078.319	168.9923	0.06603478	1.192576	0.7453981	0.8561835	2.21705
108	-913.6184	-1081.648	168.0293	0.2073792	1.33471	0.9299302	0.981275	2.457025
114	-929.2714	-1096.735	167.4637	0.1768379	2.2685	1.45802	1.016839	1.950758
120	-923.4656	-1091.56	168.0943	0.3255068	1.084783	1.178003	0.9004977	2.391542
126	-912.8615	-1081.055	168.1933	0.4186125	1.176738	0.9302911	0.8651302	2.390823
132	-908.9686	-1076.827	167.8586	0.1824624	1.639014	0.8178615	0.9730293	2.475177
138	-905.0489	-1073.373	168.324	0.1824624	1.765644	0.6011972	0.8394461	2.318958
144	-905.3405	-1074.288	168.9477	0.1537007	0.9739871	0.9258559	0.9730174	2.139938
150	-903.9272	-1071.99	168.0626	0.2240771	1.442883	0.9258559	0.8734714	2.430834
156	-912.5546	-1080.588	168.0337	0.1208659	1.866624	1.071316	1.130088	2.007832
162	-897.9163	-1065.965	168.0492	0.1500046	1.405016	0.8905375	1.259579	2.286516
168	-896.905	-1065.187	168.282	0.1067076	1.513984	0.8949575	0.9442847	2.298318
174	-898.0875	-1066.846	168.7587	0.1464362	1.25748	0.6817489	1.051035	2.187053
180	-910.6481	-1079.111	168.4626	0.2509984	1.759216	0.8492308	1.054856	1.894879
186	-910.9553	-1079.242	168.287	0.2642421	1.759216	0.9395222	1.127623	1.894879
192	-910.2109	-1078.587	168.3762	0.0442223	1.546671	1.016721	1.029665	2.124441
198	-912.7402	-1081.303	168.5629	0.01009958	1.754401	0.9245654	1.20792	1.838274
204	-915.4836	-1083.683	168.1997	0.1064538	1.704468	0.9628319	0.9751041	2.175583
210	-905.7822	-1073.593	167.8105	0.3818597	1.424264	0.7831595	0.7901929	2.640005
216	-905.1895	-1073.217	168.0272	0.1587376	1.634111	1.050591	1.105461	2.153386
222	-913.4742	-1081.274	167.7995	0.1587376	1.634111	0.8227664	1.044178	2.482259
228	-920.1961	-1088.441	168.2447	0.2756893	1.498853	0.8912717	1.034396	2.166927
234	-920.1729	-1087.768	167.5946	0.1864748	1.754478	1.10741	0.9486814	2.407376
240	-924.2361	-1092.65	168.4136	0.3968677	1.109069	0.7794974	0.7693048	2.461851
246	-918.4811	-1086.887	168.4062	0.04346547	1.109069	0.8054259	0.9181499	2.578437
252	-914.3219	-1082.626	168.3042	0.01949667	1.189104	0.8221144	0.7284083	2.714106
258	-913.0717	-1081.697	168.6254	0.1046667	0.9717909	0.8743239	0.8416791	2.494641
264	-918.0028	-1086.422	168.4195	0.411025	1.323285	0.8485793	1.119875	2.044846
270	-920.1325	-1088.239	168.1066	0.5707393	1.833336	0.6513377	1.267267	1.857492
276	-908.1272	-1077.3	169.1725	0.1131324	1.608118	0.5400131	0.9504562	1.857492
282	-901.7722	-1069.62	167.8482	0.2113905	1.303867	0.9812461	0.7639196	2.688545
