cell_label,M4,M2,M7,M3,M5,M8 (NT baseline),M11,M10,M6,M9,M1 (Mk baseline),M12
"tree_length=2.5, gain_loss=0.25, n_char=100",0.255,0.254,0.266,0.256,0.255,0.257,0.221,0.254,0.256,0.256,0.256,0.244
"tree_length=5, gain_loss=0.25, n_char=100",0.254,0.256,0.263,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=1, n_char=100",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=0.1, n_char=100",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=0.5, n_char=100",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=1, gain_loss=0.5, n_char=200",0.198,0.198,0.196,0.198,0.198,0.198,0.18,0.197,0.198,0.198,0.198,0.199
"tree_length=1, gain_loss=1, n_char=200",0.198,0.198,0.196,0.198,0.198,0.198,0.18,0.197,0.198,0.198,0.198,0.196
"tree_length=1, gain_loss=0.25, n_char=200",0.198,0.198,0.196,0.198,0.198,0.198,0.18,0.197,0.198,0.198,0.198,0.195
"tree_length=1, gain_loss=0.1, n_char=200",0.198,0.198,0.196,0.198,0.198,0.198,0.18,0.197,0.198,0.198,0.198,0.133
"tree_length=5, gain_loss=0.1, n_char=200",0.181,0.182,0.181,0.18,0.182,0.181,0.144,0.185,0.183,0.18,0.184,0.193
"tree_length=5, gain_loss=0.25, n_char=200",0.181,0.182,0.181,0.18,0.182,0.181,0.144,0.185,0.183,0.18,0.184,0.182
"tree_length=5, gain_loss=0.5, n_char=200",0.181,0.182,0.181,0.18,0.182,0.181,0.144,0.185,0.183,0.18,0.184,0.181
"tree_length=5, gain_loss=1, n_char=200",0.181,0.182,0.181,0.18,0.182,0.181,0.144,0.185,0.183,0.18,0.184,0.181
"tree_length=1.5, gain_loss=0.25, n_char=200",0.158,0.161,0.161,0.16,0.16,0.162,0.133,0.162,0.162,0.162,0.157,0.182
"tree_length=2.5, gain_loss=0.25, n_char=200",0.159,0.161,0.128,0.16,0.161,0.16,0.128,0.16,0.16,0.162,0.16,0.218
"tree_length=1.5, gain_loss=0.1, n_char=200",0.158,0.161,0.161,0.16,0.16,0.162,0.133,0.162,0.162,0.162,0.157,NA
"tree_length=1.5, gain_loss=1, n_char=200",0.158,0.161,0.161,0.16,0.16,0.162,0.133,0.162,0.162,0.162,0.157,0.156
"tree_length=1.5, gain_loss=0.5, n_char=200",0.158,0.161,0.161,0.16,0.16,0.162,0.133,0.162,0.162,0.162,0.157,0.153
"tree_length=2.5, gain_loss=1, n_char=200",0.159,0.161,0.147,0.16,0.161,0.16,0.128,0.16,0.16,0.161,0.16,0.159
"tree_length=2.5, gain_loss=0.1, n_char=200",0.159,0.161,0.128,0.16,0.161,0.16,0.128,0.16,0.16,0.162,0.16,NA
"tree_length=2.5, gain_loss=0.5, n_char=200",0.159,0.161,0.128,0.16,0.161,0.16,0.128,0.16,0.16,0.162,0.16,0.114
