Iteration	Posterior	Likelihood	Prior	acrv_sd	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	tree_length
0	-1651.277	-1790.555	139.2783	1.835471	0.0243683	0.419544	0.00897513	0.133451	0.138997	0.135392	0.132506	0.0337951	0.134345	0.192734	0.155767	0.101535	0.35595	0.0611561	0.0904409	0.0359413	0.179745	0.0684296	0.0773923	0.164801	0.404081	0.292268	0.39958	0.169444	0.22132	0.120524	0.0841431	0.0382858	0.0108272	0.380285	1.07326	0.033094	0.100074	0.386476	0.138571	0.361	0.0895724	0.0961821	0.16246	0.353909	0.0848957	0.245841	0.408351	0.242082	0.283688	0.0433935	0.393867	0.254597	0.161059	0.122073	0.0632052	0.218132	0.0376557	0.0667717	0.0544009	0.229053	0.225188	0.199188	0.292568	0.0785552	0.0917359	0.0492727	0.0603205	0.250027	0.239456	0.235117	0.273313	0.773846	0.155498	0.53439	0.235127	0.188962	0.131004	0.139785	0.171203	0.800456	0.0208617	0.173085	0.178284	0.0920064	0.03649	0.14671	0.389721	0.247056	0.124506	0.129728	0.228989	0.0817464	0.0898109	0.2233	0.179606	0.124798	0.205123	0.037044	0.0260142	0.16365	0.0762722	0.00131228	0.0225932	0.000483326	0.00718656	0.00748524	0.0072911	0.00713569	0.00181992	0.00723471	0.0103791	0.00838831	0.00546786	0.0191685	0.00329336	0.0048704	0.0019355	0.0096796	0.00368505	0.00416771	0.00887482	0.0217605	0.0157391	0.0215181	0.00912485	0.0119185	0.00649043	0.00453125	0.00206176	0.000583062	0.020479	0.0577971	0.00178217	0.00538914	0.0208124	0.00746228	0.0194405	0.00482363	0.00517957	0.00874876	0.0190586	0.00457178	0.013239	0.0219904	0.0130365	0.0152771	0.00233682	0.0212104	0.0137105	0.00867329	0.00657385	0.00340371	0.0117468	0.00202782	0.00359577	0.00292958	0.0123349	0.0121268	0.0107266	0.0157553	0.00423033	0.00494014	0.00265342	0.00324837	0.0134644	0.0128951	0.0126615	0.0147184	0.0416729	0.00837385	0.0287778	0.012662	0.0101759	0.00705477	0.00752769	0.00921958	0.043106	0.00112344	0.00932092	0.00960091	0.0049547	0.00196505	0.0079006	0.0209872	0.0133044	0.00670484	0.00698609	0.0123315	0.00440218	0.00483647	0.0120251	0.00967211	0.00672061	0.0110462	0.00199488	0.00140091	0.00881284	0.00410739	0.0224624	0.103381	0.332996	1.53258	18.56951
36	-1659.801	-1800.317	140.5154	1.749622	0.0396982	0.45757	0.0107393	0.132412	0.374554	0.0984618	0.127154	0.000190773	0.236476	0.126789	0.110303	0.016413	0.36244	0.0075709	0.097241	0.07415	0.20504	0.132628	0.0781296	0.0940499	0.480562	0.308234	0.358718	0.0362784	0.0993552	0.01403	0.137522	0.0532	0.15803	0.318736	0.916877	0.135249	0.0328306	0.175641	0.11364	0.377133	0.191209	0.164142	0.270168	0.339613	0.0824674	0.194652	0.0620288	0.300222	0.118486	0.0175149	0.446157	0.125916	0.0892806	0.0785083	0.323309	0.280226	0.119269	0.167987	0.0739194	0.28169	0.210199	0.0449621	0.261384	0.127484	0.19639	0.0325459	0.0248268	0.0903694	0.662858	0.0765283	0.301928	0.264095	0.231713	0.165468	0.434769	0.164898	0.22096	0.028028	0.136145	0.378151	0.032205	0.225209	0.0892804	0.345365	0.0480103	0.270998	0.103538	0.186301	0.0876028	0.0513357	0.485011	0.031549	0.1454	0.396845	0.575122	0.0360122	0.23075	0.0949707	0.0953285	0.0415355	0.126828	0.00220819	0.0254521	0.000597369	0.00736533	0.0208344	0.00547688	0.00707285	1.06117e-05	0.0131538	0.00705257	0.00613557	0.000912961	0.0201605	0.000421127	0.00540897	0.00412455	0.0114052	0.00737738	0.00434592	0.00523147	0.026731	0.0171453	0.0199535	0.00201797	0.00552658	0.00078041	0.00764958	0.00295922	0.00879035	0.0177295	0.0510007	0.00752317	0.00182618	0.00976995	0.00632115	0.0209778	0.0106359	0.00913031	0.015028	0.0188908	0.0045872	0.0108274	0.00345032	0.0166997	0.00659072	0.000974257	0.0248172	0.007004	0.00496618	0.00436698	0.0179839	0.0155874	0.00663429	0.0093442	0.00411172	0.0156688	0.0116922	0.00250099	0.0145393	0.00709125	0.0109241	0.00181035	0.00138098	0.00502674	0.0368711	0.00425684	0.0167946	0.0146901	0.0128889	0.00920408	0.0241837	0.00917237	0.0122908	0.00155904	0.007573	0.0210344	0.00179139	0.0125271	0.00496617	0.0192107	0.00267054	0.0150741	0.00575923	0.0103629	0.00487286	0.00285552	0.0269785	0.0017549	0.0080878	0.0220743	0.0319908	0.00200316	0.0128353	0.00528269	0.00530259	0.00231039	0.00705474	0.0289187	0.123924	0.377913	1.61945	17.97771
72	-1664.514	-1808.604	144.0902	1.722151	0.0354869	0.165374	0.0488258	0.0380729	0.245856	0.0777907	0.0653807	0.00185672	0.0610133	0.0602663	0.377591	0.0227666	0.242106	0.00883401	0.179309	0.0768277	0.147347	0.0468808	0.0701787	0.122739	0.298962	0.248361	0.320601	0.0759509	0.153028	0.100927	0.225335	0.0804586	0.0553373	0.174997	0.368482	0.232675	0.0562341	0.271333	0.0616346	0.491657	0.0924631	0.0680492	0.246875	0.288191	0.0681572	0.0429302	0.0669438	0.256385	0.1408	0.10047	0.320788	0.448316	0.161462	0.396147	0.0763316	0.461428	0.0207833	0.0243891	0.189037	0.0194179	0.398148	0.075393	0.253285	0.0644871	0.0775131	0.0883752	0.0979229	0.158133	0.678593	0.0831919	0.104754	1.167	0.464549	0.162173	0.364367	0.0076222	0.0451608	0.010514	0.0427711	0.424825	0.184362	0.120065	0.0746831	0.293487	0.124279	0.29283	0.266707	0.0624077	0.0130489	0.0239447	0.226989	0.0319662	0.111908	0.0901856	0.112109	0.133538	0.0771458	0.125914	0.0271914	0.131972	0.05711	0.00219727	0.0102396	0.00302318	0.00235739	0.0152229	0.00481663	0.00404823	0.000114964	0.00377781	0.00373155	0.0233796	0.00140965	0.0149907	0.000546982	0.0111024	0.004757	0.0091234	0.00290275	0.00434531	0.00759972	0.0185111	0.0153779	0.0198509	0.00470271	0.00947512	0.00624916	0.0139523	0.00498181	0.00342636	0.0108354	0.0228156	0.0144067	0.00348189	0.0168003	0.00381627	0.0304423	0.0057251	0.00421345	0.0152859	0.0178441	0.00422014	0.00265814	0.00414501	0.0158748	0.00871804	0.00622085	0.0198625	0.0277587	0.00999735	0.0245285	0.00472628	0.0285706	0.00128686	0.00151012	0.0117047	0.00120231	0.0246524	0.00466817	0.0156828	0.0039929	0.00479944	0.00547199	0.00606316	0.00979123	0.042017	0.00515106	0.00648616	0.0722578	0.0287638	0.0100414	0.0225608	0.00047195	0.00279626	0.000651	0.00264829	0.0263042	0.0114153	0.00743416	0.00462421	0.0181721	0.00769505	0.0181313	0.0165139	0.00386414	0.000807956	0.0014826	0.0140547	0.00197927	0.00692908	0.00558409	0.00694155	0.00826836	0.0047767	0.00779633	0.00168363	0.00817139	0.00353612	0.031305	0.131119	0.392917	1.64571	16.15046
108	-1644.247	-1785.492	141.2452	1.848272	0.0273653	0.143408	0.043171	0.181157	0.219384	0.0187336	0.0761435	0.0447931	0.0754959	0.191735	0.171149	0.0750814	0.220866	0.0244806	0.0595562	0.0828696	0.26459	0.281116	0.105046	0.138003	0.297302	0.104266	0.337182	0.137838	0.0889729	0.0944948	0.113415	0.080322	0.0254046	0.161048	0.575945	0.540212	0.163155	0.407044	0.184342	0.339376	0.0554838	0.0702145	0.232476	0.251104	0.0297935	0.151064	0.108519	0.319157	0.123896	0.0536854	0.372526	0.158747	0.289593	0.220771	0.0714171	0.72466	0.0362363	0.104961	0.0918135	0.0663093	0.177104	0.147144	0.244888	0.23704	0.667481	0.0949988	0.144947	0.219184	0.308251	0.367419	0.0354479	0.926482	0.237111	0.184506	0.371432	0.0353446	0.127592	0.0019505	0.0902078	0.704703	0.155493	0.0472112	0.172072	0.119	0.172844	0.175668	0.12917	0.169795	0.0816292	0.197407	0.134316	0.0491284	0.157953	0.0890544	0.177006	0.174469	0.135447	0.109335	0.0217831	0.0546448	0.0779367	0.00155914	0.00817069	0.00245968	0.0103214	0.0124994	0.00106735	0.0043383	0.0025521	0.00430139	0.0109241	0.00975124	0.00427778	0.0125839	0.00139479	0.00339323	0.00472151	0.0150751	0.0160166	0.005985	0.00786276	0.0169389	0.00594056	0.0192111	0.00785337	0.00506925	0.00538386	0.00646184	0.00457636	0.00144743	0.00917574	0.0328146	0.0307787	0.0092958	0.0231914	0.0105029	0.019336	0.0031612	0.00400049	0.0132454	0.0143067	0.00169749	0.00860689	0.00618292	0.0181841	0.00705899	0.00305874	0.0212248	0.00904463	0.0164996	0.0125785	0.004069	0.0412877	0.00206457	0.0059802	0.0052311	0.00377799	0.0100905	0.00838355	0.0139526	0.0135054	0.0380299	0.00541258	0.0082584	0.0124881	0.0175627	0.0209338	0.00201965	0.0527865	0.0135094	0.0105123	0.0211624	0.00201377	0.00726959	0.00011113	0.00513961	0.0401506	0.00885923	0.00268987	0.00980384	0.00678008	0.00984783	0.0100087	0.00735952	0.00967411	0.00465084	0.0112473	0.00765269	0.0027991	0.00899944	0.0050739	0.010085	0.00994042	0.00771715	0.00622938	0.0012411	0.0031134	0.00444046	0.0216183	0.100561	0.326566	1.51908	17.55148
144	-1664.165	-1805.252	141.0868	1.758203	0.0655994	0.3077	0.0436871	0.102907	0.211207	0.0515454	0.077959	0.00845963	0.146488	0.0366219	0.219219	0.0205109	0.36156	0.00179014	0.0621213	0.04693	0.257841	0.0622594	0.101502	0.150719	0.210307	0.37608	0.472316	0.091484	0.0899064	0.328692	0.212022	0.0992485	0.130839	0.0761217	0.514689	0.255368	0.0456394	0.418829	0.097867	0.310073	0.0787302	0.0429607	0.088245	0.142667	0.0234044	0.092422	0.224153	0.330645	0.148061	0.0427949	0.619469	0.234337	0.0958012	0.225013	0.028039	0.339602	0.392459	0.349566	0.0118687	0.529296	0.464977	0.0734866	0.0164804	0.0757317	0.572091	0.182054	0.125063	0.142225	0.410766	0.348426	0.169209	0.0013973	0.143057	0.453432	0.231615	0.0235445	0.39449	0.152509	0.328558	0.091957	0.689492	0.221354	0.0469252	0.0674222	0.114173	0.194238	0.00683751	0.108684	0.342162	0.0824267	0.133161	0.0496648	0.0871291	0.0589653	0.143035	0.188593	0.124783	0.0370106	0.272035	0.179469	0.0250575	0.00371051	0.0174045	0.00247108	0.00582076	0.0119465	0.00291558	0.00440961	0.000478504	0.00828585	0.00207145	0.0123997	0.00116016	0.020451	0.000101256	0.00351378	0.00265451	0.0145843	0.0035216	0.0057413	0.00852518	0.0118957	0.0212723	0.0267157	0.00517463	0.0050854	0.0185919	0.0119926	0.00561382	0.00740067	0.00430569	0.0291125	0.0144444	0.00258151	0.0236903	0.00553568	0.0175387	0.00445324	0.00243	0.00499142	0.00806968	0.00132383	0.00522769	0.0126788	0.0187024	0.00837481	0.00242062	0.0350392	0.0132549	0.00541883	0.0127275	0.00158598	0.019209	0.0221988	0.0197726	0.000671329	0.0299387	0.0263006	0.00415664	0.000932186	0.00428363	0.0323593	0.0102976	0.00707399	0.00804473	0.0232343	0.0197081	0.00957099	7.9036e-05	0.00809176	0.0256476	0.0131009	0.00133176	0.0223136	0.00862638	0.0185843	0.00520138	0.0389999	0.0125205	0.00265424	0.00381362	0.00645797	0.0109867	0.000386751	0.00614753	0.0193538	0.00466232	0.00753204	0.0028092	0.0049283	0.00333527	0.00809055	0.0106674	0.00705814	0.00209344	0.0153872	0.0101513	0.00141733	0.0282069	0.121739	0.373287	1.61109	17.67933
180	-1655.095	-1799.004	143.9092	1.696372	0.0159847	0.342399	0.125179	0.0832077	0.24349	0.336451	0.132024	0.210144	0.00830931	0.0929988	0.211709	0.0440453	0.395707	0.107843	0.0874765	0.134952	0.185994	0.0681273	0.0612278	0.0280577	0.267702	0.160892	0.356731	0.172659	0.0316518	0.0107177	0.1533	0.0485491	0.17527	0.351283	0.452591	0.114553	0.133816	0.525452	0.141281	0.287139	0.100251	0.112816	0.0918309	0.425553	0.0338523	0.0268313	0.164622	0.105795	0.0710572	0.0452614	0.292628	0.186841	0.310125	0.252636	0.0542176	0.28883	0.0554969	0.148658	0.0747684	0.0782721	0.0832293	0.165541	0.214558	0.03881	0.0356787	0.0159543	0.242024	0.105095	0.198229	0.135799	0.0805015	0.720036	0.171505	0.293037	0.289322	0.120786	0.0421233	0.26804	0.48085	0.464747	0.197259	0.0092708	0.348311	0.23325	0.266812	0.292797	0.00490219	0.130187	0.12513	0.0875888	0.153785	0.102699	0.0223892	0.0320683	0.165234	0.0633908	0.132177	0.129955	0.09434	0.0261701	0.254262	0.000983244	0.0210615	0.00769993	0.00511824	0.0149775	0.0206956	0.00812103	0.0129263	0.000511119	0.00572051	0.0130226	0.0027093	0.0243406	0.00663358	0.00538082	0.00830114	0.0114408	0.00419062	0.00376622	0.00172588	0.0164668	0.00989669	0.0219431	0.0106205	0.00194695	0.000659261	0.00942971	0.00298634	0.0107811	0.021608	0.0278396	0.00704632	0.00823124	0.0323214	0.0086904	0.0176624	0.00616659	0.00693949	0.00564867	0.0261764	0.00208231	0.00165043	0.0101261	0.00650759	0.00437084	0.0027841	0.018	0.0114929	0.0190763	0.01554	0.00333501	0.0177664	0.0034137	0.00914419	0.00459912	0.00481464	0.00511956	0.0101827	0.0131978	0.00238727	0.00219465	0.000981374	0.0148873	0.00646454	0.0121934	0.00835321	0.00495177	0.0442905	0.0105495	0.0180251	0.0177966	0.00742974	0.00259107	0.0164876	0.0295778	0.0285873	0.0121337	0.000570262	0.0214251	0.0143476	0.016412	0.0180104	0.000301542	0.00800801	0.00769697	0.00538773	0.00945957	0.00631715	0.00137719	0.00197257	0.0101638	0.00389927	0.00813043	0.00799376	0.005803	0.00160976	0.01564	0.0337	0.138156	0.407258	1.6696	16.2571
216	-1637.734	-1784.541	146.8072	1.593588	0.0162614	0.190978	0.0322206	0.0279834	0.240461	0.263964	0.00863907	0.139223	0.00342312	0.082457	0.147352	0.0874395	0.372775	0.0214703	0.131927	0.0298061	0.254741	0.0852023	0.0217125	0.0964586	0.412232	0.283495	0.278116	0.232202	0.173993	0.00300649	0.08897	0.0717537	0.0204372	0.325005	0.510504	0.191781	0.167923	0.300466	0.105575	0.349315	0.0473623	0.123594	0.0739177	0.12239	0.00269854	0.0535812	0.178516	0.652004	0.155486	0.153223	0.291657	0.115286	0.26463	0.125359	0.0282647	0.165853	0.0552476	0.162273	0.0502955	0.211189	0.105262	0.234821	0.178215	0.171843	0.044114	0.195814	0.16549	0.107049	0.205519	0.348877	0.136823	0.778868	0.0779179	0.134068	0.097152	0.01131	0.109557	0.181159	0.174869	0.565335	0.0757952	0.126223	0.199574	0.236162	0.0507791	0.0142223	0.0563205	0.0452115	0.125903	0.0289956	0.113388	0.196507	0.0580168	0.0508201	0.147508	0.029794	0.132725	0.10738	0.0266001	0.0159804	0.148949	0.00109778	0.0128926	0.00217516	0.00188911	0.0162331	0.0178197	0.000583208	0.00939869	0.000231089	0.00556652	0.00994745	0.00590289	0.0251654	0.00144942	0.00890614	0.00201215	0.0171971	0.00575185	0.00146577	0.00651175	0.027829	0.0191382	0.0187751	0.0156755	0.0117459	0.000202963	0.0060062	0.00484396	0.00137968	0.0219405	0.0344632	0.0129468	0.0113362	0.0202839	0.00712715	0.0235816	0.00319735	0.00834359	0.00499005	0.00826234	0.000182174	0.00361717	0.0120513	0.0440156	0.0104966	0.0103438	0.0196893	0.00778276	0.0178647	0.00846274	0.0019081	0.0111964	0.00372967	0.0109548	0.00339536	0.014257	0.00710607	0.0158523	0.012031	0.0116008	0.00297806	0.013219	0.0111719	0.00722672	0.0138742	0.0235521	0.00923664	0.05258	0.00526009	0.00905071	0.00655856	0.00076352	0.00739602	0.0122297	0.0118051	0.0381648	0.0051168	0.00852106	0.0134729	0.0159429	0.00342801	0.00096012	0.0038021	0.00305215	0.0084995	0.00195744	0.00765463	0.0132658	0.00391661	0.00343077	0.009958	0.00201134	0.00896003	0.00724905	0.00179572	0.00107881	0.0100553	0.0449167	0.169053	0.46674	1.75667	14.81302
252	-1655.492	-1793.935	138.4431	1.851956	0.0390451	0.345476	0.0263875	0.0198839	0.276463	0.0585263	0.00734743	0.0440049	0.00139441	0.0850276	0.0258952	0.109174	0.633796	0.108526	0.10519	0.165366	0.446798	0.116084	0.155197	0.0274937	0.331821	0.164158	0.686416	0.14842	0.290102	0.0738196	0.407497	0.0983393	0.0144751	0.149693	0.440107	0.276407	0.102224	0.60904	0.197538	0.626745	0.193881	0.0266921	0.310166	0.137377	0.0727188	0.116501	0.195244	0.327645	0.112575	0.181948	0.344435	0.285963	0.0825093	0.133499	0.0399784	0.361928	0.0547129	0.215652	0.0921958	0.169468	0.232462	0.202942	0.121436	0.306197	0.0503379	0.0417001	0.312832	0.0319831	0.688767	0.396875	0.0762096	0.85309	0.0617906	0.179215	0.0151378	0.0608465	0.0813508	0.249738	0.174203	0.764294	0.0569582	0.0272582	0.318955	0.13358	0.244814	0.222676	0.110231	0.100173	0.0700221	0.0167086	0.0228059	0.180756	0.126331	0.249216	0.0256765	0.123872	0.201173	0.492259	0.175269	0.0578632	0.26312	0.00205608	0.0181924	0.00138954	0.00104707	0.0145583	0.00308194	0.000386909	0.00231726	7.34283e-05	0.00447747	0.00136361	0.00574902	0.0333751	0.00571486	0.0055392	0.00870801	0.023528	0.00611289	0.00817251	0.00144779	0.0174734	0.00864441	0.036146	0.00781566	0.0152765	0.00388727	0.0214584	0.00517845	0.000762247	0.00788267	0.0231756	0.0145553	0.00538303	0.0320715	0.0104022	0.0330038	0.0102096	0.00140558	0.016333	0.00723413	0.0038293	0.00613486	0.0102813	0.0172535	0.00592809	0.00958118	0.0181376	0.0150586	0.00434486	0.00702993	0.00210522	0.0190588	0.00288113	0.011356	0.00485494	0.00892401	0.0122412	0.0106867	0.00639472	0.016124	0.00265074	0.00219588	0.0164734	0.0016842	0.0362698	0.0208991	0.00401313	0.0449229	0.00325383	0.00943727	0.000797141	0.00320412	0.00428385	0.013151	0.00917336	0.040247	0.00299936	0.00143539	0.0167959	0.00703418	0.0128917	0.0117259	0.00580464	0.00527503	0.0036873	0.00087986	0.00120093	0.00951844	0.00665245	0.0131235	0.0013521	0.00652301	0.0105936	0.0259219	0.00922952	0.00304702	0.0138556	0.0213807	0.0997611	0.324729	1.51517	18.99009
288	-1652.502	-1795.161	142.659	1.789161	0.0646667	0.0775389	0.117614	0.0453173	0.240399	0.116253	0.0944175	0.0535772	0.000325327	0.0157101	0.0947899	0.159394	0.353006	0.106188	0.170464	0.11893	0.221743	0.108623	0.150905	0.0917231	0.30712	0.146555	0.584992	0.279028	0.233767	0.0410081	0.300366	0.0340674	0.0345458	0.249998	0.743568	0.2145	0.100513	0.287333	0.349451	0.511507	0.124446	0.138126	0.327358	0.345357	0.0928876	0.180229	0.270838	0.194714	0.116576	0.0251546	0.241153	0.228747	0.105434	0.0433679	0.0537443	0.317556	0.0330329	0.262193	0.0803699	0.0128721	0.0159042	0.349338	0.251414	0.269426	0.0148546	0.0225317	0.219056	0.100437	0.57669	0.121653	0.30125	0.267509	0.0411534	0.0366444	0.0206525	0.322481	0.0929588	0.189342	0.099283	0.508288	0.130354	0.149869	0.0984782	0.32518	0.129129	0.170337	0.136026	0.0973278	0.122778	0.00426462	0.0338455	0.138972	0.107482	0.280566	0.0360469	0.120684	0.330756	0.104903	0.139141	0.210645	0.15213	0.00383691	0.00460067	0.00697847	0.00268884	0.0142637	0.00689774	0.00560214	0.00317893	1.93029e-05	0.00093214	0.00562423	0.00945741	0.0209451	0.00630055	0.0101143	0.00705658	0.0131568	0.00644498	0.00895377	0.00544227	0.0182225	0.00869562	0.0347097	0.0165558	0.0138702	0.00243316	0.0178218	0.00202135	0.00204973	0.0148333	0.0441186	0.0127271	0.00596382	0.0170485	0.0207342	0.0303496	0.00738386	0.00819553	0.0194233	0.0204913	0.00551136	0.0106937	0.0160698	0.0115531	0.00691689	0.00149252	0.0143085	0.0135724	0.00625579	0.00257318	0.00318885	0.0188418	0.00195996	0.0155569	0.00476864	0.000763751	0.000943657	0.0207275	0.0149173	0.015986	0.00088138	0.00133689	0.0129974	0.0059593	0.0342171	0.00721813	0.0178743	0.0158723	0.00244178	0.00217425	0.00122539	0.019134	0.00551558	0.0112343	0.00589082	0.0301586	0.00773439	0.00889227	0.00584307	0.0192941	0.00766172	0.0101067	0.00807095	0.00577481	0.00728488	0.000253035	0.00200817	0.00824569	0.00637728	0.016647	0.00213879	0.00716062	0.019625	0.00622427	0.00825572	0.0124983	0.0090264	0.0257658	0.114104	0.356846	1.5803	16.85384
324	-1661.266	-1800.06	138.7937	1.781302	0.117578	0.143498	0.117062	0.10669	0.42719	0.023421	0.134161	0.0998855	0.000250099	0.164678	0.108156	0.238024	0.204174	0.215129	0.314162	0.0850117	0.0920351	0.0224437	0.220812	0.0370357	0.4443	0.331191	0.510758	0.0499451	0.0574573	0.0242063	0.197347	0.0018873	0.0113004	0.324989	0.5766	0.595086	0.246226	0.318521	0.181582	0.422179	0.202774	0.143257	0.179474	0.24645	0.19183	0.237879	0.118103	0.227296	0.106154	0.0565664	0.34638	0.314251	0.0846865	0.171263	0.214317	0.467318	0.0706857	0.339343	0.0319837	0.0224432	0.104689	0.130679	0.277875	0.00593369	0.307738	0.0425736	0.309247	0.134968	0.185161	0.180133	0.248476	0.502785	0.0665387	0.0943361	0.0911238	0.122495	0.131583	0.201958	0.19903	0.554416	0.483611	0.230636	0.422809	0.284728	0.52495	0.0621321	0.00402338	0.143367	0.223232	0.151195	0.145553	0.217969	0.0246	0.0753747	0.0686839	0.0567359	0.342787	0.111555	0.0750204	0.303055	0.0650897	0.00623878	0.00761412	0.0062114	0.00566106	0.0226671	0.00124274	0.00711871	0.00530001	1.32705e-05	0.00873798	0.00573884	0.0126298	0.0108337	0.0114149	0.0166697	0.0045108	0.00488346	0.00119088	0.0117165	0.00196515	0.023575	0.0175733	0.0271013	0.00265013	0.00304873	0.00128441	0.0104714	0.000100142	0.00059961	0.0172442	0.0305949	0.0315758	0.013065	0.016901	0.0096349	0.0224012	0.0107594	0.00760133	0.00952308	0.0130769	0.0101787	0.0126221	0.00626666	0.0120605	0.0056326	0.00300146	0.0183792	0.0166744	0.00449354	0.00908735	0.0113718	0.0247963	0.00375065	0.0180059	0.00169708	0.00119085	0.00555491	0.00693393	0.0147443	0.000314847	0.0163289	0.00225899	0.0164089	0.00716151	0.00982479	0.009558	0.0131843	0.0266782	0.0035306	0.00500556	0.00483511	0.00649972	0.0069819	0.0107161	0.0105607	0.0294178	0.0256608	0.0122378	0.0224346	0.0151079	0.0278543	0.00329679	0.000213484	0.0076072	0.0118449	0.00802254	0.00772316	0.0115656	0.0013053	0.00399945	0.00364443	0.00301046	0.0181886	0.00591918	0.00398065	0.0160804	0.00345372	0.0263671	0.116006	0.360983	1.5882	18.84627
