Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-138.8909	-304.469	165.5781	1.891307	4.572877	1.988115
6	-132.1946	-298.2575	166.0629	1.853175	3.007174	2.700771
12	-123.4427	-288.5601	165.1174	2.349636	2.025691	3.553188
18	-144.7296	-305.6405	160.9108	2.557028	6.272712	3.408497
24	-136.2989	-302.2419	165.943	1.342372	5.80639	1.218602
30	-124.9417	-288.284	163.3423	2.302605	6.064648	2.2066
36	-131.9896	-295.7427	163.753	2.302605	6.784312	1.421539
42	-140.248	-305.7102	165.4622	1.992434	5.255094	1.520204
48	-149.951	-315.2418	165.2907	1.632495	5.255094	1.896477
54	-129.1205	-296.3404	167.2199	1.210912	4.716094	1.171222
60	-124.1073	-292.4788	168.3715	1.090228	3.366374	1.430678
66	-130.1177	-298.2635	168.1458	1.392092	3.366374	1.37141
72	-121.8115	-289.3776	167.5661	1.349917	3.30559	1.867022
78	-122.5284	-290.1115	167.5831	1.718261	1.861872	2.552557
84	-122.1357	-291.2955	169.1599	1.085571	2.589266	1.425581
90	-145.3396	-310.1108	164.7713	2.412824	3.089034	3.093783
96	-128.3689	-293.7845	165.4156	2.016302	2.937085	3.036482
102	-129.1136	-295.4702	166.3567	2.276205	3.031531	2.235727
108	-124.0652	-291.1415	167.0764	1.556512	3.031531	2.235727
114	-131.0874	-297.1884	166.101	1.526429	4.77702	1.740508
120	-135.2563	-301.8357	166.5794	1.526429	4.315719	1.728491
126	-128.202	-296.2869	168.0849	1.475158	2.263989	2.13218
132	-119.2749	-287.8848	168.61	1.354132	2.463906	1.723939
138	-124.6878	-292.0251	167.3373	1.496263	3.170582	2.013509
144	-127.4676	-294.4539	166.9862	1.92524	3.020284	2.061493
150	-125.3008	-293.61	168.3092	1.421265	2.822682	1.634847
156	-118.6342	-287.5103	168.8761	1.448401	2.050094	1.761385
162	-116.1715	-283.6601	167.4886	1.999897	3.382068	1.397799
168	-121.3312	-288.4432	167.112	1.473608	3.437489	2.000911
174	-125.1564	-293.3515	168.195	1.692701	2.688636	1.618081
180	-122.5392	-289.6178	167.0786	1.389832	4.689726	1.161378
