Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
648	-736.9646	-902.3917	165.4271	1.03883	5.263026
654	-743.9044	-907.3749	163.4705	0.9494274	6.382477
660	-733.1906	-898.8578	165.6672	1.177822	5.053109
666	-731.8138	-895.4241	163.6103	0.9841354	6.287732
672	-734.2568	-898.0572	163.8004	0.7331279	6.320803
678	-734.4501	-898.2505	163.8004	0.7331279	6.320803
684	-726.6116	-892.1388	165.5272	1.032923	5.210956
690	-736.3009	-902.562	166.2611	1.121701	4.753676
696	-732.5536	-897.0791	164.5255	0.7673649	5.907309
702	-739.0514	-903.8339	164.7825	0.9216149	5.682244
708	-758.3031	-923.8275	165.5244	0.9216149	5.274032
714	-738.2494	-903.1121	164.8627	1.10919	5.53525
720	-738.373	-903.529	165.1559	0.933024	5.470878
726	-745.8974	-910.3096	164.4121	0.9063701	5.893301
732	-739.8479	-904.854	165.0061	0.9684062	5.533838
738	-736.5842	-901.3269	164.7427	0.9684062	5.678429
744	-734.1546	-897.5004	163.3459	0.8865142	6.484137
750	-747.5093	-911.349	163.8397	0.8986892	6.209477
756	-736.0863	-900.8688	164.7825	0.7888092	5.755027
762	-745.487	-908.7897	163.3026	0.8209452	6.543055
768	-730.6771	-896.307	165.6299	1.207576	5.057316
774	-737.825	-903.4541	165.6291	1.244118	5.037491
780	-764.3334	-930.2327	165.8993	0.9498986	5.050823
786	-761.0826	-924.6174	163.5348	0.9498986	6.34731
792	-744.504	-907.7387	163.2347	0.8754813	6.550303
798	-741.3072	-906.6172	165.31	0.9860432	5.356783
804	-743.6907	-908.9736	165.2829	1.013175	5.356783
810	-741.4524	-907.1733	165.7209	1.013175	5.114663
816	-749.6579	-914.0635	164.4056	1.022001	5.833676
822	-750.3329	-914.8145	164.4816	0.9459564	5.833676
828	-750.2771	-914.9501	164.673	0.9588823	5.721872
834	-751.458	-916.2226	164.7646	1.052406	5.620334
840	-742.7418	-907.8207	165.0788	0.9522728	5.502703
846	-742.0899	-906.2013	164.1114	0.861505	6.081844
852	-735.7606	-899.4745	163.7139	0.861505	6.298085
858	-730.9075	-894.7834	163.8759	0.6994497	6.298085
864	-746.6438	-910.9394	164.2957	0.8852118	5.968446
870	-744.2667	-908.1965	163.9298	0.9394141	6.138297
876	-744.9554	-910.0055	165.0501	0.9341036	5.528501
882	-759.1972	-923.247	164.0498	0.9155733	6.085929
888	-756.1105	-920.4347	164.3243	1.073023	5.850245
894	-733.5186	-898.6245	165.1059	0.9635132	5.481645
900	-727.6314	-892.5256	164.8941	0.9992782	5.578393
906	-732.747	-898.4659	165.719	0.8597482	5.200676
912	-741.4292	-906.3966	164.9675	1.149431	5.455496
918	-743.6042	-910.2851	166.6809	1.082805	4.540286
924	-743.3782	-909.8021	166.4239	1.057735	4.698426
930	-735.8757	-901.5911	165.7154	1.055993	5.093971
936	-735.4317	-900.6077	165.1761	0.9918638	5.42741
942	-735.0456	-899.8842	164.8386	0.9918638	5.612968
948	-749.0916	-912.947	163.8553	0.9918638	6.150284
954	-740.4508	-904.4659	164.0151	0.8973162	6.114794
960	-741.9804	-905.458	163.4775	0.7314912	6.496788
966	-741.9649	-905.384	163.4191	0.789955	6.496788
972	-739.9027	-903.456	163.5533	0.7728033	6.43335
978	-738.966	-903.1742	164.2082	0.8080637	6.058237
984	-733.4047	-898.3833	164.9786	0.9490766	5.559554
990	-737.4017	-901.6421	164.2404	0.8398452	6.023358
996	-737.8945	-902.1223	164.2278	0.8524496	6.023358
1002	-737.1222	-902.7136	165.5914	0.9209321	5.23738
1008	-735.404	-900.7396	165.3356	0.9209321	5.378592
1014	-730.2933	-895.9787	165.6854	0.9532756	5.167493
1020	-727.4694	-892.1422	164.6728	0.8753815	5.767687
1026	-734.12	-898.4334	164.3134	0.9700652	5.912462
1032	-738.848	-902.4296	163.5816	0.7714055	6.418756
1038	-735.0699	-899.7771	164.7072	0.804418	5.787726
1044	-729.7143	-893.4499	163.7356	0.8916855	6.269882
1050	-743.5421	-909.2563	165.7143	0.9662946	5.144299
1056	-741.5669	-905.3587	163.7918	0.93976	6.213205
1062	-738.5433	-902.9606	164.4173	0.8557021	5.918131
1068	-751.3218	-914.3429	163.0211	0.7674873	6.724218
1074	-749.7146	-913.0352	163.3206	0.7674873	6.562276
1080	-736.3604	-901.3238	164.9634	1.016986	5.530597
1086	-736.3648	-901.7578	165.393	0.9977595	5.304536
1092	-737.9845	-903.517	165.5325	1.060659	5.192667
1098	-750.6744	-915.3203	164.6459	1.060659	5.680906
1104	-733.1683	-897.6474	164.4791	0.8658311	5.878857
1110	-732.4892	-897.6894	165.2002	0.8658311	5.483504
1116	-729.8077	-893.2745	163.4669	0.848694	6.439059
1122	-738.8523	-902.7193	163.8671	0.8491112	6.221562
1128	-724.3661	-888.3636	163.9975	0.8747119	6.136702
1134	-729.9294	-894.1982	164.2688	0.8250976	6.015897
1140	-736.4557	-900.3717	163.916	0.9534393	6.138171
1146	-739.8764	-904.7926	164.9162	0.872029	5.636114
1152	-740.9194	-905.8095	164.8902	0.89808	5.636114
1158	-737.5893	-901.679	164.0897	0.8838222	6.081531
1164	-757.9821	-924.055	166.0729	1.30727	4.755161
1170	-745.66	-910.3199	164.6599	1.039377	5.684932
1176	-744.7252	-908.8979	164.1728	0.9543748	5.997772
1182	-749.1865	-913.0748	163.8883	0.8342448	6.21812
1188	-752.4321	-915.322	162.8899	0.9343841	6.704904
1194	-749.7212	-912.7357	163.0145	0.809842	6.704904
1200	-760.4364	-926.2799	165.8435	0.9396367	5.08747
1206	-753.225	-917.3816	164.1567	1.134845	5.908039
1212	-753.8516	-917.2321	163.3806	0.8980612	6.459066
1218	-737.8252	-902.8965	165.0713	0.9653384	5.499654
1224	-734.4996	-898.7779	164.2784	0.8006239	6.024024
1230	-738.8535	-902.6571	163.8037	0.9027128	6.22689
1236	-740.484	-904.6447	164.1607	0.9807515	5.989942
1242	-742.2013	-905.1857	162.9844	0.8003642	6.726277
1248	-735.0548	-898.294	163.2392	0.8003642	6.588517
1254	-728.5706	-893.1416	164.571	0.7766867	5.877378
1260	-732.4592	-896.6338	164.1745	0.6997358	6.13556
1266	-724.9502	-889.2848	164.3345	0.9069358	5.935364
1272	-739.3142	-902.8706	163.5564	0.9006978	6.362278
1278	-737.3569	-901.9702	164.6132	0.9135384	5.779421
1284	-729.2087	-894.3867	165.178	0.9791736	5.433327
1290	-748.5932	-913.6617	165.0684	1.036937	5.461848
1296	-734.742	-899.9777	165.2357	0.922973	5.43251
1302	-734.1435	-898.4294	164.2859	0.8182194	6.010316
1308	-734.3642	-897.5939	163.2297	0.755534	6.617908
1314	-742.2376	-905.3227	163.0851	0.9001606	6.617908
1320	-735.588	-900.1787	164.5907	0.7551348	5.878388
1326	-737.084	-898.9405	161.8565	0.7420555	7.364718
1332	-729.8895	-892.8369	162.9474	0.6754237	6.813711
1338	-732.2566	-895.4893	163.2326	0.7470345	6.620932
1344	-736.1468	-900.7648	164.6179	0.9977356	5.730723
1350	-736.9672	-901.0212	164.054	1.059116	6.005429
1356	-739.1373	-903.5225	164.3851	0.6698427	6.037113
1362	-751.2227	-914.8651	163.6424	0.6698427	6.440853
1368	-754.6525	-915.0587	160.4062	0.7040046	8.160175
1374	-727.685	-891.3928	163.7078	0.7911291	6.339595
1380	-738.5459	-902.6977	164.1518	0.7507258	6.120168
1386	-754.1496	-917.89	163.7403	0.9434373	6.239177
1392	-750.1799	-915.0851	164.9052	1.066058	5.535608
1398	-748.3874	-912.0652	163.6778	0.918685	6.286612
1404	-754.1478	-918.4088	164.261	0.6632174	6.108389
1410	-739.134	-904.8926	165.7586	0.8596201	5.178832
1416	-740.9437	-907.5315	166.5878	1.133297	4.564219
1422	-744.3855	-908.8115	164.426	0.9765196	5.847378
1428	-735.7179	-900.346	164.6281	0.8477344	5.807256
1434	-741.0931	-906.8008	165.7078	0.9942818	5.132406
1440	-736.1676	-901.5015	165.3339	0.9698748	5.352524
1446	-736.5372	-901.4903	164.9532	0.918699	5.590214
1452	-738.9283	-904.1106	165.1823	0.9174346	5.464952
1458	-728.0915	-893.2882	165.1967	0.9047066	5.464043
1464	-736.1594	-900.8713	164.712	0.7168042	5.83303
1470	-736.9187	-900.1247	163.206	0.7893394	6.612464
1476	-733.238	-898.0017	164.7636	0.7527268	5.785099
1482	-734.2673	-898.7476	164.4803	0.8126056	5.907277
1488	-741.2519	-905.3561	164.1042	0.9132968	6.057544
1494	-737.3611	-901.7158	164.3547	0.7571773	6.006075
1500	-738.0144	-901.5634	163.549	0.8536196	6.391824
1506	-739.958	-904.6165	164.6584	0.9077106	5.757852
1512	-763.0044	-927.7657	164.7613	0.8048136	5.757852
1518	-742.41	-906.8214	164.4114	0.986319	5.850007
1524	-738.6682	-901.5703	162.9021	0.6826372	6.834238
1530	-732.3712	-896.344	163.9728	0.7602942	6.212339
1536	-735.841	-900.2263	164.3852	0.9956554	5.859201
1542	-739.0942	-903.1159	164.0217	0.738383	6.19767
1548	-736.0927	-899.6547	163.562	0.8899715	6.365048
1554	-737.5417	-900.318	162.7763	0.8468554	6.813541
1560	-734.7059	-898.9469	164.2411	0.8902746	5.995482
1566	-738.1016	-902.4083	164.3066	0.8246756	5.995482
1572	-733.3547	-897.0095	163.6548	0.8804014	6.31991
1578	-735.0814	-899.3999	164.3185	0.9473091	5.922077
1584	-731.8519	-896.9126	165.0607	1.01388	5.478793
1590	-729.1699	-895.0172	165.8473	1.071062	5.012438
1596	-734.9063	-899.4657	164.5593	1.071062	5.722667
1602	-740.9951	-903.9249	162.9299	0.8469263	6.730579
1608	-736.3265	-900.6443	164.3178	1.011975	5.887112
1614	-743.3655	-908.5559	165.1904	0.8277532	5.509815
1620	-736.3065	-900.9448	164.6383	0.6608078	5.903876
1626	-729.7521	-893.4017	163.6496	0.8220609	6.354377
1632	-734.615	-900.2257	165.6107	1.008653	5.17821
1638	-736.9431	-901.3259	164.3828	0.849155	5.940543
1644	-734.993	-899.2066	164.2136	1.013092	5.943463
1650	-729.9268	-894.4708	164.544	0.9964699	5.771901
1656	-730.8416	-895.4467	164.6051	0.9353852	5.771901
1662	-740.5815	-905.1548	164.5733	0.9671367	5.771901
1668	-738.4815	-903.4476	164.9661	1.179597	5.439637
1674	-745.7432	-910.5035	164.7603	0.9643004	5.671041
1680	-740.0138	-904.6335	164.6197	1.104832	5.671041
1686	-737.132	-901.1473	164.0152	1.026799	6.044172
1692	-729.2996	-894.194	164.8944	0.8186423	5.677342
1698	-732.4211	-896.5616	164.1405	0.9720279	6.005729
1704	-727.0248	-892.8121	165.7873	1.241905	4.950833
1710	-734.1256	-899.8912	165.7656	1.040363	5.074809
1716	-737.7253	-903.5417	165.8163	0.9515223	5.095932
1722	-748.343	-911.8552	163.5122	0.9472136	6.361029
1728	-752.9371	-916.0927	163.1556	0.8132037	6.62682
1734	-756.4527	-919.6474	163.1947	0.8057135	6.609697
1740	-742.3981	-906.8326	164.4345	1.052109	5.801387
1746	-748.9188	-914.5416	165.6228	1.038539	5.154966
1752	-745.8767	-911.2873	165.4106	1.097156	5.239924
1758	-737.1843	-900.9356	163.7513	0.783005	6.320394
1764	-740.9446	-903.4404	162.4958	0.6288372	7.08213
1770	-730.01	-893.5227	163.5128	0.7291937	6.478924
1776	-727.8824	-893.1359	165.2535	0.8764137	5.448367
1782	-726.3537	-891.5842	165.2304	0.899418	5.448367
1788	-731.8194	-897.3154	165.496	0.8998936	5.301725
1794	-738.7885	-903.2197	164.4312	0.989295	5.837574
1800	-738.7977	-903.7082	164.9104	0.9523277	5.59521
1806	-742.545	-907.8023	165.2573	0.8057028	5.485183
1812	-739.8245	-903.0644	163.2399	0.9366241	6.514378
1818	-733.4044	-898.3947	164.9903	0.8625385	5.600683
1824	-736.4992	-900.8561	164.3569	0.800852	5.981083
1830	-731.7104	-894.0082	162.2978	0.6722153	7.165241
1836	-744.0515	-906.2754	162.224	0.6722153	7.204941
1842	-736.6455	-901.0523	164.4067	0.6722153	6.024047
1848	-744.3341	-908.4309	164.0968	0.7469039	6.152196
1854	-735.5838	-899.3009	163.7172	0.86246	6.295776
1860	-734.5156	-898.368	163.8525	0.8932931	6.205486
1866	-733.1275	-899.2711	166.1436	1.036162	4.867013
1872	-737.8958	-903.4357	165.5399	0.9675859	5.240087
1878	-745.0485	-909.8835	164.8349	0.9864026	5.617954
1884	-756.431	-921.6772	165.2462	1.20012	5.27385
1890	-763.3521	-927.6278	164.2757	0.911098	5.965198
1896	-756.3678	-920.7736	164.4058	0.927711	5.885092
1902	-749.5508	-914.3675	164.8167	0.8480265	5.70384
