Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-313.6701	-481.1428	167.4727	0.6134611	4.163221	0.6459189	0.954284	0.0457162	0.341201	0.658799	1.968511
6	-317.0181	-481.0364	164.0182	0.261171	9.760448	0.589241	0.917793	0.0822071	0.474711	0.525289	2.675618
12	-314.1346	-479.9853	165.8507	0.5530625	7.784762	1.043136	0.889559	0.110441	0.316122	0.683878	1.384837
18	-319.5807	-481.7285	162.1477	0.6466645	19.1707	2.147578	0.907024	0.0929761	0.444174	0.555826	0.7712452
24	-322.5218	-484.5518	162.0301	0.1507826	20.79751	2.460866	0.907024	0.0929761	0.33882	0.66118	0.803454
30	-321.9531	-486.0284	164.0753	0.6684214	12.60756	1.318186	0.958418	0.0415816	0.391386	0.608614	1.536842
36	-320.9317	-483.5745	162.6428	0.5005547	14.81202	2.335623	0.900777	0.0992227	0.604698	0.395302	1.218006
42	-316.17	-481.0976	164.9276	0.3861255	10.89354	1.339804	0.953727	0.0462733	0.491243	0.508757	1.415188
48	-309.871	-474.1822	164.3112	1.426771	9.36596	1.231104	0.965895	0.0341054	0.510803	0.489197	1.660831
54	-314.2008	-478.963	164.7621	0.4029471	10.04283	1.200498	0.900008	0.0999916	0.463595	0.536405	1.57039
60	-313.1385	-476.8437	163.7052	0.3171733	16.0605	1.258061	0.926224	0.0737761	0.513343	0.486657	1.22511
66	-301.1343	-464.939	163.8047	0.2841944	16.54011	1.897727	0.974801	0.0251988	0.497478	0.502522	0.9386615
72	-307.7612	-471.7135	163.9524	0.266321	12.29745	2.107338	0.85666	0.14334	0.331949	0.668051	0.9386615
78	-317.6653	-480.9353	163.27	0.4138008	15.27079	2.107338	0.96732	0.03268	0.447398	0.552602	1.282521
84	-308.677	-473.1951	164.5182	0.4764845	13.54833	2.000647	0.98126	0.01874	0.448084	0.551916	0.7979278
90	-310.1571	-476.5628	166.4057	0.154878	7.956462	1.311232	0.975266	0.0247337	0.67417	0.32583	1.538747
96	-310.5995	-477.6208	167.0213	0.2258143	4.959083	0.9952026	0.912174	0.0878258	0.653551	0.346449	1.793077
102	-320.1611	-484.4949	164.3338	0.3971495	11.81384	1.130939	0.915909	0.0840913	0.312446	0.687554	1.646161
108	-318.0264	-483.1847	165.1583	0.2778975	9.311323	1.051013	0.894154	0.105846	0.394506	0.605494	1.657699
114	-327.2908	-491.7067	164.4158	0.5648876	10.68045	0.8321835	0.926855	0.0731453	0.519836	0.480164	1.91239
120	-332.2492	-496.7355	164.4863	0.4634	9.672209	1.33968	0.837937	0.162063	0.377326	0.622674	1.586862
126	-327.1228	-491.487	164.3641	0.3017357	8.75977	1.082776	0.837937	0.162063	0.428385	0.571615	2.160752
132	-324.45	-486.9989	162.549	0.8974016	14.93482	1.829368	0.893725	0.106275	0.689678	0.310322	1.378762
138	-317.2508	-482.2416	164.9907	0.4248198	8.231291	1.487332	0.901081	0.0989194	0.371275	0.628725	1.669587
144	-315.6859	-480.9905	165.3046	0.5754615	10.0955	1.042359	0.970456	0.0295435	0.587805	0.412195	1.578276
150	-324.602	-488.9719	164.3699	1.005103	9.61788	0.9119378	0.941027	0.058973	0.31098	0.68902	1.946075
156	-319.9295	-485.4025	165.473	0.3259657	9.124981	1.058469	0.910497	0.0895034	0.411652	0.588348	1.483594
162	-329.7224	-495.7426	166.0202	0.7688177	5.45048	1.045834	0.910497	0.0895034	0.534008	0.465992	1.86294
168	-314.8273	-479.5914	164.7641	1.076433	8.394089	1.641401	0.910497	0.0895034	0.448744	0.551256	1.186735
174	-317.9789	-483.1139	165.135	0.5493244	8.462899	1.269652	0.910497	0.0895034	0.432794	0.567206	1.584351
180	-325.0972	-489.2387	164.1415	0.6932452	8.167986	1.497322	0.846982	0.153018	0.376318	0.623682	1.949567
186	-318.0601	-481.3908	163.3307	0.7334058	13.83915	1.497322	0.918329	0.0816707	0.476845	0.523155	1.406117
192	-313.3654	-476.6896	163.3243	0.8050187	12.12708	2.310939	0.887224	0.112776	0.50832	0.49168	0.9139743
198	-309.4041	-473.5652	164.161	0.2337461	12.12708	2.250364	0.936401	0.0635988	0.545969	0.454031	0.9762137
204	-312.2024	-477.3044	165.102	0.5271735	8.387056	0.9631392	0.868512	0.131488	0.519896	0.480104	1.736646
210	-320.2124	-484.5697	164.3573	0.3251063	11.56916	1.418227	0.865997	0.134003	0.408824	0.591176	1.320997
216	-310.2797	-475.6536	165.3739	0.4815029	8.51585	1.283898	0.917519	0.0824805	0.451593	0.548407	1.455965
222	-320.5063	-484.1794	163.673	0.8079596	10.8114	1.051128	0.926357	0.0736434	0.397669	0.602331	2.083924
228	-318.6251	-483.773	165.148	1.316468	6.247598	1.051128	0.952	0.0479999	0.473817	0.526183	2.018098
234	-318.8408	-483.7762	164.9355	0.4058445	11.77773	1.051128	0.974604	0.0253956	0.31993	0.68007	1.675714
240	-324.4648	-486.1305	161.6656	1.742233	18.43655	0.9642859	0.916921	0.0830792	0.38327	0.61673	1.502781
246	-330.0917	-491.6909	161.5992	1.892265	14.02091	1.876309	0.911	0.0890002	0.399571	0.600429	1.502781
252	-335.3219	-500.3847	165.0629	0.8594176	9.329417	1.040931	0.911	0.0890002	0.415835	0.584165	1.347423
258	-316.0963	-480.0396	163.9433	0.3891134	14.18027	1.083101	0.953254	0.0467465	0.482062	0.517938	1.642363
264	-321.4887	-483.424	161.9353	1.686092	12.97161	0.882317	0.917139	0.0828611	0.683541	0.316459	2.337917
270	-326.7882	-491.613	164.8248	0.5163324	7.764463	0.7484222	0.903082	0.0969175	0.476186	0.523814	2.318214
276	-331.8759	-496.6632	164.7872	0.3692559	6.985013	0.7484222	0.958949	0.0410514	0.410537	0.589463	2.885877
282	-318.9417	-484.6343	165.6926	0.8464913	5.670358	0.8116974	0.940957	0.0590428	0.410537	0.589463	2.247957
288	-325.5733	-492.0851	166.5118	1.065346	6.29035	0.765359	0.952247	0.0477533	0.3698	0.6302	1.446595
294	-331.053	-495.398	164.3451	0.3923911	12.40858	0.8398243	0.951637	0.0483633	0.343082	0.656918	1.887906
300	-309.246	-475.1899	165.9439	0.5143075	7.600486	1.086718	0.967299	0.032701	0.413272	0.586728	1.741455
306	-321.0289	-487.7854	166.7564	0.2896669	6.791469	1.038679	0.960871	0.0391291	0.413272	0.586728	1.531224
312	-312.0556	-476.8347	164.7791	0.4761746	6.012517	0.7031216	0.891739	0.108261	0.468695	0.531305	2.833639
318	-313.627	-480.1934	166.5664	0.4156521	5.586023	0.6508131	0.936022	0.0639778	0.446308	0.553692	2.059599
324	-316.2122	-480.781	164.5688	0.6638816	7.856506	1.03362	0.875251	0.124749	0.351282	0.648718	2.138891
330	-321.5083	-487.0624	165.5541	0.1237355	8.877207	1.278532	0.875251	0.124749	0.410387	0.589613	1.362761
336	-327.6053	-490.759	163.1538	0.1237355	15.66361	1.657527	0.867341	0.132659	0.549119	0.450881	1.374364
342	-325.0227	-489.3314	164.3087	0.0567566	11.25914	2.046096	0.880594	0.119406	0.549119	0.450881	1.170243
348	-318.5835	-480.3341	161.7506	1.154414	14.9959	1.173246	0.934802	0.0651981	0.549119	0.450881	2.300408
354	-325.6507	-489.2393	163.5886	0.9175933	12.95301	1.522109	0.951916	0.0480841	0.271325	0.728675	1.508288
360	-319.3673	-482.876	163.5086	0.489143	16.71259	1.522109	0.947379	0.0526211	0.382835	0.617165	1.04136
366	-322.6915	-487.2274	164.5359	0.4505687	11.41792	1.129852	0.925653	0.0743475	0.722866	0.277134	1.613345
372	-316.0882	-478.8578	162.7696	0.502038	17.58241	1.5692	0.925653	0.0743475	0.400641	0.599359	1.31572
378	-307.7622	-471.6317	163.8695	0.08170088	14.85527	1.11046	0.914147	0.0858533	0.466859	0.533141	1.570872
384	-319.6722	-483.5684	163.8962	0.03658305	14.86487	1.229071	0.874203	0.125797	0.328716	0.671284	1.412048
390	-319.3015	-484.4832	165.1817	0.07179884	10.35092	1.380314	0.889723	0.110277	0.550801	0.449199	1.252746
396	-322.7892	-487.5717	164.7825	0.1936099	11.02699	1.380314	0.814674	0.185326	0.596619	0.403381	1.134475
402	-324.6778	-489.6255	164.9477	1.00478	6.773936	1.406865	0.814674	0.185326	0.641628	0.358372	1.578695
408	-324.2738	-488.9252	164.6514	0.2621329	8.193762	0.9053507	0.820505	0.179495	0.331731	0.668269	2.256684
414	-330.7629	-495.74	164.9771	0.3577964	9.470422	1.304758	0.921182	0.078818	0.636639	0.363361	1.615382
420	-324.2809	-488.6634	164.3825	0.9220733	9.470422	0.9882122	0.797136	0.202864	0.425149	0.574851	1.556264
426	-314.7996	-479.7492	164.9496	0.548132	9.24588	1.22153	0.907323	0.0926769	0.481587	0.518413	1.532251
432	-322.9588	-487.5167	164.5579	0.6845879	9.24588	0.9243845	0.911905	0.0880948	0.585413	0.414587	1.946613
438	-322.4041	-487.3707	164.9667	0.5995313	10.80974	0.9243845	0.95418	0.0458198	0.588767	0.411233	1.572769
444	-317.5967	-482.4001	164.8033	0.6492474	9.794574	1.183115	0.959308	0.0406922	0.3287	0.6713	1.777083
450	-325.4697	-488.7552	163.2855	0.3166799	13.46853	0.8788681	0.873893	0.126107	0.774366	0.225634	2.215529
456	-328.0882	-492.6447	164.5565	0.4380034	7.457241	0.8959051	0.863305	0.136695	0.393831	0.606169	2.440977
462	-323.2263	-488.6564	165.4301	0.06676612	7.010619	0.8959051	0.917401	0.082599	0.403526	0.596474	2.377266
468	-334.0714	-499.21	165.1386	0.004014763	7.379328	0.8234395	0.849892	0.150108	0.449506	0.550494	2.377266
474	-325.4153	-490.3068	164.8915	0.0009844456	7.691102	0.8234395	0.905719	0.094281	0.45028	0.54972	2.581324
480	-331.2621	-497.2658	166.0037	0.0007268142	7.312342	0.5596172	0.905246	0.0947537	0.424595	0.575405	2.142306
486	-327.6847	-494.0776	166.3928	0.00169938	6.034374	0.6436487	0.972529	0.0274712	0.301586	0.698414	2.610728
492	-319.0501	-485.8116	166.7615	0.006711042	6.059229	0.8763784	0.944771	0.0552294	0.534796	0.465204	1.945835
498	-312.9347	-477.5157	164.581	0.2504761	11.04918	0.8902047	0.935727	0.0642725	0.583535	0.416465	1.945835
504	-317.082	-482.8214	165.7394	1.488802	4.85771	0.6026781	0.9419	0.0581	0.519837	0.480163	2.19834
510	-318.4202	-480.171	161.7508	1.320415	20.01867	0.3647478	0.9419	0.0581	0.494227	0.505773	2.026147
516	-308.0974	-472.6171	164.5197	0.8558095	11.85806	0.8557992	0.925401	0.0745991	0.431709	0.568291	1.349962
522	-312.0396	-476.892	164.8524	0.7048967	9.562139	0.8642591	0.921946	0.078054	0.429513	0.570487	1.731261
528	-320.813	-485.1369	164.3239	0.6363778	8.336918	1.144627	0.849154	0.150846	0.262723	0.737277	2.125377
534	-315.5763	-480.0775	164.5011	0.850705	10.63316	1.121301	0.92788	0.0721198	0.574928	0.425072	1.465048
540	-314.5086	-479.3472	164.8386	0.7801137	11.57589	1.139221	0.97027	0.0297302	0.537921	0.462079	1.339175
546	-329.8846	-493.7704	163.8858	0.5729363	14.60919	1.209262	0.949457	0.0505432	0.557521	0.442479	1.346762
552	-323.8962	-488.6816	164.7853	0.5568114	10.06883	1.437811	0.94166	0.0583403	0.489144	0.510856	1.436583
558	-333.3342	-496.3746	163.0404	1.304344	14.62067	1.556966	0.931439	0.0685612	0.586624	0.413376	1.024597
564	-333.3191	-495.1828	161.8637	0.8524149	18.836	1.41613	0.920775	0.0792251	0.586624	0.413376	1.623862
570	-325.3413	-486.8257	161.4845	0.8524149	27.05239	1.41613	0.950827	0.0491732	0.457617	0.542383	0.8501136
576	-323.5278	-485.8488	162.321	0.4319233	21.63562	1.62832	0.95577	0.0442301	0.647778	0.352222	1.237744
