Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
408	-1019.37	-1186.9	167.5301	0.1474724	0.8377668	1.084246	0.8503215	3.084579
414	-1012.116	-1179.296	167.1791	0.2271245	1.066013	1.080643	0.8374675	3.120585
420	-1009.429	-1176.778	167.3494	0.1264714	1.189517	1.025175	0.9198847	2.989463
426	-1009.002	-1176.067	167.0656	0.2095686	0.9113551	1.025175	0.8966143	3.287571
432	-1011.591	-1179.938	168.3472	0.09282803	0.7834216	0.9233864	0.9457999	2.694881
438	-1009.924	-1177.632	167.708	0.2285817	0.7470186	0.9233864	0.9785425	3.001518
444	-1006.76	-1174.359	167.5987	0.366264	1.093527	0.7765924	1.139307	2.767246
450	-996.8002	-1164.515	167.7145	0.07623097	1.289754	1.01399	1.137831	2.612098
456	-1008.583	-1175.988	167.4052	0.2453935	0.9565507	1.076549	0.9628754	2.967287
462	-1019.054	-1185.925	166.8706	0.3568774	0.9148272	0.8461461	0.9628754	3.379488
468	-1013.55	-1181.052	167.502	0.2109269	0.9148272	0.8469252	0.9628754	3.091866
474	-1018.384	-1185.266	166.8824	0.2884974	0.9425746	0.8469252	0.8731436	3.448499
480	-1011.361	-1177.935	166.5733	0.4594553	0.9118268	0.9074957	0.7627638	3.576284
486	-1017.528	-1185.057	167.529	0.4594553	1.028575	0.6795027	0.8518763	3.020894
492	-1004.06	-1171.746	167.6865	0.1293622	1.013166	0.8745981	0.8957742	2.995348
498	-1013.263	-1181.418	168.1549	0.09216466	0.9076368	0.9146811	1.038719	2.686672
504	-1021.923	-1188.631	166.7079	0.2956796	1.345033	1.213991	1.098182	2.96226
510	-1030.972	-1197.734	166.7625	0.5786247	0.9735181	1.105237	0.7709514	3.239033
516	-1021.015	-1188.23	167.2149	0.3488119	0.8637905	1.102909	0.8248973	3.141176
522	-1019.414	-1186.682	167.2679	0.1291064	1.291719	1.102909	0.7701918	3.019986
528	-1012.832	-1180.981	168.1493	0.5484727	0.9774184	0.7681827	1.113054	2.40602
534	-1021.422	-1189.351	167.9291	0.3624915	1.130965	0.8647798	1.113054	2.505719
540	-1011.546	-1178.976	167.4293	0.0842	1.200655	1.045975	1.10077	2.838408
546	-1009.716	-1177.262	167.546	0.2599133	1.176493	0.9977881	0.928632	2.809081
552	-1008.004	-1175.914	167.9102	0.1044362	1.261599	0.8768977	1.042909	2.63382
558	-1015.609	-1183.014	167.4055	0.04133096	1.441269	1.178114	1.003737	2.716182
564	-1011.606	-1179.047	167.4407	0.267893	1.173496	0.7697563	0.925009	3.007834
570	-1017.365	-1184.639	167.274	0.4595038	0.8000445	1.091683	1.012412	2.971594
576	-1019.237	-1187.321	168.0848	0.02271808	1.20651	0.8852021	1.065615	2.59064
582	-1014.432	-1182.887	168.4546	0.02161828	0.7438596	0.8978456	1.178009	2.568218
588	-1009.303	-1177.654	168.3504	0.02517052	0.7897434	1.164743	1.323281	2.345578
594	-1022.234	-1190.279	168.0452	0.03712358	1.341257	0.7507863	1.080687	2.59675
600	-1023.111	-1189.961	166.8499	0.3062333	1.698304	1.125623	1.235638	2.638282
606	-1019.366	-1186.886	167.5199	0.1735748	1.07743	1.357904	1.063359	2.638282
612	-1017.357	-1184.598	167.2406	0.1739262	1.07743	1.155394	1.042913	2.941297
618	-1009.502	-1177.182	167.68	0.2923345	1.434336	0.7739194	0.9451727	2.679651
624	-1006.099	-1173.201	167.1027	0.1829715	1.096236	0.9713101	0.7222203	3.307098
630	-1013.814	-1180.896	167.0825	0.2481527	1.096236	0.9560051	0.8494439	3.214437
636	-1017.921	-1185.174	167.2536	0.2782813	0.7653571	1.112484	0.8122863	3.218846
642	-1019.91	-1186.788	166.8787	0.1798705	1.03506	1.356382	0.7797885	3.218846
648	-1014.441	-1182.177	167.736	0.3042057	0.9970971	1.250275	0.9171962	2.628506
654	-1020.048	-1187.784	167.7358	0.2176777	1.231241	1.126095	1.170589	2.456268
660	-1013.819	-1181.634	167.8154	0.1767145	1.198974	0.8083495	1.019651	2.74108
666	-1016.116	-1183.932	167.8161	0.4539341	0.9443085	0.7443744	1.056895	2.74108
672	-1017.506	-1185.213	167.7068	0.02852234	1.513171	0.7443744	1.019111	2.751329
678	-1018.487	-1186.237	167.7498	0.3409942	0.9980072	0.8960363	0.7847696	2.892939
684	-1024.18	-1191.491	167.3104	0.2172125	0.9998448	0.9513097	0.9792945	3.080122
690	-1014.149	-1181.348	167.1985	0.2588657	1.231262	1.340832	1.044348	2.711629
696	-1003.971	-1172.295	168.3239	0.06733237	1.30617	0.9432457	1.236582	2.205171
702	-1011.603	-1179.563	167.9598	0.109557	1.187081	0.8969722	1.203442	2.533374
708	-1020.043	-1187.693	167.6502	0.2620442	1.1457	1.142849	1.147824	2.538606
714	-1015.798	-1182.496	166.6985	0.05796744	1.104017	1.128841	0.8323986	3.45617
720	-1035.938	-1202.709	166.7713	0.4355716	1.093764	1.052752	0.7708601	3.278312
726	-1024.346	-1190.998	166.6515	0.3306037	0.8424661	1.302583	0.7684567	3.414077
732	-1019.396	-1187.262	167.8666	0.1487559	0.8424661	1.034768	0.9130931	2.870777
738	-1014.028	-1181.644	167.6163	0.1204834	1.180882	1.034768	0.8548386	2.870777
744	-1017.332	-1185.167	167.8357	0.2075517	0.8195837	0.8465672	0.7786393	3.061085
750	-1008.113	-1175.268	167.1556	0.103607	0.8078906	1.268181	0.7701298	3.289824
756	-1012.373	-1179.733	167.3595	0.3627766	0.8698604	0.8257716	0.8426177	3.196756
762	-1020.446	-1187.46	167.0141	0.1853452	0.976553	1.046383	0.8403188	3.314515
768	-1015.904	-1182.998	167.0935	0.1853452	0.976553	0.9642967	0.8429572	3.314515
774	-1012.64	-1180.022	167.382	0.1474116	1.432048	1.032067	0.8374215	2.861041
780	-1012.897	-1180.183	167.2857	0.1138527	1.290661	0.9879436	0.9027165	3.008455
786	-1000.543	-1167.92	167.3774	0.2972525	1.147418	1.039938	1.001264	2.836608
792	-1008.621	-1175.567	166.9454	0.3751965	0.8325404	1.50789	0.8562876	3.051829
798	-1014.815	-1182.184	167.369	0.2214313	1.10361	1.620731	0.8713434	2.652023
804	-1015.155	-1183.328	168.1727	0.5070579	0.7191014	0.9753882	1.087372	2.464028
810	-1011.671	-1179.247	167.5754	0.3539954	1.031931	0.6427846	0.7951004	3.107563
816	-1010.181	-1177.321	167.1408	0.3911106	1.012241	0.8369323	0.7793041	3.256391
822	-1016.168	-1183.268	167.1001	0.2924222	0.8287245	1.07896	0.7483763	3.322229
828	-1010.101	-1176.635	166.5341	0.3600965	1.30965	0.6722107	0.6695325	3.613246
834	-1006.779	-1173.763	166.9841	0.2676749	1.170691	0.9009185	0.7053821	3.334785
840	-1007.261	-1174.975	167.7148	0.03493105	1.297861	0.9009185	0.8077884	2.902892
846	-1008.688	-1175.882	167.1944	0.01700039	1.143696	1.351986	1.05157	2.902892
852	-1012.767	-1180.141	167.374	0.07425274	1.143696	1.18012	0.8601764	2.976554
858	-1023.744	-1191.08	167.3352	0.205029	1.813125	0.9447072	1.142874	2.506074
864	-1018.287	-1186.209	167.9215	0.1233058	1.216497	0.9103676	1.132422	2.56653
870	-1007.674	-1175.443	167.7687	0.01497919	1.100561	1.323636	1.099149	2.56653
876	-1005.615	-1173.26	167.6452	0.009408038	1.131746	0.9641351	1.319079	2.710649
882	-1011.363	-1179.587	168.2243	0.3176522	1.212444	0.886432	1.412043	2.089097
888	-1014.458	-1182.064	167.6055	0.5310191	0.9695727	0.8995422	1.237557	2.603406
894	-1019.355	-1187.351	167.9965	0.07278467	1.296045	0.7843159	1.094588	2.603406
900	-1016.37	-1183.073	166.703	0.3755114	1.897426	1.018307	1.094588	2.730433
906	-1020.03	-1187.308	167.2778	0.2177012	1.467119	0.8869273	1.145976	2.761946
912	-1021.856	-1189.293	167.4376	0.2130246	0.898987	0.9424766	0.9163606	3.109632
918	-1020.104	-1187.182	167.0775	0.005609357	1.273871	1.1589	0.743072	3.200423
924	-1021.709	-1188.15	166.4408	0.2391808	0.815799	1.468635	0.8982276	3.437271
930	-1014.917	-1182.683	167.7653	0.1119711	0.9157088	1.025687	0.9200055	2.911683
936	-1017.636	-1185.181	167.5455	0.2076249	1.59983	0.7487705	1.031138	2.681332
942	-1010.745	-1179.016	168.2704	0.06845485	1.649848	0.7487705	1.269489	2.131706
948	-1017.223	-1185.227	168.0039	0.01679887	1.649848	0.8129585	1.01153	2.4606
954	-1005.985	-1173.917	167.9319	0.2899614	1.077942	1.146835	1.026483	2.4606
960	-1017.023	-1184.305	167.2815	0.2744732	1.060448	1.076152	0.8057491	3.05618
966	-1024.604	-1191.899	167.2946	0.05806556	1.213069	1.092864	1.038631	2.937557
972	-1023.723	-1191.128	167.4054	0.2757785	1.037672	1.039319	1.066728	2.859632
978	-1022.32	-1189.973	167.6535	0.0892688	1.224701	0.8566206	1.134487	2.778886
984	-1038.772	-1205.965	167.1934	0.125752	1.365899	0.8030841	1.004306	3.061921
990	-1027.57	-1195.048	167.4782	0.09160057	1.365858	0.6711273	0.9906262	2.994262
996	-1032.403	-1200.235	167.8319	0.3392364	1.227852	0.5948042	0.7397557	2.903288
1002	-1019.434	-1187.162	167.7277	0.3393569	1.08268	1.10636	1.13993	2.508676
1008	-1024.551	-1192.7	168.1489	0.06510643	1.010266	1.105866	1.078279	2.500933
1014	-1020.336	-1188.515	168.1788	0.002096552	0.7783583	1.066659	1.04667	2.70716
1020	-1045.273	-1212.814	167.5407	0.1579204	1.045695	1.057467	1.098562	2.813836
1026	-1020.19	-1187.721	167.5311	0.193438	1.261855	0.7962918	1.032324	2.865791
1032	-1013.135	-1180.362	167.2275	0.3518991	1.170488	1.035598	0.8962163	2.946529
1038	-1016.984	-1184.409	167.4251	0.09813156	1.075827	0.9864853	1.095536	2.946529
1044	-1019.904	-1188.331	168.4272	0.3731138	0.9978269	0.8478254	1.092267	2.291914
1050	-1009.51	-1176.693	167.1827	0.1738859	1.188474	1.05566	1.03615	2.973593
1056	-1007.864	-1175.419	167.5549	0.1733798	1.288559	1.05566	0.9970327	2.712282
1062	-1010.457	-1177.309	166.8529	0.3251699	1.166068	0.9803342	0.8301454	3.260702
1068	-1018.606	-1186.121	167.5149	0.1954274	1.166068	0.7624751	0.8577703	3.055608
1074	-1019.453	-1186.588	167.1356	0.2226212	0.864254	0.9453026	0.9536058	3.279628
1080	-1029.507	-1197.666	168.1592	0.09975299	1.137905	0.9609384	0.8841411	2.604563
1086	-1021.712	-1189.184	167.4724	0.07384643	1.137905	0.8667313	0.799073	3.144481
1092	-1030.136	-1197.788	167.6526	0.3406239	1.219081	1.222078	0.8350785	2.588992
1098	-1028.213	-1196.164	167.951	0.5437537	1.219081	0.7801954	1.189537	2.326617
1104	-1029.007	-1196.362	167.355	0.01908786	1.552063	0.9720206	1.092635	2.768336
1110	-1028.864	-1197.217	168.353	0.1068916	0.9409879	0.8153608	1.321884	2.418524
1116	-1027.071	-1194.663	167.5925	0.1085951	1.457001	1.021763	1.07411	2.602931
1122	-1022.747	-1190.663	167.9158	0.07414154	1.460226	0.8127089	0.9995076	2.596972
1128	-1024.845	-1192.131	167.286	0.2033002	1.460226	0.8277805	0.9995076	2.894079
1134	-1025.801	-1193.137	167.3365	0.1789627	1.715673	0.8777416	0.9227686	2.751958
1140	-1023.55	-1189.552	166.0019	0.4725011	0.9992336	1.079903	0.6685033	3.803696
1146	-1014.504	-1181.154	166.6497	0.288996	0.9868658	1.253355	0.681056	3.434683
1152	-1011.507	-1178.225	166.7178	0.02918446	1.146224	1.286424	0.7150912	3.415106
1158	-1011.172	-1178.808	167.6362	0.1760707	1.123645	0.7951182	0.913427	2.967553
1164	-1000.771	-1168.097	167.326	0.3022704	1.094039	0.8885416	1.03509	2.967553
1170	-1006.651	-1174.14	167.4894	0.03474374	1.097909	0.9297738	0.7905809	3.149118
1176	-1007.394	-1173.955	166.5616	0.1955284	1.152794	1.238388	0.9067914	3.320281
1182	-1002.281	-1169.292	167.0107	0.1758908	0.9544168	0.9666557	0.9067914	3.342872
1188	-1007.335	-1175.179	167.8436	0.123928	1.081219	0.73057	0.9036416	2.942518
1194	-1025.601	-1192.36	166.7589	0.4229549	1.314826	1.058694	0.9483895	3.055057
1200	-1022.934	-1191.259	168.3251	0.08678058	0.8613197	0.6631304	0.812147	2.899193
1206	-1015.375	-1183.665	168.2904	0.1048475	0.8969698	0.6889605	0.8953152	2.823405
1212	-1014.779	-1182.804	168.0249	0.1048475	1.2899	0.9333041	0.7512764	2.690988
1218	-1004.974	-1171.676	166.7015	0.3978002	1.233129	0.9952019	0.9573995	3.184076
1224	-1005.396	-1172.457	167.0609	0.05373097	1.062211	1.224049	0.8840135	3.184076
