Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-3.311574	-175.9705	172.6589	0.9739316	0.55316
6	-8.215523	-180.5393	172.3238	1.307009	0.5630465
12	-8.437587	-180.0484	171.6108	2.007857	0.4077901
18	-6.477688	-179.1905	172.7128	0.7811696	0.8184922
24	-13.45068	-185.5212	172.0705	1.127632	1.125813
30	-12.31808	-185.069	172.7509	0.4441443	1.128636
36	-12.76247	-185.5462	172.7838	0.8009122	0.681777
42	-10.66852	-183.3974	172.7289	0.6847202	0.9137335
48	-15.13263	-188.2319	173.0992	0.2235852	1.008422
54	-7.185768	-178.8459	171.6602	1.977564	0.4859544
60	-8.293538	-179.9522	171.6587	1.977564	0.4698723
66	-10.94223	-182.5213	171.5791	2.055661	0.5420601
72	-11.7068	-183.2678	171.561	2.055661	0.6110307
78	-10.61648	-182.6535	172.037	1.587494	0.4219309
84	-9.545994	-181.5881	172.0421	1.587494	0.5682188
90	-8.09617	-180.8192	172.7231	0.771222	0.818136
96	-7.050934	-179.7271	172.6762	0.9616951	0.488961
102	-4.446114	-176.5726	172.1264	1.511192	0.4844324
108	2.195046	-170.4196	172.6147	1.023472	0.5024783
114	-3.437383	-176.4339	172.9966	0.6336611	0.5656094
120	-27.89375	-200.0513	172.1576	1.321997	0.8367496
126	-27.75657	-200.3586	172.602	0.8993572	0.8089604
132	-16.98837	-189.6539	172.6655	0.8358455	0.8089604
138	-13.23037	-185.6394	172.4091	1.159744	0.7099648
144	-14.8633	-187.7864	172.9231	0.6615376	0.6818169
150	-10.81675	-183.4893	172.6725	0.6114312	1.046304
156	-13.48947	-185.7901	172.3007	0.23725	1.645793
162	-10.67364	-183.4382	172.7645	0.69215	0.8645077
168	-12.28887	-184.7486	172.4597	0.9505911	0.9173479
174	-8.496529	-181.1246	172.6281	0.923053	0.7384877
180	-7.386378	-180.3186	172.9322	0.3567135	1.041539
186	-18.12991	-189.6075	171.4776	0.660235	1.923905
192	-12.79893	-185.4428	172.6439	0.5486627	1.130867
198	-15.15599	-187.6809	172.5249	0.667591	1.130867
204	-9.492349	-181.8179	172.3256	1.310695	0.4700875
210	-9.975087	-182.4463	172.4712	0.2657791	1.499816
216	-18.44534	-190.9077	172.4624	0.8463242	1.022349
222	-21.18874	-193.6141	172.4254	0.7014331	1.188643
