Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-1334.129	-1506.5	172.3713	1.172695	0.7494535
6	-1329.079	-1501.564	172.4849	0.9659955	0.8713156
12	-1329.891	-1502.377	172.4861	0.8224427	1.022454
18	-1333.093	-1505.367	172.2745	1.054049	1.002685
24	-1338.845	-1511.14	172.2944	1.1154	0.9179252
30	-1336.71	-1509.159	172.4482	1.093065	0.7534598
36	-1339.167	-1511.516	172.3485	1.134467	0.8324329
42	-1334.95	-1507.278	172.328	1.195316	0.7792907
48	-1342.813	-1515.105	172.2918	1.195316	0.8272312
54	-1349.471	-1521.498	172.0268	1.102522	1.186436
60	-1345.041	-1517.266	172.2251	1.102522	1.00365
66	-1351.126	-1523.205	172.0793	1.135368	1.110906
72	-1344.691	-1516.999	172.3078	0.909625	1.108389
78	-1337.664	-1509.837	172.1733	1.150725	1.007271
84	-1341.96	-1514.487	172.5269	0.7643996	1.039259
90	-1342.932	-1515.434	172.5019	0.8681588	0.96038
96	-1344.019	-1516.519	172.5006	0.9841168	0.8303024
102	-1341.443	-1513.765	172.3226	0.9841168	1.02427
108	-1348.385	-1520.858	172.4727	0.9607986	0.8914597
114	-1347.808	-1520.201	172.3924	1.114339	0.8018193
120	-1336.48	-1508.65	172.1705	1.367081	0.7589777
126	-1345.606	-1517.912	172.306	0.9632776	1.060243
132	-1335.549	-1507.976	172.4275	0.8665967	1.036526
138	-1328.078	-1500.476	172.3981	0.896033	1.036526
144	-1337.953	-1510.182	172.2288	0.9943251	1.10317
150	-1339.223	-1511.609	172.3862	0.8368946	1.10317
156	-1347.646	-1519.98	172.3341	0.9918743	1.005285
162	-1354.251	-1526.396	172.145	1.011148	1.163155
168	-1338.477	-1510.76	172.2831	0.7871093	1.236801
174	-1334.974	-1507.533	172.5596	0.9176718	0.8395798
180	-1340.597	-1512.954	172.3565	0.8294308	1.136762
186	-1338.018	-1510.541	172.5231	0.8030359	1.005175
192	-1342.739	-1515.164	172.4252	0.9047735	1.001352
198	-1343.231	-1515.744	172.5136	0.9853083	0.8121322
204	-1345.522	-1517.962	172.4405	0.7668982	1.117488
210	-1339.771	-1512.024	172.2535	0.7668982	1.27814
216	-1341.142	-1513.686	172.5441	0.834359	0.9516241
222	-1348.251	-1520.757	172.5061	0.834359	0.990771
228	-1344.453	-1516.935	172.4825	0.8696384	0.9788703
234	-1346.094	-1518.541	172.4474	0.947835	0.933735
240	-1353.504	-1525.949	172.4452	0.8435926	1.041639
246	-1348.152	-1520.476	172.3241	0.8355235	1.160094
252	-1347.141	-1519.389	172.2484	1.124389	0.9575818
258	-1341.663	-1514.008	172.345	1.141131	0.8285503
264	-1345.278	-1517.57	172.2922	0.9326093	1.101637
270	-1350.958	-1523.482	172.5239	1.004142	0.7727373
276	-1336.564	-1508.826	172.2624	1.201893	0.8554598
282	-1337.004	-1509.338	172.3337	1.04835	0.9477884
288	-1349.595	-1521.486	171.8911	1.696656	0.6758579
294	-1346.802	-1519.042	172.2404	1.296308	0.7602492
300	-1334.165	-1506.573	172.4084	1.042081	0.8717864
306	-1334.947	-1507.542	172.5944	0.9464922	0.7539702
312	-1334.421	-1506.698	172.2762	1.140628	0.9101948
318	-1335.287	-1507.484	172.1975	1.189237	0.9428835
324	-1332.39	-1504.88	172.4895	0.8301764	1.011532
330	-1329.874	-1502.39	172.5162	0.9213406	0.8868631
336	-1334.922	-1507.15	172.2285	0.9213406	1.168629
342	-1340.672	-1513.091	172.4192	0.9213406	0.990689
348	-1345.945	-1518.261	172.3161	1.002421	1.01269
354	-1345.799	-1518.317	172.5181	0.7331489	1.077189
360	-1353.319	-1525.879	172.5606	0.6244566	1.137563
366	-1350.804	-1523.156	172.3521	0.9716736	1.007483
372	-1334.639	-1506.868	172.2295	1.248907	0.8381516
378	-1337.628	-1510.016	172.3889	0.8418404	1.096217
384	-1338.742	-1511.119	172.377	0.9822576	0.9715816
390	-1340.225	-1512.581	172.3559	1.001542	0.9734688
396	-1343.456	-1515.895	172.4387	1.15305	0.6681128
402	-1332.875	-1505.156	172.281	1.250177	0.7682358
408	-1340.566	-1512.671	172.1043	1.387115	0.8218187
414	-1352.583	-1524.873	172.2908	1.071762	0.9682244
420	-1348.833	-1521.072	172.2387	1.198469	0.8871859
426	-1344.773	-1517.012	172.2387	1.198469	0.8871859
432	-1342.998	-1515.394	172.3962	0.9869115	0.9467419
438	-1333.16	-1505.412	172.2519	0.9626302	1.110989
444	-1338.707	-1510.952	172.2446	1.072125	1.014498
450	-1343.009	-1515.165	172.156	1.137119	1.03745
456	-1349.372	-1521.723	172.3506	1.137119	0.8264907
462	-1344.811	-1517.174	172.3623	1.096359	0.8621862
468	-1333.044	-1505.449	172.4049	1.049782	0.866918
474	-1343.809	-1516.13	172.3207	1.165312	0.8286218
480	-1345.553	-1518.057	172.5039	0.7695193	1.056372
486	-1350.955	-1523.036	172.0813	1.192116	1.056372
492	-1341.25	-1513.665	172.4151	1.070594	0.8290923
498	-1335.945	-1508.265	172.3192	1.062843	0.9478153
504	-1334.627	-1506.822	172.195	1.121877	1.014308
510	-1337.358	-1509.782	172.4237	1.034204	0.8630195
516	-1330.608	-1502.989	172.3819	1.090102	0.8460462
522	-1328.246	-1500.458	172.2116	1.240133	0.8703885
528	-1340.716	-1513.312	172.5959	0.9552041	0.7386147
534	-1342.334	-1514.571	172.2366	1.300906	0.7590315
540	-1339.305	-1511.641	172.3363	1.218234	0.733247
546	-1345.494	-1517.49	171.9964	1.436312	0.8922991
552	-1346.249	-1518.491	172.2423	1.291436	0.7644852
558	-1345.321	-1517.738	172.417	0.9229182	0.991293
564	-1330.074	-1502.498	172.4238	0.8022275	1.100488
570	-1340.526	-1512.948	172.4217	0.8956527	1.013884
576	-1336.806	-1509.106	172.3	1.003272	1.027676
582	-1335.021	-1507.494	172.4728	0.9087997	0.9483186
588	-1337.98	-1510.117	172.1371	1.196274	0.997899
594	-1340.725	-1512.89	172.1654	1.28191	0.8755473
600	-1334.279	-1506.628	172.3493	1.119821	0.8496133
606	-1339.109	-1511.379	172.2705	1.162416	0.892088
612	-1346.746	-1518.983	172.237	1.038241	1.05465
618	-1342.066	-1514.519	172.453	0.8100453	1.066162
624	-1339.609	-1511.999	172.3903	1.096913	0.8271113
630	-1351.329	-1523.68	172.3508	1.06571	0.9105605
636	-1340.741	-1513.001	172.2601	1.260308	0.7833474
642	-1340.254	-1511.984	171.7301	1.762574	0.8201969
648	-1340.462	-1512.526	172.0634	1.460098	0.7790122
654	-1339.087	-1511.56	172.4727	1.033245	0.8029583
660	-1328.119	-1500.407	172.2882	1.132979	0.9053257
666	-1336.362	-1508.792	172.4299	1.037084	0.8521715
672	-1333.592	-1505.885	172.2932	1.23311	0.7751782
678	-1341.409	-1513.821	172.4116	1.067127	0.837834
684	-1347.932	-1520.228	172.2966	1.226357	0.7798454
690	-1336.776	-1509.281	172.5049	0.8324578	0.9938962
696	-1346.096	-1518.569	172.4725	0.8111292	1.04659
702	-1341.669	-1514.102	172.4336	0.9795494	0.9141845
708	-1336.482	-1508.867	172.3857	0.8830673	1.060789
714	-1337.855	-1510.25	172.3949	1.045997	0.8829569
720	-1342.061	-1514.357	172.2957	0.8304431	1.189215
726	-1338.501	-1510.808	172.3065	0.8196182	1.189215
732	-1338.474	-1510.809	172.3346	0.826208	1.159015
738	-1326.501	-1498.892	172.3912	0.9177312	1.022158
744	-1332.709	-1505.105	172.3963	0.668304	1.241464
750	-1338.521	-1510.842	172.3212	0.8075838	1.186937
756	-1339.119	-1511.594	172.4749	0.7808763	1.072939
762	-1340.904	-1513.467	172.5631	0.7678028	1.000392
768	-1335.73	-1507.896	172.1659	1.26711	0.8920235
774	-1336.043	-1508.329	172.286	1.233241	0.7848918
780	-1335.796	-1508.174	172.3776	1.039629	0.9096655
786	-1347.713	-1519.996	172.2822	1.033456	1.015538
792	-1336.373	-1508.647	172.2744	1.263523	0.7583828
798	-1338.958	-1511.327	172.3695	1.16846	0.7583828
804	-1335.447	-1507.642	172.1949	1.184516	0.9505788
810	-1342.361	-1514.658	172.2976	1.28965	0.6769234
816	-1339.232	-1511.577	172.3451	1.242165	0.6769234
822	-1332.276	-1504.629	172.3533	1.117918	0.8469711
828	-1341.64	-1513.922	172.2819	1.181618	0.8563269
834	-1335.711	-1508.085	172.3743	0.9341598	1.022599
840	-1343.218	-1515.459	172.2408	1.226628	0.85164
846	-1333.055	-1505.324	172.2691	1.255991	0.7768102
852	-1335.785	-1508.127	172.3421	1.064172	0.9218094
858	-1347.474	-1519.751	172.2772	1.234054	0.795888
864	-1347.142	-1519.834	172.6921	0.8191464	0.795888
870	-1324.768	-1497.142	172.3739	0.9735215	0.9837757
876	-1331.77	-1503.918	172.1483	1.440503	0.6739538
882	-1339.458	-1511.873	172.4154	1.041251	0.8645207
888	-1341.268	-1513.467	172.1986	0.9711602	1.151158
894	-1341.947	-1514.168	172.2207	1.220487	0.8826374
900	-1340.415	-1512.495	172.08	1.45322	0.7651933
906	-1346.315	-1518.527	172.2111	1.30784	0.7854008
912	-1331.926	-1504.399	172.4729	0.9413054	0.9130611
918	-1343.734	-1516.015	172.281	1.212701	0.818842
924	-1335.374	-1507.698	172.3242	1.087673	0.9156091
930	-1331.496	-1503.961	172.4644	0.7779846	1.085459
