Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1443.659	-1604.58	160.9207	1.170676	1.144558	1.166471	1.372319	1.725263	1.219898	5.052361
6	-1442.952	-1604.545	161.5929	1.280927	0.9959731	1.729985	1.451564	0.6928943	0.9777123	5.052361
12	-1444.05	-1610.383	166.3334	1.649702	1.149594	0.6645893	0.5741764	0.4463778	0.5112201	3.588232
18	-1429.661	-1594.809	165.1476	1.354134	0.9779241	0.655109	0.5741764	0.4463778	0.3382986	4.6233
24	-1433.084	-1597.482	164.3978	1.467554	1.075625	0.7293205	0.5193792	0.5240093	0.6155364	4.718355
30	-1428.389	-1593.873	165.4838	1.467554	1.172379	0.6750534	0.5193792	0.5240093	0.5782124	4.1029
36	-1426.452	-1592.397	165.9443	1.138866	1.362036	0.5374771	0.5310918	0.4346548	0.4619933	4.1029
42	-1423.217	-1589.108	165.8905	1.489351	1.472705	0.4512342	0.4277687	0.3392812	0.7525719	3.87325
48	-1420.142	-1585.458	165.3155	1.384143	1.458883	0.6691857	0.7768596	0.7285006	0.6445109	3.78145
54	-1428.736	-1592.743	164.0074	1.609501	1.186626	0.871832	0.7768596	0.7285006	1.06173	4.209687
60	-1417.49	-1582.298	164.8081	1.278609	1.362666	0.6445934	0.7768596	1.162688	0.9774706	3.760097
66	-1413.198	-1576.096	162.898	1.220529	1.34436	1.146133	1.527433	1.075275	1.797992	3.760097
72	-1419.584	-1580.152	160.5682	1.494926	1.505559	2.383429	1.663186	2.372452	1.032588	3.760097
78	-1422.361	-1584.591	162.2294	1.627763	1.468766	1.045345	1.573979	1.097596	1.392508	4.10093
84	-1422.886	-1584.369	161.4833	1.510424	1.35118	1.727048	1.573979	1.144465	2.083036	3.845275
90	-1412.71	-1572.154	159.4438	1.551996	1.164942	2.182426	2.213739	1.834865	2.576435	3.792371
96	-1420.085	-1578.221	158.1359	1.380573	1.311283	2.182426	2.213739	2.916228	1.724571	4.415271
102	-1422.635	-1582.512	159.8766	1.380573	1.229761	2.225592	2.122958	2.242673	1.433119	4.04865
108	-1431.539	-1592.976	161.4372	1.493108	1.333246	1.938858	1.680805	1.174183	1.322748	4.126661
114	-1436.408	-1598.46	162.0522	1.681304	1.14831	1.285583	1.001894	1.333304	1.470189	4.365982
120	-1431.724	-1593.141	161.4173	1.342765	1.235391	2.051947	1.656968	1.333304	1.303928	4.144427
126	-1426.838	-1587.286	160.4481	1.441485	1.165844	2.09042	1.619199	1.384149	1.325066	4.636378
132	-1415.477	-1577.793	162.3157	1.53113	1.151596	1.235139	1.121797	1.293192	1.138088	4.463922
138	-1420.693	-1582.944	162.2515	1.447214	0.9858517	1.289988	0.8624527	1.085539	1.299868	4.777409
144	-1427.9	-1590.922	163.0218	1.516972	1.170289	1.580185	0.8624527	1.172616	0.8453686	4.247042
150	-1428.673	-1592.029	163.3556	1.945477	1.332573	0.9131606	0.8806194	0.9891148	1.176561	4.031856
156	-1417.367	-1582.363	164.9954	1.023068	1.240449	0.5382438	0.8719999	0.6888507	1.176561	4.031856
162	-1417.347	-1580.822	163.4744	1.167258	1.382387	1.113147	0.8719999	1.163925	0.9711484	4.25417
168	-1425.529	-1587.21	161.6814	1.372594	1.135277	0.9567507	1.318998	0.8321554	1.573922	4.97122
174	-1422.838	-1585.533	162.6943	1.412685	1.16897	0.7463077	0.7451711	0.9843307	0.9425179	5.070377
