"scenario","modelID","metric","rho","lower","upper","p.value","n"
"mk","model1","mean_rhat_max",0.852941176470588,0.711451011907309,0.93490227453828,3.68554373672152e-19,64
"mk","model1","mean_ess_min",0.241176470588235,0.00948531686963516,0.428664751042824,0.0548795789771259,64
"mk","model1","mean_asdsf",-0.973529411764706,-0.9883286497385,-0.936504362657584,1.87712773580119e-41,64
"mk","model1","pass_rate",NA,NA,NA,NA,64
"mk","model1","mse_tree_len",0.55,0.324073249987191,0.700244478202778,2.5062699934389e-06,64
"mk","model1","cov_error_tree_len",0.393956654270568,0.189396535424442,0.573957638613053,0.00127804654991934,64
"mk","model1","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model1","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model1","cov_error_cgr",0.393956654270568,0.189396535424442,0.573957638613053,0.00127804654991934,64
"mk","model10","mean_rhat_max",0.546933163984047,0.299867484063317,0.741050007945385,2.92427085494059e-06,64
"mk","model10","mean_ess_min",0.435929255702338,0.222034067669238,0.618186616059888,0.00031749954185922,64
"mk","model10","mean_asdsf",-0.767479543656835,-0.872112008540519,-0.626536842953986,1.38864939994609e-13,64
"mk","model10","pass_rate",NA,NA,NA,NA,64
"mk","model10","mse_tree_len",0.635148190433087,0.40878530771373,0.775390888819789,1.72771358027336e-08,64
"mk","model10","cov_error_tree_len",-0.0519649845552798,-0.286453356796558,0.164908325909923,0.683418975964758,64
"mk","model10","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model10","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model10","cov_error_cgr",-0.161607741719725,-0.398896208868281,0.0712231650977125,0.202031251128004,64
"mk","model11","mean_rhat_max",0.914717640031246,0.846161048037588,0.953603797637714,4.39818726354767e-26,64
"mk","model11","mean_ess_min",0.632403620824335,0.482573051891739,0.739866884878238,2.07730394254212e-08,64
"mk","model11","mean_asdsf",-0.908836097964435,-0.95657364591171,-0.827680230802612,3.1799989035427e-25,64
"mk","model11","pass_rate",-0.167388807575691,-0.324194006529364,-0.140262543170786,0.186145725568748,64
"mk","model11","mse_tree_len",0.353030372650829,0.120658974916792,0.549492422966763,0.00421865189049244,64
"mk","model11","cov_error_tree_len",-0.106216325237116,-0.355079027686271,0.147225996460682,0.403520768054146,64
"mk","model11","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model11","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model11","cov_error_cgr",-0.0966015384150697,-0.346805981998516,0.158894994128283,0.447637659250899,64
"mk","model12","mean_rhat_max",0.413323137272045,0.19398552256427,0.611785505982747,0.000841029900015386,62
"mk","model12","mean_ess_min",-0.0484498868012278,-0.289431915359944,0.229715008979588,0.708440971769044,62
"mk","model12","mean_asdsf",-0.812748906411811,-0.883893212894781,-0.681328149683556,1.04816267486992e-15,62
"mk","model12","pass_rate",0.663803894281168,0.504120499560993,0.770740334874631,4.08666431336449e-09,62
"mk","model12","mse_tree_len",-0.341421034765987,-0.535467344956244,-0.091029380498046,0.00661217569717924,62
"mk","model12","cov_error_tree_len",NA,NA,NA,NA,62
"mk","model12","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model12","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model12","cov_error_cgr",NA,NA,NA,NA,62
"mk","model2","mean_rhat_max",0.397013213418006,0.157572029822796,0.591364363076381,0.00116171344943952,64
"mk","model2","mean_ess_min",0.00882251585373348,-0.270368896707573,0.29757000777175,0.9448380895841,64
"mk","model2","mean_asdsf",-0.585962094618798,-0.745566661660655,-0.371160799340499,3.64159532509763e-07,64
"mk","model2","pass_rate",NA,NA,NA,NA,64
"mk","model2","mse_tree_len",0.594049400818054,0.384016492005917,0.727370415073633,2.28409289221475e-07,64
"mk","model2","cov_error_tree_len",0.207425191536693,0.0726309763041645,0.33234599399403,0.100044674776797,64
"mk","model2","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model2","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model2","cov_error_cgr",0.207425191536693,0.0726309763041645,0.33234599399403,0.100044674776797,64
"mk","model3","mean_rhat_max",0.973529411764706,0.941858045741938,0.988796504199719,1.87712773580194e-41,64
"mk","model3","mean_ess_min",0.185294117647059,-0.0889209817517438,0.404351978768307,0.142685307752416,64
"mk","model3","mean_asdsf",-0.958823529411765,-0.976749881921035,-0.917724865282166,1.34164736176183e-35,64
"mk","model3","pass_rate",NA,NA,NA,NA,64
"mk","model3","mse_tree_len",0.611764705882353,0.421579911495531,0.743301124700684,7.85234566841429e-08,64
"mk","model3","cov_error_tree_len",0.414850383073385,0.219742180504336,0.570347907558356,0.000653517177573645,64
"mk","model3","mean_mse_rate_loss",-0.0346789574597873,-0.294815282279758,0.205547325861183,0.785587016837653,64
"mk","model3","cov_error_rate_loss",-0.194556230212135,-0.439045242061254,0.0344465859952072,0.123429951412242,64
"mk","model3","cov_error_cgr",-0.118539756497111,-0.36165893810705,0.123744477030196,0.350860064442032,64
"mk","model4","mean_rhat_max",0.929411764705882,0.857661312894679,0.964186541285056,1.56169410298988e-28,64
"mk","model4","mean_ess_min",-0.0529411764705882,-0.331801375576378,0.259165130571492,0.677795262821989,64
"mk","model4","mean_asdsf",-0.964705882352941,-0.98306065126207,-0.926873645398893,1.23052399889423e-37,64
"mk","model4","pass_rate",NA,NA,NA,NA,64
"mk","model4","mse_tree_len",0.544117647058823,0.307149944463618,0.703908965252738,3.36462746184903e-06,64
"mk","model4","cov_error_tree_len",-0.12524485821703,-0.364739662099175,0.104387150452564,0.324083644224633,64
"mk","model4","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model4","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model4","cov_error_cgr",-0.12524485821703,-0.364739662099175,0.104387150452564,0.324083644224633,64
"mk","model5","mean_rhat_max",0.831969142164133,0.711334400490119,0.899194439203164,1.65363695410445e-17,64
"mk","model5","mean_ess_min",0.0591442904905289,-0.176240538563946,0.280846699457537,0.642478970277215,64
"mk","model5","mean_asdsf",-0.740612336317155,-0.883544590095427,-0.546036983735142,2.64955356762006e-12,64
"mk","model5","pass_rate",-0.0307349987984777,-0.107228952792068,0.0250682061737557,0.809484726670486,64
"mk","model5","mse_tree_len",0.59185618022704,0.366935587080067,0.742128690181302,2.59536695645657e-07,64
"mk","model5","cov_error_tree_len",-0.26212904772369,-0.498628156091564,-0.0404863315263243,0.0363989810274874,64
"mk","model5","mean_mse_rate_loss",-0.0882734829504749,-1,1,0.867933698235134,6
"mk","model5","cov_error_rate_loss",-0.0625305399480723,-0.8,0.948683298050514,0.906326439422854,6
"mk","model5","cov_error_cgr",-0.158187379728398,-0.387859728467616,0.0855740729937741,0.211871817438866,64
"mk","model6","mean_rhat_max",0.402669150671251,0.15146726378761,0.63959068712219,0.000971319602238851,64
"mk","model6","mean_ess_min",0.219366251506586,-0.0181998369472561,0.426786243352228,0.081574244245229,64
"mk","model6","mean_asdsf",-0.655526082250779,-0.802575271667068,-0.454596889709693,4.14641530067398e-09,64
"mk","model6","pass_rate",NA,NA,NA,NA,64
"mk","model6","mse_tree_len",0.532106724204194,0.282722215328547,0.711588323671494,6.03561313761491e-06,64
"mk","model6","cov_error_tree_len",0.0116498300219908,-0.224630838736675,0.236500339221397,0.927202701781951,64
