Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	gain_loss_ratio	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-1752.761	-1917.209	164.4484	0.0240006	0.0340267	0.108894	0.100402	0.0458275	0.0178606	0.0254378	0.0430918	0.0462375	0.10059	0.165882	0.180444	0.075935	0.0403837	0.142446	0.0802991	0.127013	0.141603	0.0925312	0.0056998	0.00915142	0.16517	0.00864442	0.000129823	0.0299875	0.0108051	0.0274184	0.0507888	0.0274878	0.0125938	0.0955314	0.153779	0.106135	0.0859187	0.027035	0.0252204	0.0639289	0.0172003	0.00953163	0.0936092	0.0901784	0.0377757	0.0219506	0.090556	0.0156767	0.0171549	0.0430315	0.0196839	0.0363831	0.00658322	0.155405	0.0266983	0.00682013	0.114601	0.0753752	0.0409048	0.0399093	0.000762384	0.00092586	0.0563294	0.0791499	0.0561616	0.0411151	0.0567788	0.021113	0.0846676	0.136296	0.0784652	0.104018	0.175105	0.0262734	0.0175389	0.0406473	0.0311199	0.0858596	0.167504	0.100274	0.000939942	0.0535328	0.0766724	0.0202932	0.0611778	0.036563	0.140583	0.113743	0.0733491	0.0332059	0.011234	0.0500625	0.132692	0.0284881	0.055092	0.0682546	0.0789731	0.0224204	0.0709784	0.0184069	0.8202548	0.00402416	0.00570523	0.0182581	0.0168342	0.00768386	0.00299466	0.00426514	0.00722516	0.00775259	0.0168659	0.0278133	0.030255	0.0127319	0.0067711	0.0238839	0.0134637	0.0212961	0.0237424	0.0155146	0.00095568	0.00153441	0.027694	0.0014494	2.17673e-05	0.00502797	0.00181169	0.00459722	0.00851572	0.00460886	0.00211159	0.0160177	0.025784	0.0177956	0.0144059	0.00453294	0.00422868	0.0107189	0.00288396	0.00159816	0.0156954	0.0151201	0.00633382	0.00368043	0.0151834	0.0026285	0.00287635	0.00721505	0.00330038	0.00610032	0.0011038	0.0260567	0.00447648	0.00114352	0.019215	0.0126381	0.00685847	0.00669156	0.000127828	0.000155238	0.0094447	0.013271	0.00941657	0.00689373	0.00952006	0.00354	0.0141961	0.0228526	0.0131562	0.0174406	0.0293597	0.00440524	0.00294073	0.0068153	0.00521785	0.014396	0.0280853	0.0168129	0.000157599	0.0089758	0.0128556	0.00340254	0.0102576	0.00613049	0.0235715	0.0190712	0.0122984	0.0055676	0.00188359	0.00839394	0.0222483	0.00477657	0.00923723	0.0114442	0.0132413	0.00375921	0.0119009	0.00308628	5.964128
36	-1742.686	-1906.304	163.6179	0.000258688	0.0214154	0.0851462	0.0499825	0.115307	0.0178896	0.0205355	0.0162138	0.0215479	0.0397346	0.136049	0.138278	0.106056	0.0206881	0.124068	0.0852087	0.115749	0.133559	0.0280116	0.00293014	0.00908727	0.0723869	0.0286035	0.00607583	0.0320923	0.00502157	0.0640156	0.0226365	0.104035	0.00944096	0.0993219	0.0793074	0.279623	0.157296	0.0181296	0.03854	0.0222863	0.0164987	0.00415021	0.115373	0.11618	0.0336377	0.0591739	0.155332	0.0136777	0.00749884	0.212597	0.00519919	0.0168266	0.00156529	0.0342548	0.0771179	0.0470441	0.0957109	0.0155901	0.0212454	0.00258597	0.0121341	0.0710439	0.0076175	0.0564782	0.043195	0.113038	0.15043	0.0513767	0.169909	0.0322438	0.136029	0.0833668	0.0364149	0.0514605	0.0300356	0.0160348	0.116003	0.0852271	0.0134151	0.0414243	0.122276	0.12165	0.0690903	0.00630646	0.025685	0.0148332	0.0900119	0.193852	0.12212	0.0883058	0.0741603	0.117249	0.166834	0.117695	0.00999791	0.0580822	0.00988553	0.0228659	0.164535	0.123728	0.8241013	4.03328e-05	0.00333894	0.0132754	0.00779292	0.0179779	0.00278923	0.00320175	0.00252794	0.00335959	0.00619515	0.0212118	0.0215593	0.0165355	0.00322555	0.0193438	0.0132852	0.0180467	0.0208236	0.00436738	0.000456848	0.00141682	0.0112861	0.00445967	0.000947302	0.00500361	0.000782929	0.00998087	0.00352933	0.0162204	0.00147197	0.0154856	0.0123651	0.0435968	0.0245246	0.00282665	0.00600889	0.00347473	0.00257237	0.000647073	0.0179881	0.018114	0.00524456	0.00922598	0.0242182	0.00213253	0.00116917	0.0331467	0.000810622	0.00262349	0.00024405	0.00534078	0.0120237	0.00733479	0.0149226	0.0024307	0.00331244	0.000403186	0.00189187	0.0110767	0.00118767	0.00880569	0.00673466	0.0176242	0.0234539	0.0080103	0.026491	0.00502724	0.0212088	0.012998	0.00567756	0.00802336	0.00468294	0.00250004	0.0180864	0.013288	0.0020916	0.00645859	0.0190644	0.0189668	0.0107721	0.00098326	0.00400463	0.00231269	0.014034	0.030224	0.0190401	0.013768	0.0115626	0.0182807	0.0260116	0.0183502	0.00155881	0.00905577	0.00154128	0.00356509	0.0256532	0.0192909	6.413827
72	-1740.201	-1903.019	162.818	0.0106938	0.0176632	0.0596956	0.0398336	0.0190109	0.0068557	0.0536337	0.185009	0.0424309	0.116888	0.196029	0.0982171	0.0803505	0.0315265	0.186311	0.159709	0.185619	0.0878308	0.0150125	0.0175862	0.0124867	0.118016	0.0247488	0.00629436	0.00602239	0.0504433	0.0417913	0.0236187	0.00661118	0.0113155	0.14116	0.255803	0.113924	0.0795798	0.0342358	0.041941	0.0207087	0.0102604	0.00917432	0.32022	0.145727	0.0430704	0.0472517	0.141858	0.0268109	0.0347601	0.125942	0.0318562	0.0604899	0.021746	0.0735879	0.042779	0.0160827	0.0563699	0.0383081	0.0368263	0.0171054	0.00375092	0.173402	0.000866397	0.124668	0.0454273	0.254481	0.102643	0.0897539	0.15206	0.0356942	0.00657601	0.0568902	0.0148248	0.0270298	0.0211595	0.0506682	0.129316	0.0419235	0.0173349	0.0306623	0.128186	0.0508211	0.0651116	0.00318999	0.093716	0.0261742	0.0670672	0.177036	0.0738986	0.114055	0.124703	0.0694459	0.146027	0.132798	0.0442907	0.0314262	0.00515374	0.0247094	0.0949344	0.0203332	0.9648861	0.00157934	0.00260864	0.00881631	0.00588293	0.00280768	0.0010125	0.00792104	0.0273236	0.00626653	0.0172629	0.0289511	0.0145055	0.0118668	0.00465608	0.0275158	0.0235871	0.0274136	0.0129715	0.00221717	0.00259726	0.00184413	0.0174295	0.0036551	0.0009296	0.000889433	0.00744986	0.00617206	0.00348819	0.00097639	0.00167116	0.0208476	0.037779	0.0168252	0.011753	0.00505622	0.00619417	0.00305843	0.00151534	0.00135493	0.0472926	0.0215221	0.00636097	0.00697849	0.0209506	0.00395965	0.00513364	0.0186	0.00470477	0.00893362	0.00321162	0.010868	0.00631794	0.00237522	0.00832514	0.00565764	0.00543879	0.00252626	0.000553965	0.0256093	0.000127956	0.0184119	0.00670906	0.0375837	0.0151592	0.0132556	0.0224574	0.00527159	0.000971196	0.00840198	0.00218944	0.00399197	0.003125	0.00748308	0.0190984	0.00619159	0.00256015	0.00452845	0.0189315	0.00750566	0.00961619	0.000471122	0.0138407	0.0038656	0.009905	0.0261461	0.0109139	0.0168445	0.0184171	0.0102563	0.0215664	0.0196127	0.0065412	0.00464126	0.000761145	0.00364927	0.0140207	0.00300296	6.771041
108	-1741.736	-1906.582	164.8461	0.0286905	0.0105368	0.0722656	0.0469506	0.0698994	0.00124246	0.0326441	0.07824	0.0251852	0.135852	0.149505	0.204045	0.126597	0.0348034	0.0962248	0.0585245	0.235179	0.0690286	0.0430374	0.00133291	0.0198155	0.00906876	0.00968484	0.00828105	0.0344119	0.0235998	0.0446042	0.0427701	0.0337367	0.00862048	0.0486535	0.227137	0.0924834	0.0545809	0.00839447	0.0503596	0.0777587	0.000146277	0.0181057	0.160845	0.0534656	0.0234143	0.0417921	0.154047	0.0203778	0.0213325	0.199878	0.0174746	0.0308123	0.00499728	0.0480765	0.0385618	0.0140032	0.0260335	0.085178	0.028847	0.0144289	0.00464465	0.109459	0.0013435	0.0468845	0.0182652	0.0693358	0.149976	0.055833	0.0931359	0.0487028	0.0100077	0.108764	0.0178858	0.0690757	0.0363355	0.0867099	0.0185734	0.0375741	0.0720067	0.0243932	0.0504049	0.0669515	0.0398253	0.00143595	0.0929921	0.00593205	0.13013	0.0990916	0.0845759	0.0992693	0.0866337	0.014273	0.101786	0.0891941	0.0406035	0.0322214	0.0208528	0.0136437	0.177003	0.0550324	0.9133177	0.00503667	0.00184976	0.0126864	0.00824227	0.012271	0.000218117	0.00573073	0.0137352	0.00442131	0.0238491	0.0262458	0.0358206	0.0222243	0.00610981	0.0168925	0.0102741	0.0412861	0.0121181	0.0075553	0.000233995	0.00347865	0.00159204	0.00170019	0.00145375	0.00604108	0.00414299	0.00783035	0.00750838	0.00592254	0.00151334	0.00854121	0.0398743	0.0162356	0.00958178	0.00147367	0.00884072	0.0136507	2.56793e-05	0.00317849	0.0282367	0.00938598	0.00411042	0.00733668	0.0270432	0.00357737	0.00374496	0.0350889	0.00306769	0.00540916	0.000877282	0.00843992	0.00676959	0.00245828	0.00457023	0.0149532	0.00506415	0.00253302	0.000815377	0.0192157	0.000235853	0.00823067	0.00320649	0.012172	0.0263286	0.00980159	0.0163502	0.00854988	0.00175686	0.0190937	0.00313989	0.0121264	0.00637878	0.0152221	0.00326059	0.00659621	0.0126409	0.00428227	0.00884868	0.0117535	0.0069914	0.000252083	0.016325	0.00104138	0.0228445	0.0173957	0.0148475	0.0174269	0.0152087	0.00250566	0.0178687	0.0156582	0.00712803	0.00565653	0.00366075	0.00239518	0.0310731	0.00966104	5.696319
144	-1731.42	-1894.877	163.457	0.017992	0.0188248	0.0822192	0.00248244	0.0223017	0.000210582	0.0974503	0.0920112	0.0071093	0.102845	0.160172	0.15249	0.101727	0.0777705	0.108236	0.12369	0.0665169	0.115087	0.0585342	0.0154988	0.0368948	0.029761	0.015649	0.0248442	0.0685559	0.0144616	0.0543254	0.0629926	0.124648	0.0114632	0.102199	0.176365	0.0990823	0.072455	0.0105178	0.0659832	0.0513117	0.00139052	0.00931442	0.0965879	0.0569315	0.0480492	0.0494049	0.163931	0.0118584	0.0088136	0.120464	0.00138073	0.0270946	0.0506126	0.0717073	0.0869948	0.0403584	0.0531065	0.100116	0.0390635	0.0156913	0.010517	0.101062	0.0142854	0.0519242	0.0621224	0.0923384	0.122051	0.0552566	0.109905	0.0227992	0.0161574	0.0840343	0.0114432	0.0780645	0.0500796	0.104273	0.157621	0.0475466	0.00262076	0.173303	0.155661	0.0611179	0.0485438	0.0251441	0.155491	0.00501157	0.088607	0.106516	0.110323	0.0123576	0.0754684	0.0589432	0.188672	0.133704	0.00549821	0.0397445	0.0264795	0.0522136	0.174165	0.0901667	0.8658709	0.00277706	0.00290561	0.0126905	0.000383164	0.00344227	3.25033e-05	0.0150415	0.0142019	0.00109732	0.0158742	0.0247226	0.0235368	0.0157016	0.0120039	0.0167062	0.0190915	0.0102669	0.0177636	0.00903475	0.00239223	0.00569472	0.00459361	0.00241542	0.00383469	0.0105816	0.00223215	0.00838512	0.0097229	0.0192395	0.00176934	0.0157745	0.027222	0.0152934	0.0111834	0.00162343	0.0101845	0.00791996	0.000214627	0.00143768	0.0149083	0.00878738	0.0074164	0.00762565	0.0253027	0.00183034	0.00136038	0.0185937	0.000213115	0.00418205	0.00781206	0.011068	0.0134276	0.00622932	0.00819698	0.0154529	0.00602944	0.00242195	0.0016233	0.0155989	0.00220495	0.00801449	0.00958859	0.0142524	0.0188385	0.00852886	0.0169638	0.00351905	0.0024939	0.0129707	0.00176626	0.0120493	0.00772979	0.0160945	0.0243288	0.00733881	0.000404514	0.0267492	0.0240263	0.00943355	0.00749274	0.00388099	0.0240001	0.000773536	0.0136765	0.0164407	0.0170283	0.00190739	0.0116485	0.00909788	0.0291215	0.0206372	0.000848649	0.00613457	0.00408711	0.00805916	0.0268824	0.0139172	6.478782
180	-1740.658	-1904.162	163.5045	0.00846662	0.0141851	0.068087	0.0183425	0.016053	6.95861e-05	0.0790718	0.0392442	0.0119165	0.180602	0.128755	0.071741	0.120588	0.0320091	0.115564	0.0903791	0.16083	0.110886	0.138536	0.00385207	0.0215488	0.0458865	0.00443661	0.0212533	0.0232752	0.0229906	0.0189553	0.0170491	0.0517205	0.0195212	0.0999699	0.208362	0.179036	0.138895	0.0280333	0.0303226	0.0194079	0.00430007	0.00882195	0.191608	0.050459	0.0389773	0.0760053	0.180024	0.051783	0.00369073	0.12439	0.0129313	0.0168644	0.0402616	0.0483741	0.0396431	0.0870618	0.0363239	0.128735	0.0252018	0.0975527	0.00232667	0.138949	0.0216899	0.057886	0.0078289	0.115785	0.161095	0.0790682	0.152509	0.0239449	0.0485891	0.100398	0.0658806	0.0131775	0.0398361	0.00394919	0.172738	0.0251819	0.0295781	0.155779	0.0538886	0.0270669	0.105554	0.0489969	0.0891689	0.0205898	0.0290494	0.0395306	0.0679283	0.0787658	0.110217	0.0524725	0.133318	0.0613398	0.00674432	0.0782911	0.0357846	0.0362618	0.231207	0.0800459	0.9174707	0.00131771	0.0022077	0.0105968	0.00285474	0.00249842	1.08301e-05	0.0123064	0.0061078	0.00185463	0.028108	0.0200389	0.0111655	0.0187678	0.00498176	0.0179859	0.0140662	0.0250309	0.0172578	0.0215612	0.000599519	0.00335376	0.00714157	0.000690494	0.00330777	0.00362246	0.00357815	0.00295013	0.00265345	0.00804955	0.00303819	0.0155589	0.0324286	0.0278644	0.021617	0.00436297	0.00471929	0.00302057	0.000669244	0.00137301	0.029821	0.00785322	0.00606627	0.0118291	0.0280182	0.00805928	0.000574409	0.0193596	0.00201257	0.00262471	0.00626614	0.00752874	0.00616988	0.0135499	0.00565329	0.0200358	0.0039223	0.0151827	0.000362114	0.0216254	0.00337572	0.00900912	0.00121846	0.0180204	0.0250722	0.0123058	0.0237358	0.00372668	0.0075622	0.0156255	0.0102534	0.00205089	0.00619993	0.000614635	0.0268842	0.00391921	0.00460341	0.0242447	0.00838698	0.00421258	0.0164279	0.00762567	0.0138779	0.00320451	0.00452112	0.00615237	0.0105721	0.0122588	0.0171537	0.00816659	0.020749	0.00954666	0.00104966	0.0121849	0.00556936	0.00564362	0.0359841	0.012458	6.425261
216	-1741.886	-1906.273	164.3871	0.00445956	0.00862643	0.0561398	0.0345801	0.0156803	0.000115612	0.0461258	0.0547127	0.0368474	0.129283	0.0767698	0.0903656	0.114205	0.0835128	0.112615	0.108397	0.134593	0.168874	0.126698	0.00117319	0.0265006	0.0492207	0.00794564	0.0223054	0.024657	0.070938	0.0630766	0.0243359	0.0163325	0.0210642	0.0513143	0.275999	0.209842	0.0458617	0.0148017	0.081302	0.0174103	0.00602489	0.0037704	0.0745567	0.045237	0.024094	0.0458949	0.178472	0.00835395	0.0104935	0.168328	0.00784188	0.0270786	0.0170499	0.0483768	0.0611941	0.0429111	0.0349869	0.0829657	0.0702119	0.0603854	0.00343091	0.0669736	0.0715273	0.0121424	0.013469	0.0756258	0.227283	0.0160315	0.121739	0.0248854	0.0610473	0.0415284	0.0134135	0.0154408	0.0296875	0.0172294	0.0610211	0.0355811	0.0160992	0.142467	0.0575483	0.0715968	0.130039	0.00698124	0.0594034	0.000625369	0.0900818	0.154198	0.0925072	0.0674045	0.0691711	0.0388792	0.212694	0.0954379	0.0274729	0.0805457	0.0189918	0.0372133	0.122165	0.0298554	0.8635706	0.000746453	0.00144391	0.00939682	0.00578809	0.00262461	1.93514e-05	0.00772064	0.00915794	0.00616761	0.0216397	0.0128499	0.0151256	0.0191159	0.0139786	0.0188497	0.0181437	0.0225284	0.0282665	0.021207	0.000196371	0.00443573	0.00823868	0.00132996	0.00373353	0.00412715	0.0118738	0.0105579	0.0040734	0.00273377	0.00352578	0.00858911	0.0461975	0.0351238	0.00767644	0.00247755	0.0136085	0.00291419	0.00100846	0.000631098	0.0124795	0.00757189	0.00403292	0.00768201	0.0298731	0.0013983	0.00175643	0.0281751	0.00131259	0.00453248	0.00285385	0.00809742	0.0102428	0.00718257	0.0058562	0.013887	0.0117522	0.0101075	0.000574274	0.0112102	0.0119724	0.00203242	0.00225447	0.0126584	0.0380433	0.00268339	0.0203769	0.00416538	0.0102182	0.00695112	0.00224518	0.00258452	0.00496917	0.00288391	0.0102139	0.00595565	0.00269472	0.0238464	0.00963257	0.011984	0.0217662	0.00116854	0.00994309	0.000104676	0.0150781	0.0258101	0.0154841	0.0112823	0.011578	0.0065077	0.0356012	0.0159746	0.00459848	0.0134819	0.00317889	0.00622885	0.0204482	0.00499727	5.974343
252	-1737.849	-1900.944	163.0954	0.0625306	0.0225983	0.0995216	0.0720352	0.0234331	0.000508217	0.0330866	0.0462624	0.0365692	0.170504	0.096284	0.234512	0.207902	0.0230331	0.137107	0.0448818	0.228841	0.100885	0.0242346	0.00158268	0.0198905	0.132748	0.0201969	0.0169072	0.0148863	0.0185318	0.0412513	0.0709415	0.0781446	0.0246396	0.164057	0.18588	0.0695223	0.143178	0.0188205	0.0100438	0.0112295	0.0118241	0.0144551	0.100784	0.0604448	0.0379844	0.0599744	0.165267	0.0231917	0.0106162	0.102934	0.000710396	0.0271519	0.0585666	0.182279	0.106849	0.0190083	0.0161887	0.0407429	0.0638087	0.05626	0.0201627	0.00573182	0.056369	0.127899	0.170494	0.0481831	0.101477	0.00609348	0.00159611	0.0714628	0.0855786	0.00905533	0.172831	0.00577134	0.0132753	0.0727056	0.0282892	0.194762	0.151418	0.0903217	0.00663659	0.0515009	0.0891543	0.0278358	0.0533613	0.0101329	0.181392	0.0882434	0.148744	0.00827891	0.0439068	0.198143	0.166241	0.0317044	0.0154409	0.0352156	0.0132913	0.101604	0.0639462	0.0267499	0.8906016	0.00938726	0.00339252	0.0149405	0.0108141	0.00351784	7.62948e-05	0.00496704	0.00694503	0.00548986	0.0255965	0.0144544	0.0352056	0.0312109	0.00345778	0.0205828	0.00673777	0.0343542	0.0151451	0.00363816	0.000237596	0.00298601	0.0199284	0.00303201	0.00253816	0.00223477	0.00278205	0.00619275	0.0106499	0.0117313	0.00369896	0.0246287	0.0279049	0.0104369	0.0214943	0.00282538	0.0015078	0.0016858	0.00177507	0.00217004	0.01513	0.00907414	0.00570232	0.00900352	0.0248102	0.0034816	0.00159373	0.0154527	0.000106647	0.00407612	0.00879217	0.0273641	0.0160405	0.00285357	0.00243029	0.00611643	0.00957914	0.0084459	0.00302688	0.000860476	0.00846226	0.0192005	0.025595	0.00723338	0.015234	0.00091477	0.000239613	0.0107282	0.0128473	0.00135941	0.0259458	0.00086641	0.00199292	0.0109148	0.00424685	0.0292382	0.0227312	0.0135593	0.000996302	0.00773146	0.0133841	0.00417878	0.00801075	0.00152118	0.027231	0.0132473	0.0223299	0.00124285	0.00659141	0.0297457	0.0249565	0.00475955	0.00231803	0.00528666	0.00199532	0.0152531	0.00959977	0.00401577	6.66122
288	-1741.75	-1906.674	164.9237	0.00845603	0.0183971	0.050322	0.0349663	0.0586149	0.00663398	0.028121	0.0424988	0.077729	0.0647156	0.0335943	0.123039	0.11465	0.0590878	0.148475	0.0407567	0.18997	0.105575	0.0304923	0.0208228	0.0165119	0.0376581	0.00723248	0.0546606	0.0615518	0.0262192	0.0803161	0.112188	0.0648711	0.0265778	0.0718907	0.154307	0.0906155	0.0857725	0.0181549	0.0419883	0.0317977	0.0271061	0.0126066	0.173992	0.0475085	0.0374777	0.0645339	0.102537	0.0172027	0.0520127	0.0763995	0.0021972	0.0341115	0.030406	0.139371	0.0957417	0.0456857	0.0875227	0.0235286	0.169252	0.0375695	0.0574019	0.00136377	0.0502586	0.0671056	0.0527525	0.0831973	0.0520412	0.039053	0.0012001	0.0655888	0.0270762	0.0467473	0.0023512	0.0179942	0.0549133	0.088746	0.023062	0.156871	0.124346	0.0441117	0.00234732	0.0522308	0.00894618	0.0211373	0.0407063	0.00114178	0.0345718	0.129669	0.0983578	0.0514362	0.0351949	0.194998	0.11084	0.0234788	0.0585923	0.0790737	0.000759907	0.0831192	0.0506947	0.0154415	0.8929044	0.0014927	0.00324756	0.0088831	0.00617243	0.010347	0.00117106	0.00496407	0.0075021	0.0137211	0.0114239	0.00593024	0.0217195	0.0202387	0.0104305	0.0262095	0.00719459	0.0335345	0.0186367	0.00538266	0.00367575	0.00291476	0.0066476	0.00127671	0.00964896	0.0108654	0.00462835	0.0141778	0.019804	0.0114514	0.00469164	0.0126905	0.0272391	0.0159959	0.015141	0.00320479	0.00741199	0.0056131	0.00478491	0.00222538	0.030714	0.00838644	0.00661575	0.0113919	0.0181004	0.00303671	0.00918155	0.0134864	0.000387861	0.00602153	0.00536742	0.0246025	0.0169008	0.00806467	0.01545	0.00415339	0.0298772	0.00663196	0.0101329	0.000240739	0.00887191	0.0118458	0.00931215	0.0146864	0.00918659	0.00689384	0.000211848	0.0115781	0.00477963	0.00825207	0.000415046	0.00317644	0.00969358	0.0156659	0.00407103	0.0276916	0.0219503	0.00778682	0.000414361	0.00922005	0.00157923	0.00373126	0.00718569	0.000201553	0.00610279	0.0228899	0.0173626	0.00907978	0.00621279	0.034422	0.0195661	0.0041446	0.010343	0.0139585	0.000134143	0.0146726	0.0089489	0.00272582	5.664915
324	-1735.226	-1898.603	163.3768	0.0131417	0.0121897	0.0365006	0.0194174	0.0536391	0.0168192	0.0238024	0.0576226	0.0207787	0.107845	0.194224	0.104488	0.25691	0.0967065	0.094823	0.0750147	0.108961	0.100628	0.0547374	0.00907223	0.0355304	0.0799527	0.0292375	0.0249499	0.0678078	0.0123081	0.0297987	0.110452	0.0665826	0.050375	0.116493	0.143933	0.153197	0.0909143	0.0369321	0.0182007	0.0416757	0.0276624	0.00374848	0.172811	0.138119	0.0620097	0.0335108	0.0987992	0.00665095	0.0383483	0.202811	0.0146772	0.0300062	0.00874364	0.0779567	0.088018	0.0092201	0.141048	0.0304127	0.0533597	0.122977	0.077872	0.00114028	0.0620486	0.0533494	0.159033	0.0824333	0.0928041	0.0210319	0.0103699	0.0720525	0.0772382	0.017037	0.0876229	0.0390352	0.0342569	0.0998862	0.0374454	0.139031	0.157112	0.0694528	0.102553	0.0485246	0.0292987	0.133901	0.0670995	0.0383412	0.0740395	0.101014	0.0963151	0.0459471	0.0243496	0.0569533	0.118009	0.0301097	0.0545445	0.0146175	0.0170314	0.0641459	0.101676	0.0149862	0.8130894	0.00200628	0.00186095	0.0055724	0.00296438	0.00818885	0.00256772	0.00363382	0.00879699	0.00317219	0.0164642	0.0296514	0.0159518	0.0392213	0.0147638	0.0144762	0.0114522	0.0166346	0.0153624	0.00835652	0.00138502	0.00542427	0.012206	0.00446356	0.00380899	0.0103519	0.00187903	0.00454924	0.0168623	0.0101649	0.00769054	0.0177845	0.0219736	0.0233879	0.0138795	0.00563827	0.00277862	0.00636245	0.00422309	0.000572264	0.0263823	0.0210861	0.00946676	0.00511595	0.0150832	0.00101537	0.00585448	0.0309623	0.00224071	0.00458092	0.00133485	0.0119013	0.0134373	0.00140759	0.0215332	0.00464298	0.00814619	0.0187744	0.0118884	0.000174081	0.00947269	0.00814462	0.0242789	0.0125847	0.014168	0.00321084	0.00158312	0.0109999	0.0117916	0.00260097	0.013377	0.00595933	0.00522985	0.0152492	0.00571663	0.0212252	0.0239856	0.0106031	0.0156563	0.00740803	0.00447291	0.0204421	0.0102438	0.00585338	0.0113033	0.0154214	0.014704	0.00701454	0.00371735	0.00869481	0.0180159	0.00459672	0.00832708	0.00223158	0.00260011	0.00979287	0.0155225	0.00228788	6.550262
