Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-2217.323	-2381.425	164.1025	1.155606	0.7381293	8.123705	0.060132	0.06680413	0.1142649	0.7490316	1.159669
6	-2216.493	-2379.054	162.5609	1.66434	0.8725095	9.373684	0.01746243	0.03669076	0.09665306	0.6126754	1.072521
12	-2215.387	-2377.664	162.2773	1.642014	0.928179	9.43867	0.05892717	0.0333582	0.09665306	0.6828337	1.141137
18	-2224.094	-2388.916	164.8218	0.9078583	0.9472218	7.930525	0.08369753	0.03629473	0.06592499	0.5607019	0.9282887
24	-2215.561	-2380.068	164.5078	1.568733	0.9497047	7.395981	0.09739514	0.02675827	0.06592499	0.7228057	0.966612
30	-2215.474	-2379.771	164.2962	1.595008	0.9497047	7.755628	0.04010034	0.0497463	0.0866418	0.6312193	0.8939547
36	-2220.82	-2383.388	162.5685	1.755162	1.036185	9.342086	0.02953748	0.04336252	0.105517	0.6230228	0.7906545
42	-2219.085	-2380.411	161.3257	1.230167	1.000754	11.44987	0.01115371	0.01466524	0.08105453	0.4702529	0.5738325
48	-2213.049	-2376.79	163.7417	1.288305	0.8846849	9.227335	0.02383565	0.011301	0.04988902	0.3455138	0.6124733
54	-2217.498	-2382.109	164.6107	1.148008	0.982914	8.406038	0.01826527	0.01341537	0.06113891	0.306855	0.6656695
60	-2219.949	-2383.282	163.3338	1.248924	0.7943831	9.760788	0.02430602	0.01580976	0.05394765	0.3344833	0.6219126
66	-2230.928	-2394.348	163.4204	1.613741	1.082806	9.139758	0.01651716	0.01271913	0.05394765	0.2602619	0.5837505
72	-2226.891	-2389.057	162.1659	1.521262	1.155244	7.808962	0.2196149	0.2615639	0.204217	2.246666	0.4006173
78	-2221.383	-2382.7	161.3168	1.390138	0.9588079	8.581514	0.114392	0.4679406	0.08703526	2.658975	0.4006173
84	-2215.224	-2375.005	159.7815	1.325793	0.9635509	10.13044	0.1506098	0.4679406	0.08279641	2.667558	0.3948368
90	-2226.523	-2385.931	159.4078	1.835405	0.9164554	9.919594	0.0743516	0.5014035	0.1735254	2.804217	0.463078
96	-2227.948	-2389.241	161.2935	1.355827	0.8860781	8.527502	0.1873245	0.4805734	0.05728006	2.804217	0.5492254
102	-2229.927	-2388.85	158.9228	1.372565	0.923436	10.8971	0.1510451	0.513516	0.1125417	2.699207	0.5541973
108	-2227.409	-2388.434	161.0247	1.740012	0.9248951	8.370246	0.1549837	0.4457367	0.1488661	2.730142	0.7355386
114	-2226.712	-2387.667	160.9553	1.696894	1.063086	8.035678	0.1406796	0.4662141	0.180155	3.007663	0.7188477
120	-2219.799	-2382.118	162.3189	1.203713	1.063086	7.251551	0.129435	0.4662141	0.2215994	2.824536	0.77838
126	-2229.74	-2390.769	161.0288	2.013671	0.9016219	8.751906	0.1635222	0.4284224	0.1498949	2.105079	0.7833201
132	-2217.569	-2378.914	161.3454	1.568464	0.9353888	8.652994	0.06868255	0.468125	0.1369155	2.360139	0.716036
138	-2219.776	-2382.659	162.8825	1.282544	0.9255791	7.34702	0.1604253	0.3983693	0.1651328	2.360139	0.716036
144	-2224.76	-2385.912	161.1514	1.653122	1.012939	8.579111	0.1527265	0.3983693	0.1397519	2.511494	0.5985908
