Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
456	-3081.989	-3249.295	167.3066	0.07119646	0.9274951	0.9760199	3.722688
462	-3084.901	-3252.572	167.6706	0.07076798	0.7914394	1.023113	3.562409
468	-3087.775	-3255.397	167.6221	0.07147773	0.8125102	1.050466	3.562409
474	-3086.934	-3254.373	167.4386	0.06710086	0.9350465	1.062258	3.59432
480	-3082.008	-3243.681	161.673	0.04686453	0.9057254	1.00387	6.853754
486	-3080.966	-3243.273	162.3068	0.04688233	0.7264936	1.015372	6.599344
492	-3083.995	-3246.503	162.5072	0.0466197	1.023035	1.041987	6.31847
498	-3085.483	-3248.876	163.3936	0.0525311	0.8535546	1.013453	5.940146
504	-3079.947	-3244.723	164.7758	0.059038	0.8957138	0.8357339	5.252255
510	-3087.624	-3252.178	164.5539	0.05623493	0.9152959	0.8636173	5.350174
516	-3077.769	-3242.988	165.2194	0.05918631	0.8312436	0.9372049	4.985415
522	-3086.665	-3251.771	165.1056	0.0581336	0.993343	0.8909204	4.985415
528	-3085.681	-3250.919	165.2384	0.05832216	0.8761365	0.8909204	4.976429
534	-3084.624	-3249.118	164.4942	0.05335058	0.979034	1.076733	5.231908
540	-3079.658	-3244.36	164.7018	0.05144539	0.7705721	1.076733	5.231908
546	-3088.793	-3252.371	163.5782	0.05089944	0.8815191	1.015788	5.8238
552	-3077.495	-3241.254	163.759	0.05205148	0.8410153	0.8737626	5.8238
558	-3070.371	-3233.56	163.1881	0.05211722	0.9190239	0.9258117	6.064844
564	-3070.302	-3232.857	162.5548	0.0483467	0.8528843	0.9926148	6.410494
570	-3069.384	-3232.628	163.2445	0.0483665	0.9217158	1.044428	5.969971
576	-3070.008	-3231.909	161.9009	0.04569658	1.017046	1.072841	6.63402
582	-3070.542	-3232.917	162.3752	0.04582881	0.7789422	1.088878	6.496121
588	-3079.273	-3241.07	161.797	0.04582881	0.9505648	1.09422	6.714496
594	-3076.369	-3239.206	162.8368	0.04727561	0.8252414	1.056499	6.238024
600	-3087.763	-3250.886	163.1225	0.04915913	0.836623	1.031318	6.089182
606	-3079.056	-3242.227	163.1711	0.0509719	0.9122858	1.064727	6.002694
612	-3076.316	-3238.838	162.5215	0.05171588	0.9122858	0.8401663	6.477413
618	-3076.929	-3240.262	163.3329	0.05227406	0.8823567	0.9340384	6.001236
624	-3068.493	-3232.531	164.0383	0.05227406	0.9091551	1.023609	5.551487
630	-3069.693	-3234.181	164.4882	0.05343804	0.8288717	1.054339	5.329881
636	-3077.44	-3241.691	164.251	0.05363144	0.9929862	1.054339	5.370652
642	-3082.088	-3247.952	165.8643	0.05749457	0.8920044	1.110688	4.495316
648	-3076.031	-3242.21	166.1793	0.061102	0.868801	1.000323	4.390933
654	-3064.084	-3230.101	166.0174	0.05875278	0.9990726	1.126317	4.339228
660	-3064.416	-3229.73	165.3146	0.05660317	0.9957117	1.126317	4.73728
666	-3067.04	-3232.545	165.5057	0.05473244	0.9928462	1.100177	4.647621
672	-3066.492	-3232.318	165.8255	0.05688505	0.9316741	1.102217	4.500028
678	-3066.075	-3231.433	165.3585	0.05688505	0.9565657	1.061259	4.770838
684	-3085.857	-3251.477	165.6205	0.05769415	0.9373571	0.9379167	4.703579
690	-3077.711	-3243.364	165.6534	0.05769415	0.7781787	1.004379	4.735655
696	-3082.605	-3247.715	165.1099	0.05770061	1.034464	0.9313307	4.937963
702	-3073.878	-3239.535	165.6566	0.05737764	0.8571264	1.056525	4.661763
708	-3074.82	-3240.503	165.6828	0.05737764	0.8450534	1.042199	4.661763
714	-3068.459	-3233.952	165.4935	0.05682097	0.8412022	0.9030763	4.847729
720	-3062.293	-3227.438	165.145	0.05787219	0.877154	0.8781071	5.035135
726	-3079.361	-3244.155	164.794	0.0544298	0.8535896	1.041032	5.154254
732	-3091.365	-3256.624	165.2594	0.05220338	1.019401	1.16051	4.73826
738	-3088.555	-3252.407	163.8526	0.04898242	1.047939	1.192818	5.48612
744	-3085.081	-3249.05	163.9688	0.04899299	0.9316325	1.192818	5.48612
750	-3085.351	-3249.566	164.2152	0.05381693	0.8392071	0.9565566	5.528292
756	-3084.254	-3248.483	164.2288	0.05264904	0.9549439	1.073581	5.393788
762	-3068.873	-3233.729	164.8569	0.05341026	0.8011683	0.9857313	5.17899
768	-3074.243	-3238.924	164.6805	0.05383718	0.8946367	1.098805	5.162918
774	-3075.464	-3240.855	165.3907	0.0553247	0.9653088	0.9970564	4.784692
780	-3074.797	-3240.41	165.613	0.0553247	0.7015072	1.047511	4.775863
786	-3086.974	-3252.828	165.8539	0.05765494	0.901951	1.116806	4.49209
792	-3089.184	-3254.928	165.7438	0.05686366	0.7763738	1.029887	4.672276
798	-3071.977	-3237.476	165.4996	0.05604665	0.9310211	1.122665	4.672276
804	-3076.374	-3242.689	166.315	0.05932069	0.9245945	1.117276	4.217702
810	-3070.176	-3236.396	166.2193	0.05752327	0.9671983	1.059199	4.281762
816	-3057.297	-3224.084	166.7873	0.06481874	0.9169841	1.065794	3.979223
822	-3071.274	-3237.523	166.2496	0.06192753	0.8121777	1.049831	4.354293
828	-3075.669	-3241.771	166.1019	0.0640735	1.026023	0.9828843	4.354293
