Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
468	-1147.817	-1303.443	155.6263	1.783536	0.736496	0.8898609	9.343604
474	-1155.803	-1311.542	155.7384	1.614835	0.8467798	0.7814583	9.373364
480	-1168.959	-1324.179	155.2199	1.601644	0.8955527	0.84403	9.596357
486	-1165.149	-1315.537	150.388	1.846562	0.8390556	1.297491	11.79616
492	-1152.952	-1305.539	152.5872	1.869443	1.015061	0.9673377	10.71291
498	-1147.511	-1299.901	152.3902	1.876699	1.047149	0.9049578	10.82818
504	-1143.075	-1297.734	154.659	1.790782	0.9847148	0.9197662	9.705906
510	-1141.832	-1295.897	154.0644	1.828808	1.118213	0.9197662	9.928909
516	-1144.185	-1297.625	153.4397	1.859572	0.7874498	0.9197662	10.41393
522	-1144.952	-1299.736	154.7835	1.815314	0.7659232	0.8427175	9.781346
528	-1150.573	-1307.145	156.5726	1.722703	0.6228271	0.6519428	9.049216
534	-1152.221	-1303.166	150.945	2.093892	0.6499966	0.6419373	11.80296
540	-1156.956	-1311.747	154.7911	1.849801	0.8805748	0.7958849	9.724253
546	-1161.976	-1317.028	155.0517	1.903363	0.8805748	0.7076584	9.602772
552	-1149.379	-1307.212	157.833	1.825982	1.118354	0.7076584	8.043585
558	-1152.5	-1309.789	157.2886	1.825982	0.7882358	0.6727765	8.524614
564	-1149.122	-1304.759	155.637	1.825982	0.8236212	0.7647715	9.335863
570	-1139.07	-1294.404	155.3339	1.858479	0.7611579	0.7811082	9.502379
576	-1146.745	-1299.911	153.1661	1.765895	0.7601206	1.190151	10.4791
582	-1149.857	-1302.306	152.4494	1.970827	0.6280929	1.065525	10.87556
588	-1144.342	-1298.597	154.255	1.759446	0.7766111	0.8320303	10.08915
594	-1147.758	-1303.142	155.3833	1.637888	0.627766	0.8812123	9.605062
600	-1141.748	-1294.622	152.8741	1.980351	0.8822217	0.9053939	10.60615
606	-1148.409	-1306.219	157.8097	1.716932	0.7343747	0.7908481	8.274065
612	-1153.849	-1310.478	156.6291	1.640711	0.7613693	0.9848361	8.825982
618	-1143.323	-1300.374	157.0513	1.677255	0.7613693	0.8337231	8.662316
624	-1145.53	-1303.006	157.4755	1.624326	0.7256029	1.020299	8.3845
630	-1144.439	-1303.559	159.1201	1.624326	1.002849	0.6364029	7.559355
636	-1152.295	-1305.299	153.0043	1.87485	0.91425	0.6187648	10.71831
642	-1140.41	-1293.628	153.2182	1.811089	0.9157062	0.855555	10.52282
648	-1149.845	-1304.838	154.9934	1.884922	0.6832873	0.7109149	9.741397
654	-1151.431	-1306.223	154.7926	1.871986	0.5772117	1.020928	9.741397
660	-1144.949	-1299.934	154.9855	1.766477	0.7450428	0.7837071	9.741397
666	-1157.888	-1313.251	155.3631	1.558372	0.840298	1.012639	9.483874
672	-1149.84	-1301.611	151.7711	1.887228	0.840298	0.8811116	11.2672
678	-1160.075	-1314.309	154.2346	1.887228	0.7409402	0.7065971	10.11369
684	-1148.594	-1306.214	157.6201	1.625707	1.286152	0.8108168	8.123393
690	-1160.728	-1320.431	159.7032	1.612137	0.8371602	0.7685321	7.276647
696	-1156.402	-1310.521	154.1192	1.795508	0.8648274	0.9113264	10.05499
702	-1157.743	-1311.889	154.1463	1.79433	0.8648274	0.8852624	10.05499
708	-1154.091	-1307.673	153.5825	1.713683	0.8884344	0.8852624	10.38152
714	-1142.874	-1300.318	157.4443	1.673349	1.123097	0.9727604	8.191621
720	-1166.462	-1319.863	153.4007	1.83008	0.9229038	1.084088	10.29356
726	-1177.516	-1326.992	149.476	1.958669	0.7107684	0.7494924	12.55959
732	-1163.709	-1313.051	149.3414	1.817304	0.9468612	0.7093941	12.60309
738	-1157.262	-1312.014	154.7523	1.702908	0.9468612	0.7093941	9.83063
744	-1156.903	-1315.918	159.0143	1.584387	1.127289	0.8868326	7.443998
750	-1160.276	-1315.78	155.504	1.55048	1.127289	0.890008	9.327332
756	-1143.937	-1299.537	155.5995	1.707701	0.7634869	0.9978925	9.327332
762	-1143.493	-1298.047	154.5531	1.707701	0.7634869	1.02785	9.863509
768	-1151.59	-1302.202	150.6123	1.870118	0.9672596	1.129535	11.68644
774	-1136.703	-1289.267	152.5643	1.696724	0.8535539	1.199972	10.77841
780	-1140.406	-1294.595	154.1892	1.833687	0.8485908	1.001803	9.958969
786	-1154.159	-1309.054	154.8947	1.700262	1.253608	1.148593	9.368017
792	-1163.932	-1318.668	154.7357	1.746363	0.8835242	0.830268	9.78875
798	-1151.811	-1307.887	156.0763	1.715335	0.8101642	1.045091	9.022384
804	-1148.729	-1307.573	158.8437	1.564747	1.102185	0.9427697	7.529467
810	-1142.504	-1298.723	156.2197	1.699391	0.9681419	0.885498	8.956357
816	-1155.615	-1313.151	157.5361	1.739989	1.145471	0.6885487	8.242584
822	-1142.19	-1298.857	156.6673	1.840421	0.9428332	0.8713039	8.665229
828	-1142.529	-1296.249	153.7197	1.913415	0.8104078	0.8651746	10.25529
834	-1140.848	-1290.79	149.9423	1.913415	1.125863	1.440949	11.77293
840	-1141.003	-1291.078	150.0743	1.820179	1.129147	1.086491	11.93141
846	-1148.833	-1304.143	155.3104	1.66812	0.9446166	1.086491	9.360173
852	-1139.386	-1295.305	155.919	1.74525	0.7032548	0.9659798	9.185418
858	-1152.033	-1306.892	154.8586	1.656133	1.241536	1.605663	9.185418
864	-1150.412	-1301.585	151.1734	1.87706	0.925071	0.9146908	11.52368
870	-1133.495	-1285.019	151.5239	2.04819	0.9253132	1.016568	11.19754
876	-1144.466	-1298.3	153.8341	1.924943	0.9253132	0.929858	10.09557
882	-1145.051	-1299.41	154.3588	1.815318	0.9023812	0.8466887	9.932545
888	-1146.9	-1300.685	153.7849	1.706667	1.015253	0.921048	10.19362
894	-1147.898	-1301.16	153.2625	1.746548	1.120733	1.282235	10.20358
900	-1161.552	-1316.788	155.2361	1.730415	0.8153775	1.282235	9.332066
906	-1161.419	-1316.497	155.0774	1.784695	0.8940899	1.018463	9.484071
912	-1164.182	-1318.221	154.0385	1.608222	0.723637	1.028631	10.20609
918	-1154.878	-1311.134	156.2555	1.837208	1.010813	0.7648807	8.904287
924	-1157.798	-1310.931	153.1327	1.88691	1.362354	0.7775149	10.33619
930	-1160.56	-1316.834	156.2746	1.819441	1.244518	0.9991874	8.657972
936	-1159.327	-1313.626	154.2997	1.900573	1.244518	0.9517958	9.684602
942	-1153.573	-1312.922	159.349	1.571671	0.8046426	0.8758129	7.449196
948	-1166.617	-1322.476	155.8585	1.571671	0.731355	0.8335934	9.364759
