Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-395.7129	-563.3578	167.6449	0.7069791	1.020493	0.7019903	0.5570692	2.972286
6	-385.3759	-552.422	167.0461	0.238064	1.781268	1.399631	1.111564	2.422977
12	-400.1554	-566.8682	166.7128	0.08750641	1.841287	1.206267	0.5958707	3.115891
18	-386.6301	-554.8586	168.2286	0.1996968	1.337436	0.8979457	1.116151	2.268462
24	-380.5252	-549.0978	168.5726	0.09967709	1.295201	0.6625988	0.8845286	2.429504
30	-395.5236	-564.1117	168.5881	0.1870481	1.011396	1.189691	0.7495046	2.300948
36	-389.7769	-557.8843	168.1074	0.3649277	1.584371	0.7583362	0.8821566	2.328159
42	-404.4257	-573.6094	169.1837	0.07840458	1.012421	0.6230112	0.8574884	2.271531
48	-389.1699	-557.2049	168.0349	0.3828084	1.093943	0.753877	0.8574884	2.67558
54	-383.3461	-551.0851	167.739	0.4647519	1.056208	1.248127	0.8364815	2.541835
60	-388.9398	-557.2438	168.3039	0.2159835	1.693459	0.7846627	0.7659717	2.292351
66	-394.4184	-562.7202	168.3018	0.2873965	1.296715	0.7620297	0.5361921	2.640018
72	-383.8182	-550.3738	166.5556	0.360011	1.234359	1.231682	0.7822896	3.256717
78	-385.9983	-554.4598	168.4615	0.3698911	1.28449	0.5625494	0.90576	2.374598
84	-387.405	-556.2941	168.8891	0.4121079	0.800768	0.9118472	0.8277086	2.224868
90	-394.9207	-560.682	165.7614	2.165101	0.6476779	1.221064	0.803554	2.989392
96	-387.8503	-555.1021	167.2519	0.6007982	1.364642	0.6788459	0.4753174	3.129749
102	-391.882	-560.914	169.032	0.2338431	0.9132097	0.9023223	0.9908299	2.075581
108	-385.8802	-554.7091	168.8289	0.2602593	1.422346	0.6737595	1.328759	1.77625
114	-386.8124	-556.291	169.4786	0.2791788	0.9160046	0.6737595	1.116757	1.805183
120	-383.7618	-552.6734	168.9116	0.213173	1.469466	0.5067983	1.016428	2.02333
126	-382.7832	-550.6946	167.9114	0.6306155	1.592846	1.01915	1.016428	2.02333
132	-380.5575	-547.5195	166.962	0.3986133	2.06604	1.330603	1.468208	2.028183
