Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-97.77315	-265.686	167.9128	1.803544	1.112593	0.8729115	0.9179596	0.725413	0.274587	0.848184	0.151816	1.362378
6	-102.1221	-270.9429	168.8208	1.687072	0.4286515	0.4244598	0.7537419	0.279774	0.720226	0.478373	0.521627	1.362378
12	-108.7812	-277.9163	169.1352	1.660126	0.4074269	0.3710389	0.7537419	0.190433	0.809567	0.760536	0.239464	1.378549
18	-110.8226	-276.4656	165.643	1.061829	0.2056782	3.94315	1.653576	0.381629	0.618371	0.860394	0.139606	1.537614
24	-110.6803	-277.0395	166.3591	0.8838701	0.20153	3.220032	1.608268	0.381629	0.618371	0.87444	0.12556	1.537614
30	-99.77564	-267.4468	167.6712	1.141931	0.8487788	1.46299	1.534173	0.240969	0.759031	0.863147	0.136853	1.40638
36	-100.8721	-267.9494	167.0774	1.403261	1.362675	1.70584	0.9179465	0.635385	0.364615	0.727854	0.272146	1.279184
42	-113.3599	-279.1478	165.7879	1.403261	1.561394	0.5725698	0.8474179	0.698273	0.301727	0.538535	0.461465	2.755576
48	-112.8632	-278.7914	165.9282	1.3309	1.849361	0.9155868	0.8474179	0.65381	0.34619	0.817312	0.182688	2.492424
54	-97.04321	-265.479	168.4358	0.4904574	0.3505853	1.468428	1.270649	0.627216	0.372784	0.628637	0.371363	1.429672
60	-103.1177	-271.247	168.1293	0.8376435	0.3505853	0.9312853	1.197102	0.537832	0.462168	0.617687	0.382313	1.808892
66	-109.7372	-276.5675	166.8303	0.9204042	0.7258759	1.772536	1.197102	0.411866	0.588134	0.920308	0.0796923	2.323662
72	-110.2558	-277.0277	166.772	0.8650217	0.6472888	1.358815	0.941872	0.342753	0.657247	0.896576	0.103424	2.785209
78	-111.969	-279.484	167.5151	0.153796	2.099919	1.086909	0.9243959	0.590745	0.409255	0.892791	0.107209	2.055069
84	-102.0274	-268.1144	166.0871	1.570872	0.9947141	1.086909	1.601349	0.671467	0.328533	0.689874	0.310126	2.055069
90	-94.71254	-263.5719	168.8594	1.460874	0.5187274	0.6114861	1.139851	0.593182	0.406818	0.794477	0.205523	1.160928
96	-94.86005	-262.7648	167.9048	0.1759279	0.9717796	1.292367	1.203768	0.567197	0.432803	0.794477	0.205523	1.973188
102	-99.59925	-268.1385	168.5392	0.07034235	0.7525074	1.045387	1.119984	0.56796	0.43204	0.786015	0.213985	1.973188
108	-107.9933	-273.8782	165.8849	1.742776	0.3223334	2.174518	1.667271	0.355016	0.644984	0.900879	0.0991206	1.973188
114	-101.4069	-268.8513	167.4445	1.081138	0.5851462	1.582938	1.631118	0.355016	0.644984	0.771183	0.228817	1.41214
120	-116.442	-283.4545	167.0124	0.9495344	0.8765977	1.570525	1.631118	0.407396	0.592604	0.740632	0.259368	1.589881
126	-105.0328	-272.9176	167.8849	0.5082647	0.7138058	1.248393	1.450516	0.674128	0.325872	0.716506	0.283494	1.75596
132	-137.8319	-303.4835	165.6516	0.8098249	0.4175006	2.495075	2.356481	0.379162	0.620838	0.792644	0.207356	1.909271
138	-126.9897	-293.8389	166.8492	0.5172136	1.273691	1.588618	1.95187	0.568301	0.431699	0.794122	0.205878	1.543198
