Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-370.0125	-540.8643	170.8517	0.3885142	2.504582
6	-368.3966	-539.8883	171.4917	0.2493326	2.186208
12	-377.6454	-548.4964	170.851	0.2098262	2.61609
18	-369.1119	-540.1435	171.0315	0.02923691	2.61609
24	-369.6345	-540.6754	171.0409	0.019881	2.61609
30	-359.8061	-531.4626	171.6566	0.1567728	2.139191
36	-359.2401	-530.5529	171.3129	0.5658826	2.096372
42	-358.3556	-529.7822	171.4265	0.1077318	2.31909
48	-363.4387	-534.6687	171.23	0.1847131	2.394991
54	-363.6182	-534.8819	171.2638	0.1498788	2.395643
60	-359.7111	-531.6316	171.9205	0.06223067	2.027752
66	-355.8318	-527.4055	171.5738	0.007220016	2.289272
72	-367.5983	-538.8555	171.2572	0.1995736	2.368373
78	-363.1328	-534.3639	171.2311	0.07750206	2.461769
84	-362.6077	-534.2927	171.685	0.03086607	2.202501
90	-375.6396	-547.24	171.6004	0.1154662	2.202501
96	-378.7723	-550.3491	171.5769	0.06534089	2.249999
102	-367.2625	-538.6758	171.4133	0.01053801	2.389215
108	-362.8454	-534.8421	171.9967	0.02700734	2.000484
114	-370.9909	-542.0485	171.0576	0.4991158	2.30477
120	-370.627	-541.8897	171.2627	0.5899501	2.113472
126	-366.4126	-537.0345	170.622	1.029053	2.244336
132	-373.6474	-544.5587	170.9113	0.4690651	2.41663
138	-374.3609	-544.9679	170.607	0.8708118	2.355037
144	-365.9443	-536.627	170.6827	0.6115281	2.470801
150	-372.0619	-543.7503	171.6885	0.8826668	1.621862
156	-355.5591	-527.236	171.6769	0.1840499	2.108059
162	-378.4424	-549.4252	170.9828	0.4166538	2.404604
168	-358.0492	-529.7681	171.7189	0.2618431	2.02904
174	-376.2791	-548.0743	171.7952	0.211383	2.011905
180	-371.3199	-542.6853	171.3654	0.1364999	2.33972
186	-364.1022	-535.351	171.2488	0.3535893	2.275557
192	-371.1396	-542.3917	171.2521	0.2822878	2.31902
198	-378.787	-549.2121	170.4251	0.4778871	2.713238
204	-372.8862	-543.4995	170.6133	0.2896695	2.713238
210	-360.8647	-532.107	171.2423	0.02995134	2.484565
216	-367.953	-539.9932	172.0402	0.06254161	1.947548
222	-369.8996	-541.823	171.9234	0.2575589	1.894707
228	-379.2761	-551.3566	172.0806	0.06911146	1.915899
234	-366.3301	-538.6842	172.3541	0.1003838	1.70524
240	-356.6644	-528.3921	171.7277	0.7414646	1.694891
246	-363.9208	-535.5989	171.6781	0.4564035	1.926121
252	-368.3228	-540.0505	171.7277	0.4564035	1.892548
258	-358.9553	-531.0346	172.0793	0.1736744	1.845537
264	-350.1028	-522.1985	172.0957	0.09672431	1.886898
270	-372.2194	-543.4668	171.2474	0.5199361	2.169123
276	-374.7502	-546.2738	171.5236	0.2312276	2.177257
282	-365.5531	-537.4013	171.8482	0.07181814	2.069219
288	-365.3603	-537.1265	171.7661	0.09138942	2.110302
294	-369.2715	-540.7887	171.5172	0.1187855	2.254012
300	-374.2109	-543.1434	168.9325	2.085169	2.642726
306	-360.1826	-532.0465	171.8639	0.01020855	2.099428
312	-361.508	-533.1616	171.6535	0.006292624	2.238672
318	-363.7461	-535.1462	171.4001	0.1829881	2.287902
324	-363.2227	-534.2717	171.049	0.0370837	2.600435
330	-366.8829	-537.4492	170.5663	0.001704195	2.916906
336	-364.4067	-535.9029	171.4961	0.4152921	2.074876
342	-373.2243	-545.1624	171.9382	0.2457661	1.892677
348	-371.0341	-542.4564	171.4223	0.1051731	2.323429
354	-375.2738	-546.4944	171.2206	0.02136657	2.503526
360	-366.1666	-537.2615	171.0949	0.05034607	2.563766
366	-362.705	-533.7639	171.0589	0.4210079	2.353659
372	-359.6134	-530.5055	170.8921	0.06564029	2.679612
378	-361.3463	-533.1818	171.8355	0.1231822	2.043684
384	-354.5943	-526.5576	171.9634	0.1632265	1.931499
