Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
0	-1345.151	-1516.641	171.4899	1.026557	1.043256	0.837821
6	-1344.611	-1516.21	171.5991	1.026557	0.7898796	0.9967756
12	-1343.656	-1515.27	171.6144	0.837939	1.057913	0.8952965
18	-1346.356	-1518.303	171.9478	0.5421398	1.028158	0.8484584
24	-1345.464	-1517.035	171.5712	0.8971582	1.069608	0.8640419
30	-1341.565	-1513.063	171.4977	0.7560178	1.069608	1.082405
36	-1350.826	-1522.456	171.6306	0.765716	0.9151673	1.093773
42	-1352.485	-1524.148	171.6629	0.8087585	0.8838722	1.053907
48	-1352.121	-1523.643	171.5213	0.9824181	0.8582415	1.049183
54	-1354.404	-1525.966	171.5625	0.9824181	0.9140777	0.9522165
60	-1359.969	-1531.389	171.4196	0.8830044	1.065949	1.042642
66	-1345.892	-1517.5	171.6082	0.8399694	1.027314	0.9337403
72	-1354.275	-1526.167	171.8917	0.8037099	0.6144668	1.096408
78	-1349.864	-1521.546	171.6821	0.6149611	1.13274	0.9648629
84	-1345.723	-1517.39	171.6668	0.7233145	1.051455	0.9648629
90	-1335.292	-1506.97	171.6774	0.7293829	1.051455	0.9478104
96	-1340.714	-1512.142	171.4278	0.9739032	1.051455	0.9582608
102	-1349.1	-1520.466	171.3653	0.7893652	1.239994	1.015451
108	-1358.242	-1529.779	171.537	0.8150534	1.21477	0.827237
114	-1341.594	-1513.116	171.5225	0.7952503	1.178241	0.9101425
120	-1330.241	-1501.814	171.5729	0.9043963	0.8561274	1.076042
126	-1338.355	-1510.1	171.745	0.7419106	0.8182455	1.098541
132	-1334.987	-1506.429	171.4427	0.9165119	1.148363	0.8992303
138	-1342.324	-1514.414	172.0907	0.6005294	0.8832807	0.7935011
144	-1341.134	-1512.499	171.3648	0.9074126	1.242822	0.8907352
150	-1340.305	-1511.33	171.0244	1.32902	1.23181	0.8106232
156	-1333.784	-1505.524	171.7404	0.6410273	1.097248	0.9168166
162	-1342.557	-1514.101	171.5444	0.8535853	1.061076	0.9514051
168	-1345.856	-1517.376	171.5197	0.8535853	1.138468	0.8939435
174	-1344.265	-1515.712	171.4465	1.022363	0.9278462	1.015559
180	-1349.884	-1521.362	171.4774	1.022363	1.000209	0.9078626
186	-1348.02	-1519.883	171.8631	0.5162493	1.123215	0.857369
192	-1347.586	-1519.308	171.7223	0.6884349	1.188147	0.7759671
198	-1355.768	-1527.432	171.6645	1.091423	0.7715427	0.8766955
204	-1356.6	-1528.195	171.5956	0.7899868	1.11853	0.9008959
210	-1357.317	-1528.441	171.1234	1.31704	0.9533683	1.022038
216	-1352.132	-1524.144	172.0115	0.6611509	0.741733	0.9872151
222	-1337.399	-1509.021	171.6215	0.8393526	0.9744456	0.9758924
228	-1348.06	-1519.682	171.6224	0.9069447	0.8653938	1.017279
234	-1344.507	-1515.571	171.0643	1.216556	1.155921	0.9765986
240	-1341.672	-1513.016	171.3434	1.080486	1.108325	0.8710683
246	-1349.101	-1521.039	171.9381	0.843737	0.7495505	0.8710683
252	-1344.299	-1516.113	171.8146	0.6711441	0.7983951	1.112709
258	-1338.606	-1510.113	171.5066	1.006525	0.7190544	1.167568
264	-1335.377	-1506.796	171.4183	1.014411	0.7300657	1.227135
270	-1332.777	-1504.429	171.6526	0.911183	0.7577609	1.087064
276	-1334.078	-1505.778	171.6997	0.8598493	0.9802403	0.8614195
282	-1339.14	-1510.673	171.5329	0.7344225	1.172924	0.9670409
288	-1336.94	-1508.463	171.5223	0.7268024	1.34917	0.7808513
294	-1327.625	-1499.007	171.3812	0.8739552	1.303059	0.8392758
300	-1338.019	-1509.763	171.7443	0.6406315	1.160402	0.8392758
306	-1327.242	-1498.658	171.4164	0.8457341	1.314103	0.8159785
312	-1336.361	-1507.898	171.5373	0.734473	1.324818	0.7838474
318	-1336.819	-1508.565	171.7461	0.578122	1.169127	0.8882458
324	-1332.233	-1503.981	171.7476	0.7075911	1.037031	0.9094229
330	-1335.11	-1506.415	171.3054	1.084762	1.078561	0.9419852
336	-1338.707	-1510.398	171.6916	0.7526389	1.078561	0.8778537
342	-1336.075	-1507.579	171.5036	0.5331677	1.531853	0.7793808
348	-1339.784	-1511.483	171.6988	0.7837695	1.152022	0.7312086
354	-1348.591	-1519.738	171.1477	1.116779	1.202103	0.9443396
360	-1361.501	-1532.439	170.9388	1.141362	1.607364	0.637618
366	-1360.01	-1531.13	171.1193	0.7565247	1.812589	0.6263439
372	-1361.596	-1533.295	171.6989	0.7518363	0.9330173	1.024654
378	-1355.788	-1527.275	171.4863	0.8847614	1.158699	0.8735731
384	-1342.472	-1513.957	171.4845	0.732669	1.158699	1.031367
390	-1334.349	-1505.797	171.4476	1.01698	0.8487771	1.094717
396	-1336.894	-1508.137	171.2427	1.053654	1.050212	1.063825
402	-1346.028	-1517.483	171.4547	0.7972042	1.341012	0.7924864
408	-1355.45	-1527.038	171.588	0.7788511	1.149341	0.8867636
414	-1344.658	-1516.049	171.3907	1.23063	0.8763917	0.9120373
420	-1349.806	-1521.493	171.687	0.6999927	1.102219	0.9120373
426	-1338.39	-1509.739	171.3484	0.9604949	1.283257	0.7960058
432	-1346.616	-1518.124	171.5081	0.3848637	1.63686	0.7164537
438	-1340.554	-1512.092	171.5384	0.6788612	1.325263	0.8481878
444	-1338.23	-1509.469	171.2383	1.145796	1.189151	0.8213246
450	-1335.129	-1506.589	171.4601	0.7953467	1.186657	0.9677747
456	-1331.285	-1502.712	171.4272	0.9520838	1.219481	0.7870777
462	-1328.714	-1500.098	171.3834	1.020945	0.9598238	1.04711
468	-1324.249	-1495.773	171.5239	0.8736539	0.9090145	1.100642
474	-1327.342	-1499.096	171.7543	0.8736539	0.7464342	1.036906
480	-1328.971	-1500.408	171.4365	1.019159	0.9831081	0.973246
486	-1329.688	-1501.565	171.8773	0.6439728	0.9831081	0.888505
492	-1332.3	-1503.473	171.1725	1.278204	1.005783	0.957546
498	-1334.584	-1506.525	171.941	0.5442314	1.064248	0.8095337
504	-1329.692	-1501.387	171.6948	0.5968695	1.256276	0.8273301
510	-1336.048	-1507.813	171.765	0.5968695	1.197613	0.8124488
