Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-154.6694	-324.8682	170.1988	0.3533164	0.1870068	1.290963	1.187191	0.3658741
6	-156.2724	-327.0645	170.7921	0.2096874	0.3412689	1.554533	0.74161	0.4169445
12	-152.3353	-322.1613	169.826	0.3986064	0.5866327	2.023823	1.012594	0.4810456
18	-160.9572	-331.9162	170.959	0.4592657	0.5381634	0.7917343	1.012594	0.4606724
24	-156.8668	-327.2434	170.3765	0.3927765	0.8287381	0.9710098	1.190413	0.6544537
30	-156.083	-324.207	168.124	1.28644	0.6615967	2.593412	1.253909	0.3500511
36	-157.6669	-326.8152	169.1484	0.4489371	0.6481988	1.776754	1.745931	0.3500511
42	-181.7824	-348.362	166.5796	3.095515	0.4794756	0.6046506	1.485179	1.911126
48	-187.7116	-354.4981	166.7865	3.095515	0.4794756	0.3690504	2.783192	0.7580594
54	-176.7193	-343.6462	166.9269	3.095515	0.4794756	0.6075995	1.087695	1.943379
60	-167.8386	-333.8076	165.969	3.095515	0.4050204	2.292216	1.611216	1.131563
66	-168.2107	-334.3938	166.1831	2.926864	0.6250029	1.832828	1.772688	1.168214
72	-152.8012	-319.3489	166.5477	2.926864	0.2866539	1.113014	2.308238	1.064653
78	-156.1	-322.5077	166.4077	2.926864	0.8666448	1.761667	1.276963	1.259419
84	-158.4544	-325.8274	167.3729	2.926864	0.6053269	1.066613	1.05145	1.390699
90	-165.2945	-332.3635	167.069	2.926864	0.2970809	0.6667335	1.689381	1.510488
96	-157.9791	-326.0968	168.1177	2.926864	0.3922345	0.6829416	0.9620767	1.263651
102	-160.7462	-328.5101	167.7639	2.926864	0.2386076	0.405225	1.454355	1.227417
108	-160.5718	-326.3487	165.7769	2.926864	0.3434243	1.395798	2.652854	1.223577
114	-168.5304	-334.7278	166.1974	2.926864	1.098439	0.7188081	2.652854	0.8867094
120	-170.219	-336.4435	166.2245	2.926864	0.7912819	0.9651533	2.652854	0.9280046
126	-163.238	-329.6766	166.4386	2.926864	0.2999431	1.093256	2.738886	0.7305738
132	-165.0132	-331.2922	166.2789	2.926864	0.2918329	0.9363294	2.993549	0.8101722
138	-167.9316	-334.8202	166.8885	2.926864	0.4271907	0.6313945	2.549036	0.971489
144	-164.5397	-331.5145	166.9748	2.926864	0.2361831	0.889421	2.149707	0.9530182
150	-167.354	-333.8937	166.5397	2.832121	0.9040721	2.314538	1.030262	0.9957614
156	-165.4283	-332.4194	166.9912	2.83795	0.2055296	1.694703	1.550658	0.7344759
162	-171.9574	-339.0856	167.1282	2.83795	0.4253321	1.262909	2.027199	0.3779367
168	-160.3665	-326.6459	166.2794	2.83795	0.4569022	1.262909	2.809875	0.7414467
174	-154.4914	-321.618	167.1265	2.83795	0.2019959	1.484852	1.593721	0.7414467
180	-158.2762	-326.0758	167.7996	2.83795	0.3704185	0.7782921	1.863799	0.6012412
186	-160.3764	-326.6176	166.2412	2.906969	0.1385203	1.148459	2.524924	0.5333337
192	-172.8434	-339.9526	167.1092	2.906969	0.6399394	0.6671961	1.660702	1.417486
198	-173.2889	-338.9048	165.6159	2.906969	1.085052	1.873816	2.05975	1.000713
204	-167.7775	-334.6668	166.8893	2.906969	0.6873767	0.9372357	1.024798	1.818952
210	-169.1151	-334.8662	165.7511	3.065753	0.5907599	0.5933001	2.26162	1.920569
216	-169.4625	-335.3149	165.8523	3.065753	0.4433813	0.5933001	1.898252	2.157099
222	-174.3559	-339.0842	164.7282	3.315811	0.3095138	2.118928	1.898252	1.793852
228	-181.1254	-346.5672	165.4418	3.315811	0.1943212	1.317727	2.215128	1.430524
234	-175.6635	-340.0163	164.3528	3.315811	0.5421401	0.7866379	4.006942	1.392448
240	-178.784	-344.0548	165.2708	3.315811	0.3297754	0.8347313	2.47084	1.856477
246	-168.4687	-334.6305	166.1618	3.220793	0.204732	1.035199	1.892154	1.437224
252	-168.1707	-334.7559	166.5852	3.220793	0.3294937	0.4999507	1.375905	1.967598
258	-159.6032	-325.4579	165.8547	3.220793	0.1688303	0.6377061	2.817073	1.137571
264	-162.523	-326.0954	163.5724	3.220793	0.2010474	0.7443756	5.36711	0.8964546
270	-170.8541	-335.6243	164.7703	3.220793	0.07980716	0.1536713	3.227719	0.6393135
276	-168.8577	-335.3728	166.5151	3.220793	0.3410643	0.1871594	2.598443	0.9248423
282	-169.4408	-337.5833	168.1425	2.92332	0.2173481	0.4511949	1.340441	0.9248423
288	-171.8971	-340.0302	168.1332	2.701564	0.6656004	0.4824435	1.423642	1.022266
294	-171.4861	-337.2601	165.774	2.701564	1.078422	2.101703	1.898375	1.022266
300	-163.7759	-330.9204	167.1445	2.701564	0.2930142	0.8859261	2.34059	0.8878161
306	-167.9952	-335.3274	167.3322	2.701564	0.4838709	0.4027411	2.34059	1.074758
312	-163.3826	-329.9074	166.5248	2.701564	0.5302607	0.8728064	3.130899	0.5394411
318	-168.4506	-335.2918	166.8412	2.701564	0.4836182	0.5682095	3.057124	0.708498
324	-164.5828	-331.3381	166.7553	2.701564	0.2931111	0.6268528	3.057124	0.7843486
330	-169.751	-334.97	165.219	2.701564	0.6945255	0.7751587	4.393026	0.5616682
336	-177.1568	-341.8711	164.7144	2.701564	0.3505107	0.7427232	5.133266	0.4618031
342	-159.8508	-327.4494	167.5986	2.701564	0.5014812	0.5069669	2.38693	0.5876684
348	-172.6369	-340.0952	167.4583	2.701564	0.6302298	0.6721389	2.239054	0.7191034
354	-174.2931	-341.8443	167.5512	2.701564	1.260959	0.4371286	1.605585	0.8487144
360	-181.0031	-349.0885	168.0854	2.701564	0.8342122	0.6106647	1.096462	1.137708
366	-177.2051	-344.1299	166.9248	2.701564	0.8342122	0.9472139	1.96663	1.112167
372	-171.7176	-339.2527	167.5351	2.701564	0.3797837	0.9373277	1.980217	0.8202701
378	-165.4651	-335.0656	169.6005	0.1035978	0.5579965	2.535782	1.082897	0.6991836
384	-169.55	-339.6107	170.0607	0.0157687	1.428358	0.7389681	1.545448	0.4181978
390	-175.5081	-346.2039	170.6958	0.1147756	0.615911	0.6433846	1.68267	0.6009814
396	-170.8684	-342.0932	171.2248	0.03810718	0.5332856	0.4842408	1.426125	0.5491986
402	-170.916	-342.5064	171.5905	0.1898144	0.5718202	0.6088881	0.7386643	0.6884985
408	-156.3085	-327.7615	171.453	0.5229238	0.5797371	0.4891664	0.623233	0.6884985
414	-157.7113	-327.0501	169.3388	1.552588	0.770819	0.8781495	1.25587	0.4788048
420	-159.6227	-328.5432	168.9205	0.53768	0.4676279	0.6628353	2.909562	0.2326525
426	-159.81	-329.1721	169.3621	0.8034637	0.2714446	0.6628353	2.184799	0.2326525
432	-155.3982	-325.5087	170.1105	1.080133	0.3554508	0.3955194	1.541438	0.3407359
438	-159.6572	-328.1122	168.455	2.064921	0.2352686	0.7036345	1.905174	0.3407359
444	-168.8286	-339.2233	170.3948	0.2658066	0.7826052	0.7917942	1.557588	0.5423183
450	-164.6876	-335.7242	171.0366	0.1119379	0.449401	0.4747692	1.595798	0.5423183
456	-176.9191	-346.3012	169.3821	0.9287415	1.301004	0.5665423	1.596887	0.5285465
462	-174.1479	-343.8654	169.7176	1.135871	1.744747	0.4572547	0.7100998	0.5285465
468	-161.4375	-330.917	169.4795	1.028017	0.7006335	0.9700461	1.613576	0.5285465
474	-152.0437	-322.9469	170.9032	1.403692	0.5198057	0.3409939	0.4240325	0.5602221
480	-155.3497	-325.819	170.4694	1.731158	0.4377829	0.224996	0.4553888	0.5673488
486	-145.1194	-317.2169	172.0975	0.1366733	0.3205076	0.2354991	0.4487451	0.5673488
492	-159.3838	-329.6887	170.3049	1.193962	0.8997027	0.4040866	0.8848236	0.4255832
498	-164.5014	-334.6054	170.104	1.397243	0.4548203	0.2980086	1.181116	0.332287
504	-169.7204	-338.9291	169.2086	1.747064	0.3430937	0.6202783	1.705171	0.4840943
510	-184.7502	-352.3747	167.6245	2.468749	0.4784997	0.5000604	2.515958	0.7716848
516	-181.6947	-350.1102	168.4155	1.920136	0.183387	0.6254418	1.966245	0.2967451
522	-184.4201	-355.5778	171.1576	0.3144714	0.3727052	0.4582996	1.303902	0.5015232
528	-166.9596	-338.0577	171.0981	0.3570065	0.5701674	1.183016	0.5487733	0.6014912
534	-166.9666	-336.4695	169.5029	1.964266	0.3352405	0.696787	1.103492	0.6105207
540	-158.9599	-329.2063	170.2464	0.122817	0.3352405	1.849603	1.052574	0.3353826
546	-159.4228	-330.7233	171.3005	0.7811151	0.2880782	0.4933019	0.6232345	0.4012739
552	-163.4971	-334.6945	171.1974	0.5212769	0.717255	0.5850826	0.6844879	0.7052106
558	-160.5887	-331.9286	171.3399	0.2023158	0.5336782	0.427684	1.162209	0.4175688
564	-170.8231	-341.9438	171.1207	0.08817619	0.4139908	0.8846372	1.141823	0.6896077
570	-163.9897	-333.5865	169.5968	0.3019601	0.4025724	0.8386966	2.528956	0.389193
576	-168.6428	-337.8859	169.243	0.6430127	0.8720617	1.566395	1.482037	0.5750146
582	-172.4795	-342.3462	169.8667	0.4242574	0.9071518	1.404819	1.068716	0.8074818
588	-173.5148	-344.3991	170.8844	0.1856799	0.6715618	0.8439664	1.068716	0.8074818
594	-179.5537	-349.4641	169.9104	1.283265	0.317944	1.021857	1.068716	0.4500355
600	-167.5296	-338.3294	170.7999	0.9629562	0.2730078	0.2795561	0.9400666	0.4178281
606	-158.6009	-327.8578	169.257	1.208675	0.5431319	0.395346	2.152847	0.3057843
612	-163.7856	-332.5942	168.8086	1.161749	0.2872547	0.5893532	2.584943	0.3057843
618	-161.1697	-330.9626	169.7929	1.515472	0.2872547	0.674896	1.269562	0.4407572
624	-164.674	-334.8141	170.14	0.7970698	1.185414	0.5941561	1.051676	0.5815128
630	-166.2631	-335.5973	169.3342	0.7821384	1.065078	1.60752	1.031004	0.5166569
636	-164.1992	-333.7735	169.5744	1.314396	0.5161598	1.645395	0.7293749	0.5382363
642	-172.8028	-340.4937	167.6909	1.795557	1.198165	2.809051	0.5476396	0.5382363
648	-164.3754	-334.5565	170.1811	0.5533719	0.5832505	0.7013686	1.725046	0.3938834
654	-163.3106	-331.4303	168.1198	1.231309	0.2525704	0.9432207	2.670405	0.2185037
660	-170.3643	-338.4991	168.1348	0.6449479	0.4197909	1.231548	3.007693	0.2149398
666	-160.4176	-329.6122	169.1946	1.226891	0.3572069	1.15212	1.70344	0.3998083
672	-161.5674	-329.4272	167.8598	1.48564	0.2606179	1.059157	2.693529	0.2781714
678	-165.7767	-336.7867	171.0101	0.2067789	0.7062565	0.7458074	1.117712	0.5417113
684	-171.5064	-341.8948	170.3885	0.5963515	0.5387934	1.337149	0.8775315	0.6382391
690	-162.7688	-333.9131	171.1443	0.1943789	0.3461608	0.6410077	1.298686	0.5609149
696	-168.7433	-338.9191	170.1758	0.6756351	0.4642325	0.5925852	1.78292	0.3959665
702	-170.4659	-339.2737	168.8078	1.199593	0.3708839	2.317067	1.086984	0.4250075
708	-163.5487	-333.7306	170.1819	1.663607	0.3000046	0.3117288	0.7781141	0.278513
714	-157.2181	-326.9881	169.77	0.1008813	0.3010928	0.7273862	2.601519	0.3300451
720	-160.8262	-330.8535	170.0273	0.4108738	0.3333369	0.998973	1.710556	0.2751079
726	-156.7232	-325.8827	169.1595	1.184049	0.2381361	0.7355274	1.97448	0.2751079
