Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
0	-559.0268	-824.5085	265.4817	0.791486	0.000716023	0.0188789	0.0158569	0.000148012	0.000621526	0.00341917	0.00122661	0.000453602	5.554e-06	0.00560713	0.00774627	0.0102277	0.00349086	0.00386844	0.00715074	0.00219253	0.0102807	0.00279588	0.00287042	0.0020301	0.0120213	0.000583268	0.00909611	0.0108601	0.000350886	0.00720133	0.0191853	0.00858306	0.00204708	0.00073853	0.00127346	0.00688895	0.00791722	0.013579	0.00860174	0.2081584
6	-554.6029	-820.1155	265.5126	0.799451	0.000723229	0.0190689	0.00616102	0.000149502	0.00108757	0.00345358	0.00123895	0.000458167	1.82665e-05	0.00566356	0.00782423	0.0103306	0.00352599	0.00390737	0.00283553	0.00221459	0.0103842	0.00282402	0.00289931	0.00205053	0.0121423	0.000589138	0.00918765	0.0109694	0.000575896	0.0072738	0.0193784	0.00866944	0.00206768	0.00423133	0.00128628	0.00695827	0.00799689	0.0137156	0.0086883	0.2197158
12	-553.4943	-819.0844	265.59	0.789545	0.000714268	0.0118464	0.00608468	0.000147649	0.00107409	0.00341079	0.0012236	0.00045249	1.80402e-05	0.00559338	0.00772728	0.0102026	0.00213823	0.00385896	0.0028004	0.00222327	0.0102555	0.00278902	0.0211983	0.00202512	0.0119918	0.000934585	0.00907381	0.0108335	0.00056876	0.00718367	0.0191383	0.00856202	0.00204206	0.00420172	0.00127034	0.00687205	0.00987218	0.0135457	0.00858064	0.2545122
18	-555.6822	-821.2644	265.5822	0.791381	0.00167106	0.011874	0.00109127	0.000147992	0.00107659	0.00341872	0.00122644	0.000453542	1.80821e-05	0.00560639	0.00774525	0.0102263	0.0021432	0.00386793	0.00214871	0.00222844	0.0102794	0.00279551	0.0212476	0.00310755	0.0120197	0.000936759	0.00909491	0.0108587	0.000570082	0.00720038	0.0191828	0.00858193	0.00204681	0.0042115	0.00258062	0.00688803	0.00989514	0.0135772	0.0086006	0.2505118
24	-566.57	-832.2602	265.6902	0.779078	0.00217652	0.0121038	0.00154692	0.000748451	6.63863e-05	0.00856307	0.000385204	8.89107e-05	0.000770476	0.00265935	0.00166848	0.0177357	0.00115845	0.00139276	0.00245168	0.01231	0.0288074	0.00138627	0.00751849	0.00414994	0.00317117	0.000338377	0.0102901	0.00808288	5.36878e-05	0.0263168	0.0135293	0.00934397	0.00441567	0.00158547	0.0040208	0.00513856	0.00856249	0.00584561	0.0125391	0.3219371
30	-556.7031	-822.3213	265.6181	0.78137	0.00218292	0.0121395	0.00155147	0.000668511	6.02957e-06	0.00933726	0.000386338	8.91722e-05	0.000772743	0.00326072	0.00167339	0.0177878	0.00104763	0.00139686	0.00245889	0.0112301	0.0288921	0.00139035	0.00447906	0.00416215	0.0031805	0.000339373	0.0103204	0.00810666	5.38457e-05	0.0263942	0.0135691	0.00937146	0.00442866	0.00159013	0.00403263	0.00515368	0.00858768	0.00586281	0.012726	0.270003
36	-559.6101	-825.1873	265.5772	0.788114	0.00220177	0.0122442	0.00156486	0.000674281	6.08161e-06	0.00941786	0.00133269	8.99419e-05	0.000779412	0.00328886	0.00168784	0.0179414	0.00105667	0.00140892	0.00248012	0.011327	0.0291415	0.00140235	0.00451772	0.00419807	0.00320795	0.000342302	0.0104095	0.00817663	5.43105e-05	0.026622	0.0136862	0.00945235	0.00446689	0.00160386	0.00406743	0.00519816	0.00866181	0.00591342	0.00326169	0.2480396
42	-566.5754	-832.1315	265.5561	0.774986	0.00196849	0.00609645	0.0012855	0.000155004	0.000114651	0.00440985	0.00133326	0.000534267	2.16783e-05	0.0146986	0.00912381	0.0120465	0.00226615	0.00455637	0.00253115	0.00148468	0.012109	0.00299368	0.0144346	0.00126233	0.0104803	0.000310916	0.0107137	0.0174629	0.000544689	0.00848195	0.0225971	0.0101094	0.00241111	0.00362948	0.00303994	0.00187734	0.0116563	0.0180118	0.0102615	0.2380475
48	-551.7543	-817.3716	265.6173	0.779567	0.00198013	0.0061325	0.0012931	0.000334656	0.000115329	0.0035494	0.000812597	0.000537425	2.18065e-05	0.0147854	0.00917774	0.0121177	0.00227955	0.00113409	0.00254611	0.000267145	0.0121805	0.00301138	0.0145199	0.00126979	0.0105423	0.000312754	0.010777	0.0175661	0.000547909	0.0085321	0.0227307	0.0101692	0.00242537	0.00365094	0.00305791	0.00188844	0.0117253	0.0181183	0.0103222	0.2695243
54	-545.1543	-810.7504	265.5961	0.805218	0.00576196	0.01251	0.00159882	0.000688915	6.21359e-06	0.0108987	0.000823871	9.18938e-05	0.000796327	0.0061818	0.00135083	0.0183307	0.0010796	0.000358776	0.000880373	0.00224577	0.0297739	0.00143278	0.00305411	0.00267172	0.00246826	0.000217059	0.0106354	0.00671935	4.51507e-05	0.0148504	0.0139832	0.00965748	0.00572283	0.00141449	0.0041557	0.00531097	0.00884979	0.0068825	0.00333248	0.2577071
