Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
0	-1319.014	-1584.587	265.5729	0.907964	0.000739804	0.00085417	0.00189083	0.000357582	0.000935405	0.000159858	0.000387532	0.00210167	0.000440988	0.00503245	0.00283468	0.00701674	0.00289395	0.000235873	0.00518599	0.00166819	0.00475967	0.00448396	0.00480491	0.00686472	0.00201589	0.00940543	0.00276655	0.00121391	8.47528e-05	0.00604355	0.00123552	0.000792052	0.000137323	0.00554615	0.00127621	0.000690499	0.0017407	0.0039093	0.00152943	0.2459202
6	-1327.075	-1592.623	265.5487	0.911664	0.000742818	0.000857651	0.00189853	0.00045837	0.000939217	0.000314232	0.000389111	0.00211024	0.000442785	0.00505296	0.00225643	0.00704534	0.00290574	0.000236834	0.00520713	0.00167499	0.00477907	0.00450224	0.00482449	0.00689269	0.00202411	0.00944376	0.00277782	0.00121886	8.50982e-05	0.00232993	0.00124056	0.000795279	0.000137883	0.00556875	0.00128141	0.000693313	0.00174779	0.00392523	0.00153566	0.234718
12	-1339.393	-1605.038	265.6452	0.858368	0.00119084	0.00053995	0.000416872	0.0019094	0.000686276	0.00114641	0.00157025	0.00366657	0.00108843	0.00972599	0.011268	0.00278909	0.00653633	0.000310164	0.00225646	0.0027331	0.00903133	0.000714655	0.00827031	0.00243819	0.00818539	0.0154893	0.00388701	0.0123964	0.00320028	0.00403507	0.00296059	0.00450123	0.000589539	0.00455933	0.0058628	0.00106214	0.00244514	0.00366345	0.000506189	0.2869794
18	-1333.991	-1599.521	265.5299	0.864377	0.00119918	0.000543731	0.000419791	0.00192277	0.000691081	0.00115443	0.00220883	0.00369224	0.00109606	0.00979408	0.0113469	0.00280862	0.0065821	0.00103774	0.00227226	0.00275223	0.00909456	0.000719659	0.00832822	0.00245526	0.0082427	0.0155977	0.00391422	0.00367671	0.00322269	0.0032981	0.00419866	0.00453275	0.000593667	0.00459125	0.00590384	0.00106957	0.00246226	0.0036891	0.000509733	0.2266985
24	-1333.691	-1599.221	265.5299	0.859722	0.00131191	0.000540802	0.00041753	0.00191241	0.000687359	0.00114822	0.00219693	0.00367235	0.00109015	0.00974133	0.0112858	0.00279349	0.00654664	0.00239674	0.00226002	0.00273741	0.00904558	0.000715783	0.00828336	0.00303774	0.0081983	0.0155137	0.00389314	0.0036569	0.00320533	0.00328034	0.00793885	0.00450833	0.000221082	0.00456652	0.00587204	0.000977153	0.002449	0.00366923	0.000506988	0.2266985
30	-1330.658	-1596.26	265.6023	0.860385	0.00131292	0.000541219	0.00014785	0.00191388	0.000687889	0.0011491	0.00219863	0.000763346	0.00109099	0.00974885	0.0112945	0.00279565	0.00655169	0.00239859	0.00226176	0.00273952	0.0124377	0.000716335	0.0106791	0.00304009	0.00820463	0.0155257	0.00389614	0.00365972	0.0032078	0.00328287	0.00794498	0.000908111	0.000460869	0.00457004	0.00587657	0.000977907	0.00245089	0.00367206	0.000507379	0.261051
36	-1346.014	-1611.587	265.5726	0.84152	0.00128413	0.000529353	0.000144608	0.00187192	0.000672806	0.00112391	0.00113437	0.000746609	0.00106707	0.00953509	0.0110469	0.0031455	0.00640804	0.00946666	0.00221217	0.00267945	0.025812	0.000700629	0.00865018	0.00297343	0.00802473	0.0151853	0.00381072	0.00357948	0.001856	0.00321089	0.00777078	0.0008882	0.000450764	0.0093091	0.00574772	0.000956466	0.00239715	0.00359155	0.000496254	0.2457874
42	-1335.392	-1600.943	265.5515	0.867251	0.00104612	0.00110172	0.000860077	0.00166615	0.0011902	0.000665211	0.000915948	0.00367363	0.00390875	0.00649092	0.00289856	0.00905029	0.00373266	0.0108947	0.00716331	0.00215166	0.0178677	0.00289293	0.00204603	0.00504531	0.00307116	0.0104224	0.00313795	0.000995771	8.7768e-05	0.0024268	0.00424204	0.00108992	0.000424204	0.0071535	0.00164607	0.00256329	0.00358424	0.00504227	0.00160004	0.2359666
48	-1334.231	-1599.782	265.5515	0.867858	0.00104685	0.00110249	0.00113483	0.00166732	0.00119104	0.000665677	0.000916589	0.0036762	0.00391148	0.00649547	0.00290058	0.00905662	0.00373527	0.0109023	0.00716833	0.00215317	0.0178802	0.00289495	0.00204746	0.00504884	0.00307331	0.0104297	0.00314014	0.000996468	8.78294e-05	0.0024285	0.00424501	0.00109069	0.000424501	0.00715851	0.00164722	0.00256508	0.00358675	0.0050458	0.000627186	0.2359666
54	-1346.151	-1611.783	265.6318	0.861991	0.00131537	0.00054223	0.000194671	0.00253398	0.000689173	0.00115125	0.00116196	0.00492129	0.000804061	0.00976705	0.0113156	0.00322201	0.00656393	0.0119126	0.0024336	0.00274463	0.0146972	0.000362333	0.00632061	0.00174979	0.00821995	0.000948917	0.00342172	0.00366656	0.00190115	0.003289	0.00795981	0.000909807	0.000461729	0.00953555	0.00588755	0.00106986	0.00245546	0.00367892	0.000199484	0.2783241
