tree_length,gain_loss,n_char,part_rate,M2,M3,M8 (NT baseline),M7,M1 (Mk baseline),M4,M12,M11,M10,M5,M6,M9
1,0.1,25,1,0.5410221971779705,0.5327930595502404,0.5375193026711323,0.5409182997296108,0.5353195243069168,0.5332951270301041,0.5393120635424566,0.504558369673854,0.5416489448149329,0.5322373154591415,0.5388739255787536,0.5391558596888855
1,0.1,25,2.5,0.547342279369337,0.5470164979766206,0.548244004281182,0.5503769137513143,0.5445902344523756,0.545709326064989,0.5362330243269888,0.5104061259717614,0.5459722602026724,0.5463294157125356,0.5471621839071963,0.5479895268360175
1,0.1,25,5,0.5963128355118015,0.6007817392453838,0.597120653858564,0.5986028529089673,0.5940420026035044,0.5934562258952597,0.5874859873828701,0.5713450722535418,0.5973925562057348,0.5935595719862271,0.596993116963077,0.5988053394342979
1,0.1,50,1,0.461577735641865,0.46063351650723394,0.44517400719196343,0.44470820440209746,0.46612981799152237,0.464905223831457,0.4596140968090922,0.4368519960603986,0.44420661545217544,0.45045242282367787,0.46024636041578393,0.44256269109942026
1,0.1,50,2.5,0.4335880859189317,0.43395908438828396,0.43212105223401154,0.4321982625962718,0.433533727748687,0.43453546435353096,0.4301731592465808,0.4192997327834197,0.4328400167052698,0.43175089154670154,0.43648802009791443,0.4254527434184783
1,0.1,50,5,0.4060428512041375,0.41606421159050505,0.40843406516447345,0.4061977888257602,0.42289097720733126,0.4069455619329133,0.41540021958867257,0.39892640363208587,0.4004896711084275,0.40777248554807244,0.40006385530492306,0.4070187260051983
1,0.1,100,1,0.3018126143005899,0.29353727315426154,0.32990816807077633,0.32973647743037365,0.2967762527350642,0.2981972871934056,0.29356772452184354,0.27059639770238697,0.3278096261332704,0.3215336741389601,0.30570030635055584,0.3068738527410581
1,0.1,100,2.5,0.29085550497390583,0.2998752802833637,0.2885451282363898,0.28971796056443017,0.30200404181412843,0.2943981796428408,0.3262695321643133,0.28478235838623644,0.2845784067133715,0.2975926969290001,0.28306430484274,0.25884073511936817
1,0.1,100,5,0.3174889285193695,0.32241174322040744,0.3167457403679399,0.32001748200249747,0.32112954931461435,0.31457290246160896,0.31701983932734945,0.3010949390326987,0.3171328493688171,0.3182905523353124,0.3136098535981454,0.31578298696871077
1,0.1,200,1,0.1795217960470467,0.1773321365451358,0.17653712642857122,0.1767494326214189,0.18061540344843113,0.17971241856808412,NA,0.18247703210183186,0.17524928152185432,0.17506763802824682,0.18083183055241644,0.1969058001891289
1,0.1,200,2.5,0.1921180667702925,0.20998483811255586,0.19179058513000635,0.19271915627610042,0.20790534551071585,0.1954047022200739,NA,0.16879568015237145,0.19117092126683174,0.20196900492806488,0.19164924392042448,0.16775994829813567
1,0.1,200,5,0.15582868584969875,0.16797727754925518,0.15776218361243655,0.16836014730953205,0.1660991397941296,0.16175635277479045,NA,0.149209539526211,0.1561021226259165,0.16324745561617013,0.1564478847963745,0.15669869902754122
1,0.25,25,1,0.5597512283847293,0.5646279407201122,0.5605294091206662,0.5614855115233468,0.5609409928932674,0.5608189894198853,0.5528903564539701,0.5381581995100029,0.5607713405688877,0.5582742898074861,0.5633707645424167,0.5439625134231588
1,0.25,25,2.5,0.5341709515638029,0.5335581747565031,0.5355572351594285,0.5376029573694332,0.531424065730842,0.5307925231073738,0.5218658329105738,0.5040397843759046,0.5331584780338081,0.5323622803084257,0.5338089917504207,0.5382245995265296
1,0.25,25,5,0.6128952554231797,0.6261259357526276,0.6102022506533062,0.6122977737269488,0.6259137820424192,0.6273039215133986,0.6173636736911555,0.5942694104292852,0.6079514536983621,0.6271516979869264,0.6091861076475712,0.6039627838226547
1,0.25,50,1,0.4222236623692631,0.42092886821152886,0.4089787014379802,0.41263940304260316,0.4248994604562849,0.4224297762521769,0.41775309401156424,0.3880366514815297,0.40839412878158277,0.4167482692842439,0.41696613548476047,0.3946835157053361
1,0.25,50,2.5,0.4276066871045286,0.45192256363746464,0.4406939120551378,0.44347094471270254,0.44794926286780595,0.4466807762503636,0.44372179774318893,0.4100016271662124,0.4354665907163261,0.455848094009742,0.4254512051661993,0.42908162445192755
1,0.25,50,5,0.4032981653225232,0.4055503119946746,0.3977404552287922,0.4002950293685157,0.4027448068018715,0.3999407589528684,0.4006736812184246,0.38602018475601513,0.39916318313576293,0.3999508253580174,0.39981271273216024,0.37757440912983276
1,0.25,100,1,0.3024487795708253,0.29943703540335576,0.30079320878543314,0.30106627311031964,0.29956149211189176,0.2991587747663143,0.2981624227984043,0.2870048662128253,0.2999943551479918,0.30176704913869495,0.30242354133010774,0.3030130195396698
1,0.25,100,2.5,0.2770694072268167,0.29719787179277557,0.27344364971703666,0.27499658104424374,0.29717967265784545,0.29649142378921034,0.29566281827766056,0.2823977677260376,0.27335306941556015,0.2927523684241379,0.28025624864117593,0.28330995554907523
1,0.25,100,5,0.2876255362965481,0.28763307343891475,0.28025031912240367,0.28203633943770173,0.2895419676670342,0.2890608104781601,0.3021309762558319,0.28183878169540444,0.2817688078982936,0.28597642100088905,0.28577191029173915,0.2801597201871284
1,0.25,200,1,0.18539032188236254,0.18811152011076987,0.18411272998825434,0.1840183473466528,0.18775198329466525,0.1860044496644669,NA,0.17707353157455674,0.1845142507320925,0.1872355742022429,0.18448166378306072,0.17821012400205927
1,0.25,200,2.5,0.18176186015705537,0.19483838135296824,0.17759776313596148,0.17835522344933724,0.19166807399933156,0.1929647994247801,NA,0.1729985424483032,0.17658915471419412,0.19375204791586242,0.17829693967699856,0.17296241512687363
1,0.25,200,5,0.1855968038314829,0.19486559147457155,0.18610623509814223,0.1620110224564836,0.1938598916226742,0.1924028759833274,NA,0.1729135424918155,0.18339798737433502,0.19200256959785644,0.18642325641630458,0.1844238880019831
1,0.5,25,1,0.578673101216065,0.5797796462751771,0.58275596393857,0.5831795120754069,0.5746242550419192,0.5806776917351744,0.5678471584826232,0.5461384229910244,0.5817554029736758,0.5800910735031992,0.5840799422866276,0.5769541760996826
1,0.5,25,2.5,0.5286448746771446,0.5246234348595459,0.5280545176070722,0.5309732539025324,0.5236930896188065,0.5246037059459849,0.515246095023745,0.49844194570033745,0.5278700885784042,0.5245485670495176,0.5301658822352207,0.5230386385021661
1,0.5,25,5,0.5333691237186267,0.5376907627727892,0.5361944563505188,0.5346038448152081,0.5373268765901258,0.5337128370285326,0.5282795182698908,0.5112288799047878,0.5368188217457692,0.5346188358397389,0.5313889741166136,0.503917703545776
1,0.5,50,1,0.4068883960627313,0.40887663249898437,0.40527239405653964,0.40834621050307446,0.4123344242755078,0.4070261559775326,0.4035021957749224,0.38542957544208906,0.4022606631613855,0.4079306209100724,0.40302505487774254,0.4112394608154071
1,0.5,50,2.5,0.4075978481916646,0.41459288807420475,0.41093526511070927,0.41092547954966796,0.4126816991648479,0.41189721332348916,0.4051967069162631,0.3909903705273169,0.40972245306565225,0.40918083878831785,0.40922535899381673,0.40179768124851134
1,0.5,50,5,0.4259991749346238,0.43572903995989726,0.4261494221842251,0.4276429414603897,0.43509171924436196,0.43351767921336853,0.4282003061366412,0.4121413863172686,0.42802240602754277,0.43281180005696707,0.4271814582540525,0.43146233810134316
1,0.5,100,1,0.287877310211618,0.28668773981919354,0.28260840700114814,0.2848098276826667,0.28822513941843975,0.28705804080378583,0.2861618381090315,0.27803998440731326,0.28569510830444605,0.2853086389236468,0.28317533029314773,0.2909491940422185
1,0.5,100,2.5,0.3132843343891537,0.30703873820222083,0.3013717113475367,0.30712500938805626,0.31184553112304025,0.3106352141326377,0.2767884117898198,0.2889673735587379,0.30083310079329884,0.30337722488695656,0.30774107262480077,0.2748957096423343
1,0.5,100,5,0.2737392505969277,0.2707656897785712,0.27582777049129903,0.2772569516050495,0.26986716024577173,0.27327745459572367,0.2543647801545772,0.24083351114856316,0.2755302234687578,0.27090568688158956,0.2752951975795139,0.2424929330185366
1,0.5,200,1,0.19821084372614992,0.2057271856870698,0.1968031313197784,0.19706077677195089,0.20899681100380407,0.20842856199727708,NA,0.1956071565575631,0.196684764668134,0.2079227668517776,0.2006937593256404,0.18913022392773457
1,0.5,200,2.5,0.17249006416911575,0.1820471423864211,0.1687570474174511,0.16813979272617197,0.18169248088548787,0.17559289034864606,NA,0.1652003269680545,0.16787216968380925,0.17684297231056673,0.16932805973860454,0.18734836490318757
1,0.5,200,5,0.17243077585291344,0.18054260215536244,0.1711900060209736,0.17033845483684049,0.18074559614607533,0.17507777672667924,NA,0.1801182338768674,0.17192940393973533,0.17332030775979584,0.1714288558256289,0.2153381430929481
1,1,25,1,0.5665621210784987,0.5636095116424472,0.5733042816816494,0.5756485986031554,0.5609408510035262,0.5622768678990144,0.5520165179475416,0.5247719765709054,0.5688292688861687,0.5639882402992127,0.5690284674457649,0.574610462107201
1,1,25,2.5,0.5417641607456434,0.5356896092864781,0.5477620978672517,0.5454021433765228,0.5377294172357341,0.5486320236023638,0.5267905981731194,0.49898903638115266,0.5457015989041487,0.5417009683202103,0.5510757995636166,0.5443354906387492
1,1,25,5,0.557918421212808,0.5561770740371323,0.5594276978371551,0.5600133258000528,0.5614667710172303,0.5653895034126093,0.5545696401466813,0.5288963056540457,0.5604680773043287,0.5634274791920904,0.5582664962553615,0.5570258173517628
1,1,50,1,0.4093244988817466,0.4071963546494054,0.4057423291891576,0.40709245472828204,0.4051312120425584,0.40364126711410664,0.4006620769515806,0.39459660892536486,0.40651066751375364,0.4053494967530745,0.4077239346489451,0.4007319342837965
1,1,50,2.5,0.4346908257521432,0.4378087138578546,0.4341295175081218,0.43439680105195544,0.43851314984065204,0.43611075669062166,0.43509963267176865,0.4226722544175509,0.43353023794150813,0.4351225567772137,0.4353671663779894,0.4344394941810664
1,1,50,5,0.4349108873872921,0.4627670185900097,0.4369674236829788,0.4359671747267216,0.46325170718917746,0.4439119361030916,0.45669043388188124,0.4366424021162314,0.43574109458502447,0.4457964933953149,0.4349740796884749,0.41558792021396757
1,1,100,1,0.3109685263297904,0.3195153025487155,0.3131589171877295,0.31276806515777245,0.3199557320652984,0.3202379109921595,0.3180853487795031,0.3043818980521116,0.3103214758209885,0.32041853908035706,0.31344178003274015,0.2843008525916609
1,1,100,2.5,0.2638364965661639,0.2685032003754366,0.261884980241863,0.26253003967564825,0.26973543263019617,0.2708469915285866,0.26948313846216015,0.26225990171921876,0.261269595045169,0.27098681657351825,0.26201547673677195,0.2615044456769528
1,1,100,5,0.2929687132086757,0.29565447829046093,0.2857416025930353,0.25510547689860363,0.2945337248258241,0.28614476595730365,0.2931814496516661,0.27292779301038483,0.2849269754543583,0.28683699135439944,0.28544350485520864,0.24268855087814034
1,1,200,1,0.17474050019705045,0.18121179348086547,0.17336632493716064,0.17130590897418696,0.18082852695970025,0.18190992283386076,NA,0.16619255559952578,0.17282113853378966,0.18083456167340936,0.17449085324585373,0.17143296473682545
1,1,200,2.5,0.1968015216831873,0.2041107417758199,0.19661499671296273,0.19741569082388347,0.20495499850773147,0.20436588370355985,NA,0.1927903351408017,0.19803899085088508,0.20331139253743405,0.19552780164596867,0.19793139970202597
1,1,200,5,0.17182119045661168,0.19177180306784639,0.17931523718337838,0.16766689497685922,0.19160546722782,0.18174177491841562,NA,0.17853176324060724,0.18108745692004274,0.18071625471582342,0.18041488996370686,0.1933499501578481
1.5,0.1,25,1,0.5716912541932598,0.587514568374647,0.5911437516875934,0.5948662338793469,0.5775312916217161,0.5715560316254379,0.5693113056017778,0.5421399825964884,0.5855541331545664,0.5870041538915688,0.5704674332827702,0.5933011175628298
1.5,0.1,25,2.5,0.5648279115462715,0.5589457022517806,0.5579284640127389,0.5607950824271144,0.5644092950260788,0.55843221930519,0.557258901259978,0.5260661852742914,0.558997898684491,0.5548411064998113,0.5606642681758092,0.5599024554109646
1.5,0.1,25,5,0.5887131946705074,0.594804773338883,0.5832977287305865,0.5857081221466851,0.5926289189822441,0.5926797453077551,0.5875701134517323,0.5679225210104877,0.5801173718313625,0.5930697530667921,0.5795442717490339,0.5837062276154922
1.5,0.1,50,1,0.4762088955993063,0.47877647777316296,0.4809955138684452,0.48663555901715494,0.47998956891951017,0.48080345837424954,0.4755162770636505,0.46072708551541275,0.48089445635783135,0.47962797397048085,0.4715058172416643,0.48829846637880514
1.5,0.1,50,2.5,0.4582629183067895,0.46695542347250824,0.4636118187988689,0.4648480052310685,0.4683896523797414,0.46883001007373215,0.462992273959638,0.4407792531758281,0.46040676784584317,0.4660385445523393,0.4544809653789922,0.4570518221134716
1.5,0.1,50,5,0.41898743690641216,0.4195260828618628,0.4145545182107434,0.41386417794579977,0.4247209531120395,0.4099794193950789,0.42101620938388384,0.3983147678669555,0.4095520767791062,0.4175379141250103,0.407151553738917,0.4144177895068217
1.5,0.1,100,1,0.30131027771208096,0.3120288431803323,0.29527243991577773,0.29638749466471126,0.3013137103161462,0.30648829722195287,0.3112325052179299,0.30737819582438913,0.2983271466986311,0.2963951840335615,0.3000448962612612,0.2634000646625029
1.5,0.1,100,2.5,0.33361420346552273,0.32482906875196416,0.32986881901458054,0.3283129647380676,0.32361095548857166,0.32860671910248307,0.3130910684328276,0.3025952002494118,0.33329542632805115,0.32092989128572025,0.33648069955975285,0.3237297499759309
1.5,0.1,100,5,0.3077581676623429,0.3016067175397338,0.3001532455026735,0.3036563921343981,0.3062413491604872,0.31972303600640983,0.3163685371641955,0.29663837469902615,0.3020972549133455,0.3075152146912875,0.3087408908949519,0.2743776847426088
1.5,0.1,200,1,0.212818499060341,0.2403381842058238,0.2180810946603168,0.21777781024088463,0.24222734910882107,0.24444520794996016,NA,0.24251837521727587,0.22196263319588386,0.23758588511117373,0.20651762940693486,0.24192328090228346
1.5,0.1,200,2.5,0.1779297999258399,0.1729666617540786,0.17444530589813956,0.17697103030512643,0.17535286835447578,0.1760787474097501,NA,0.17098026445468453,0.17384272004727158,0.17150130856694074,0.1781862121387704,0.1785498966513923
1.5,0.1,200,5,0.19478601324777478,0.20950106432973517,0.20059164920998998,0.18806415258777218,0.21030507638808188,0.20395138649092823,NA,0.19602034788869302,0.20087785233009708,0.20174982552203574,0.19281438278890067,0.20055339318362467
1.5,0.25,25,1,0.6081347150019734,0.6115927364919793,0.6179336857070573,0.620046638718934,0.6251229590846882,0.6157283609505982,0.6047358824757282,0.5785786538404709,0.6176055213537952,0.6135427472201413,0.6157751171706229,0.6203653204712098
1.5,0.25,25,2.5,0.5522480781682366,0.5755557604935144,0.5511984992421669,0.5512563911433216,0.5520943819962998,0.5537490622122718,0.5436161017006673,0.5026043897626679,0.5499450747323469,0.5543236283673012,0.5519841435653791,0.5520672512571142
1.5,0.25,25,5,0.5378003326161527,0.5423421284294007,0.5354040652171155,0.5381935594545333,0.5416641486852176,0.5320517160177924,0.5341388631377715,0.5031792537219187,0.5328836452065333,0.5367964321003811,0.530291254041958,0.5361974141542258
1.5,0.25,50,1,0.4404843534851316,0.44932810227149383,0.4392901383315341,0.4392301226113823,0.44652324685965344,0.4466471164319178,0.4429237287698861,0.4197158464557568,0.43886687377914924,0.4438659502413804,0.4392858793203316,0.4309021938051828
1.5,0.25,50,2.5,0.42329437629611133,0.43093726269188104,0.41971055111804567,0.4213423822252946,0.4402807981985279,0.44463911297307757,0.4315506196327832,0.41257923315271405,0.42347105122476897,0.42639268445667877,0.42482609960572265,0.41890724337941826
1.5,0.25,50,5,0.4597404273397388,0.45939665317497996,0.466721651343173,0.46040498278465236,0.45139167915868633,0.4603596086229076,0.44311517243053544,0.42388664397212344,0.4662201434468782,0.4602963034965612,0.46347336013413876,0.44619295653172175
1.5,0.25,100,1,0.25891304606965526,0.26173357522570667,0.2568841876254306,0.2581281431042063,0.2593894770402734,0.26054858060906083,0.2461584277644287,0.23922507819842215,0.25938703678301167,0.2549290881569286,0.25829282689388167,0.2570246793906151
1.5,0.25,100,2.5,0.2631741976717969,0.2666999937080873,0.26158473964780965,0.2595603082365959,0.2695289822784166,0.27235286604468845,0.26731652505312586,0.23839322690539091,0.26157357278073545,0.26044783712643016,0.2586322425994082,0.2872413808521376
1.5,0.25,100,5,0.27552089697593324,0.29095289142450537,0.2869417358326024,0.2918905220690621,0.293989750513464,0.28765007221434863,0.291077091486594,0.2689337114116962,0.28790591344474004,0.289613671773447,0.27343179337662793,0.2832110484281011
1.5,0.25,200,1,0.1839092713086022,0.1749215065396133,0.1774181300678151,0.1733854819050539,0.18132518736965675,0.1823401806901414,NA,0.1734864059708519,0.17813000360159154,0.1768936342112093,0.18525647980993915,0.186130122674787
1.5,0.25,200,2.5,0.19394133143129172,0.20675227838760413,0.19129366488950267,0.19205545935437154,0.2082187946131407,0.20292630342796142,NA,0.18924993322485123,0.19356205495637954,0.20166663257983974,0.19521057849323414,0.20066986425218525
1.5,0.25,200,5,0.18346037435773532,0.20499245072728575,0.18752248375330172,0.19445597111595828,0.19764281176175075,0.18745462806175628,NA,0.1721881505659918,0.19038271164431456,0.19123839430763362,0.18065928905738096,0.15354489685378753
