tree_length,gain_loss,n_char,M4,M2,M7,M3,M5,M8 (NT baseline),M11,M10,M6,M9,M1 (Mk baseline),M12
1,0.1,25,0.5427246096563696,0.541687158020391,0.5420566248844927,0.5430628637492112,0.5449934595126777,0.5418487868550409,0.5281509374259394,0.542360176025558,0.5449728733763436,0.5426926893462436,0.5434042919840321,0.5393189535044688
1,0.1,50,0.3854376681885849,0.3881951652360411,0.38996827345409035,0.38697677244093825,0.37238732448746087,0.3865788320441381,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38823894752735605,0.3865815932343553,0.38046358829327576
1,0.1,100,0.26802352842516797,0.2690181395183373,0.26906328355322484,0.26639808643037544,0.2686821756310094,0.2678323114385139,0.2598559330299321,0.2697723006762066,0.2688322581724435,0.2695738971639583,0.26758047292200043,0.26633202326518346
1,0.1,200,0.19832123986395533,0.19817605786293854,0.195782894800952,0.19802216198271,0.19789019902822647,0.1976061194945384,0.17985327669909185,0.196644970377018,0.1984403843939444,0.19797943633707477,0.19819944359529768,0.13336668375813937
1,0.25,25,0.5427246096563696,0.541687158020391,0.5420566248844927,0.5430628637492112,0.5449934595126777,0.5418487868550409,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5426926893462436,0.5434042919840321,0.5392547842017181
1,0.25,50,0.3854376681885849,0.3881951652360411,0.38996827345409035,0.38697677244093825,0.38548755829717973,0.3865788320441381,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38823894752735605,0.3865815932343553,0.3804334864167396
1,0.25,100,0.26802352842516797,0.2690181395183373,0.26906328355322484,0.26639808643037544,0.2686821756310094,0.2678323114385139,0.2598559330299321,0.2697723006762066,0.26898428521804996,0.2695738971639583,0.26758047292200043,0.2662837231151899
1,0.25,200,0.19832123986395533,0.19817605786293854,0.195782894800952,0.19802216198271,0.19789019902822647,0.1976061194945384,0.17985327669909185,0.196644970377018,0.1984403843939444,0.19797943633707477,0.19819944359529768,0.19465883017446667
1,0.5,25,0.5427246096563696,0.541687158020391,0.5420566248844927,0.5430628637492112,0.5449934595126777,0.5418487868550409,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5426926893462436,0.5434042919840321,0.5392266625228569
1,0.5,50,0.3854376681885849,0.3881951652360411,0.38996827345409035,0.38697677244093825,0.38548755829717973,0.3865788320441381,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38823894752735605,0.3865815932343553,0.38040420750550663
