scenario,modelID,gridTag,tree_length,gain_loss,n_char,part_rate,median_cid,iqr_cid,n_reps
mk,M4,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26802352842516797,0.09645635714641751,10
mk,M2,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2690181395183373,0.09806373496029108,10
mk,M7,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26906328355322484,0.09683469340157538,10
mk,M3,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26639808643037544,0.09821745737393284,10
mk,M5,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2686821756310094,0.09377755513732008,10
mk,M8 (NT baseline),tl1.00_gl0.10_c100,1,0.1,100,NA,0.2678323114385139,0.09276101173482643,10
mk,M11,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2598559330299321,0.09171128806079165,10
mk,M10,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2697723006762066,0.09530471003144092,10
mk,M6,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2688322581724435,0.0931928126633349,10
mk,M9,tl1.00_gl0.10_c100,1,0.1,100,NA,0.2695738971639583,0.09414045807391425,10
mk,M1 (Mk baseline),tl1.00_gl0.10_c100,1,0.1,100,NA,0.26758047292200043,0.10113987270861466,10
mk,M12,tl1.00_gl0.10_c100,1,0.1,100,NA,0.26633202326518346,0.09856807707993132,10
mk,M7,tl1.00_gl0.10_c200,1,0.1,200,NA,0.195782894800952,0.04543665867568855,9
mk,M6,tl1.00_gl0.10_c200,1,0.1,200,NA,0.1984403843939444,0.06159944753394153,10
mk,M1 (Mk baseline),tl1.00_gl0.10_c200,1,0.1,200,NA,0.19819944359529768,0.06152311757854803,10
mk,M3,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19802216198271,0.06048672815076572,10
mk,M10,tl1.00_gl0.10_c200,1,0.1,200,NA,0.196644970377018,0.0630102490795566,10
mk,M8 (NT baseline),tl1.00_gl0.10_c200,1,0.1,200,NA,0.1976061194945384,0.06261264495264987,10
mk,M4,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19832123986395533,0.061215818021872676,10
mk,M11,tl1.00_gl0.10_c200,1,0.1,200,NA,0.17985327669909185,0.05797264256456744,10
mk,M9,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19797943633707477,0.060541963786396064,10
mk,M2,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19817605786293854,0.06037866351024243,10
mk,M5,tl1.00_gl0.10_c200,1,0.1,200,NA,0.19789019902822647,0.06281752240407068,10
mk,M12,tl1.00_gl0.10_c200,1,0.1,200,NA,0.13336668375813937,0.012042106950161835,2
mk,M1 (Mk baseline),tl1.00_gl0.10_c25,1,0.1,25,NA,0.5434042919840321,0.06730284868968683,10
mk,M12,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5393189535044688,0.062439859828790856,10
mk,M4,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5427246096563696,0.06582771601497495,10
mk,M5,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5449934595126777,0.05916960234267099,10
mk,M9,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5426926893462436,0.06671204612537474,10
mk,M6,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5449728733763436,0.06647750300511746,10
mk,M7,tl1.00_gl0.10_c25,1,0.1,25,NA,0.5420566248844927,0.06504498796976976,10
