Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
468	-1648.439	-1817.102	168.6627	0.7525222	2.054582	2.261551	0.6992214
474	-1648.545	-1816.911	168.3666	0.8007772	2.299214	2.266373	0.7673095
480	-1648.422	-1816.437	168.0156	0.746137	2.834745	2.266373	0.7673095
486	-1644.488	-1813.339	168.8501	0.746137	2.176878	1.936152	0.7673095
492	-1648.343	-1817.775	169.4318	0.4766392	1.708384	2.025503	0.7673095
498	-1649.272	-1817.233	167.9609	0.5915577	3.209038	2.237649	0.7328216
504	-1654.808	-1822.569	167.7608	1.406299	2.118286	2.33519	0.8681566
510	-1645.445	-1813.617	168.1717	1.029717	2.534695	2.094481	0.6950837
516	-1642.709	-1810.951	168.2419	0.6530909	2.491149	2.434207	0.6950837
522	-1659.179	-1826.259	167.0808	1.623269	3.087757	1.90641	1.038189
528	-1653.073	-1822.363	169.2903	0.7466482	1.744176	1.878547	0.7472342
534	-1640.997	-1809.619	168.6218	0.7466482	2.626784	1.707296	0.8989944
540	-1636.616	-1803.532	166.9158	1.450267	3.497944	2.159214	0.8357162
546	-1645.952	-1812.713	166.7609	0.8826505	3.584624	2.882617	0.7602099
552	-1640.352	-1807.822	167.4702	1.484802	2.251538	2.432658	0.8751757
558	-1649.608	-1818.065	168.4572	0.8807837	2.646815	1.836393	0.7548503
564	-1647.274	-1814.453	167.1793	1.423254	2.646815	2.491427	0.8605949
570	-1649.7	-1818.869	169.169	1.229237	1.703996	1.385732	0.952157
576	-1647.505	-1815.243	167.7378	1.344638	2.179627	2.262303	0.9847711
582	-1631.843	-1799.938	168.0946	1.369617	2.03392	2.12736	0.8454914
588	-1642.211	-1810.219	168.0078	1.124727	2.469101	2.144474	0.7997648
594	-1643.57	-1812.007	168.4366	1.000408	2.469101	1.809015	0.8395365
600	-1647.018	-1814.889	167.8708	0.8751477	2.935714	2.224035	0.7467198
606	-1641.618	-1808.888	167.2694	1.408561	2.613399	2.533694	0.736158
612	-1646.089	-1813.971	167.8818	0.6159294	2.825875	2.58648	0.6876425
618	-1646.12	-1814.162	168.0417	0.8735556	2.825875	2.105251	0.7868314
624	-1643.035	-1810.81	167.7746	0.9786553	2.477487	2.617982	0.6306648
630	-1647.122	-1813.366	166.2434	1.860204	3.264262	2.598103	0.806224
636	-1650.615	-1816.308	165.6937	2.373271	3.556139	2.454287	0.7926493
642	-1650.801	-1818.615	167.8142	0.9477215	3.173936	2.08669	0.6725572
648	-1650.308	-1816.688	166.3794	1.863056	2.861967	2.76452	0.7694569
654	-1650.205	-1815.08	164.8755	2.775395	3.923897	2.68208	0.7348625
660	-1651.893	-1819.087	167.1942	1.392287	2.771832	2.546933	0.6684422
666	-1646.793	-1812.661	165.868	2.657794	2.771832	2.45187	0.8888093
672	-1659.519	-1825.558	166.0384	2.170566	3.672115	2.236455	0.7960568
678	-1658.557	-1827.675	169.1179	0.5278741	2.231327	1.661102	0.9806267
684	-1657.531	-1827.189	169.6581	0.3056538	2.231327	1.534871	0.7520515
690	-1660.596	-1829.314	168.7177	0.3284788	2.563419	2.278958	0.5728052
696	-1654.354	-1823.137	168.7826	0.2605651	2.426431	2.396435	0.511534
702	-1648.159	-1816.19	168.0312	0.2720769	3.43755	2.416177	0.4645528
708	-1662.143	-1830.15	168.0072	0.2980515	2.818891	2.840436	0.5077394
714	-1651.782	-1818.513	166.7317	0.5612298	3.47071	3.407587	0.5077394
720	-1648.317	-1816.316	167.9988	0.6265018	2.416629	2.796206	0.6229751
726	-1641.498	-1808.419	166.9211	1.217766	3.208281	2.576692	0.8365885
732	-1653.048	-1816.689	163.6408	4.460302	3.165761	2.63785	0.8433043
738	-1659.599	-1826.916	167.3164	0.8645039	3.908906	2.107701	0.8107106
744	-1658.006	-1826.46	168.454	0.2890481	3.231022	2.1151	0.5164693
750	-1660.64	-1828.256	167.6162	0.9464176	2.219778	2.925914	0.7800854
756	-1645.183	-1812.961	167.7779	0.7812026	2.882409	2.425793	0.7800854
762	-1648.2	-1816.855	168.6556	0.5483837	2.755671	1.957076	0.6343056
768	-1643.605	-1811.501	167.8965	0.3689414	3.134226	2.651607	0.4422436
774	-1644.547	-1812.966	168.4198	0.3844763	2.37137	2.678193	0.4850595
780	-1648.657	-1817.147	168.4897	0.6957902	2.042374	2.543564	0.6097724
786	-1650.137	-1818.948	168.8109	0.5200602	2.43369	2.012173	0.7448872
792	-1640.861	-1809.207	168.346	0.7046976	2.409047	2.364066	0.6523507
798	-1639.992	-1808.057	168.0643	0.6612761	3.30839	2.067687	0.5874982
804	-1654.122	-1820.993	166.8711	0.9478259	4.213296	2.361855	0.7041245
810	-1650.87	-1817.404	166.5343	0.9355164	4.154856	2.761433	0.6740207
816	-1641.722	-1807.187	165.4647	2.084729	3.862549	2.85284	0.6800607
822	-1640.367	-1807.867	167.5	1.535646	2.166925	2.516331	0.7505454
828	-1638.707	-1807.468	168.7614	0.494762	1.988381	2.517063	0.6136274
834	-1642.689	-1811.428	168.7394	0.7342996	1.70452	2.472466	0.7545327
840	-1646.743	-1812.883	166.1406	2.145016	3.1492	2.443941	0.8680655
846	-1647.487	-1815.156	167.6689	1.249778	2.741802	2.166384	0.7820948
852	-1643.863	-1812	168.1374	1.249778	2.538663	1.824324	0.8158508
858	-1654.506	-1822.963	168.4566	1.418745	1.93741	1.824324	0.8124687
864	-1647.824	-1815.531	167.7069	1.418745	2.698343	1.822993	0.9782109
870	-1654.482	-1821.842	167.3603	1.937564	1.730182	2.505162	0.9061083
876	-1647.275	-1813.387	166.1125	2.702362	2.746184	2.11052	0.9658577
882	-1655.782	-1824.101	168.3189	0.7406592	2.713558	2.068037	0.7508605
888	-1658.867	-1826.908	168.0411	1.042707	2.815799	1.963388	0.7594827
894	-1648.068	-1814.898	166.8303	1.231936	2.791616	2.969472	0.8051254
900	-1637.237	-1805.399	168.1625	1.201887	2.202744	2.119458	0.8051254
906	-1640.88	-1808.825	167.9451	1.123439	2.853572	1.918524	0.8051254
912	-1649.108	-1816.642	167.5334	1.305094	3.332433	1.669409	0.9759522
918	-1639.922	-1807.329	167.4066	1.740429	2.485083	1.97185	0.9682938
924	-1643.612	-1811.838	168.2253	0.9536437	2.447979	2.196292	0.6711668
930	-1646.769	-1814.176	167.4071	1.605894	2.318296	2.326826	0.8687621
936	-1635.839	-1804.324	168.4858	0.7995494	2.133778	2.326826	0.6972632
942	-1639.107	-1806.786	167.679	1.085585	2.417305	2.585054	0.7541737
948	-1647.77	-1813.874	166.1032	1.443202	3.716052	2.875957	0.7901339
954	-1654.898	-1821.822	166.9237	1.46944	2.669655	2.755482	0.7676047
960	-1660.376	-1828.554	168.1779	1.262556	1.763704	2.431354	0.7851065
966	-1660.083	-1827.555	167.4719	1.450659	2.373758	2.431354	0.7961747
972	-1664.624	-1831.84	167.2163	1.095478	2.84108	2.789226	0.6298203
978	-1652.128	-1819.123	166.9957	0.6748601	4.061622	2.617132	0.6708203
984	-1650.767	-1817.247	166.48	1.035659	3.642195	3.057826	0.6002159
990	-1643.383	-1810.627	167.2438	0.7630348	3.642195	2.573894	0.5761504
996	-1645.926	-1813.045	167.1191	1.051695	3.642195	2.367778	0.680336
1002	-1653.519	-1822.262	168.7429	0.9266115	2.250217	1.744806	0.8446089
1008	-1652.481	-1822.383	169.9016	0.2653392	1.768086	1.753992	0.7042745
1014	-1653.416	-1822.232	168.8159	0.4873895	2.565833	1.839891	0.8743026
1020	-1654.446	-1822.393	167.9464	0.8335046	2.684327	2.379903	0.7345361
1026	-1652.18	-1818.935	166.7555	0.9962232	3.37049	2.952656	0.6965249
1032	-1644.749	-1812.018	167.2697	1.32749	2.755589	2.514387	0.72795
1038	-1645.561	-1813.474	167.9134	0.9474164	2.755589	2.2026	0.7979572
1044	-1648.771	-1817.436	168.6653	0.9016833	2.032152	2.088821	0.7623318
1050	-1647.12	-1815.927	168.8064	0.8135664	2.510048	1.554476	0.8872047
1056	-1662.034	-1829.769	167.735	1.107131	3.111607	1.903194	0.879709
1062	-1643.681	-1812.239	168.5578	0.9607106	2.682339	1.552275	0.8566823
1068	-1644.214	-1810.489	166.2759	2.182446	3.301342	1.96439	1.079067
1074	-1657.059	-1824.776	167.7171	2.182446	1.819225	1.450237	1.256896
1080	-1654.272	-1823.375	169.1028	0.8390447	1.819225	1.733077	0.959055
1086	-1665.779	-1835.661	169.8816	0.6857366	1.493945	1.284074	1.076139
1092	-1655.699	-1824.415	168.7159	0.6503681	2.862101	1.438151	1.003513
1098	-1640.651	-1809.979	169.3276	0.6269302	2.205815	1.438151	0.9114916
1104	-1649.127	-1818.34	169.2133	0.50006	2.245598	1.666015	0.8903063
1110	-1647.612	-1814.076	166.4644	1.871167	3.155617	2.396046	0.8605177
1116	-1655.355	-1821.517	166.1621	2.362025	2.674127	2.586321	0.8149955
1122	-1645.204	-1812.098	166.8934	0.8938727	3.558587	2.782155	0.719099
1128	-1656.144	-1824.529	168.3852	0.9379757	1.83812	2.51878	0.7325931
1134	-1663.527	-1830.9	167.3736	1.514937	2.823205	2.171027	0.7325931
1140	-1654.952	-1821.753	166.8007	1.514937	2.584442	2.94139	0.6970205
1146	-1656.197	-1825.224	169.0274	0.9037129	1.678881	1.866802	0.9613524
1152	-1642.79	-1811.064	168.2733	0.9394428	2.628037	1.897674	0.8576243
1158	-1648.173	-1817.757	169.5835	0.5075276	1.690944	1.832942	0.802622
1164	-1651.821	-1820.785	168.9642	0.4181829	2.159373	2.262382	0.5672676
1170	-1646.152	-1815.53	169.378	0.4968233	1.926257	1.919248	0.6840128
1176	-1638.861	-1807.821	168.96	0.56713	2.657924	1.68209	0.6840128
1182	-1647.427	-1815.721	168.2945	0.56713	2.727396	2.262665	0.7403089
1188	-1662.354	-1828.824	166.4699	2.240989	2.953746	2.111436	0.9166964
1194	-1661.298	-1828.345	167.0469	1.706767	2.640265	2.362048	0.8401638
1200	-1644.779	-1811.654	166.8755	1.706767	2.87484	2.362048	0.8401638
1206	-1636.775	-1804.336	167.561	1.151163	2.87484	2.249521	0.8182739
1212	-1646.518	-1815.274	168.7567	0.4765133	2.540917	2.056076	0.6983196
1218	-1644.222	-1812.741	168.5193	0.7555694	2.422952	2.055407	0.7758218
1224	-1648.18	-1816.823	168.6431	0.5908913	2.077634	2.302497	0.8676453
1230	-1640.246	-1807.328	167.0819	0.9454817	3.108991	2.866996	0.6696825
1236	-1632.91	-1800.433	167.5225	0.6973408	3.175904	2.647524	0.6292482
1242	-1638.168	-1804.505	166.3365	0.9060826	4.343035	2.901393	0.6286189
1248	-1640.887	-1806.464	165.5774	0.9538969	5.015698	3.274892	0.5120728
1254	-1655.65	-1819.255	163.605	3.301333	5.24856	2.708316	0.7147008
1260	-1646.344	-1812.059	165.7151	2.722767	2.962608	2.45007	0.832749
1266	-1648.582	-1814.452	165.8706	2.507258	2.962608	2.510149	0.832749
1272	-1650.524	-1816.575	166.0518	2.594378	2.583647	2.460731	0.9004429
1278	-1649.866	-1817.016	167.1495	1.493315	2.480923	2.460731	0.9872916
1284	-1652.717	-1820.053	167.3366	1.177644	3.331236	2.0544	0.9122274
1290	-1664.223	-1830.783	166.5598	2.292447	2.491755	2.324988	0.8999686
1296	-1669.299	-1836.192	166.8934	2.292447	2.460154	1.935042	0.9859259
1302	-1658.525	-1826.218	167.693	1.732694	2.26974	1.86079	0.9697991
1308	-1659.537	-1826.243	166.7058	1.896846	2.938938	2.180261	0.9697991
1314	-1651.664	-1818.27	166.6066	0.6318172	3.990152	3.122244	0.5985315
1320	-1650.474	-1818.216	167.7411	1.254777	2.898363	1.852536	0.9311062
1326	-1648.786	-1815.958	167.1726	1.135474	3.601733	2.190223	0.7844113
1332	-1650.473	-1818.236	167.7625	1.216957	2.801066	2.020291	0.8372899
1338	-1646.658	-1814.128	167.4694	1.501436	2.801066	2.020291	0.8478235
1344	-1653.13	-1821.095	167.9647	1.193934	2.310335	2.213558	0.8372334
1350	-1653.722	-1822.12	168.3981	0.6620624	3.018545	1.870126	0.7175095
1356	-1653.067	-1821	167.9334	0.9202638	2.170916	2.721916	0.7077431
1362	-1640.45	-1807.563	167.1129	1.777188	2.693442	2.175505	0.8531114
1368	-1639.278	-1804.902	165.6237	3.123133	2.759496	2.177476	0.9569066
1374	-1648.425	-1816.181	167.7554	1.879797	2.105382	1.816558	0.9368825
1380	-1646.701	-1815.408	168.7071	0.8332865	2.465566	1.59659	0.9651221
1386	-1655.668	-1823.526	167.8581	0.6640546	3.051573	2.391633	0.7067495
1392	-1663.835	-1832.436	168.6015	1.107313	1.877405	1.767214	1.103109
1398	-1650.134	-1819.106	168.9719	1.001607	1.943809	1.699872	0.8389089
1404	-1641.299	-1808.595	167.2959	1.550348	2.806608	2.148144	0.8389089
1410	-1642.397	-1810.252	167.8551	1.19293	2.998639	1.80968	0.8389089
1416	-1643.555	-1810.978	167.4229	1.297609	2.669086	2.453623	0.7297745
1422	-1633.952	-1800.424	166.4714	1.864418	3.20469	2.450831	0.7428223
1428	-1645.467	-1813.144	167.6771	2.221915	1.860056	1.790889	0.9043764
1434	-1647.702	-1816.622	168.9197	0.7391864	2.361893	1.600483	0.9209061
1440	-1645.713	-1815.231	169.5178	0.3948154	2.336816	1.542299	0.6850753
1446	-1638.242	-1806.566	168.3239	0.7302726	3.15939	1.758597	0.7497445
1452	-1645.601	-1813.61	168.0091	1.0091	2.860986	1.885056	0.9001388
1458	-1637.773	-1804.968	167.1949	1.961743	2.499521	1.851819	1.066053
1464	-1642.941	-1811.247	168.3063	1.602567	2.064129	1.533725	0.9823156
1470	-1643.216	-1811.035	167.8187	1.866444	2.064129	1.504211	1.215321
1476	-1639.549	-1806.044	166.4948	3.097834	2.310959	1.311116	1.285712
1482	-1645.94	-1814.222	168.2823	1.362257	2.240074	1.614018	1.02175
1488	-1641.757	-1810.146	168.3884	0.7336324	2.855678	1.729756	0.9598939
1494	-1641.577	-1808.872	167.2957	2.066602	1.841079	2.348431	0.8995596
1500	-1635.931	-1801.977	166.046	2.708441	2.659556	2.348431	0.8382736
1506	-1639.55	-1806.097	166.5467	2.259655	2.456706	2.316576	0.9865471
1512	-1636.147	-1803.066	166.9191	1.533028	3.34854	2.118758	0.8969908
1518	-1647.603	-1813.017	165.4142	3.62546	2.674015	2.01172	0.8867156
1524	-1638.289	-1806.429	168.1401	1.209706	2.259401	1.906714	1.008499
1530	-1640.923	-1808.862	167.9386	1.656291	2.210131	1.747344	0.9618919
1536	-1643.364	-1810.51	167.1462	2.40205	1.600726	2.320331	0.9618919
1542	-1646.653	-1814.681	168.0279	1.800462	1.905684	1.783309	0.946411
1548	-1645.42	-1813.744	168.3235	1.333661	1.905684	2.032316	0.8591972
1554	-1648.428	-1815.997	167.5695	1.059247	3.292559	2.032316	0.8340157
1560	-1640.945	-1809.623	168.6778	0.7898849	2.271859	1.947933	0.8213002
1566	-1653.856	-1822.559	168.7038	0.8490104	2.271859	1.881371	0.7969473
1572	-1638.635	-1806.916	168.2814	0.9047405	2.704057	1.911024	0.8033143
1578	-1649.807	-1816.577	166.7703	1.370965	3.009079	2.820781	0.6727844
1584	-1654.538	-1820.515	165.9765	1.247008	3.517625	3.4451	0.5305722
1590	-1652.355	-1819.925	167.5698	0.3472522	3.623242	2.681216	0.4519038
1596	-1660.063	-1829.189	169.1259	0.2330848	2.024151	2.40529	0.524817
1602	-1659.194	-1825.952	166.7582	0.7387861	3.341754	3.28365	0.4552954
1608	-1653.765	-1820.621	166.8556	0.7692972	3.478922	3.067485	0.5395859
1614	-1649.473	-1817.188	167.7152	0.4271292	3.842385	2.323434	0.4747129
1620	-1641.973	-1810.201	168.228	0.4240981	2.829405	2.476241	0.5737687
1626	-1654.848	-1821.213	166.3648	2.051659	2.669233	2.762807	0.7214268
1632	-1660.302	-1828.31	168.0089	0.7584656	2.599913	2.472395	0.7069194
1638	-1637.788	-1805.963	168.1756	0.9350948	2.411842	2.22624	0.7786126
1644	-1648.401	-1816.5	168.099	0.6761478	2.220926	2.764289	0.6999408
1650	-1642.716	-1810.381	167.6651	1.152051	2.344846	2.623214	0.6999408
1656	-1644.683	-1812.738	168.0549	1.629487	1.863296	1.841914	1.067807
1662	-1647.111	-1814.043	166.9325	1.805085	2.855443	2.209767	0.8534576
1668	-1643.083	-1811.254	168.1709	1.337606	2.106231	1.924439	0.9560918
1674	-1647.541	-1813.591	166.0504	1.696521	3.834549	2.542932	0.8652629
1680	-1644.315	-1812.16	167.8458	0.5480569	3.503174	2.283394	0.5357203
1686	-1636.509	-1803.968	167.4591	0.5480569	3.557364	2.628645	0.5707075
1692	-1644.892	-1813.752	168.8597	0.3493453	2.54807	2.098046	0.6537533
1698	-1644.657	-1813.478	168.8217	0.7112427	2.281906	1.875041	0.8207672
1704	-1658.208	-1826.038	167.8302	1.04888	3.158809	1.926179	0.76139
