Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-1426.564	-1590.559	163.9945	0.4449594	0.9066008	1.046607	1.063272	4.803308
6	-1433.948	-1598.661	164.7129	0.3778775	1.077395	1.004597	1.267154	4.250273
12	-1418.349	-1583.411	165.0622	0.1584128	0.7647724	0.8936752	1.143173	4.484224
18	-1425.844	-1591.357	165.5129	0.1181853	1.054708	1.286673	1.232839	3.814923
24	-1419.48	-1584.92	165.4402	0.3290014	1.011349	1.247786	1.228457	3.784774
30	-1426.282	-1591.119	164.8363	0.3290014	0.9025177	1.454801	1.092666	4.156103
36	-1424.166	-1589.125	164.9586	0.3339408	0.8971405	1.116498	1.034612	4.306358
42	-1426.331	-1591.324	164.9925	0.2739005	0.913284	1.139479	1.152627	4.232304
48	-1428.962	-1594.196	165.2338	0.1386521	1.094355	0.907615	1.102934	4.229004
54	-1423.649	-1587.308	163.6596	0.3784359	1.051632	1.349634	0.9608507	4.837242
60	-1424.895	-1589.89	164.9955	0.4302263	0.7522176	1.236177	1.207226	4.146182
66	-1418.205	-1583.269	165.0638	0.4317592	0.831393	1.238908	1.207226	4.061299
72	-1426.547	-1590.841	164.2947	0.4468021	1.319774	0.9591543	1.16915	4.393925
78	-1419.893	-1584.803	164.9098	0.1672095	1.023234	1.073308	1.058638	4.367739
84	-1419.003	-1582.991	163.9879	0.4295667	1.045175	1.145808	1.045018	4.693237
90	-1415.451	-1579.501	164.0501	0.3165042	1.028765	0.9598751	1.167504	4.766107
96	-1415.618	-1579.543	163.925	0.3206537	0.929406	1.364801	0.9882539	4.766107
102	-1418.367	-1583.331	164.964	0.3108956	1.004407	1.037011	1.087096	4.270892
108	-1413.832	-1578.627	164.7956	0.360636	1.128145	1.000634	1.118778	4.270892
114	-1423.103	-1587.81	164.7067	0.3955069	1.197109	1.068771	1.048574	4.263988
120	-1417.665	-1582.989	165.3245	0.261784	1.065346	1.15918	1.479917	3.764448
126	-1427.643	-1592.465	164.8219	0.2804821	1.010338	0.9441162	0.93283	4.504378
132	-1421.504	-1586.3	164.7959	0.1327615	1.253999	0.8787676	0.8867121	4.528712
138	-1426.389	-1590.186	163.7973	0.422307	0.8271491	0.8775557	1.044815	5.073414
144	-1428.702	-1592.584	163.8825	0.2243391	0.9239127	1.242275	0.8958929	4.964222
150	-1420.093	-1584.402	164.3091	0.1975772	0.75845	1.034333	0.8645041	4.964222
156	-1419.999	-1584.469	164.4707	0.3735017	0.9811045	0.9407027	0.9317501	4.668169
162	-1430.205	-1594.17	163.9646	0.5128865	1.1515	1.018163	0.8211562	4.796744
168	-1413.626	-1577.521	163.8945	0.4453696	0.9805705	1.002466	1.128269	4.806038
174	-1427.523	-1591.593	164.0698	0.2801768	1.045116	1.492301	1.243614	4.431524
180	-1422.411	-1586.303	163.8915	0.2801768	1.079868	1.14559	1.046489	4.81054
186	-1408.577	-1573.399	164.8224	0.2843007	0.9021817	1.382764	0.9837962	4.290132
192	-1419.183	-1583.661	164.4783	0.2823453	0.9502547	1.193221	1.020814	4.541325
198	-1414.207	-1578.447	164.2402	0.3247683	0.9502547	1.389183	1.026013	4.541325
204	-1408.103	-1572.056	163.9528	0.376757	1.281055	1.272628	1.045924	4.541325
210	-1421.54	-1585.829	164.2894	0.269824	1.216253	1.2408	0.9699466	4.508091
216	-1423.56	-1587.156	163.5965	0.5633923	0.7890294	1.05892	1.005363	5.048621
222	-1434.53	-1597.839	163.3088	0.4583894	1.510253	1.246634	1.111089	4.711548
228	-1424.74	-1588.541	163.8007	0.4547178	1.130761	1.246634	0.9544859	4.731248
234	-1435.662	-1600.154	164.4923	0.4496155	1.053178	1.083067	1.304619	4.282642
240	-1424.276	-1589.609	165.3333	0.4611895	1.158796	1.140096	1.117062	3.810892
246	-1421.104	-1584.721	163.6169	0.2894601	1.292583	1.140096	0.8656788	4.945283
252	-1416.286	-1580.186	163.8992	0.3235609	1.295524	1.22976	0.8151725	4.746049
258	-1420.038	-1583.82	163.782	0.3430183	1.054475	1.224763	0.977655	4.845541
264	-1412.867	-1576.867	163.9998	0.3482752	0.9242005	1.13412	0.9631816	4.851721
270	-1420.733	-1585.256	164.5225	0.2909122	0.8759231	1.215845	1.120103	4.484878
276	-1416.483	-1581.762	165.2791	0.1957675	1.108986	0.9482704	1.211205	4.07791
282	-1419.543	-1584.387	164.8439	0.3591256	1.148367	1.146848	1.299048	4.047587
288	-1415.782	-1581.289	165.5074	0.1727338	0.9673514	1.088664	1.299048	3.911058
294	-1414.967	-1580.242	165.275	0.2493887	1.043614	0.9460308	1.447536	3.953161
300	-1421.724	-1586.988	165.2634	0.3876613	0.8555269	0.9816837	1.360446	4.017346
306	-1436.082	-1599.472	163.3897	0.3917157	0.9017586	1.379834	0.9587818	5.048271
312	-1419.557	-1583.557	163.9998	0.08930569	1.024177	1.199887	1.177605	4.784544
318	-1424.559	-1589.27	164.7101	0.2986935	0.8383802	1.252434	1.055479	4.411855
