Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
306	-63.76334	-232.0231	168.2597	0.1415267	2.304539	0.7235797	0.951334	0.048666	0.687359	0.312641	2.522533
312	-64.83364	-230.3328	165.4992	0.3507985	5.742761	0.9440906	0.928137	0.0718629	0.64602	0.35398	2.538067
318	-70.82049	-235.1001	164.2796	0.6648291	8.661054	0.6794007	0.921485	0.0785155	0.843558	0.156442	2.656281
324	-70.40016	-234.5507	164.1506	1.078669	10.34446	1.186322	0.945902	0.0540978	0.618438	0.381562	1.686033
330	-67.43968	-232.6671	165.2274	0.1031794	11.67249	1.554545	0.96201	0.0379902	0.706197	0.293803	1.18686
336	-67.0811	-235.5907	168.5096	0.2452655	3.125349	1.161334	0.920371	0.0796292	0.558218	0.441782	1.369481
342	-67.12792	-235.13	168.0021	0.5172547	3.459139	1.028794	0.912066	0.0879341	0.639422	0.360578	1.473163
348	-64.98964	-230.8523	165.8626	0.5929224	5.510512	0.548055	0.988925	0.0110746	0.607743	0.392257	3.017339
354	-77.11305	-241.995	164.8819	0.5603485	4.791926	0.7165282	0.96033	0.0396704	0.587699	0.412301	3.362385
360	-74.16637	-239.5381	165.3718	0.3329976	8.632806	1.20717	0.96033	0.0396704	0.781676	0.218324	1.961977
366	-64.92303	-232.4149	167.4918	0.2968937	5.272544	0.9435841	0.939388	0.0606121	0.755654	0.244346	1.521768
372	-72.19565	-238.185	165.9894	0.5212163	4.69697	2.304787	0.828549	0.171451	0.630276	0.369724	1.242746
378	-72.57145	-238.5679	165.9965	0.08083361	8.182747	0.9217599	0.875798	0.124202	0.464542	0.535458	1.517138
384	-65.85697	-233.4406	167.5836	0.1215878	3.49234	0.8516668	0.855346	0.144654	0.405708	0.594292	1.988464
390	-66.4822	-233.8559	167.3737	0.06431271	4.967138	1.118724	0.8771	0.1229	0.722141	0.277859	1.50082
396	-64.07334	-229.9421	165.8688	0.3118916	7.126308	0.9712722	0.859897	0.140103	0.624905	0.375095	1.695065
402	-69.67052	-235.0505	165.3799	0.3031722	7.164735	1.809747	0.850372	0.149628	0.308274	0.691726	1.447785
408	-69.05585	-236.9361	167.8802	0.3068869	2.186586	1.33147	0.816237	0.183763	0.64266	0.35734	1.928394
414	-62.86943	-230.2659	167.3964	0.02535401	6.883389	1.603992	0.976475	0.0235253	0.218694	0.781306	1.074761
420	-64.27631	-230.2323	165.956	0.3095796	8.287822	1.072339	0.970074	0.0299257	0.525038	0.474962	1.720326
426	-68.16576	-232.9668	164.801	0.3535488	10.59961	1.859254	0.911237	0.0887626	0.501007	0.498993	0.9074358
432	-68.66858	-233.3542	164.6856	0.5686869	10.20667	1.632624	0.910491	0.0895086	0.40363	0.59637	1.167699
438	-58.18503	-225.184	166.9989	0.5749393	3.673592	1.324933	0.69598	0.30402	0.415502	0.584498	1.474409
444	-72.94934	-239.5799	166.6306	0.3263921	6.831474	1.683361	0.974743	0.0252566	0.415502	0.584498	1.248136
450	-79.86024	-244.2911	164.4308	0.2077374	12.46539	1.292658	0.856712	0.143288	0.178375	0.821625	1.424355
456	-71.73747	-239.0625	167.325	0.491314	4.770607	1.292658	0.957376	0.0426235	0.629724	0.370276	1.472601
462	-79.74034	-244.0585	164.3182	0.04580789	13.90153	1.448941	0.964018	0.0359818	0.682335	0.317665	1.548292
468	-82.9304	-247.1547	164.2243	0.03132471	12.24433	1.644327	0.94379	0.0562104	0.410023	0.589977	1.620331
474	-83.34701	-249.6262	166.2792	0.001075851	4.714644	1.31696	0.930041	0.0699592	0.62783	0.37217	2.362821
480	-64.40571	-231.8099	167.4042	0.003276564	4.343256	0.839808	0.896637	0.103363	0.484501	0.515499	1.9361
486	-76.22191	-243.342	167.1201	0.1504756	5.652264	0.7474766	0.961219	0.0387811	0.478131	0.521869	1.9361
492	-75.96778	-243.5525	167.5847	0.1363584	5.290941	1.259817	0.97638	0.0236201	0.443808	0.556192	1.557923
498	-66.80617	-232.0759	165.2697	0.3754928	8.952509	1.166554	0.928627	0.0713728	0.595264	0.404736	1.640137
504	-58.04504	-224.7983	166.7533	0.2355816	6.539394	0.7927372	0.988177	0.011823	0.334456	0.665544	2.241776
510	-66.09831	-233.0291	166.9308	1.081192	6.575133	0.8353838	0.975556	0.0244438	0.507952	0.492048	1.167525
516	-64.83447	-232.0828	167.2483	0.3794849	3.98332	2.194244	0.949552	0.0504482	0.545378	0.454622	1.167525
522	-53.33269	-219.9805	166.6478	0.1291597	6.258562	0.7941817	0.950602	0.0493978	0.601149	0.398851	1.981687
528	-60.46326	-230.3769	169.9136	0.04796571	1.434159	1.458826	0.898939	0.101061	0.227277	0.772723	1.306707
534	-63.11881	-231.0758	167.957	1.421032	3.727319	1.20884	0.976117	0.023883	0.303017	0.696983	1.011595
540	-62.51327	-230.2268	167.7136	0.8069402	3.395804	0.9678402	0.950272	0.0497285	0.472268	0.527732	1.71139
546	-76.74435	-244.4827	167.7384	2.396795	2.090399	1.217581	0.993968	0.00603236	0.414036	0.585964	1.810515
552	-69.04207	-234.3065	165.2644	0.4728002	7.206595	1.674449	0.939934	0.0600662	0.488073	0.511927	1.733256
558	-61.90568	-229.004	167.0983	0.6902172	4.299058	1.674449	0.923182	0.0768182	0.445198	0.554802	1.15012
564	-71.69517	-236.7879	165.0928	0.5586044	8.789611	1.676697	0.904502	0.0954983	0.445198	0.554802	1.169774
570	-64.38422	-228.0588	163.6746	0.361903	15.82713	1.725007	0.94432	0.0556796	0.593652	0.406348	0.9693534
576	-53.11245	-217.2629	164.1505	0.3168539	11.00895	2.872569	0.959394	0.0406058	0.593652	0.406348	0.8232728
582	-57.84356	-227.4143	169.5708	0.2319069	2.086851	2.003472	0.959394	0.0406058	0.179403	0.820597	0.8837049
588	-58.81242	-227.5584	168.746	0.7944697	2.291042	1.279589	0.895631	0.104369	0.621209	0.378791	1.037942
594	-60.82656	-229.7123	168.8858	1.07502	1.798333	1.387088	0.979109	0.0208908	0.664426	0.335574	1.586219
600	-67.01384	-232.9809	165.9671	1.271546	5.787564	1.387088	0.956394	0.0436063	0.675879	0.324121	1.464866
606	-58.38193	-222.7708	164.3889	0.7309456	10.23607	1.977902	0.956394	0.0436063	0.408443	0.591557	1.26343
612	-60.53154	-230.8337	170.3021	0.05133935	1.99291	1.32492	0.985335	0.0146654	0.642132	0.357868	1.32686
618	-58.12855	-224.0702	165.9417	0.3073963	7.281162	1.10356	0.966404	0.033596	0.466387	0.533613	1.944136
624	-75.74085	-243.256	167.5151	0.2378206	3.009939	1.418975	0.936817	0.0631833	0.622457	0.377543	2.048225
630	-67.92758	-233.3068	165.3792	2.107582	3.150474	1.300427	0.902315	0.0976854	0.36048	0.63952	2.112894
636	-68.62515	-236.7252	168.1001	0.146643	2.209602	0.795524	0.969207	0.0307928	0.628093	0.371907	2.730501
642	-72.59985	-237.1029	164.503	0.8135334	7.048537	1.940243	0.87885	0.12115	0.432324	0.567676	1.671171
648	-70.32387	-237.3922	167.0683	0.1025966	4.858244	1.465877	0.87885	0.12115	0.667301	0.332699	1.450103
654	-70.81784	-235.7365	164.9187	0.6652912	8.027785	0.8605698	0.919695	0.0803053	0.747118	0.252882	2.168005
660	-58.56502	-226.4301	167.8651	0.1306043	4.713047	0.9677947	0.997471	0.00252941	0.509852	0.490148	2.505053
666	-69.24822	-236.0092	166.761	0.1746682	6.149191	0.7658944	0.997471	0.00252941	0.295646	0.704354	2.897512
672	-65.18556	-234.7617	169.5761	0.7774955	3.766155	1.001178	0.997795	0.00220489	0.684508	0.315492	1.341193
678	-60.65072	-229.4432	168.7925	0.4046126	4.103032	1.577391	0.988059	0.0119409	0.704613	0.295387	0.9431747
684	-58.49381	-226.2588	167.7649	0.1105866	5.223611	1.261669	0.981449	0.018551	0.395802	0.604198	1.566613
690	-56.66823	-223.2432	166.575	0.3743583	7.663017	1.421057	0.974767	0.0252332	0.476158	0.523842	1.175639
696	-59.50873	-223.6621	164.1534	0.3218436	14.53119	1.528522	0.951226	0.0487737	0.476158	0.523842	1.087529
702	-54.91829	-222.6423	167.724	0.2730202	3.217939	2.249869	0.942326	0.057674	0.389353	0.610647	1.183654
708	-58.98019	-225.7907	166.8105	0.4116103	4.328411	1.410331	0.968294	0.0317061	0.560361	0.439639	2.057872
714	-55.18883	-221.6839	166.4951	0.5720813	5.798559	2.267579	0.987744	0.0122562	0.528471	0.471529	1.340329
720	-43.7263	-211.1409	167.4146	0.1913678	4.532673	1.536831	0.968507	0.0314933	0.501235	0.498765	1.625281
