Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-940.5337	-1111.102	170.5684	1.363504	2.061376
6	-931.8385	-1102.116	170.2775	0.8647231	2.565651
12	-946.6602	-1116.951	170.2909	1.074475	2.426075
18	-936.7783	-1107.055	170.2764	0.984116	2.491924
24	-943.6301	-1114.026	170.3956	0.890689	2.475783
30	-938.4673	-1109.587	171.12	1.398729	1.659558
36	-936.1775	-1106.784	170.6065	1.311943	2.070246
42	-937.6717	-1108.553	170.8815	1.285517	1.904134
48	-935.0928	-1105.433	170.3399	1.285517	2.260767
54	-936.4925	-1107.05	170.5576	1.079301	2.253408
60	-934.0349	-1104.633	170.5986	1.118196	2.201927
66	-929.5184	-1099.843	170.3243	0.9122323	2.506902
72	-934.7886	-1105.313	170.5246	0.8307228	2.432393
78	-934.0749	-1104.416	170.3409	1.222895	2.300243
84	-928.0126	-1098.652	170.639	0.9629284	2.27588
90	-932.7336	-1102.94	170.2068	1.152268	2.430053
96	-941.0182	-1111.115	170.0971	0.8187864	2.705289
102	-935.1071	-1105.725	170.618	1.128857	2.182447
108	-931.5391	-1101.984	170.4446	1.014024	2.367184
114	-933.7932	-1103.285	169.4923	0.7147189	3.13318
120	-933.8629	-1103.352	169.4894	0.7175986	3.13318
126	-929.0209	-1099.417	170.3962	1.008181	2.401471
132	-939.9025	-1110.616	170.7133	1.302159	2.006006
138	-932.4092	-1102.886	170.477	1.070191	2.310847
144	-930.8886	-1100.957	170.068	1.056891	2.576391
150	-943.4977	-1113.714	170.2158	1.056891	2.484275
156	-942.6993	-1113.696	170.9965	1.184654	1.894581
162	-939.2402	-1110.005	170.7644	1.056712	2.134107
168	-937.1526	-1107.695	170.5424	1.033344	2.29259
174	-939.0786	-1109.369	170.2904	0.896641	2.53778
180	-939.1432	-1109.743	170.6001	0.896641	2.342961
186	-937.0928	-1107.432	170.3392	1.119989	2.366805
192	-933.5583	-1104.112	170.5534	1.137057	2.218946
198	-930.6404	-1101.316	170.6755	1.094206	2.167628
204	-925.8503	-1096.273	170.4225	1.094206	2.330259
210	-933.0078	-1103.335	170.3272	0.8857221	2.521621
216	-935.1257	-1105.698	170.5721	1.382815	2.0462
222	-933.7749	-1103.693	169.9181	0.7883879	2.833073
228	-941.4313	-1111.679	170.2473	1.140867	2.411723
234	-939.3205	-1109.74	170.4193	0.9688856	2.411723
240	-941.0439	-1110.991	169.9472	0.8520176	2.776626
246	-931.7924	-1102.318	170.5252	0.9819834	2.336341
252	-929.7074	-1100.122	170.4147	1.101474	2.330632
258	-928.189	-1098.809	170.6196	0.8943186	2.332086
264	-942.928	-1113.418	170.4905	1.187445	2.227003
270	-942.0776	-1112.731	170.653	1.02492	2.227003
