Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-693.7182	-858.9635	165.2453	0.7583697	0.8874179	0.01517543	2.467404	2.678924	1.710095	2.086899
6	-693.7131	-859.4102	165.6971	1.050194	0.8771602	0.1011019	1.251787	2.587983	2.274352	2.038263
12	-695.6627	-858.1349	162.4722	1.375897	0.8299053	1.443253	1.709037	0.7548759	0.6515908	4.767509
18	-691.264	-857.1451	165.8811	1.039247	1.282896	0.8660629	1.090066	0.3424439	0.6576172	3.672825
24	-694.5644	-859.1978	164.6334	0.7798056	1.233656	1.317704	1.265046	1.216408	0.7110215	3.672825
30	-686.5997	-851.1681	164.5684	0.897715	1.233656	0.5708779	1.384473	0.7674481	0.5239021	4.365586
36	-688.5365	-852.7223	164.1858	1.171841	0.8791968	1.349747	1.107972	0.3989054	0.8539216	4.365586
42	-686.7332	-849.8608	163.1276	1.038258	0.8791968	0.5641226	0.5816186	1.062368	0.536872	5.565292
48	-693.1687	-858.4258	165.2571	1.038258	0.9828366	0.5632273	0.198035	0.5501868	0.4820054	4.856389
54	-692.8625	-857.7115	164.849	1.212353	0.9202443	0.6135672	0.4730508	0.6175879	0.3870474	4.856389
60	-689.9001	-853.5803	163.6802	0.6978385	0.9183654	0.03861257	1.451765	3.198455	4.009176	1.930035
66	-690.554	-852.3832	161.8293	1.065228	0.9183654	0.1656381	2.482406	2.115092	4.794358	2.342506
72	-684.1761	-845.7211	161.545	1.081682	0.7488066	0.1778779	3.544487	2.108777	4.794358	1.930471
78	-692.4712	-858.307	165.8358	0.9637236	0.9447882	0.2055603	1.877241	1.85679	2.516706	1.793976
84	-693.1451	-857.747	164.6019	1.108695	0.8652934	0.1748297	2.774819	2.576173	1.634491	2.106581
90	-693.1805	-857.0376	163.857	0.7055886	0.6151525	0.2375914	2.489328	2.62249	2.769256	2.385241
96	-695.6012	-859.7975	164.1963	0.9758058	0.8358783	0.2986985	2.186001	1.684516	2.9677	2.484692
102	-690.163	-851.7306	161.5676	0.8954718	0.8281632	0.4390074	2.505085	2.977048	2.875233	3.128409
108	-693.7307	-856.6389	162.9082	0.6482902	1.322231	0.09342283	2.551438	2.128652	2.209389	3.255251
114	-689.5282	-847.6482	158.12	0.9627581	0.9193273	1.353229	3.194537	2.922652	1.747368	4.773665
120	-686.342	-852.1193	165.7772	1.133854	0.7295762	0.03768086	0.8651009	1.353602	1.803292	3.357674
126	-702.3105	-867.2509	164.9403	1.215119	0.8207572	0.003821096	2.178409	0.5634713	2.325132	3.153435
132	-681.3788	-846.5998	165.2211	1.220165	0.7711367	0.01366381	1.327331	1.945175	0.8564144	3.560173
138	-686.4316	-849.3977	162.9662	1.220165	0.8233906	0.03023128	2.547869	1.945175	2.026657	3.440768
144	-689.4957	-855.6684	166.1727	0.8948395	0.9022316	0.7392055	0.7766944	0.241951	0.6513609	4.120445
150	-683.184	-850.5319	167.3479	1.025335	0.640175	0.06535195	0.7081078	1.115419	0.9985653	3.239281
156	-681.8526	-847.72	165.8675	1.025335	0.6609401	0.03655714	1.267032	1.309977	1.733595	3.239281
162	-686.1351	-852.9402	166.8051	1.144098	0.9086125	0.0259841	1.11698	1.309977	1.733595	2.54765
168	-693.0503	-860.1341	167.0837	1.144098	0.7406525	0.3234508	1.216742	0.9921045	1.543609	2.54765
174	-688.3856	-854.3014	165.9158	1.387346	0.7940671	0.417146	1.619393	1.41604	1.412534	2.602253
180	-672.5768	-839.9387	167.3619	1.035955	0.8387667	0.3798798	0.9462119	1.355435	1.408684	2.37013
186	-686.9585	-854.4625	167.5041	1.084022	0.6821276	0.3798798	0.9462119	1.355435	0.9280416	2.649356
192	-680.5864	-847.0225	166.4361	1.01871	0.7979276	0.3528777	1.119178	1.355435	0.6717054	3.327147
198	-695.2224	-858.4263	163.2039	1.20366	0.7440842	0.3528777	2.892525	1.715439	2.146593	3.026814
204	-693.8695	-859.1575	165.288	0.8827601	0.9486085	0.3517879	2.905393	1.675312	1.646491	2.131025
210	-676.4886	-841.0713	164.5826	1.301196	0.7088642	0.1830969	1.367823	2.456992	2.095322	2.764076
216	-678.3481	-844.1832	165.8351	0.9349291	0.8064334	0.01893532	1.40303	1.463171	2.23103	2.764076
222	-676.0395	-841.6517	165.6122	1.269827	0.9799125	0.04157856	1.448444	2.347011	1.680048	2.33848
228	-678.6106	-844.0468	165.4362	0.888966	0.6931055	0.05369431	2.148544	2.044156	2.111742	2.33848
234	-680.8195	-845.7326	164.9131	0.888966	0.7798294	0.1618491	1.75316	1.705296	3.023148	2.434024
240	-673.3044	-839.1682	165.8638	1.054092	0.9889579	0.04495984	2.442807	1.705296	1.350423	2.29151
246	-692.5929	-857.95	165.3571	1.298135	0.7885821	0.05417165	1.185927	1.234493	2.30438	3.049752
252	-690.6916	-854.4788	163.7872	1.137752	0.8502391	3.06753	2.032627	0.02228416	0.01425185	3.815879
258	-702.7981	-865.3308	162.5327	1.555642	0.8502391	2.790233	2.011067	0.04906271	0.04884961	4.436087
264	-693.7621	-855.1925	161.4305	0.8263742	0.712135	2.817329	0.8711465	1.201092	1.768373	4.545057
270	-689.0611	-849.7895	160.7284	0.7844622	0.712135	0.8678805	1.581281	2.283954	1.963165	4.938865
276	-674.4336	-835.6959	161.2623	1.172996	0.7597343	1.219479	0.8657415	1.630741	0.846975	5.583287
282	-689.1596	-848.0765	158.9169	1.012551	0.6162415	2.014375	1.468073	1.275666	1.098295	6.323101
288	-685.3224	-846.366	161.0436	1.174013	0.8423541	1.259408	1.004036	1.275666	1.177763	5.572977
294	-699.2065	-859.3369	160.1304	1.530655	0.7348156	1.384181	1.027257	1.006229	0.803398	6.214155
300	-696.3709	-856.8312	160.4603	1.335945	0.6847104	1.055662	1.027257	1.182895	0.8602224	6.214155
306	-680.5895	-845.4085	164.819	1.153704	0.7217723	1.380552	0.5704673	0.6606083	0.5282304	4.42928
312	-690.7493	-854.9952	164.2459	1.270603	0.8602412	1.681734	1.769692	0.09772907	0.002894866	4.377055
318	-683.9413	-848.5176	164.5764	1.308759	0.8602412	1.681734	1.774333	0.0202579	0.003640973	4.209834
324	-685.6333	-851.796	166.1626	1.131746	0.7224609	0.7926606	0.8481449	0.009138045	0.001990106	4.522335
330	-681.37	-847.6766	166.3066	1.028139	0.9681085	1.475709	0.7937578	0.006552558	0.003384624	4.004669
336	-676.8095	-846.152	169.3426	1.028139	0.9985453	0.5117437	0.540209	0.01820759	0.007097005	2.913482
342	-678.4391	-846.8645	168.4255	1.230245	1.094938	0.3964352	0.3075541	0.188846	0.02554609	3.376772
348	-681.0424	-848.8655	167.8231	0.8940968	1.080416	0.4074487	0.8045874	0.9496329	0.01032238	3.19848
