Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-66.25679	-235.8285	169.5717	0.7520562	0.2594715	0.6391331	1.147205	0.305698	0.694302	0.421359	0.578641	1.000133
6	-73.4592	-240.1444	166.6852	0.7520562	0.2447317	3.071477	1.657087	0.424369	0.575631	0.779751	0.220249	1.318392
12	-63.00153	-232.0943	169.0928	0.5541439	0.3828797	1.395989	0.8845685	0.561397	0.438603	0.544374	0.455626	1.167574
18	-77.81115	-243.1462	165.335	1.600338	0.1266281	3.379851	2.007267	0.389804	0.610196	0.755152	0.244848	0.7611661
24	-73.08585	-240.23	167.1441	1.779169	0.2159088	1.77681	1.631572	0.633832	0.366168	0.725915	0.274085	0.774698
30	-73.44607	-239.6587	166.2126	1.725777	0.2497972	2.460004	2.156639	0.329919	0.670081	0.600282	0.399718	0.5450146
36	-68.60415	-235.3372	166.733	1.249093	0.2497972	4.005607	0.8163054	0.421788	0.578212	0.524109	0.475891	0.8707656
42	-73.77195	-239.4737	165.7018	0.8180997	1.048162	4.776533	1.199048	0.584549	0.415451	0.712231	0.287769	1.14155
48	-70.58942	-237.8224	167.233	1.092412	0.4074357	3.425376	0.7885141	0.477605	0.522395	0.688432	0.311568	1.057959
54	-68.0802	-237.1468	169.0666	0.1879409	0.3045622	1.459484	1.415867	0.417327	0.582673	0.680159	0.319841	1.035228
60	-76.89938	-245.4713	168.5719	1.431553	0.2763979	1.047264	1.343038	0.293358	0.706642	0.673248	0.326752	0.7865395
66	-72.20047	-241.0249	168.8244	0.1972598	0.3468106	1.611021	1.222068	0.493619	0.506381	0.580105	0.419895	1.241989
72	-59.74464	-228.4796	168.735	0.5772452	0.2528812	2.153895	0.898584	0.258353	0.741647	0.693459	0.306541	0.9608626
78	-66.91212	-232.8797	165.9676	1.343713	0.7960667	1.661328	0.7497834	0.589206	0.410794	0.617346	0.382654	2.534657
84	-58.7868	-226.4364	167.6496	0.510946	0.3676655	2.087554	0.4843494	0.431656	0.568344	0.617346	0.382654	2.111918
90	-67.64579	-236.4676	168.8218	0.355575	0.8132994	0.7425097	0.4843494	0.723635	0.276365	0.483546	0.516454	2.113954
96	-60.35795	-228.6233	168.2654	1.286507	0.6219142	0.9752106	0.8405378	0.4617	0.5383	0.614048	0.385952	1.514869
102	-65.36399	-233.689	168.325	1.395137	0.2921373	0.8065708	0.4827861	0.308313	0.691687	0.714178	0.285822	1.950877
108	-67.16733	-236.1026	168.9352	1.20356	0.5234665	0.7097413	0.5156539	0.514781	0.485219	0.425976	0.574024	1.555476
