Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
0	-1343.907	-1516.174	172.2673	1.226249	0.9165977
6	-1335.099	-1507.556	172.457	0.9058065	1.048221
12	-1325.876	-1498.448	172.5724	0.7885048	1.048221
18	-1331.783	-1504.218	172.4358	1.096122	0.8715433
24	-1333.035	-1505.525	172.4904	0.8881137	1.033074
30	-1329.57	-1502.184	172.6144	0.9467706	0.8360205
36	-1327.911	-1500.439	172.5282	0.9525081	0.9289655
42	-1333.502	-1506.021	172.5192	1.017013	0.8663624
48	-1337.847	-1510.366	172.5192	1.017013	0.8663624
54	-1347.362	-1519.286	171.9232	1.367111	1.120796
60	-1337.346	-1509.791	172.4453	0.9448269	1.021996
66	-1342.207	-1514.221	172.0131	1.25472	1.137849
72	-1339.053	-1511.356	172.3029	0.9659564	1.135122
78	-1336.163	-1508.467	172.3042	1.170631	0.9360995
84	-1352	-1524.73	172.7298	0.8106657	0.8595516
90	-1340.134	-1512.378	172.2434	1.237263	0.9308992
96	-1334.522	-1506.961	172.4393	1.044403	0.9257344
102	-1334.231	-1506.6	172.3687	0.9518812	1.088081
108	-1336.784	-1509.107	172.3222	1.162473	0.9253441
114	-1341.64	-1513.998	172.3577	1.211794	0.8272313
120	-1338.212	-1510.536	172.3232	1.246924	0.8272313
126	-1341.208	-1513.49	172.2819	1.108707	1.021732
132	-1343.642	-1516.153	172.5104	0.9709743	0.9282615
138	-1337.496	-1509.968	172.4717	1.009685	0.9282615
144	-1335.783	-1508.14	172.3567	1.009685	1.044967
150	-1341.008	-1513.351	172.3435	1.022858	1.044967
156	-1342.797	-1515.058	172.2615	1.096758	1.052854
162	-1341.927	-1514.164	172.2371	0.9512634	1.205356
168	-1345.128	-1517.691	172.5634	0.894044	0.9535825
174	-1337.445	-1509.871	172.4261	0.9499586	1.035646
180	-1340.759	-1513.111	172.3519	1.055789	1.004702
186	-1340.014	-1512.558	172.5446	0.9291598	0.9364314
192	-1332.792	-1505.309	172.5163	0.8271804	1.065669
198	-1335.726	-1508.444	172.7178	0.8878624	0.7771798
204	-1342.483	-1514.729	172.2461	1.104193	1.060452
210	-1342.043	-1514.223	172.1803	1.104193	1.121218
216	-1334.477	-1507.139	172.6621	0.892963	0.8432735
222	-1338.575	-1510.913	172.3381	1.194529	0.8716939
228	-1333.572	-1506.272	172.7	0.7902444	0.9163029
234	-1329.811	-1502.562	172.7505	0.7786902	0.8716792
240	-1340.863	-1513.445	172.5826	0.949074	0.8716792
246	-1337.567	-1510.068	172.5007	0.9377026	0.9734908
252	-1329.933	-1502.401	172.4684	1.026989	0.9129131
258	-1326.32	-1498.747	172.4275	1.026989	0.9568702
264	-1333.261	-1505.686	172.4247	1.03086	0.9557726
270	-1345.728	-1517.905	172.1771	1.12198	1.108112
