Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-236.7061	-409.5564	172.8503	0.3323911	1.139622
6	-224.2071	-396.2014	171.9944	1.190826	1.137414
12	-223.602	-394.9663	171.3642	2.029929	0.9349059
18	-218.506	-390.2575	171.7515	1.752525	0.8054424
24	-220.0082	-392.4021	172.3938	1.067759	0.8586512
30	-222.6331	-394.5863	171.9532	1.081096	1.266694
36	-216.9281	-389.2222	172.2941	1.205485	0.8112366
42	-221.2054	-393.4946	172.2892	1.210446	0.8112366
48	-227.7018	-399.0411	171.3392	1.788372	1.187962
54	-220.8097	-392.7036	171.8939	1.320314	1.111333
60	-217.217	-389.008	171.791	1.558557	0.9815842
66	-213.1233	-385.4381	172.3148	1.080793	0.9333448
72	-216.3061	-389.625	173.3189	0.2002417	0.7851603
78	-212.0575	-384.5656	172.5081	0.8863026	0.9346039
84	-225.4993	-397.3319	171.8326	1.617774	0.8719682
90	-219.2164	-391.0754	171.8589	1.547492	0.9215968
96	-239.9512	-411.6559	171.7047	1.760539	0.854286
102	-239.2907	-411.4445	172.1538	1.37416	0.7727654
108	-232.7217	-404.6939	171.9722	1.075291	1.255777
114	-233.506	-405.4628	171.9568	1.254222	1.114174
120	-246.3212	-417.9992	171.678	1.786137	0.8556407
126	-244.3343	-416.6879	172.3536	1.083988	0.8867227
132	-235.0946	-406.6452	171.5506	1.975548	0.7753976
138	-225.4336	-398.4735	173.0399	0.2046604	1.083423
144	-230.5347	-400.28	169.7453	2.727552	1.692223
150	-242.099	-412.4247	170.3256	2.186137	1.664535
156	-237.6949	-408.0906	170.3957	2.186137	1.614086
162	-225.2767	-397.1275	171.8508	1.40738	1.07076
168	-234.3638	-406.5288	172.165	0.8003942	1.322808
174	-227.451	-398.3837	170.9328	2.057882	1.302434
180	-220.4703	-393.3365	172.8662	0.5837781	0.8724373
186	-232.9972	-404.9657	171.9686	0.8896908	1.40737
192	-219.5288	-391.883	172.3542	0.8366617	1.132357
198	-215.0035	-386.9812	171.9777	1.144876	1.192258
204	-216.0327	-388.4099	172.3772	1.144876	0.7810446
210	-226.6636	-398.7579	172.0943	1.434632	0.7714025
216	-224.2289	-395.9598	171.7309	1.434632	1.154844
