Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-87.1407	-255.0046	167.8639	0.4426962	1.516841	2.410315	1.190658	1.207085
6	-79.20809	-248.2143	169.0062	0.1253619	0.5263612	0.9180223	1.190658	2.24988
12	-79.36066	-248.5859	169.2253	0.1453001	0.5567876	0.9180223	0.9297333	2.250029
18	-87.85178	-255.3747	167.5229	0.07380815	1.292838	1.489247	0.5394879	2.811828
24	-86.39538	-255.7487	169.3533	0.1722681	0.6648264	0.8115013	1.582315	1.71988
30	-89.67564	-259.0374	169.3617	1.201332	0.5805968	0.3724497	1.166905	1.548155
36	-91.86797	-260.3617	168.4937	1.865726	1.109982	0.3189645	1.153347	1.318632
42	-91.82899	-260.0024	168.1735	2.140335	0.8063018	0.3189645	0.8581492	1.793897
48	-101.2113	-269.6862	168.4749	0.3180125	0.8063018	0.4479049	1.158984	2.581291
54	-94.30735	-264.1116	169.8043	0.3180125	0.6711834	0.4479049	0.8849976	1.986067
60	-91.63977	-262.2066	170.5669	0.5620683	0.5996731	0.6524382	0.6875203	1.344846
66	-78.90638	-248.711	169.8046	0.1639803	0.7972824	1.07814	1.327394	1.285817
72	-79.28179	-249.2745	169.9927	0.1665837	0.370072	1.120974	1.08635	1.524296
78	-78.50539	-248.0191	169.5138	0.07810079	0.7979978	0.9888871	0.8567962	1.966037
84	-81.6696	-250.4068	168.7372	0.1153083	0.7979978	1.690891	0.7890636	2.054392
90	-74.74689	-243.6648	168.9179	0.1288369	0.6455355	1.690891	1.015067	1.867433
96	-95.5758	-263.9208	168.345	0.01908963	0.9991679	1.27378	0.9613094	2.382948
126	-88.08204	-256.057	167.975	1.47752	0.7814443	2.84148	0.5610831	1.101558
132	-106.1421	-273.491	167.349	1.283641	1.320048	1.047639	1.349634	1.892641
102	-258.984	-418.7608	159.7767	1.32165	3.180393	6.565561	1.610333	3.240839
108	-242.9146	-406.281	163.3664	0.8383477	1.163197	4.880438	1.377779	3.003102
138	-109.2265	-276.2003	166.9738	0.8951309	1.047622	1.433803	1.009459	2.536455
114	-95.76553	-264.2035	168.438	0.2083556	0.6851734	2.062091	0.9328047	1.952078
120	-90.80186	-259.8935	169.0916	0.1485564	0.9911807	0.9998561	1.026926	1.952078
144	-110.256	-278.7322	168.4762	0.3481263	1.3318	0.971836	1.963095	1.355282
126	-93.57219	-263.0675	169.4953	0.09269271	1.299768	1.207123	1.17225	1.211046
132	-108.4042	-276.9273	168.5232	0.2163893	1.212978	0.6052136	1.333738	2.18247
150	-112.9037	-279.1978	166.2941	1.43033	2.076557	2.057181	0.4340924	2.032469
156	-107.6622	-275.4282	167.766	0.8427474	0.4815419	1.831361	0.4340924	2.526532
144	-90.69832	-259.9315	169.2332	0.2034613	1.252876	0.4737933	0.888448	2.052173
162	-111.5571	-275.0558	163.4987	1.696591	0.7071666	5.436836	3.498634	0.9584384
150	-93.25733	-261.2433	167.986	0.8688935	1.094038	1.288605	0.873474	2.052173
168	-101.1893	-269.4747	168.2855	0.8019739	0.6864458	2.229386	1.007174	1.489944
156	-94.22759	-262.2365	168.0089	0.241401	2.022778	0.7278477	1.172269	2.052173
174	-92.54572	-261.3843	168.8386	0.2279762	1.622269	0.6318652	1.007174	1.909754
162	-102.7245	-268.9578	166.2333	0.6745072	2.0957	2.460086	2.157074	1.104443
168	-99.0158	-266.3315	167.3157	0.4535042	0.4056154	3.052187	0.9918719	2.120373
180	-97.28618	-265.7114	168.4252	0.2279762	0.6499767	1.032969	0.7522504	2.691581
174	-94.5533	-263.7271	169.1738	0.5316768	0.3249765	0.9048223	0.961161	2.071082
186	-98.71178	-268.3326	169.6208	0.5495959	0.6499767	1.032969	1.206786	1.366895
180	-88.88947	-258.1547	169.2652	0.5682765	0.4050242	1.006276	0.995615	1.896761
192	-98.36376	-267.052	168.6882	0.8137887	1.980504	0.5795629	0.6770152	1.646454
186	-91.55739	-259.2056	167.6482	0.1096111	0.8411928	2.080669	0.7478424	2.538022
192	-93.81621	-263.388	169.5718	0.4460041	0.6071555	1.081602	0.5893726	1.914285
198	-90.14359	-259.3434	169.1998	0.7958491	0.561055	1.3172	1.268695	1.290948
198	-80.74368	-249.768	169.0243	0.2341005	1.240973	1.019216	0.9813565	1.78822
204	-90.53621	-259.023	168.4868	0.1486107	1.448399	1.069822	0.8638848	2.117856
210	-103.4114	-273.1125	169.701	0.04589917	0.3546006	0.9012213	1.139913	1.931343
216	-112.4886	-281.853	169.3644	0.03830828	0.9625461	0.7464641	2.172358	1.189493
222	-113.9566	-282.1597	168.2031	0.007535821	1.042333	0.7238721	1.550491	2.422903
228	-103.9616	-273.5022	169.5406	0.02791631	0.7831287	0.3889504	0.6770409	2.422903
