Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-270.0938	-429.7628	159.669	5.920778	0.7809514	0.7201664	1.967138	3.893444
6	-276.5676	-438.7785	162.2109	3.886925	1.478737	0.4762104	2.093049	3.238272
12	-259.5096	-422.382	162.8724	2.85602	0.8911782	0.7479324	2.504351	3.424148
18	-271.1341	-432.9348	161.8007	4.406294	0.7106602	0.6965476	2.504351	3.273717
24	-264.5969	-425.5294	160.9325	3.089165	2.365932	0.6965476	1.694026	4.130147
30	-263.5249	-427.6543	164.1295	1.686788	1.087661	0.5245633	1.167466	4.139933
36	-267.0552	-430.3597	163.3045	3.032458	0.6510739	0.352237	0.9889406	4.221958
42	-256.615	-419.0402	162.4251	3.103782	1.111009	0.4654403	1.477676	4.133769
48	-250.9609	-412.7089	161.748	3.196398	1.111009	0.733802	1.367651	4.407765
54	-243.7827	-407.2274	163.4447	1.710811	0.9472394	0.7861635	1.270105	4.407765
60	-252.6249	-421.9678	169.343	0.2172805	0.9472394	0.5364639	0.804909	2.198895
66	-261.2662	-428.3391	167.0729	0.1431517	1.158101	1.226366	1.201891	2.87444
72	-252.9537	-421.7519	168.7982	0.2460558	0.6522513	0.7178944	1.542338	2.140072
78	-238.3352	-407.0771	168.7419	0.1481115	1.09378	0.4394845	1.504521	2.120546
84	-259.3014	-427.2374	167.9361	0.07280704	0.6554577	0.7801259	1.570096	2.735759
90	-254.5305	-421.6969	167.1664	0.07280704	1.193312	0.8905658	1.036057	3.139526
96	-257.3823	-424.488	167.1057	0.07280704	1.100282	0.6377454	1.389856	3.162462
102	-245.4685	-413.9251	168.4567	0.1201226	0.9676001	0.6312324	1.18263	2.523039
108	-244.0757	-412.1161	168.0403	0.09135695	1.610651	0.6221062	1.743496	2.05518
114	-237.1096	-405.6195	168.5099	0.09135695	1.137512	0.5717208	1.122708	2.469586
120	-252.0615	-419.2831	167.2216	0.09135695	1.398955	0.8114106	1.181236	2.935578
