Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-566.3141	-736.4516	170.1375	1.021919	0.5014142	0.9947277	0.381617	0.618383	0.455066	0.544934	0.8219604
6	-565.0486	-735.7813	170.7328	0.06055631	0.6314342	1.099684	0.410108	0.589892	0.428357	0.571643	0.9970355
12	-575.8737	-746.3941	170.5203	0.3743366	0.5512145	0.9673924	0.498459	0.501541	0.492272	0.507728	1.063532
18	-577.7989	-747.4911	169.6922	0.8325223	0.9111567	0.8573104	0.537653	0.462347	0.487092	0.512908	1.201129
24	-569.7947	-739.7767	169.982	0.1664431	0.8426408	1.768481	0.497381	0.502619	0.379897	0.620103	0.7359492
30	-573.2129	-743.7454	170.5325	0.1347376	0.300093	1.679991	0.368052	0.631948	0.347446	0.652554	0.6396873
36	-572.268	-742.919	170.651	0.1391886	0.5415953	1.335807	0.416362	0.583638	0.463785	0.536215	0.8028047
42	-574.7474	-745.4635	170.7161	0.01482098	0.6652127	1.368797	0.409588	0.590412	0.611536	0.388464	0.732353
48	-583.2422	-753.7293	170.4871	0.1371114	1.089201	0.8965206	0.564108	0.435892	0.480697	0.519303	0.9034278
54	-582.3282	-752.1861	169.8579	0.9368848	0.8843691	0.7382177	0.570341	0.429659	0.447037	0.552963	1.102253
60	-568.2198	-738.8125	170.5927	0.3186101	0.7036396	0.7819003	0.527113	0.472887	0.497693	0.502307	1.102253
66	-574.1147	-744.2517	170.137	0.5981493	0.9398784	0.8077685	0.567677	0.432323	0.428615	0.571385	1.044915
72	-570.3139	-740.0627	169.7488	0.6494556	0.990571	1.312233	0.599302	0.400698	0.393904	0.606096	0.8361794
78	-560.5562	-731.2685	170.7123	0.09660623	0.5500412	1.214907	0.468089	0.531911	0.33334	0.66666	0.9647625
84	-568.4319	-738.714	170.2821	0.1378623	0.8909603	1.228074	0.593141	0.406859	0.6425	0.3575	1.02951
90	-567.3472	-737.3496	170.0024	0.6205632	0.7456525	1.228074	0.458806	0.541194	0.420152	0.579848	0.921654
96	-570.2392	-740.3024	170.0632	0.1936389	1.164861	1.148775	0.458806	0.541194	0.420152	0.579848	0.9545284
102	-573.7234	-742.1156	168.3922	2.238769	0.8885479	1.115416	0.436075	0.563925	0.377658	0.622342	0.9086604
108	-574.8271	-744.6781	169.8511	0.888927	0.6998386	1.021677	0.520832	0.479168	0.421171	0.578829	1.052841
114	-585.3968	-755.956	170.5592	0.1733152	1.263147	0.7147132	0.741096	0.258904	0.639347	0.360653	0.97342
120	-583.6189	-754.3579	170.739	0.368249	0.7363265	0.5072963	0.453396	0.546604	0.624449	0.375551	1.1763
126	-581.5532	-751.3645	169.8113	0.9464499	1.070669	0.7043104	0.458637	0.541363	0.335227	0.664773	1.036734
132	-561.6514	-731.7868	170.1354	0.4784057	0.5634226	1.523507	0.360394	0.639606	0.44473	0.55527	0.8060869
138	-578.2604	-747.9532	169.6929	0.7992696	0.7404918	1.387621	0.545242	0.454758	0.472245	0.527755	0.8829192
144	-571.0621	-741.6103	170.5483	0.0809801	0.8428645	1.163674	0.49602	0.50398	0.427117	0.572883	0.8748099
150	-586.7934	-756.1605	169.3671	1.473192	0.7944791	1.068308	0.508576	0.491424	0.440348	0.559652	0.7841981
156	-578.5354	-748.9075	170.3721	0.5146785	0.5026621	0.9761849	0.434084	0.565916	0.434947	0.565053	1.109266
162	-574.1381	-744.8412	170.703	0.03892667	0.5069725	1.616947	0.285198	0.714802	0.413592	0.586408	0.6147184
168	-573.0345	-742.7955	169.761	1.54195	0.4583663	1.003854	0.287888	0.712112	0.549197	0.450803	0.7417426
174	-568.7079	-739.1199	170.4121	0.4031727	0.6438948	1.206725	0.55064	0.44936	0.556585	0.443415	0.8247151
180	-565.8451	-736.3716	170.5266	0.9779058	0.4501512	0.7930549	0.396236	0.603764	0.493577	0.506423	0.6074286
186	-575.2574	-744.5863	169.3288	1.29971	0.4891269	1.683202	0.353662	0.646338	0.534214	0.465786	0.5772732
192	-579.932	-749.822	169.89	0.6848672	0.3773675	1.748988	0.433182	0.566818	0.534214	0.465786	0.4611027
198	-569.847	-739.2575	169.4105	1.321331	0.329225	1.783993	0.20662	0.79338	0.445023	0.554977	0.4289855
204	-581.2709	-750.7494	169.4786	1.006151	0.206124	1.783993	0.269223	0.730777	0.474949	0.525051	0.4832771
210	-581.9489	-752.4982	170.5492	1.006151	0.4326562	0.7922355	0.315857	0.684143	0.403769	0.596231	0.6693899
